Call Id,Call Owner Id,Subject,Call Type,Call Purpose,Contact Name,Related To,Call Start Time,Call Duration,Call Duration (in seconds),Description,Call Result,Created by ID,Modified by ID,Created Time,Modified Time,Reminder,Layout ID,Tag,User Modified Time,System Related Activity Time,User Related Activity Time,System Modified Time,ClickToCall,Outgoing Call Status,Call Agenda,Caller ID,Dialled Number,Customer Number,Scheduled in CRM,Record Id
zcrm_1920545000000142028,zcrm_1920545000000117001,Follow Up,Outbound,Negotiation,zcrm_1920545000000142007,zcrm_1920545000000142005,2016-05-28 16:00:00,,0,,,zcrm_1920545000000117001,zcrm_1920545000000117001,2016-05-25 03:59:21,2016-05-25 03:59:21,2016-05-28 07:00:00.0,,,,,,,false,Overdue,,,,,True,zcrm_1920545000000142028
zcrm_1920545000000147026,zcrm_1920545000000117001,Follow Up Call,Outbound,Prospecting,zcrm_1920545000000147007,zcrm_1920545000000147009,2016-05-28 15:30:00,03:00,180,Had a telephonic discussion with Ms. Ritu regarding her requirement for InBody 370. She has informed that she will be coming to a conclusion within next 15 days and will inform us accordingly.,,zcrm_1920545000000117001,zcrm_1920545000000117001,2016-05-26 02:28:08,2016-05-28 16:24:50,,,,,,,,false,Completed,,,,,True,zcrm_1920545000000147026
zcrm_1920545000000149026,zcrm_1920545000000117001,Order confirmation Follow up,Outbound,Prospecting,zcrm_1920545000000149007,zcrm_1920545000000149009,2018-10-01 20:00:00,,0,,,zcrm_1920545000000117001,zcrm_1920545000000511027,2016-05-27 04:36:03,2018-09-21 14:55:11,2018-10-01 11:00:00.0,,,2018-09-21 14:55:11,,,,false,Overdue,,,,,True,zcrm_1920545000000149026
zcrm_1920545000000153030,zcrm_1920545000000117001,Follow Up,Outbound,Prospecting,zcrm_1920545000000147007,zcrm_1920545000000147009,2016-06-13 16:00:00,,0,,,zcrm_1920545000000117001,zcrm_1920545000000117001,2016-05-28 16:26:25,2016-05-28 16:26:25,2016-06-13 07:00:00.0,,,,,,,false,Overdue,,,,,True,zcrm_1920545000000153030
zcrm_1920545000000154061,zcrm_1920545000000117001,Order confirmation Follow up,Outbound,Prospecting,zcrm_1920545000000154042,zcrm_1920545000000154044,2016-06-22 17:30:00,,0,,,zcrm_1920545000000117001,zcrm_1920545000001670001,2016-05-30 01:19:47,2018-04-16 15:16:36,,,,2018-04-16 15:16:36,,,,false,Cancelled,,,,,True,zcrm_1920545000000154061
zcrm_1920545000000238026,zcrm_1920545000000117001,Follow Up Call,Outbound,Prospecting,zcrm_1920545000000194031,zcrm_1920545000000194033,2016-08-08 18:30:00,,0,,,zcrm_1920545000000117001,zcrm_1920545000000117001,2016-07-26 14:23:17,2016-07-26 14:23:17,2016-08-08 09:30:00.0,,,,,,,false,Overdue,,,,,True,zcrm_1920545000000238026
zcrm_1920545000000262001,zcrm_1920545000000243029,Sale,Outbound,Prospecting,,zcrm_1920545000000259001,2016-08-03 03:10:00,10:00,600,Discuss about inbody product and its benefits,,zcrm_1920545000000243029,zcrm_1920545000000243029,2016-08-03 03:11:49,2016-08-03 03:11:49,,zcrm_1920545000000091005,,,,,,false,Completed,,,,,False,zcrm_1920545000000262001
zcrm_1920545000000265002,zcrm_1920545000000097003,Follow Up,Outbound,Prospecting,zcrm_1920545000000254009,zcrm_1920545000000254011,2016-08-12 04:30:00,,0,,,zcrm_1920545000000240001,zcrm_1920545000000097003,2016-08-03 13:46:41,2017-09-18 16:09:30,2016-08-11 19:30:00.0,,,,,,,false,Overdue,,,,,True,zcrm_1920545000000265002
zcrm_1920545000000275015,zcrm_1920545000000243023,Call,Outbound,,,zcrm_1920545000000271001,2016-08-04 13:58:00,00:00,0,,,zcrm_1920545000000243023,zcrm_1920545000000243023,2016-08-04 13:58:41,2016-08-04 13:58:41,,zcrm_1920545000000091005,,,,,,false,Completed,,,,,False,zcrm_1920545000000275015
zcrm_1920545000000310001,zcrm_1920545000000240001,Call,Outbound,Prospecting,zcrm_1920545000000194031,zcrm_1920545000000194033,2016-08-08 21:39:56,00:36,36,Phone not reachable. Will call again later,,zcrm_1920545000000240001,zcrm_1920545000000240001,2016-08-08 21:41:06,2016-08-08 21:41:06,,zcrm_1920545000000091005,,,,,,false,Completed,,,,,False,zcrm_1920545000000310001
