Member Id,Campaign ID,Lead ID,Member Status
zcrm_1920545000017507001,zcrm_1920545000000738001,zcrm_1920545000000145001,Sent
zcrm_1920545000017507003,zcrm_1920545000000738001,zcrm_1920545000000146001,Sent
zcrm_1920545000017507005,zcrm_1920545000000738001,zcrm_1920545000000146005,Sent
zcrm_1920545000017507007,zcrm_1920545000000738001,zcrm_1920545000000148001,Bounced
zcrm_1920545000017507009,zcrm_1920545000000738001,zcrm_1920545000000148005,Sent
zcrm_1920545000017507011,zcrm_1920545000000738001,zcrm_1920545000000156001,Sent
zcrm_1920545000017507013,zcrm_1920545000000738001,zcrm_1920545000000156005,Sent
zcrm_1920545000017507015,zcrm_1920545000000738001,zcrm_1920545000000156009,Sent
zcrm_1920545000017507017,zcrm_1920545000000738001,zcrm_1920545000000162001,Sent
zcrm_1920545000017507019,zcrm_1920545000000738001,zcrm_1920545000000162005,Sent
zcrm_1920545000017507021,zcrm_1920545000000738001,zcrm_1920545000000162009,Sent
zcrm_1920545000017507023,zcrm_1920545000000738001,zcrm_1920545000000162013,Sent
zcrm_1920545000017507025,zcrm_1920545000000738001,zcrm_1920545000000162017,Sent
zcrm_1920545000017507027,zcrm_1920545000000738001,zcrm_1920545000000165001,Sent
zcrm_1920545000017507029,zcrm_1920545000000738001,zcrm_1920545000000167005,Sent
zcrm_1920545000017507031,zcrm_1920545000000738001,zcrm_1920545000000177001,Sent
zcrm_1920545000017507033,zcrm_1920545000000738001,zcrm_1920545000000177009,Sent
zcrm_1920545000017507035,zcrm_1920545000000738001,zcrm_1920545000000177013,Sent
zcrm_1920545000017507039,zcrm_1920545000000738001,zcrm_1920545000000179001,Sent
zcrm_1920545000017507041,zcrm_1920545000000738001,zcrm_1920545000000179005,Sent
zcrm_1920545000017507043,zcrm_1920545000000738001,zcrm_1920545000000180001,Opened
zcrm_1920545000017507045,zcrm_1920545000000738001,zcrm_1920545000000184341,Sent
zcrm_1920545000017507047,zcrm_1920545000000738001,zcrm_1920545000000184345,Sent
zcrm_1920545000017507049,zcrm_1920545000000738001,zcrm_1920545000000184349,Sent
zcrm_1920545000017507051,zcrm_1920545000000738001,zcrm_1920545000000184350,Sent
zcrm_1920545000017507053,zcrm_1920545000000738001,zcrm_1920545000000191001,Opened
zcrm_1920545000017507059,zcrm_1920545000000738001,zcrm_1920545000000192009,Sent
zcrm_1920545000017507063,zcrm_1920545000000738001,zcrm_1920545000000193001,Bounced
zcrm_1920545000017507065,zcrm_1920545000000738001,zcrm_1920545000000193005,Sent
zcrm_1920545000017507069,zcrm_1920545000000738001,zcrm_1920545000000193013,Bounced
zcrm_1920545000017507073,zcrm_1920545000000738001,zcrm_1920545000000193021,Bounced
zcrm_1920545000017507075,zcrm_1920545000000738001,zcrm_1920545000000205001,Sent
zcrm_1920545000017507077,zcrm_1920545000000738001,zcrm_1920545000000205005,Sent
zcrm_1920545000017507079,zcrm_1920545000000738001,zcrm_1920545000000205009,Sent
zcrm_1920545000017507081,zcrm_1920545000000738001,zcrm_1920545000000205013,Sent
zcrm_1920545000017507083,zcrm_1920545000000738001,zcrm_1920545000000205017,Sent
zcrm_1920545000017507085,zcrm_1920545000000738001,zcrm_1920545000000205021,Sent
zcrm_1920545000017507087,zcrm_1920545000000738001,zcrm_1920545000000205025,Sent
zcrm_1920545000017507089,zcrm_1920545000000738001,zcrm_1920545000000206001,Sent
zcrm_1920545000017507093,zcrm_1920545000000738001,zcrm_1920545000000206009,Sent
zcrm_1920545000017507099,zcrm_1920545000000738001,zcrm_1920545000000213001,Sent
zcrm_1920545000017507111,zcrm_1920545000000738001,zcrm_1920545000000214017,Sent
zcrm_1920545000017507113,zcrm_1920545000000738001,zcrm_1920545000000214021,Sent
zcrm_1920545000017507115,zcrm_1920545000000738001,zcrm_1920545000000214025,Sent
zcrm_1920545000017507117,zcrm_1920545000000738001,zcrm_1920545000000214029,Bounced
zcrm_1920545000017507119,zcrm_1920545000000738001,zcrm_1920545000000219001,Sent
zcrm_1920545000017507121,zcrm_1920545000000738001,zcrm_1920545000000219007,Bounced
zcrm_1920545000017507123,zcrm_1920545000000738001,zcrm_1920545000000222001,Sent
zcrm_1920545000017507125,zcrm_1920545000000738001,zcrm_1920545000000222005,Sent
zcrm_1920545000017507127,zcrm_1920545000000738001,zcrm_1920545000000222009,Sent
zcrm_1920545000017507129,zcrm_1920545000000738001,zcrm_1920545000000222013,Sent
zcrm_1920545000017507131,zcrm_1920545000000738001,zcrm_1920545000000222017,Sent
zcrm_1920545000017507133,zcrm_1920545000000738001,zcrm_1920545000000222021,Sent
zcrm_1920545000017507135,zcrm_1920545000000738001,zcrm_1920545000000222025,Sent
zcrm_1920545000017507137,zcrm_1920545000000738001,zcrm_1920545000000222029,Sent
zcrm_1920545000017507139,zcrm_1920545000000738001,zcrm_1920545000000232001,Sent
zcrm_1920545000017507141,zcrm_1920545000000738001,zcrm_1920545000000232011,Sent
zcrm_1920545000017507143,zcrm_1920545000000738001,zcrm_1920545000000232015,Sent
zcrm_1920545000017507145,zcrm_1920545000000738001,zcrm_1920545000000232027,Sent
zcrm_1920545000017507147,zcrm_1920545000000738001,zcrm_1920545000000232031,Sent
zcrm_1920545000017507149,zcrm_1920545000000738001,zcrm_1920545000000232043,Sent
zcrm_1920545000017507151,zcrm_1920545000000738001,zcrm_1920545000000232047,Sent
zcrm_1920545000017507153,zcrm_1920545000000738001,zcrm_1920545000000232051,Sent
zcrm_1920545000017507155,zcrm_1920545000000738001,zcrm_1920545000000235001,Bounced
zcrm_1920545000017507157,zcrm_1920545000000738001,zcrm_1920545000000235005,Clicked
zcrm_1920545000017507159,zcrm_1920545000000738001,zcrm_1920545000000235009,Opened
zcrm_1920545000017507161,zcrm_1920545000000738001,zcrm_1920545000000235015,Sent
zcrm_1920545000017507163,zcrm_1920545000000738001,zcrm_1920545000000235019,Sent
