Customer ID,Deal ID,Role
zcrm_1920545000000137003,zcrm_1920545000000137005,
zcrm_1920545000000137029,zcrm_1920545000000432005,Decision Maker
zcrm_1920545000000137029,zcrm_1920545000000432037,Decision Maker
zcrm_1920545000000137061,zcrm_1920545000000137063,Decision Maker
zcrm_1920545000000142007,zcrm_1920545000000142009,Decision Maker
zcrm_1920545000000144007,zcrm_1920545000000144009,Purchasing
zcrm_1920545000000147007,zcrm_1920545000000147009,Decision Maker
zcrm_1920545000000149007,zcrm_1920545000000149009,Purchasing
zcrm_1920545000000154007,zcrm_1920545000000154009,Decision Maker
zcrm_1920545000000154042,zcrm_1920545000000154044,Decision Maker
zcrm_1920545000000154042,zcrm_1920545000003974115,Decision Maker
zcrm_1920545000000169031,zcrm_1920545000000169033,Decision Maker
zcrm_1920545000000170007,zcrm_1920545000000170009,Decision Maker
zcrm_1920545000000170031,zcrm_1920545000000170033,Decision Maker
zcrm_1920545000000171007,zcrm_1920545000000171009,Decision Maker
zcrm_1920545000000171031,zcrm_1920545000000171033,Purchasing
zcrm_1920545000000171055,zcrm_1920545000000171057,Decision Maker
zcrm_1920545000000181007,zcrm_1920545000000181009,Decision Maker
zcrm_1920545000000181031,zcrm_1920545000000181033,Purchasing
zcrm_1920545000000182007,zcrm_1920545000000182009,Purchasing
zcrm_1920545000000182034,zcrm_1920545000000182036,Decision Maker
zcrm_1920545000000182058,zcrm_1920545000000182060,Decision Maker
zcrm_1920545000000182082,zcrm_1920545000000182084,Decision Maker
zcrm_1920545000000186007,zcrm_1920545000000186009,Decision Maker
zcrm_1920545000000186031,zcrm_1920545000000186033,Decision Maker
zcrm_1920545000000186055,zcrm_1920545000000186057,Decision Maker
zcrm_1920545000000194007,zcrm_1920545000000194009,Decision Maker
zcrm_1920545000000194031,zcrm_1920545000000194033,Decision Maker
zcrm_1920545000000194055,zcrm_1920545000000194057,Purchasing
zcrm_1920545000000203037,zcrm_1920545000000203039,Decision Maker
zcrm_1920545000000203063,zcrm_1920545000000203065,Purchasing
zcrm_1920545000000203087,zcrm_1920545000000203089,Decision Maker
zcrm_1920545000000203111,zcrm_1920545000000203113,Decision Maker
zcrm_1920545000000203135,zcrm_1920545000000203137,Product Management
zcrm_1920545000000208007,zcrm_1920545000000208009,Purchasing
zcrm_1920545000000217003,zcrm_1920545000000217005,Decision Maker
zcrm_1920545000000221007,zcrm_1920545000000221009,Purchasing
zcrm_1920545000000225007,zcrm_1920545000000225009,Decision Maker
zcrm_1920545000000231011,zcrm_1920545000000231013,Product Management
zcrm_1920545000000238007,zcrm_1920545000000238009,Decision Maker
zcrm_1920545000000239007,zcrm_1920545000000239009,Decision Maker
zcrm_1920545000000239031,zcrm_1920545000000239033,Decision Maker
zcrm_1920545000000239057,zcrm_1920545000000239059,Decision Maker
zcrm_1920545000000254009,zcrm_1920545000000254011,Decision Maker
zcrm_1920545000000256003,zcrm_1920545000000256005,Developer/Evaluator
zcrm_1920545000000256019,zcrm_1920545000000256021,Decision Maker
zcrm_1920545000000258007,zcrm_1920545000000258009,Decision Maker
