Company_Name,Category,Address,Url
Clinic,Free clinic,"J662+8VR, Thyagraj Marg Area, Teen Murti Marg Area, New Delhi, Delhi 110011, India",https://www.google.co.kr/maps/place/Clinic/data=!4m5!3m4!1s0x390ce2af6410e0a1:0xea6a464a63bc74ff!8m2!3d28.6108605!4d77.2021263?authuser=0&hl=en&rclk=1
"Dr. S.K. Jain’s Burlington Clinic Pvt. Ltd. - 95 Years Old Legacy | Best Sexologist in Delhi NCR, India",Medical clinic,"Metro Station, 1021/18, Main Arya Samaj Road Opp City Union Bank Building, Karol Bagh, near Jahndewalan, New Delhi, Delhi 110005, India","https://www.google.co.kr/maps/place/Dr.+S.K.+Jain%E2%80%99s+Burlington+Clinic+Pvt.+Ltd.+-+95+Years+Old+Legacy+%7C+Best+Sexologist+in+Delhi+NCR,+India/data=!4m5!3m4!1s0x390cfd60481e5f3b:0x18860c298a9e36dc!8m2!3d28.646487!4d77.195922?authuser=0&hl=en&rclk=1"
Clinic,Medical clinic,"8277/5, Multani Dhanda, Paharganj, New Delhi, Delhi 110055, India",https://www.google.co.kr/maps/place/Clinic/data=!4m5!3m4!1s0x390cfd6a11d79f51:0x85f1a5a7670df8ee!8m2!3d28.646583!4d77.212711?authuser=0&hl=en&rclk=1
Clinic,Medical clinic,"D/36, Hauz Khas Market, Kharera, Hauz Khas, New Delhi, Delhi 110016, India",https://www.google.co.kr/maps/place/Clinic/data=!4m5!3m4!1s0x390ce329c72c3d31:0x35fe04b04f537d48!8m2!3d28.550431!4d77.2077581?authuser=0&hl=en&rclk=1
Apollo Clinic - Bhartimedicare Pvt Ltd,Diagnostic center,"C70, Opp. Madhav Park, Major Sudesh Kumar Marg, New Delhi, Delhi 110027, India",https://www.google.co.kr/maps/place/Apollo+Clinic+-+Bhartimedicare+Pvt+Ltd/data=!4m5!3m4!1s0x390d031357011903:0x59a15950dccac84!8m2!3d28.643351!4d77.1259017?authuser=0&hl=en&rclk=1
Indian Clinic,Medical clinic,"A Block , Gali No.9, Shakti Vihar, New Mustafabad, Delhi, 110094, India",https://www.google.co.kr/maps/place/Indian+Clinic/data=!4m5!3m4!1s0x390cfc1db65dd9a5:0x639d2c0f8dcf064a!8m2!3d28.717782!4d77.270843?authuser=0&hl=en&rclk=1
Manipal Hospital Delhi,Private hospital,"Palam Vihar, Sector 6 Dwarka, Dwarka, New Delhi, Delhi 110075, India",https://www.google.co.kr/maps/place/Manipal+Hospital+Delhi/data=!4m5!3m4!1s0x390d1b3ae0cf4f6f:0xec55552f03c1526d!8m2!3d28.59515!4d77.0690437?authuser=0&hl=en&rclk=1
R P Stone Clinic in Delhi,Medical clinic,"B6/B45 Lower Ground Floor, Greater Kailash - 1 Opp. Archana Shopping Complex, New Delhi, Delhi 110048, India",https://www.google.co.kr/maps/place/R+P+Stone+Clinic+in+Delhi/data=!4m5!3m4!1s0x390ce3e1c4d133bd:0xb68e1dc766cb0128!8m2!3d28.5537359!4d77.2321307?authuser=0&hl=en&rclk=1
Delhi Medical Center,Medical clinic,"1644, Kalkaji, Baba Fatehsingh Marg, Jawaharlal Nehru Camp, Govindpuri, New Delhi, Delhi 110019, India",https://www.google.co.kr/maps/place/Delhi+Medical+Center/data=!4m5!3m4!1s0x390ce1608dbcf90f:0xb6a8f573ff91eae8!8m2!3d28.5323266!4d77.2622858?authuser=0&hl=en&rclk=1
Medi Clinic,Medical clinic,"E/16, Sri Ramsharanam Marg, Block E, Lajpat Nagar III, Lajpat Nagar, New Delhi, Delhi 110024, India",https://www.google.co.kr/maps/place/Medi+Clinic/data=!4m5!3m4!1s0x390ce32fe39a0223:0xfcd8cfd12defbc72!8m2!3d28.5666633!4d77.2366345?authuser=0&hl=en&rclk=1
