Company_Name,Category,Address,Url
Dr Chetana Naik Ear Nose Throat & Vertigo Clinic,Medical clinic,"F58,First floor, Vikrant building (lll), above SBI bank, Malbhat, Margao, Goa 403601, India",https://www.google.co.kr/maps/place/Dr+Chetana+Naik+Ear+Nose+Throat+%26+Vertigo+Clinic/data=!4m5!3m4!1s0x3bbfb3013cbd7031:0x16ba2834cd585ab5!8m2!3d15.2703247!4d73.9637848?authuser=0&hl=en&rclk=1
Manipal Hospitals Goa,Private hospital,"Panaji, Dr E Borges Rd, Dona Paula, Goa 403004, India",https://www.google.co.kr/maps/place/Manipal+Hospitals+Goa/data=!4m5!3m4!1s0x3bbfc0cb6f59b763:0x5fef15ef316a7759!8m2!3d15.4600059!4d73.813462?authuser=0&hl=en&rclk=1
Polyclinic,Medical clinic,"Azad Maidan, Rua Do Ormuz, Opposite Bank Of India, Panaji, Panaji, Goa, 403001, India",https://www.google.co.kr/maps/place/Polyclinic/data=!4m5!3m4!1s0x3bbfc08e645c34e5:0xec878a6ff8e88d1e!8m2!3d15.4955876!4d73.8251581?authuser=0&hl=en&rclk=1
Navchaitanya madkaikar clinic old goa,Medical clinic,"H.NO 290/1 ASHIYANA, behind BOM JESUS CHURCH, ELLLA, Goa Velha, Goa 403402, India",https://www.google.co.kr/maps/place/Navchaitanya+madkaikar+clinic+old+goa/data=!4m5!3m4!1s0x3bbfbf75c7044ec3:0x627e3cb07d3dc7d2!8m2!3d15.4995664!4d73.9124987?authuser=0&hl=en&rclk=1
Gracias Clinic,Medical clinic,"Anandi Building, Chaudi, Canacona, Goa 403702, India",https://www.google.co.kr/maps/place/Gracias+Clinic/data=!4m5!3m4!1s0x3bbe5abc7e99416d:0x5b1612794ea1d190!8m2!3d15.0070604!4d74.0479772?authuser=0&hl=en&rclk=1
Dr Subhash Shikre Clinic,Free clinic,"Panaji, Goa 403001, India",https://www.google.co.kr/maps/place/Dr+Subhash+Shikre+Clinic/data=!4m5!3m4!1s0x3bbfc1d7454f916d:0xbb4098997e8a6459!8m2!3d15.4905463!4d73.8325372?authuser=0&hl=en&rclk=1
Panjim Multispeciality Clinic,Gynecologist,"S-3, 2nd Floor, Above Crossword Book Store, Landscape Excelsior Building Opposite Kala Academy Exit Gate, No. 1, Dayanand Bandodkar Marg, Campal, Panaji, Goa 403001, India",https://www.google.co.kr/maps/place/Panjim+Multispeciality+Clinic/data=!4m5!3m4!1s0x3bbfc16ea36eb807:0x9492799fa9a52e8a!8m2!3d15.4926341!4d73.817775?authuser=0&hl=en&rclk=1
Klink Jana,Medical clinic,"102, Pasheco Complex, Margao, Margao, next to Popular High School, Goa, 403601, India",https://www.google.co.kr/maps/place/Klink+Jana/data=!4m5!3m4!1s0x3bbfb3e9c143a8a7:0x4367135a4f52f4bb!8m2!3d15.2743352!4d73.956091?authuser=0&hl=en&rclk=1
AUMEO CLINIC,Medical clinic,"Shop no 03, Bhanav Apartments, Dr P Shivgaonkar Rd, Near Mahalaxmi Temple, Altinho, Panaji, Goa 403001, India",https://www.google.co.kr/maps/place/AUMEO+CLINIC/data=!4m5!3m4!1s0x3bbfc08ebe4f22fd:0x2b0f663dfe8327a4!8m2!3d15.4967145!4d73.8259853?authuser=0&hl=en&rclk=1
Victor Hospital,General hospital,"Old Station Rd, near Carmelite Monastery, Malbhat, Margao, Goa 403601, India",https://www.google.co.kr/maps/place/Victor+Hospital/data=!4m5!3m4!1s0x3bbfb3c6c5c4520d:0xa4045e195fdd67b3!8m2!3d15.2689598!4d73.9663188?authuser=0&hl=en&rclk=1
Modern Clinic,Medical clinic,"Near Aldona Taxi Stand, Mapusa, Mapusa, Goa, 403507, India",https://www.google.co.kr/maps/place/Modern+Clinic/data=!4m5!3m4!1s0x3bbfeae2fae1f7d9:0x6d4b0f540391957!8m2!3d15.5920368!4d73.808983?authuser=0&hl=en&rclk=1
Pai Hospital,Women's health clinic,"Pai Hospital, Vaddem, Vasco da Gama, Goa 403802, India",https://www.google.co.kr/maps/place/Pai+Hospital/data=!4m5!3m4!1s0x3bbfc791fa1643e5:0xc6fbe85cb7ff3642!8m2!3d15.3974905!4d73.8294358?authuser=0&hl=en&rclk=1
Devki Clinic,Medical clinic,"InezChurch, Infront of Gomant Press, Meera Building, 1st Floor, St Inez Rd, Panaji, Goa 403001, India",https://www.google.co.kr/maps/place/Devki+Clinic/data=!4m5!3m4!1s0x3bbfc08e645c34e5:0x8957dc8e4021313b!8m2!3d15.4917226!4d73.8206727?authuser=0&hl=en&rclk=1
"Pain clinic Of India Pvt Ltd, Padma Clinic, Goa branch",Medical clinic,"Padma Spine and Pain Clinic, above Caro Comfort, Malbhat, Margao, Goa 403601, India","https://www.google.co.kr/maps/place/Pain+clinic+Of+India+Pvt+Ltd,+Padma+Clinic,+Goa+branch/data=!4m5!3m4!1s0x3bbfb3e825e83695:0x1a6a8fb3a80e2b05!8m2!3d15.270121!4d73.965409?authuser=0&hl=en&rclk=1"
Bhobe Clinic,Medical clinic,"B-107, Saldanha Towers, Duler-Marna-Siolim Rd, Dangui Colony, Altinho, Mapusa, Goa 403507, India",https://www.google.co.kr/maps/place/Bhobe+Clinic/data=!4m5!3m4!1s0x3bbfeae1e8b5d1a3:0xc7934895bbe74cda!8m2!3d15.593838!4d73.813622?authuser=0&hl=en&rclk=1
Ponda Clinic,Medical clinic,"336, Dulapi, Corlim, Corlim, Goa, 403110, India",https://www.google.co.kr/maps/place/Ponda+Clinic/data=!4m5!3m4!1s0x3bbfbe8300000001:0xc46d07ae317a1fa3!8m2!3d15.5040835!4d73.9330429?authuser=0&hl=en&rclk=1
Dr Mahendra Kare Clinic,Doctor,"2C, 2nd Floor, Arjuntree One Appartment, Nr BSNL Telephone Exchange, Comba, Margao, Goa 403601, India",https://www.google.co.kr/maps/place/Dr+Mahendra+Kare+Clinic/data=!4m5!3m4!1s0x3bbfb3e99a3e3a31:0x512a8e6f9709507b!8m2!3d15.2722122!4d73.9555028?authuser=0&hl=en&rclk=1
