Company_Name,Category,Address,Url
Clinic,Medical clinic,"Unnamed Road, Dhin, Haryana 133202, India",https://www.google.co.kr/maps/place/Clinic/data=!4m5!3m4!1s0x390e54a7c50f9927:0xcb60a074d8769d42!8m2!3d30.242675!4d77.1045181?authuser=0&hl=en&rclk=1
Clinic,Medical clinic,"Tikona Park, Hazi Sarai, Hansi, Haryana 125033, India",https://www.google.co.kr/maps/place/Clinic/data=!4m5!3m4!1s0x391239560e65a8af:0x59137ad88a8dc6d7!8m2!3d29.1009238!4d75.9582551?authuser=0&hl=en&rclk=1
Clinic,Medical clinic,"76PM+GXX, Rajpura, Haryana 126102, India",https://www.google.co.kr/maps/place/Clinic/data=!4m5!3m4!1s0x39121af1eb673b77:0x75024684223b9727!8m2!3d29.2863543!4d76.2349814?authuser=0&hl=en&rclk=1
Life Care Hospital,Hospital,"Near, Gufa Mandir Rd, Model Town, Rohtak, Haryana 124001, India",https://www.google.co.kr/maps/place/Life+Care+Hospital/data=!4m5!3m4!1s0x390d851c30af7427:0xbf007a3151601c22!8m2!3d28.8919974!4d76.6076998?authuser=0&hl=en&rclk=1
Manvi Clinic,Medical clinic,"987P+5HX, Sector 8, Faridabad, Haryana 121006, India",https://www.google.co.kr/maps/place/Manvi+Clinic/data=!4m5!3m4!1s0x390cdc8f80dedd59:0xaba5f1c85e0c0fdd!8m2!3d28.3629971!4d77.3364772?authuser=0&hl=en&rclk=1
"SEHAT CLINIC, MADLAUDA",Medical clinic,"SH 14, Madlauda, Haryana 132113, India","https://www.google.co.kr/maps/place/SEHAT+CLINIC,+MADLAUDA/data=!4m5!3m4!1s0x390de7b0280071cf:0xcc6ee6a91ba2dcc9!8m2!3d29.3932884!4d76.8066711?authuser=0&hl=en&rclk=1"
W Pratiksha Hospital: Multispeciality Clinic,Medical clinic,"4307, DLF Phase IV, Sector 28, Gurugram, Haryana 122022, India",https://www.google.co.kr/maps/place/W+Pratiksha+Hospital:+Multispeciality+Clinic/data=!4m5!3m4!1s0x390d18e6933f9ec1:0xf103a917e7a0afbf!8m2!3d28.466451!4d77.082204?authuser=0&hl=en&rclk=1
Express clinic Gurugram,Medical clinic,"SCO – 58, Ground Floor, Huda Shopping Centre, Sector 56, Gurugram, Haryana 122002, India",https://www.google.co.kr/maps/place/Express+clinic+Gurugram/data=!4m5!3m4!1s0x390d1f2a83be8623:0xb36b8b56f0f76866!8m2!3d28.4284543!4d77.0988258?authuser=0&hl=en&rclk=1
Clinic,Medical clinic,"Sunarian, Haryana 124001, India",https://www.google.co.kr/maps/place/Clinic/data=!4m5!3m4!1s0x390d843e657ab8b7:0x3f3f044cf613f451!8m2!3d28.8594127!4d76.5670242?authuser=0&hl=en&rclk=1
Dhir Clinic,Medical clinic,"House no, 179, Sector 4, Panchkula, Haryana 134112, India",https://www.google.co.kr/maps/place/Dhir+Clinic/data=!4m5!3m4!1s0x390f937b3021a457:0xf6b3695ee8aecb16!8m2!3d30.689828!4d76.864302?authuser=0&hl=en&rclk=1
Khowal Clinic,Medical clinic,"God Brahman Collage, Gau Karan Rd, Gopal Colony, Rohtak, Haryana 124001, India",https://www.google.co.kr/maps/place/Khowal+Clinic/data=!4m5!3m4!1s0x390d85ea7eb54fb3:0x9a7b397959de6a45!8m2!3d28.9027729!4d76.5690513?authuser=0&hl=en&rclk=1
Jiwan Clinic & Nursing Home,Hospital,"Chhotu Ram Chowk, Rohtak, Haryana 124001, India",https://www.google.co.kr/maps/place/Jiwan+Clinic+%26+Nursing+Home/data=!4m5!3m4!1s0x390d85a48aaefd93:0xd094b55307c436d9!8m2!3d28.8977927!4d76.5863562?authuser=0&hl=en&rclk=1
Bhar Clinic,Medical clinic,"26CF+QH2, Singhwa Khas, Haryana 125042, India",https://www.google.co.kr/maps/place/Bhar+Clinic/data=!4m5!3m4!1s0x39126c535871934b:0xe41b9a06d92f72d0!8m2!3d29.0218998!4d76.2238999?authuser=0&hl=en&rclk=1
Raj Clinic,Medical clinic,"Ram Nagar, Main Market, Karnal, Haryana 132001, India",https://www.google.co.kr/maps/place/Raj+Clinic/data=!4m5!3m4!1s0x390e6fd53a2be055:0x6c8f3558337238c7!8m2!3d29.6974639!4d76.9651843?authuser=0&hl=en&rclk=1
"Express Clinics, Faridabad",Medical clinic,"1D, BP, Hardware Chowk, Hardware Colony, New Industrial Twp 1, New Industrial Town, Faridabad, Haryana 121001, India","https://www.google.co.kr/maps/place/Express+Clinics,+Faridabad/data=!4m5!3m4!1s0x390cdd165eda88a5:0x66802f687a091bfe!8m2!3d28.3786826!4d77.2977702?authuser=0&hl=en&rclk=1"
Dr. Rajesh Clinic,Medical clinic,"Bhatol Jattan, Haryana 125033, India",https://www.google.co.kr/maps/place/Dr.+Rajesh+Clinic/data=!4m5!3m4!1s0x3912153dd9b7ba2b:0xec1755ab4ce3b222!8m2!3d29.1017781!4d76.1015508?authuser=0&hl=en&rclk=1
The Apollo Clinic,Medical clinic,"624, Sector 17, Faridabad, Haryana 121002, India",https://www.google.co.kr/maps/place/The+Apollo+Clinic/data=!4m5!3m4!1s0x390cddaa2226b5d1:0xf448b7d6e3fdb5f7!8m2!3d28.4099487!4d77.3310098?authuser=0&hl=en&rclk=1
Medanta Mediclinic,Medical clinic,"Building No. 10C, DLF Cyber City, DLF Phase 2, Gurugram, Haryana 122002, India",https://www.google.co.kr/maps/place/Medanta+Mediclinic/data=!4m5!3m4!1s0x390d193855e4529b:0x6a81601ac9a0a7cb!8m2!3d28.493802!4d77.087766?authuser=0&hl=en&rclk=1
Uttam Clinic,Medical clinic,"Unnamed Road, Sadar Bazar, Karnal, Haryana 132001, India",https://www.google.co.kr/maps/place/Uttam+Clinic/data=!4m5!3m4!1s0x390e7023784c6c13:0xd6eef1f5dc51ef4a!8m2!3d29.6886627!4d76.9821912?authuser=0&hl=en&rclk=1
Family health care centre,Physical therapist,"Shop no.3 Gandhi market, Hansi, Haryana 125033, India",https://www.google.co.kr/maps/place/Family+health+care+centre/data=!4m5!3m4!1s0x391239af9c1c9443:0x986290452a969703!8m2!3d29.0952634!4d75.9627593?authuser=0&hl=en&rclk=1
National Skin Hospital,Hospital,"Mansa Devi Complex, SCO 142, Sector 5, Panchkula, Haryana 134108, India",https://www.google.co.kr/maps/place/National+Skin+Hospital/data=!4m5!3m4!1s0x390f93162c6b1a4f:0xbcbedd3170960308!8m2!3d30.71278!4d76.849628?authuser=0&hl=en&rclk=1
Sarvodaya Health Clinic,Medical clinic,"SRS Royal Hills, SRS Pearl, Sector 87, Neharpar Faridabad, Faridabad, Haryana 121002, India",https://www.google.co.kr/maps/place/Sarvodaya+Health+Clinic/data=!4m5!3m4!1s0x390cdcfd90852f87:0x4f6f3d8d62c32b6c!8m2!3d28.4105657!4d77.3429868?authuser=0&hl=en&rclk=1
"Polyclinic, Sector 31",Medical clinic,"LIG Colony, Sector 31, Gurugram, Haryana 122022, India","https://www.google.co.kr/maps/place/Polyclinic,+Sector+31/data=!4m5!3m4!1s0x390d185bc1da13b9:0xae0850d27fc90959!8m2!3d28.453856!4d77.049479?authuser=0&hl=en&rclk=1"
Dr Kuldeep Kumar,Pulmonologist,"GNH Tower, Near, Anamika Enclave, Old DLF Colony, Gurugram, Haryana 122001, India",https://www.google.co.kr/maps/place/Dr+Kuldeep+Kumar/data=!4m5!3m4!1s0x390d19d45b0cd9c9:0x80a97ca840ab70d8!8m2!3d28.4680382!4d77.0429288?authuser=0&hl=en&rclk=1
HARYANA CLINIC,Hospital,"125001, Vijay Nagar, Krishna Nagar Colony, Hisar, Haryana 125001, India",https://www.google.co.kr/maps/place/HARYANA+CLINIC/data=!4m5!3m4!1s0x3912332648211cb3:0x8dc2054dc09f9a6a!8m2!3d29.153753!4d75.7269855?authuser=0&hl=en&rclk=1
"Apollo Clinic - Best Clinic for General Physician, Gynaecologist, Paediatrics, ENT Specialist, Orthopaedics, Cardiologist, Dermatology, Physiotherapy Treatments in Gurgaon",Medical clinic,"Block B, Sector 55, Gurugram, Haryana 122011, India","https://www.google.co.kr/maps/place/Apollo+Clinic+-+Best+Clinic+for+General+Physician,+Gynaecologist,+Paediatrics,+ENT+Specialist,+Orthopaedics,+Cardiologist,+Dermatology,+Physiotherapy+Treatments+in+Gurgaon/data=!4m5!3m4!1s0x390d22009bb17f21:0x9a7d467c451049ed!8m2!3d28.427914!4d77.098657?authuser=0&hl=en&rclk=1"
