Company_Name,Category,Address,Url
JK Physiotherapy & Rehabilitation Clinic,Physical therapy clinic,"135-A, Near Shiv Mandir, Opp. Govt. Quarters, Gandhi Nagar, Jammu, Jammu and Kashmir 180004",https://www.google.co.kr/maps/place/JK+Physiotherapy+%26+Rehabilitation+Clinic/data=!4m5!3m4!1s0x391e84b74dbc22e5:0xdbe29f492d683fe6!8m2!3d32.7006626!4d74.8563738?authuser=0&hl=en&rclk=1
Badrinath Hospital Jammu,Medical clinic,"Near Indian Oil Petrol Pump, Gangyal Sector -1, Gangayal, Jammu, 180010",https://www.google.co.kr/maps/place/Badrinath+Hospital+Jammu/data=!4m5!3m4!1s0x391e9b4bd1770cdb:0xf49cde2d746fac80!8m2!3d32.6704856!4d74.8628834?authuser=0&hl=en&rclk=1
Imperial polyclinic,Hospital,"Radiocolony, Rajbagh, Srinagar, Jammu and Kashmir 190008",https://www.google.co.kr/maps/place/Imperial+polyclinic/data=!4m5!3m4!1s0x38e18fbb2e4690ed:0x757ece87fb9dbee!8m2!3d34.0652043!4d74.8212759?authuser=0&hl=en&rclk=1
Maximum Clinics,Medical clinic,"Gole Market, 358/A Opp. Peer Baba Apsara Road, Gandhi Nagar, Jammu, Jammu and Kashmir 180004",https://www.google.co.kr/maps/place/Maximum+Clinics/data=!4m5!3m4!1s0x391e84b044abcd43:0xfc3648a9031bd5d8!8m2!3d32.7002309!4d74.860236?authuser=0&hl=en&rclk=1
Kashmir Clinics,Hospital,"263, Balgarden - Nursing garh Rd, Balgarden, Srinagar, Jammu and Kashmir 190010",https://www.google.co.kr/maps/place/Kashmir+Clinics/data=!4m5!3m4!1s0x38e18ff1ed390c91:0xfc5d2a5373ccd8f5!8m2!3d34.0757658!4d74.7972311?authuser=0&hl=en&rclk=1
HEALTHPLUS The Clinic,Medical clinic,"Main Bazar Kandoli Nagrota, Jammu, Jammu and Kashmir 181221",https://www.google.co.kr/maps/place/HEALTHPLUS+The+Clinic/data=!4m5!3m4!1s0x391e81cb5fb50c9f:0x437739b886b13aae!8m2!3d32.7986605!4d74.9157597?authuser=0&hl=en&rclk=1
Dr Neeraj Mahajan (Health For All Clinic),Heart hospital,"Plot No 3, Sector 1A, East Extention (Opp Shiv Mandir, Trikuta Nagar, Jammu, Jammu and Kashmir 180012",https://www.google.co.kr/maps/place/Dr+Neeraj+Mahajan+(Health+For+All+Clinic)/data=!4m5!3m4!1s0x391e9ded4228acd3:0xbf4299a188b2adea!8m2!3d32.6905684!4d74.8823577?authuser=0&hl=en&rclk=1
Care physiotherapy clinic 218/9 Nanak nagar jammu,Physical therapy clinic,"218, 9, Guru Nanak Nagar, Jammu, Jammu and Kashmir 180004",https://www.google.co.kr/maps/place/Care+physiotherapy+clinic+218%2F9+Nanak+nagar+jammu/data=!4m5!3m4!1s0x391e84ad51b212c1:0x5a8d31f1b00b6e99!8m2!3d32.694451!4d74.8654954?authuser=0&hl=en&rclk=1
KSS Super Speciality Clinic,Specialized clinic,"38-F Rehari Colony Rehari Chungi Jammu Jammu Jammu and Kashmir, near Gurudwara, 180005",https://www.google.co.kr/maps/place/KSS+Super+Speciality+Clinic/data=!4m5!3m4!1s0x391e8552ca1574f3:0xc715509be61c272e!8m2!3d32.7435014!4d74.8578138?authuser=0&hl=en&rclk=1
Dr.Khuroo's Medical Trust,Medical clinic,"Palapora, Srinagar, Jammu and Kashmir 190017",https://www.google.co.kr/maps/place/Dr.Khuroo's+Medical+Trust/data=!4m5!3m4!1s0x38e19aae44bd1f9d:0x37f47491adf73953!8m2!3d34.0911604!4d74.7727883?authuser=0&hl=en&rclk=1
"Dr Ripudaman Mahajan M.D (Hom), Homoeopathic Physician Specialist",Doctor,"799-A-Special Last Morh, near Govt.Treasury, Gandhi Nagar, Jammu, Jammu and Kashmir 180004","https://www.google.co.kr/maps/place/Dr+Ripudaman+Mahajan+M.D+(Hom),+Homoeopathic+Physician+Specialist/data=!4m5!3m4!1s0x391e84b3f8783bc9:0x6fd59f4099cd52b2!8m2!3d32.6953693!4d74.8565071?authuser=0&hl=en&rclk=1"
Amandeep Hospital Opd Clinic Jammu,Private hospital,"Greater Kailash, Jammu, Jammu and Kashmir 180011",https://www.google.co.kr/maps/place/Amandeep+Hospital+Opd+Clinic+Jammu/data=!4m5!3m4!1s0x391e9cbdc71deca1:0xf0551d0ce03c2afe!8m2!3d32.6744413!4d74.8905004?authuser=0&hl=en&rclk=1
Shri Mata Vaishno Devi Narayana Multispeciality clinic,Specialized clinic,"15-C, Sansar Tower 2nd Extension, Gandhi Nagar, Jammu, Jammu and Kashmir 180001",https://www.google.co.kr/maps/place/Shri+Mata+Vaishno+Devi+Narayana+Multispeciality+clinic/data=!4m5!3m4!1s0x391e852789746c75:0xc0d3f62cd78ca3d!8m2!3d32.7052649!4d74.8703671?authuser=0&hl=en&rclk=1
Mother Care Clinic,Women's health clinic,"Link Road Udhampur, Lambi Gali, Udhampur, Jammu and Kashmir 182101",https://www.google.co.kr/maps/place/Mother+Care+Clinic/data=!4m5!3m4!1s0x391dd2c1aa60c869:0xdc5fb64bcea9d11c!8m2!3d32.9194113!4d75.1280656?authuser=0&hl=en&rclk=1
Mothers Care Clinic,Women's health clinic,"Hadiku complex 1st Floor, Baghat barzulla, Airport Rd, Srinagar, Jammu and Kashmir 190015",https://www.google.co.kr/maps/place/Mothers+Care+Clinic/data=!4m5!3m4!1s0x38e18fca49e7670b:0x836fde30ba1d4b0f!8m2!3d34.0464132!4d74.8014472?authuser=0&hl=en&rclk=1
