Company_Name,Category,Address,Url
Shri Kamakshi Clinic,Medical clinic,"1847, Bapat Galli, Raviwar Peth, Belagavi, Karnataka 590002, India",https://www.google.co.kr/maps/place/Shri+Kamakshi+Clinic/data=!4m5!3m4!1s0x3bbf66bb2a7fdf09:0x58f0996beede1e6e!8m2!3d15.8599556!4d74.5114467?authuser=0&hl=en&rclk=1
Clinic,Hospital,"Unnamed Road, Tippusultan Nagar, Machhe, Belagavi, Karnataka 590014, India",https://www.google.co.kr/maps/place/Clinic/data=!4m5!3m4!1s0x3bbf65212b67b835:0x968ea786d0381320!8m2!3d15.7954006!4d74.4760731?authuser=0&hl=en&rclk=1
Kamakshi Clinic,Medical clinic,"2487, Meerapur Galli, Ward Number 25, Shastri Nagar, Shahapur, Belagavi, Karnataka 590003, India",https://www.google.co.kr/maps/place/Kamakshi+Clinic/data=!4m5!3m4!1s0x3bbf66973c000001:0x91463c6ab91253ef!8m2!3d15.8480935!4d74.5150843?authuser=0&hl=en&rclk=1
Karnatak Health Institute,Medical clinic,"Tal: Gokak, Dist:Belgaum, Karnataka, India 591306, India",https://www.google.co.kr/maps/place/Karnatak+Health+Institute/data=!4m5!3m4!1s0x3bc0ba6c924099b3:0x138611ba20e2ee0!8m2!3d16.233532!4d74.764157?authuser=0&hl=en&rclk=1
KLES Dr Prabhakar Kore Hospital & MRC,General hospital,"NH Service Road, Basava Circle, Chikodi, Nehru Nagar, Belagavi, Karnataka 590010, India",https://www.google.co.kr/maps/place/KLES+Dr+Prabhakar+Kore+Hospital+%26+MRC/data=!4m5!3m4!1s0x3bbf669850726b3b:0x87cfe20bdbd0abaa!8m2!3d15.8881346!4d74.5196845?authuser=0&hl=en&rclk=1
Dr Bali Hospital,Hospital,"RV93+97C, Bailhongal, Karnataka 591102, India",https://www.google.co.kr/maps/place/Dr+Bali+Hospital/data=!4m5!3m4!1s0x3bbf51e7d6d1bf35:0x462c6b917d7a6503!8m2!3d15.8184416!4d74.8531285?authuser=0&hl=en&rclk=1
Rainbow Hospital,Hospital,"57, Somwar Peth, Tilakwadi, Belagavi, Karnataka 590006, India",https://www.google.co.kr/maps/place/Rainbow+Hospital/data=!4m5!3m4!1s0x3bbf6683ebab75a5:0xdf6fb79b2cdfea82!8m2!3d15.8348275!4d74.504053?authuser=0&hl=en&rclk=1
Leelavathi Hospital,Hospital,"RGM7+2FQ, Adarsh nagar, Hindwadi, Belagavi, Karnataka 590006, India",https://www.google.co.kr/maps/place/Leelavathi+Hospital/data=!4m5!3m4!1s0x3bbf6688e69ca31d:0xf11c957b5d1ec0df!8m2!3d15.8325955!4d74.5137194?authuser=0&hl=en&rclk=1
hospitals,Hospital,"Dharwad - Goa Rd, Lotus Layuout, Kusum Nagar, Narayanpura, Dharwad, Karnataka 580008, India",https://www.google.co.kr/maps/place/hospitals/data=!4m5!3m4!1s0x3bb8cd4520afbfa5:0x94f105734e3c5ac0!8m2!3d15.4634597!4d74.9822055?authuser=0&hl=en&rclk=1
Kasbekar Metgud Clinic Multispeciality Hospital,Hospital,"Shivaji Nagar, Belagavi, Karnataka 590016, India",https://www.google.co.kr/maps/place/Kasbekar+Metgud+Clinic+Multispeciality+Hospital/data=!4m5!3m4!1s0x3bbf66b7e2fbb2cd:0xbb1bd7839cb65a47!8m2!3d15.8645297!4d74.5226927?authuser=0&hl=en&rclk=1
