Company_Name,Category,Address,Url
"Ayur Bethaniya Ayurveda Hospital in Kerala, India",,"Athani - Thiruthiparambu Rd, Peringandoor, Kerala 680581, India","https://www.google.co.kr/maps/place/Ayur+Bethaniya+Ayurveda+Hospital+in+Kerala,+India/data=!4m5!3m4!1s0x3ba7e909110d347d:0x5058cd9bbbc1692c!8m2!3d10.623959!4d76.209389?authuser=0&hl=en&rclk=1"
Silverline Hospital,Hospital,"KP Vallon Rd, Giri Nagar, Kadavanthra, Ernakulam, Kerala 682020, India",https://www.google.co.kr/maps/place/Silverline+Hospital/data=!4m5!3m4!1s0x3b0872cf2c48ca19:0x4c9716406db19d43!8m2!3d9.9653492!4d76.3003242?authuser=0&hl=en&rclk=1
Prashanthi SuperClinic - Kochi,Medical clinic,"40/6365, Convent Rd, Shenoys, Kochi, Kerala 682035, India",https://www.google.co.kr/maps/place/Prashanthi+SuperClinic+-+Kochi/data=!4m5!3m4!1s0x3b086d3e774c259f:0xa77cab89a0d01ba9!8m2!3d9.9768179!4d76.2809481?authuser=0&hl=en&rclk=1
Clinic,Medical clinic,"Evershine Hospital, Eranakulam, Manimala Rd, near Best Bakery, Edappally, Kerala 682024, India",https://www.google.co.kr/maps/place/Clinic/data=!4m5!3m4!1s0x3b080da7c26bdad5:0x72747d1a594d2ab7!8m2!3d10.0193926!4d76.3047915?authuser=0&hl=en&rclk=1
DOCTORS CLINIC,Medical clinic,"Anakkara Rd, near Devi Krishna residency, Kumbidi, Kerala 679553, India",https://www.google.co.kr/maps/place/DOCTORS+CLINIC/data=!4m5!3m4!1s0x3ba7b934360eeaff:0x12e3a6803bdcbc3d!8m2!3d10.8272893!4d76.0509974?authuser=0&hl=en&rclk=1
Clinic,Medical clinic,"TVS Rd, South Kalamassery, Kalamassery, Kochi, Kerala 683104, India",https://www.google.co.kr/maps/place/Clinic/data=!4m5!3m4!1s0x3b080dcd34c8d361:0xcb5a1c7f8d2ca222!8m2!3d10.0496294!4d76.3173786?authuser=0&hl=en&rclk=1
Prathyasha Clinic,Medical clinic,"Muttathil Ln, Kadavanthra, Kochi, Kerala 682020, India",https://www.google.co.kr/maps/place/Prathyasha+Clinic/data=!4m5!3m4!1s0x3b0872cc1c72afc1:0x4478f87dc99cddc5!8m2!3d9.9689364!4d76.3010348?authuser=0&hl=en&rclk=1
Sree Subramania Ayurvedic Nursing Home,Hospital,"Kozhikode Balussery Rd, Karikkamkulam, Karuvissery, Kozhikode, Kerala 673010, India",https://www.google.co.kr/maps/place/Sree+Subramania+Ayurvedic+Nursing+Home/data=!4m5!3m4!1s0x3ba65938563d4747:0x4f85f03c99d40df5!8m2!3d11.2941041!4d75.7903965?authuser=0&hl=en&rclk=1
Apollo Clinic,Medical clinic,"Vikas Bhavan, TC 12, 1235, 1st Rd, PMG, Thiruvananthapuram, Kerala 695033, India",https://www.google.co.kr/maps/place/Apollo+Clinic/data=!4m5!3m4!1s0x3b05bbc16576dbd1:0x4759be07446c25ab!8m2!3d8.508649!4d76.945051?authuser=0&hl=en&rclk=1
Kinder Women's Hospital And Fertility Centre,Hospital,"Maruthorvattam Temple Road, Near, NH 47, Cherthala, Kerala 688539, India",https://www.google.co.kr/maps/place/Kinder+Women's+Hospital+And+Fertility+Centre/data=!4m5!3m4!1s0x3b087dc995313659:0x29153fc8908a0618!8m2!3d9.6631916!4d76.3411907?authuser=0&hl=en&rclk=1
The V.H. Clinic,Medical clinic,"SH63, Fort Vypin, Vypin Ferry Junction, Vypin Junction, Vypin, Kochi, Kerala 682810, India",https://www.google.co.kr/maps/place/The+V.H.+Clinic/data=!4m5!3m4!1s0x3b0812cb898beb01:0xd559028105f864c1!8m2!3d9.9753993!4d76.2423333?authuser=0&hl=en&rclk=1
Daya General Hospital & Speciality Surgical Centre-Thrissur,Hospital,"State Highway 22, Viyyoor-Peringavu Rd, Peringavu, Thrissur, Kerala 680022, India",https://www.google.co.kr/maps/place/Daya+General+Hospital+%26+Speciality+Surgical+Centre-Thrissur/data=!4m5!3m4!1s0x3ba7eefa3d678f8d:0xbe3c105f7e4caf8f!8m2!3d10.546102!4d76.214621?authuser=0&hl=en&rclk=1
