Company_Name,Category,Address,Url
Clinic,Medical clinic,"G7W7+4M8, Barkheda Hasan, Madhya Pradesh 466665, India",https://www.google.co.kr/maps/place/Clinic/data=!4m5!3m4!1s0x397c7ff24846c6d1:0x9252379fce5e34fa!8m2!3d23.5452925!4d77.2642094?authuser=0&hl=en&rclk=1
Dey's Clinic - A Centre for Skin-n-Gynae Care,Medical clinic,"29 & 30, Chanakyapuri, Above Allahabad Bank/ Indian Bank Minal gate, No-1, JK Rd, Bhopal, Madhya Pradesh 462023, India",https://www.google.co.kr/maps/place/Dey's+Clinic+-+A+Centre+for+Skin-n-Gynae+Care/data=!4m5!3m4!1s0x397c69e538c5d5db:0x27d818ac22f6a656!8m2!3d23.2674753!4d77.4583115?authuser=0&hl=en&rclk=1
Clinic,Medical clinic,"Market Road, Suatala, Madhya Pradesh 487330, India",https://www.google.co.kr/maps/place/Clinic/data=!4m5!3m4!1s0x397f739893d33169:0xc4de460d0bc8b648!8m2!3d23.1446944!4d79.0359644?authuser=0&hl=en&rclk=1
Clinic,Medical clinic,"GMFR+JWX, Jamli, Madhya Pradesh 453441, India",https://www.google.co.kr/maps/place/Clinic/data=!4m5!3m4!1s0x3962581513c9047b:0x88dc5d482e8bc79c!8m2!3d22.5241125!4d75.6923644?authuser=0&hl=en&rclk=1
Natural Herbal beauty clinic By:- (Dr.Jyoti Dubey),Medical clinic,"Front of girls college, Suraj Ganj, Itarsi, Madhya Pradesh 461111, India",https://www.google.co.kr/maps/place/Natural+Herbal+beauty+clinic+By:-+(Dr.Jyoti+Dubey)/data=!4m5!3m4!1s0x397dddf9acfb9bd3:0x37c94e1a3eb90433!8m2!3d22.6197157!4d77.768403?authuser=0&hl=en&rclk=1
Apollo Clinic,Medical clinic,"Mohit chamber, Wright Town, Jabalpur, Madhya Pradesh 482002, India",https://www.google.co.kr/maps/place/Apollo+Clinic/data=!4m5!3m4!1s0x3981ae1b159c14e3:0xf9eb1b8b4c0183e1!8m2!3d23.1673826!4d79.9264665?authuser=0&hl=en&rclk=1
Clinic,Hospital,"279F+XHH, Sadikheda, Madhya Pradesh 455118, India",https://www.google.co.kr/maps/place/Clinic/data=!4m5!3m4!1s0x396331901bc94b19:0x7be1a064da5ed80c!8m2!3d23.0199451!4d76.2739795?authuser=0&hl=en&rclk=1
Medanta,Medical clinic,"The Central Market, Sanatan Dharam Mandir Rd, Roshni Ghar Mohalla, Lashkar, Gwalior, Madhya Pradesh 474009, India",https://www.google.co.kr/maps/place/Medanta/data=!4m5!3m4!1s0x3976c431da04a03f:0x6af3aed682f6e292!8m2!3d26.199374!4d78.164242?authuser=0&hl=en&rclk=1
Kushwaha clinic (Dr. Munna),Medical clinic,"Narayanpura Road, Near ice factory, Chetgiri Colony, Narayanpura, Chhatarpur, Madhya Pradesh 471001, India",https://www.google.co.kr/maps/place/Kushwaha+clinic+(Dr.+Munna)/data=!4m5!3m4!1s0x3982bd2a70bb41ff:0x2f5d77bac26d70fa!8m2!3d24.9232646!4d79.5777616?authuser=0&hl=en&rclk=1
Dr shobhna patel,Women's health clinic,"sawariya falax, BSNL Colony, Bhagat Singh Ward, Narsinghpur, Madhya Pradesh 487001, India",https://www.google.co.kr/maps/place/Dr+shobhna+patel/data=!4m5!3m4!1s0x397f9d295a92c68b:0x3edaf30f33b54cdd!8m2!3d22.9502743!4d79.1967143?authuser=0&hl=en&rclk=1
