Company_Name,Category,Address,Url
Imphal Hospital & Research Centre,Private hospital,"RIMS Rd, Lalambung Makhong, Uripok, Imphal, Manipur 795001, India",https://www.google.co.kr/maps/place/Imphal+Hospital+%26+Research+Centre/data=!4m5!3m4!1s0x374927b6623df033:0xc1dfc45152ec92a6!8m2!3d24.8121995!4d93.9291285?authuser=0&hl=en&rclk=1
Sunshine Clinic,Medical clinic,"Sangaiprou Mamang Leikai, C/o MRF Tyres, Airport Road, Imphal West, Imphal, Manipur 795001, India",https://www.google.co.kr/maps/place/Sunshine+Clinic/data=!4m5!3m4!1s0x374926180a793b71:0xd793803d75c4215a!8m2!3d24.7820039!4d93.9153673?authuser=0&hl=en&rclk=1
Health Clinic,Medical clinic,"JVFR+J8G, Mayang Imphal, Manipur 795132, India",https://www.google.co.kr/maps/place/Health+Clinic/data=!4m5!3m4!1s0x37493066a1cd6561:0x1cdfc39bf41c0170!8m2!3d24.6240515!4d93.8908218?authuser=0&hl=en&rclk=1
Apollo Clinic,Medical clinic,"RW7G+6X4, Lalambung Makhong, Thangmeiband, Imphal, Manipur 795004, India",https://www.google.co.kr/maps/place/Apollo+Clinic/data=!4m5!3m4!1s0x374927b63c54315f:0xdcee9408a39ce427!8m2!3d24.8130172!4d93.9274577?authuser=0&hl=en&rclk=1
GYNAE & SKIN CARE,Medical clinic,"Lamphel Rd, Lamphelpat, Imphal, Manipur 795004, India",https://www.google.co.kr/maps/place/GYNAE+%26+SKIN+CARE/data=!4m5!3m4!1s0x374927b80d8e7429:0xfdfb6f9051582627!8m2!3d24.8184898!4d93.9272536?authuser=0&hl=en&rclk=1
Dr bilashini home clinic,Medical clinic,"RWCM+HRM, Thangmeiband, Imphal, Manipur 795001, India",https://www.google.co.kr/maps/place/Dr+bilashini+home+clinic/data=!4m5!3m4!1s0x374927a1ac95addd:0x54a4632449ecbb24!8m2!3d24.8214674!4d93.9345411?authuser=0&hl=en&rclk=1
Surbina Physiotherapy Clinic,Medical clinic,"Keishampat Thokchom Leikai, Imphal, Manipur 795001, India",https://www.google.co.kr/maps/place/Surbina+Physiotherapy+Clinic/data=!4m5!3m4!1s0x3749264ceeecc657:0xa7774342efa16964!8m2!3d24.803276!4d93.9334223?authuser=0&hl=en&rclk=1
SAI CLINIC,Women's health clinic,"parking near, Thoubal, Manipur, India",https://www.google.co.kr/maps/place/SAI+CLINIC/data=!4m5!3m4!1s0x37493ca493fb90f7:0xa00d84d30bc23908!8m2!3d24.6446874!4d93.9965075?authuser=0&hl=en&rclk=1
Gunamani Eye Clinic,Doctor,"Keithel Asangbi Leirak, Nahakpam Colony, Wangkhei, Imphal, Manipur 795005, India",https://www.google.co.kr/maps/place/Gunamani+Eye+Clinic/data=!4m5!3m4!1s0x374926f045d97fad:0x809b9d9d69c528a!8m2!3d24.7966072!4d93.9516251?authuser=0&hl=en&rclk=1
Nazareth Clinic and Diagnostic Centre,Medical clinic,"Kabo Leika, Imphal, Manipur 795001, India",https://www.google.co.kr/maps/place/Nazareth+Clinic+and+Diagnostic+Centre/data=!4m5!3m4!1s0x37492709fb62d223:0xa94bac33bce59ba3!8m2!3d24.8222982!4d93.9473443?authuser=0&hl=en&rclk=1
Jandho Memorial Clinic,Medical clinic,"QWMP+5VH, Makha Leirak, Imphal, Manipur 795004, India",https://www.google.co.kr/maps/place/Jandho+Memorial+Clinic/data=!4m5!3m4!1s0x3749265d49e103a9:0x8003306b5b8a192b!8m2!3d24.7829277!4d93.9372414?authuser=0&hl=en&rclk=1
Public Health Clinic,Medical clinic,"Laitonjam Rd, Laitonjam Khori Leikai, Nambol Laitonjam, Manipur 795134, India",https://www.google.co.kr/maps/place/Public+Health+Clinic/data=!4m5!3m4!1s0x37492e8c144ae7af:0x15e9d56b897ca150!8m2!3d24.7199997!4d93.8411043?authuser=0&hl=en&rclk=1
ACME Fertility and Healcthcare Centre,Medical clinic,"Hiyang Hiren Leirak, Palace Compound, Manipur 795001, India",https://www.google.co.kr/maps/place/ACME+Fertility+and+Healcthcare+Centre/data=!4m5!3m4!1s0x374926fe1796a029:0x5820d5b8453eef49!8m2!3d24.8039629!4d93.9510763?authuser=0&hl=en&rclk=1
Shija Hospitals Info. Centre Thoubal,Medical clinic,"Ward Number 1, Wangmataba, Thoubal, Manipur 795138, India",https://www.google.co.kr/maps/place/Shija+Hospitals+Info.+Centre+Thoubal/data=!4m5!3m4!1s0x37493dfd03b5c1a7:0xa8c1bd428b75f3e1!8m2!3d24.6450452!4d93.9957562?authuser=0&hl=en&rclk=1
Mother's Care Children Hospital & Research Centre,Children's hospital,"Moirang Leirak Rd, Sagolband, Imphal, Manipur 795001, India",https://www.google.co.kr/maps/place/Mother's+Care+Children+Hospital+%26+Research+Centre/data=!4m5!3m4!1s0x3749264a9e2fd8cb:0xa4d1bfd7f5ffcf25!8m2!3d24.8035761!4d93.926695?authuser=0&hl=en&rclk=1
Legal Aid Clinic,Medical clinic,"Irom Meijrao, Imphal West, Imphal, Manipur 795009, India",https://www.google.co.kr/maps/place/Legal+Aid+Clinic/data=!4m5!3m4!1s0x37492f9e499057b9:0x60fdb36ad1e26579!8m2!3d24.7099774!4d93.8888094?authuser=0&hl=en&rclk=1
TruCare ENT Clinic (Speech & Hearing Centre),Otolaryngologist,"1st Floor, above Marble Selection, Khongnang Ani Karak, Chingmeirong, Imphal, Manipur 795001, India",https://www.google.co.kr/maps/place/TruCare+ENT+Clinic+(Speech+%26+Hearing+Centre)/data=!4m5!3m4!1s0x3749275052a80ccb:0xe642a9efb0b3def8!8m2!3d24.8265055!4d93.9441616?authuser=0&hl=en&rclk=1
Shija Clinic,Hospital,"J2P3+Q63, Meira Paibi, Thoubal, Manipur 795138, India",https://www.google.co.kr/maps/place/Shija+Clinic/data=!4m5!3m4!1s0x37493c9607a50a1d:0xf841a33e307f8f72!8m2!3d24.6368793!4d94.0030387?authuser=0&hl=en&rclk=1
Shija Hospitals and Research Institute (SHRI),General hospital,"Meitei Langol, Lamphelpat, Imphal, Manipur 795004, India",https://www.google.co.kr/maps/place/Shija+Hospitals+and+Research+Institute+(SHRI)/data=!4m5!3m4!1s0x374927e5d3e5718b:0xbc6427068c1aed26!8m2!3d24.8353973!4d93.9139669?authuser=0&hl=en&rclk=1
Langol View Clinic,Hospital,"Uripok, Imphal, Manipur 795004, India",https://www.google.co.kr/maps/place/Langol+View+Clinic/data=!4m5!3m4!1s0x374927c976764091:0x2c2a93f04663351d!8m2!3d24.8124895!4d93.9239594?authuser=0&hl=en&rclk=1
Neurocare,Physical therapy clinic,"Unnamed Road, Uripok, Imphal, Manipur 795004, India",https://www.google.co.kr/maps/place/Neurocare/data=!4m5!3m4!1s0x374927c322af639d:0x528d36a18fb5a28b!8m2!3d24.8079128!4d93.9280399?authuser=0&hl=en&rclk=1
Laishram Physio Care,Medical clinic,"Wangkhem, Manipur 795149, India",https://www.google.co.kr/maps/place/Laishram+Physio+Care/data=!4m5!3m4!1s0x3749230c6c15c3eb:0xa30408aeba6b0e1!8m2!3d24.6702943!4d94.0428541?authuser=0&hl=en&rclk=1
Piles Treatment,Medical clinic,"Next to Imphal Bazar Community Cremation Ground, Minuthong Hafiz Hatta, Telipati, Imphal East, Imphal, Manipur 795001, India",https://www.google.co.kr/maps/place/Piles+Treatment/data=!4m5!3m4!1s0x37492706504b4cb1:0xbad7eb4856f12063!8m2!3d24.8143303!4d93.950067?authuser=0&hl=en&rclk=1
Dental Clinic,Medical clinic,"Khoyathong Road, Majorkhul S St, Kangla, Imphal, Manipur 795001, India",https://www.google.co.kr/maps/place/Dental+Clinic/data=!4m5!3m4!1s0x37492741788a5c41:0x9b0521aa968c3ff1!8m2!3d24.8124072!4d93.9356901?authuser=0&hl=en&rclk=1
Phubala Primary Clinic,Free clinic,"GQM4+6JX, Phubala, Manipur 795126, India",https://www.google.co.kr/maps/place/Phubala+Primary+Clinic/data=!4m5!3m4!1s0x374934dbb111556b:0xff518c70282a172d!8m2!3d24.5331064!4d93.7566228?authuser=0&hl=en&rclk=1
Surbati Physio Therapy Clinic,Physical therapy clinic,"Wangkhei Meihoupham Lampak, Imphal, Manipur 795001, India",https://www.google.co.kr/maps/place/Surbati+Physio+Therapy+Clinic/data=!4m5!3m4!1s0x374926f05655a5a3:0x87892dd8f4baf978!8m2!3d24.790416!4d93.95484?authuser=0&hl=en&rclk=1
Dr. Seanboi Clinic,Medical clinic,"8MQR+5MF, Leimaram Meitei Leikai, Churachandpur, Manipur 795128, India",https://www.google.co.kr/maps/place/Dr.+Seanboi+Clinic/data=!4m5!3m4!1s0x374eb384fd9cd381:0x8534e2f35452530!8m2!3d24.3379411!4d93.6916631?authuser=0&hl=en&rclk=1
N.B. Homoeo Clinic And Pharmacy,Medical clinic,"Uripok Kangchup Road, Near Bir Tikendrajit Flyover Bridge, Imphal, Manipur 795001, India",https://www.google.co.kr/maps/place/N.B.+Homoeo+Clinic+And+Pharmacy/data=!4m5!3m4!1s0x374927b4e5786a55:0x8d211d881b20449!8m2!3d24.8073868!4d93.9298013?authuser=0&hl=en&rclk=1
Ultracare clinic,Medical clinic,"university first gate, Manipur, India",https://www.google.co.kr/maps/place/Ultracare+clinic/data=!4m5!3m4!1s0x374925d9a36ccb37:0x9c8dcbe99abccd6e!8m2!3d24.7536851!4d93.9345364?authuser=0&hl=en&rclk=1
KAKA Physiotherapy Clinic,Physical therapy clinic,"Soibam Leikai, Old Checkon-DC Road,Imphal East,, Imphal, Manipur 795001, India",https://www.google.co.kr/maps/place/KAKA+Physiotherapy+Clinic/data=!4m5!3m4!1s0x37492789523fde1b:0xaa018b42f281baad!8m2!3d24.807516!4d93.955414?authuser=0&hl=en&rclk=1
Dr. Liangoumuan Clinic,Medical clinic,"Saikham Rd, Vengnuam, New Lamka, Churachandpur, Manipur 795128, India",https://www.google.co.kr/maps/place/Dr.+Liangoumuan+Clinic/data=!4m5!3m4!1s0x374eb3a7caec1cb7:0x4476104b7f57e2f0!8m2!3d24.3326557!4d93.6995579?authuser=0&hl=en&rclk=1
"Community Hospital Moirang, Manipur",Hospital,"Moirang Palli Rd, Part II, Mayai Leikai, Khangabok, Manipur 795138, India","https://www.google.co.kr/maps/place/Community+Hospital+Moirang,+Manipur/data=!4m5!3m4!1s0x37493c6055555555:0xbda00318a7f7b2d2!8m2!3d24.6107233!4d94.0057042?authuser=0&hl=en&rclk=1"
shyam clinic,Emergency care physician,"Unnamed Road, Uripok, Imphal, Manipur 795004, India",https://www.google.co.kr/maps/place/shyam+clinic/data=!4m5!3m4!1s0x374927cd85c56e2f:0x91d23817d9c9ec84!8m2!3d24.8092521!4d93.9168241?authuser=0&hl=en&rclk=1
Shija ENT Hospital,Hospital,"Lamphel Rd, Thangmeiband, Imphal, Manipur 795001, India",https://www.google.co.kr/maps/place/Shija+ENT+Hospital/data=!4m5!3m4!1s0x374927bc26dbb023:0xc5c124e2f99677d0!8m2!3d24.8249769!4d93.9319333?authuser=0&hl=en&rclk=1
Manipur Hijama Centre,Medical clinic,"Hatta Golapati Maning Leikai, Imphal, Manipur 795001, India",https://www.google.co.kr/maps/place/Manipur+Hijama+Centre/data=!4m5!3m4!1s0x374927deec4180e7:0xa8f166551e70e6a6!8m2!3d24.8110683!4d93.9451935?authuser=0&hl=en&rclk=1
A.B. Poly Clinic & Pharmacy,Medical clinic,"Indo-Myanmar Road, Thoubal Parking, Imphal, Manipur 795138, India",https://www.google.co.kr/maps/place/A.B.+Poly+Clinic+%26+Pharmacy/data=!4m5!3m4!1s0x37493ca48c3d61b7:0x8b810a4d68f55818!8m2!3d24.6447514!4d93.9958959?authuser=0&hl=en&rclk=1
Canchi Physiotherapy Centre,Physical therapy clinic,"Chanchipur, Indo-Myanmar Rd, Imphal, Manipur 795003, India",https://www.google.co.kr/maps/place/Canchi+Physiotherapy+Centre/data=!4m5!3m4!1s0x374925d978c1aa1d:0x3aea0b9dbde68eba!8m2!3d24.7523484!4d93.9342045?authuser=0&hl=en&rclk=1
Aadarsh clinic,Doctor,"Porompat PDA Complex, JNIMS Rd, Khongnang Makhong, Imphal, Manipur 795010, India",https://www.google.co.kr/maps/place/Aadarsh+clinic/data=!4m5!3m4!1s0x3749274f73c880db:0x43f15c6dc7a654c2!8m2!3d24.8125729!4d93.9587756?authuser=0&hl=en&rclk=1
Dr. Karam Lokendro (Skin),Medical clinic,"Khuman Lanpak, Khongnang Ani Karak, Chingmeirong, Imphal, Manipur 795001, India",https://www.google.co.kr/maps/place/Dr.+Karam+Lokendro+(Skin)/data=!4m5!3m4!1s0x374927519d6dbb93:0xa5048c345e12ea0b!8m2!3d24.8258734!4d93.9466989?authuser=0&hl=en&rclk=1
Ching Tam Dental Clinic,Hospital,"Sagolband Rd, Tera Loukrakpam Leikai, Uripok, Imphal, Manipur 795004, India",https://www.google.co.kr/maps/place/Ching+Tam+Dental+Clinic/data=!4m5!3m4!1s0x3749262e3efab40d:0x524e35d9ce25cc0b!8m2!3d24.7980841!4d93.9153798?authuser=0&hl=en&rclk=1
Clinical Pharmacy,Doctor,"QWRR+FJ4, Sougaijam Leikai, Imphal, Manipur 795004, India",https://www.google.co.kr/maps/place/Clinical+Pharmacy/data=!4m5!3m4!1s0x3749265a25d2efb1:0x1126ef5507069579!8m2!3d24.7911399!4d93.94159?authuser=0&hl=en&rclk=1
Neitin Clinic,Doctor,"Super Market, Lamphelpat, Imphal, Manipur 795004, India",https://www.google.co.kr/maps/place/Neitin+Clinic/data=!4m5!3m4!1s0x374927df03eb8621:0xd1a221b1600bd980!8m2!3d24.8236022!4d93.9113634?authuser=0&hl=en&rclk=1
DR. Memcha Clinic,Hospital,"F2X7+W35, Kakching, Manipur 795103, India",https://www.google.co.kr/maps/place/DR.+Memcha+Clinic/data=!4m5!3m4!1s0x37493f1411fd8fdb:0x479d891ea77bd0af!8m2!3d24.4997698!4d94.0127205?authuser=0&hl=en&rclk=1
Miracle Homeo Cure,Medical clinic,"NH2, Sangaiprou Mamang, Manipur 795001, India",https://www.google.co.kr/maps/place/Miracle+Homeo+Cure/data=!4m5!3m4!1s0x374926191badca4d:0x51277d0312b3b492!8m2!3d24.7785849!4d93.9131036?authuser=0&hl=en&rclk=1
Niti Clinic,Hospital,"Unnamed Road, khurai ahongei, leirk, Manipur 795001, India",https://www.google.co.kr/maps/place/Niti+Clinic/data=!4m5!3m4!1s0x3749271b3c5b9249:0xf0a4a0c76bc9c98!8m2!3d24.8126044!4d93.9585772?authuser=0&hl=en&rclk=1
Imphal spine and pain clinic,Doctor,"NH2, Imphal, Manipur 795140, India",https://www.google.co.kr/maps/place/Imphal+spine+and+pain+clinic/data=!4m5!3m4!1s0x3749277df3cbec87:0x20d9f2163d1b8fed!8m2!3d24.7785882!4d93.9114771?authuser=0&hl=en&rclk=1
Health Centre,Medical Center,"QWMP+4X6, Makha Leirak, Imphal, Manipur 795008, India",https://www.google.co.kr/maps/place/Health+Centre/data=!4m5!3m4!1s0x374927da84937177:0xc64ad9d43c1b2640!8m2!3d24.782793!4d93.937403?authuser=0&hl=en&rclk=1
Methadone Maintenance Treatment,Hospital,"Lamphelpat, Imphal, Manipur 795004, India",https://www.google.co.kr/maps/place/Methadone+Maintenance+Treatment/data=!4m5!3m4!1s0x374927cf48dd9aed:0x859c6e7095ef67bd!8m2!3d24.8161499!4d93.9209242?authuser=0&hl=en&rclk=1
Little Clinic,Hospital,"Nagaram Village, Imphal, Manipur 795010, India",https://www.google.co.kr/maps/place/Little+Clinic/data=!4m5!3m4!1s0x374927e4761ed7db:0x321d583788fb922a!8m2!3d24.8266042!4d93.949884?authuser=0&hl=en&rclk=1
