Company_Name,Category,Address,Url
Mizoram Health Care,Medical clinic,"Upper Bazar, Dawrpui, Aizawl, Mizoram 796001, India",https://www.google.co.kr/maps/place/Mizoram+Health+Care/data=!4m5!3m4!1s0x374d94b673572e2f:0x38859e93c62d0d9c!8m2!3d23.73294!4d92.7169562?authuser=0&hl=en&rclk=1
City Polyclinic,Medical clinic,"Chanmari - Ramhlun Rd, opp. Staines Memorial School, Aizawl Venglai, Chanmari, Aizawl, Mizoram 796007, India",https://www.google.co.kr/maps/place/City+Polyclinic/data=!4m5!3m4!1s0x374deb35402f1d0d:0x9f19df669f3f0c66!8m2!3d23.7408918!4d92.7193588?authuser=0&hl=en&rclk=1
T & T Medi Center,Medical clinic,"PP79+WP3, Mission Veng, Model Veng, Aizawl, Mizoram 796001, India",https://www.google.co.kr/maps/place/T+%26+T+Medi+Center/data=!4m5!3m4!1s0x374d95748032352f:0x3ab40f45b443e67c!8m2!3d23.7147675!4d92.7192979?authuser=0&hl=en&rclk=1
VR Healthcare Clinic,Medical clinic,"B-79, Millenium Centre, First floor, Mizoram, India",https://www.google.co.kr/maps/place/VR+Healthcare+Clinic/data=!4m5!3m4!1s0x374d9596445cbaad:0xe65a747009b3e9df!8m2!3d23.7334487!4d92.7167938?authuser=0&hl=en&rclk=1
"Civil Hospital, Aizawl",General hospital,"Bazar Bungkawn, Bara Bazar, Dawrpui, Aizawl, Mizoram 796001, India","https://www.google.co.kr/maps/place/Civil+Hospital,+Aizawl/data=!4m5!3m4!1s0x374d94b665e20dd9:0xb3325bc46c2ccb75!8m2!3d23.7323402!4d92.7165256?authuser=0&hl=en&rclk=1"
Dr Frazers clinic,Medical clinic,"C-53, Mission Veng Rd, Mission Veng, Khatla South, Aizawl, Mizoram 796001, India",https://www.google.co.kr/maps/place/Dr+Frazers+clinic/data=!4m5!3m4!1s0x374d94eaa489188d:0xae9d92e1d41ef856!8m2!3d23.7151303!4d92.7191549?authuser=0&hl=en&rclk=1
Tlangmawi Clinic Center,Medical clinic,"Unnamed Road, Tlangmawi, Mizoram 796310, India",https://www.google.co.kr/maps/place/Tlangmawi+Clinic+Center/data=!4m5!3m4!1s0x374d017817faac2d:0x75b94bffb2929e08!8m2!3d23.3495387!4d93.077697?authuser=0&hl=en&rclk=1
Kulikawn Hospital,Government hospital,"Kulikawn, Aizawl, Mizoram 796005, India",https://www.google.co.kr/maps/place/Kulikawn+Hospital/data=!4m5!3m4!1s0x374d94939f1a3373:0x53fb21bf7b15d056!8m2!3d23.7084855!4d92.7155763?authuser=0&hl=en&rclk=1
Dr.Lalhlunpuii,Doctor,"Medical Quarters NO 1, near CMO, Serchhip, Mizoram 796181, India",https://www.google.co.kr/maps/place/Dr.Lalhlunpuii/data=!4m5!3m4!1s0x374d0b21b89cfb03:0x4b3831ebb5e178a8!8m2!3d23.3077495!4d92.8552358?authuser=0&hl=en&rclk=1
Ebenezer Medical Center,Hospital,"Chawnpui Veng, Aizawl, Mizoram 796009, India",https://www.google.co.kr/maps/place/Ebenezer+Medical+Center/data=!4m5!3m4!1s0x374d95a7002ade77:0xc087b3aaf46c3b4a!8m2!3d23.7312!4d92.707833?authuser=0&hl=en&rclk=1
Synod Hospital Durtlang,General hospital,"NH-54, Durtlang Leitan, Aizawl, Mizoram 796025, India",https://www.google.co.kr/maps/place/Synod+Hospital+Durtlang/data=!4m5!3m4!1s0x374deb1b210503d7:0x494329e0d07f4050!8m2!3d23.7722288!4d92.7310205?authuser=0&hl=en&rclk=1
Bethesda Hospital,Hospital,"Bawngkawn Chhimveng Rd, Bawngkawn Chhim Veng, Aizawl, Mizoram 796012, India",https://www.google.co.kr/maps/place/Bethesda+Hospital/data=!4m5!3m4!1s0x374deb309acb7b69:0xae84fca9270a97df!8m2!3d23.7504706!4d92.7266318?authuser=0&hl=en&rclk=1
LRM Hospital Aizawl,Hospital,"Chanmari - Ramhlun Rd, Ramhlun Venglai, Chaltlang, Aizawl, Mizoram 796012, India",https://www.google.co.kr/maps/place/LRM+Hospital+Aizawl/data=!4m5!3m4!1s0x374deb33f6979755:0xf5e0809c7a5b5ead!8m2!3d23.7444191!4d92.7235053?authuser=0&hl=en&rclk=1
CITY HOSPITAL,Specialized hospital,"Rev Chhuahkhama Rd, Mission Veng, Model Veng, Aizawl, Mizoram 796005, India",https://www.google.co.kr/maps/place/CITY+HOSPITAL/data=!4m5!3m4!1s0x374d94bfc4f959e5:0x260c85f3da2476!8m2!3d23.7165206!4d92.7164313?authuser=0&hl=en&rclk=1
Health office. Mizoram,Hospital,"Bethel Rd, Chawnpui Veng, Aizawl, Mizoram 796009, India",https://www.google.co.kr/maps/place/Health+office.+Mizoram/data=!4m5!3m4!1s0x374d95c69568099b:0x184e67005e9812f7!8m2!3d23.7311995!4d92.7078328?authuser=0&hl=en&rclk=1
Faith Physiotherapy Clinic,Physical therapy clinic,"Chanmari 3, Lunglei, Mizoram 796701, India",https://www.google.co.kr/maps/place/Faith+Physiotherapy+Clinic/data=!4m5!3m4!1s0x374d41afdf856b5f:0xc10551b9f2bde297!8m2!3d22.8840193!4d92.7470713?authuser=0&hl=en&rclk=1
CITY POLYCLINIC,Hospital,"Bara Bazar, Dawrpui, Aizawl, Mizoram 796001, India",https://www.google.co.kr/maps/place/CITY+POLYCLINIC/data=!4m5!3m4!1s0x374d95a1049c537f:0x43a30f2890c71312!8m2!3d23.7316748!4d92.7171137?authuser=0&hl=en&rclk=1
Synod Hospital,Hospital,"Durtlang Rd, Durtlang Leitan, Aizawl, Mizoram 796025, India",https://www.google.co.kr/maps/place/Synod+Hospital/data=!4m5!3m4!1s0x374deb1b1b1dd601:0xce95054aea022996!8m2!3d23.772153!4d92.7310195?authuser=0&hl=en&rclk=1
Nazareth Hospital,Hospital,"C-50/A, K. Laihnuna Road, Ramhlun North, Aizawl, Mizoram 796012, India",https://www.google.co.kr/maps/place/Nazareth+Hospital/data=!4m5!3m4!1s0x374debebe5c990b3:0xfa638bf0c3452ea5!8m2!3d23.7486623!4d92.724242?authuser=0&hl=en&rclk=1
Redeem Hospital,Hospital,"College Veng, Aizawl, Mizoram 796005, India",https://www.google.co.kr/maps/place/Redeem+Hospital/data=!4m5!3m4!1s0x374d94c4e23bedcd:0xf3dd3a1ec302f745!8m2!3d23.7242564!4d92.7266844?authuser=0&hl=en&rclk=1
Clinic Centre,Hospital,"Lamchhip - Chawilung Rd, Chawilung, Mizoram 796161, India",https://www.google.co.kr/maps/place/Clinic+Centre/data=!4m5!3m4!1s0x374da3da22a9e145:0x4f817c3e7262dabc!8m2!3d23.4575451!4d92.807961?authuser=0&hl=en&rclk=1
Trinity Hospital,Hospital,"Aizawl, Mizoram 796005, India",https://www.google.co.kr/maps/place/Trinity+Hospital/data=!4m5!3m4!1s0x374d950f74629a55:0x387fcbd150937daf!8m2!3d23.6807524!4d92.7250209?authuser=0&hl=en&rclk=1
Aizawl Adventist Hospital,Hospital,"PPP5+JQC, 7th Day Tlang, Aizawl, Mizoram 796009, India",https://www.google.co.kr/maps/place/Aizawl+Adventist+Hospital/data=!4m5!3m4!1s0x374d94b261ba9d0f:0x35b2f3439586d4c3!8m2!3d23.736554!4d92.709377?authuser=0&hl=en&rclk=1
Champhai District Hospital,Hospital,"F8J5+CVG, Vengsang, Champhai, Mizoram 796321, India",https://www.google.co.kr/maps/place/Champhai+District+Hospital/data=!4m5!3m4!1s0x374c5ba573a2fff3:0xb0fbc752fb07c7ac!8m2!3d23.4810501!4d93.3097003?authuser=0&hl=en&rclk=1
Bualpui NG PHC Primary Health Centre,Government hospital,"PHC veng, Primary Health Centre, Bualpui NG, Mizoram 796901, India",https://www.google.co.kr/maps/place/Bualpui+NG+PHC+Primary+Health+Centre/data=!4m5!3m4!1s0x30b2d48bd51a58e7:0x3a24d22c291277a7!8m2!3d22.545298!4d93.032669?authuser=0&hl=en&rclk=1
Care Hospital,Hospital,"Upper Bazar, Dawrpui, Aizawl, Mizoram 796001, India",https://www.google.co.kr/maps/place/Care+Hospital/data=!4m5!3m4!1s0x374d94b66430c887:0x8e8159f3ad02b28a!8m2!3d23.7330027!4d92.7161038?authuser=0&hl=en&rclk=1
Bukpui PHC,Hospital,"Serkhan - Bagha Rd, Bukpui, Mizoram 796007, India",https://www.google.co.kr/maps/place/Bukpui+PHC/data=!4m5!3m4!1s0x374ddfc8b1617f3b:0x5d37e12d09fdb8be!8m2!3d24.0818779!4d92.7932417?authuser=0&hl=en&rclk=1
Vangchhia Clinic,Medical clinic,"Vangchhia Rd, Vanzau, Mizoram 796320, India",https://www.google.co.kr/maps/place/Vangchhia+Clinic/data=!4m5!3m4!1s0x374cf100b70fc1ed:0xc796422e879dc448!8m2!3d23.203166!4d93.3292121?authuser=0&hl=en&rclk=1
Nurse quarter,Medical clinic,"Kamalanagar Rd, Mizoram 796730, India",https://www.google.co.kr/maps/place/Nurse+quarter/data=!4m5!3m4!1s0x374d4becc03b71e1:0x10d256be726d269!8m2!3d22.6785404!4d92.6985929?authuser=0&hl=en&rclk=1
Christian Hospital Serkawn,Hospital,"WQ45+R85, Serkawn, Lunglei, Mizoram 796691, India",https://www.google.co.kr/maps/place/Christian+Hospital+Serkawn/data=!4m5!3m4!1s0x374d40954e84b81b:0x8f7b6f65818a185a!8m2!3d22.907003!4d92.7583677?authuser=0&hl=en&rclk=1
Medical Officer's Quarters,Doctor,"Sialsuk Rd, Sialsuk, Mizoram 796230, India",https://www.google.co.kr/maps/place/Medical+Officer's+Quarters/data=!4m5!3m4!1s0x374d9fae494564e5:0x94aef043e4243b2b!8m2!3d23.3959018!4d92.7452615?authuser=0&hl=en&rclk=1
District Hospital Kolasib,Hospital,"Venglai, Kolasib, Mizoram 796081, India",https://www.google.co.kr/maps/place/District+Hospital+Kolasib/data=!4m5!3m4!1s0x374e0ec710ffffff:0x393d81f66c9fed0b!8m2!3d24.2314191!4d92.6768014?authuser=0&hl=en&rclk=1
Lairam Christian Medical Centre,Hospital,"L-3 Road, Lawngtlai Bazar, Bazar Veng, Lawngtlai, Mizoram 796891, India",https://www.google.co.kr/maps/place/Lairam+Christian+Medical+Centre/data=!4m5!3m4!1s0x30b2cdb2ca201161:0xdd188194414ca402!8m2!3d22.5327181!4d92.8979341?authuser=0&hl=en&rclk=1
"Primary Health Centre, Sialsuk",Hospital,"Sialsuk Rd, Sialsuk, Mizoram 796230, India","https://www.google.co.kr/maps/place/Primary+Health+Centre,+Sialsuk/data=!4m5!3m4!1s0x374d9fae428778c1:0x8ba5c0cfc75a19ec!8m2!3d23.396153!4d92.7444148?authuser=0&hl=en&rclk=1"
Greenwood Hospital,General hospital,"Bawngkawn, Aizawl, Mizoram 796014, India",https://www.google.co.kr/maps/place/Greenwood+Hospital/data=!4m5!3m4!1s0x374deb245dd0de29:0xfc1fb8ba4393f1d7!8m2!3d23.7554782!4d92.731041?authuser=0&hl=en&rclk=1
Public Health Centre,Hospital,"2QWM+FGH, Haulawng, Mizoram 796691, India",https://www.google.co.kr/maps/place/Public+Health+Centre/data=!4m5!3m4!1s0x374d14c990c7b46f:0xcc12c57bde9d69c7!8m2!3d23.0461905!4d92.7838639?authuser=0&hl=en&rclk=1
Civil Hospital,Hospital,"Lunglei-Thenzawl Rd, Lunglei, Mizoram 796701, India",https://www.google.co.kr/maps/place/Civil+Hospital/data=!4m5!3m4!1s0x374d40d396a3ee31:0x3715ce142400932c!8m2!3d22.8863676!4d92.7441089?authuser=0&hl=en&rclk=1
Urban Public Health Centre,Hospital,"VQ2V+QP8, Hrangchalkawn, Lunglei, Mizoram 796701, India",https://www.google.co.kr/maps/place/Urban+Public+Health+Centre/data=!4m5!3m4!1s0x374d39fbdf206e15:0x98bf9da7dcfa0782!8m2!3d22.8519005!4d92.7943435?authuser=0&hl=en&rclk=1
Lengpui PHC,Hospital,"RJQM+V57, Lengpui, Mizoram 796410, India",https://www.google.co.kr/maps/place/Lengpui+PHC/data=!4m5!3m4!1s0x374dee0971836481:0x2d48634f11aa9b66!8m2!3d23.8396589!4d92.6329191?authuser=0&hl=en&rclk=1
CHC,Hospital,"Aizawl - Lunglei Rd, Thenzawl, Mizoram 796181, India",https://www.google.co.kr/maps/place/CHC/data=!4m5!3m4!1s0x374d74b58f2dbff1:0xc1daf7589390d42!8m2!3d23.2892089!4d92.7714441?authuser=0&hl=en&rclk=1
Doctor Quarter,Doctor,"43H8+WWW, North Vanlaiphai, Mizoram 796181, India",https://www.google.co.kr/maps/place/Doctor+Quarter/data=!4m5!3m4!1s0x374d1d1a797cca13:0x14a8fbe806500e2a!8m2!3d23.1298699!4d93.0673387?authuser=0&hl=en&rclk=1
