Company_Name,Category,Address,Url
Homoeo Care Clinic,Medical clinic,"sbi atm building, Diphupar gate, 4th Mile, Dimapur, Nagaland 797115, India",https://www.google.co.kr/maps/place/Homoeo+Care+Clinic/data=!4m5!3m4!1s0x374609c9ad55599d:0x88746bf11e24a23!8m2!3d25.868966!4d93.765934?authuser=0&hl=en&rclk=1
HOLISTIC HEALTH CARE CLINIC,Medical clinic,"SUB JAIL TINALI, Nagaland 797112, India",https://www.google.co.kr/maps/place/HOLISTIC+HEALTH+CARE+CLINIC/data=!4m5!3m4!1s0x3745e14f55ce7ddb:0x800c2258d580f21!8m2!3d25.9027364!4d93.6978742?authuser=0&hl=en&rclk=1
DR Belhos Clinic,Medical clinic,"Walford Rd, Walford Colony, Dimapur, Nagaland 797117, India",https://www.google.co.kr/maps/place/DR+Belhos+Clinic/data=!4m5!3m4!1s0x3745e1fb3433c867:0xe7f67b0ad4ef8fad!8m2!3d25.9101394!4d93.7368385?authuser=0&hl=en&rclk=1
Reproductive Health & Family Planning Clinic (RHFPC),Medical clinic,"M4F5+J2G, Daklane, Kohima, Nagaland 797001, India",https://www.google.co.kr/maps/place/Reproductive+Health+%26+Family+Planning+Clinic+(RHFPC)/data=!4m5!3m4!1s0x374621a1b2022b43:0x95d52b12c2d1f409!8m2!3d25.6740669!4d94.1075778?authuser=0&hl=en&rclk=1
Dietho Clinic,Medical clinic,"M494+84W, Midland Colony, Kohima, Nagaland 797001, India",https://www.google.co.kr/maps/place/Dietho+Clinic/data=!4m5!3m4!1s0x374621a42780f2df:0x3eaca60233624f9d!8m2!3d25.6683684!4d94.1053254?authuser=0&hl=en&rclk=1
Good Health Diagnostic & Clinic,Diagnostic center,"Fire Brigade Road, Near East police station, Dimapur, Nagaland 797112, India",https://www.google.co.kr/maps/place/Good+Health+Diagnostic+%26+Clinic/data=!4m5!3m4!1s0x3745e1923ad13f97:0x5325548f74c78f3e!8m2!3d25.9078296!4d93.7310547?authuser=0&hl=en&rclk=1
Nagaland Ortho Centre,Orthopedic clinic,"Opp. East Police Station, Ward No. 8, Dimapur, Nagaland 797112, India",https://www.google.co.kr/maps/place/Nagaland+Ortho+Centre/data=!4m5!3m4!1s0x3745e1f0fba52bb9:0x99f60b25f8803ec9!8m2!3d25.9069387!4d93.7313111?authuser=0&hl=en&rclk=1
Diabetes Care Clinic,Diabetes center,"Burma Camp Junction, Power House Colony, Dimapur, Nagaland 797117, India",https://www.google.co.kr/maps/place/Diabetes+Care+Clinic/data=!4m5!3m4!1s0x3745e1efb77e7c8b:0xc20e6d078d0260b6!8m2!3d25.9124841!4d93.7314409?authuser=0&hl=en&rclk=1
GI Clinic,Medical clinic,"8GC6+Q7X, Mokokchung, Nagaland 798601, India",https://www.google.co.kr/maps/place/GI+Clinic/data=!4m5!3m4!1s0x3747a9d82ae11337:0x938119ddb6307322!8m2!3d26.3219862!4d94.5107289?authuser=0&hl=en&rclk=1
Naga Hospital Authority,Hospital,"Hospital Colony, Kohima, Nagaland 797001, India",https://www.google.co.kr/maps/place/Naga+Hospital+Authority/data=!4m5!3m4!1s0x374621bbebfce4a9:0x68207a764a05e8ed!8m2!3d25.6693845!4d94.0959027?authuser=0&hl=en&rclk=1
Rapha Clinic,Medical clinic,"Unnamed Road, Samaguri, Kuhuboto, Dimapur, Nagaland 797116, India",https://www.google.co.kr/maps/place/Rapha+Clinic/data=!4m5!3m4!1s0x37460b67cb5d7765:0x5167a0660ec42b04!8m2!3d25.9196413!4d93.7843968?authuser=0&hl=en&rclk=1
Dimapur Children's Clinic,Medical clinic,"G.S.Road, West Yard Colony, Marwari Patti, Dimapur, Nagaland 797112, India",https://www.google.co.kr/maps/place/Dimapur+Children's+Clinic/data=!4m5!3m4!1s0x3745e1f33c2ecbef:0x4ef8beb31c85f20!8m2!3d25.9069504!4d93.7242851?authuser=0&hl=en&rclk=1
"Dr. Belho's Clinic, Dimapur",Medical clinic,"Walford Rd, Walford Colony, Dimapur, Nagaland 797117, India","https://www.google.co.kr/maps/place/Dr.+Belho's+Clinic,+Dimapur/data=!4m5!3m4!1s0x3745e1fb343a0a87:0xb39de3dae82a8bff!8m2!3d25.9103559!4d93.7369632?authuser=0&hl=en&rclk=1"
Shri Digamber Jain Charitable Clinic,Medical clinic,"G.S Road, Kalibari, Old Daily Market, Simapur, Dimapur, Nagaland 797112, India",https://www.google.co.kr/maps/place/Shri+Digamber+Jain+Charitable+Clinic/data=!4m5!3m4!1s0x3745e1f3848775fd:0xc955962b83749b!8m2!3d25.9055927!4d93.7260855?authuser=0&hl=en&rclk=1
Oking Hospital,Hospital,"Kohmina Mokokchung Road, Opp Bandhan Bank, Kohima, Nagaland 797001, India",https://www.google.co.kr/maps/place/Oking+Hospital/data=!4m5!3m4!1s0x374621a42099970d:0xe302d9fa180bc697!8m2!3d25.6688841!4d94.1056465?authuser=0&hl=en&rclk=1
Pulse Clinic,Medical clinic,"6RM6+VP3, Tuensang, Nagaland 798612, India",https://www.google.co.kr/maps/place/Pulse+Clinic/data=!4m5!3m4!1s0x37479bfd6b6efc5b:0x8040dabcd950d432!8m2!3d26.2346259!4d94.8117814?authuser=0&hl=en&rclk=1
City clinic,Hospital,"1st floor, Mero complex, N.H. 39, Opposite PHQ, P.R. Hill, Kohima, Nagaland 797001, India",https://www.google.co.kr/maps/place/City+clinic/data=!4m5!3m4!1s0x374621b2207f3597:0x33bc6e5a1c92f518!8m2!3d25.6587019!4d94.0987554?authuser=0&hl=en&rclk=1
Kohima Mental Hospital,Hospital,"J4V3+X8F, Tekhuba, Nagaland 797005, India",https://www.google.co.kr/maps/place/Kohima+Mental+Hospital/data=!4m5!3m4!1s0x37462051749f7a71:0xfaeef830670bb2a0!8m2!3d25.6449388!4d94.103291?authuser=0&hl=en&rclk=1
Kohimas Hospital,Hospital,"M4G4+JC3, Naga Bazaar, Kohima, Nagaland 797001, India",https://www.google.co.kr/maps/place/Kohimas+Hospital/data=!4m5!3m4!1s0x374621a6d44ee5d9:0x6a3d285ce5cb06d2!8m2!3d25.6765014!4d94.1060512?authuser=0&hl=en&rclk=1
