Company_Name,Category,Address,Url
Dr.T.L.Vasudevan's ENT Surgical Clinic,Hospital,"216, Bussy Street, AKA Lal Bahadur Sastry Street, Puducherry, 605001, India",https://www.google.co.kr/maps/place/Dr.T.L.Vasudevan's+ENT+Surgical+Clinic/data=!4m5!3m4!1s0x3a536181a474a0bb:0xf1cab3e454ad3b4f!8m2!3d11.9300902!4d79.825839?authuser=0&hl=en&rclk=1
Clinic Nallam - MULTI SPECIALITY HOSPITAL IN PONDICHERRY,Hospital,"No.86, Eswaran Kovil Street, near MG Road, cutting, Puducherry, 605001, India",https://www.google.co.kr/maps/place/Clinic+Nallam+-+MULTI+SPECIALITY+HOSPITAL+IN+PONDICHERRY/data=!4m5!3m4!1s0x3a5363d6182be3f7:0x4e78cd9a1ceedfc0!8m2!3d11.9395206!4d79.8304048?authuser=0&hl=en&rclk=1
EVK Siddha Hospital Pondicherry,Hospital,"Opposites to Vardaraja Perumal Temple, 57, Mahatma Gandhi Rd, Heritage Town, Puducherry, 605001, India",https://www.google.co.kr/maps/place/EVK+Siddha+Hospital+Pondicherry/data=!4m5!3m4!1s0x3a536327400d582f:0x882d4bf3c09f8b08!8m2!3d11.9408378!4d79.830299?authuser=0&hl=en&rclk=1
Dr. Shanthi Michael Clinic,Medical clinic,"Mission St, opposite Cathedral Church, MG Road Area, Puducherry, 605001, India",https://www.google.co.kr/maps/place/Dr.+Shanthi+Michael+Clinic/data=!4m5!3m4!1s0x3a5363d5493ace8b:0x11d6e1e5f947993!8m2!3d11.9331749!4d79.8308149?authuser=0&hl=en&rclk=1
M.V.R Poly Clinic,Fertility clinic,"Kalyan Tower, No 93 - 97, Mahatma Gandhi Rd, opp. to Easwaran Kovil, Puducherry, 605001, India",https://www.google.co.kr/maps/place/M.V.R+Poly+Clinic/data=!4m5!3m4!1s0x3a536180ff3345bf:0x59a3311c94f5f837!8m2!3d11.9296027!4d79.8276279?authuser=0&hl=en&rclk=1
Dr. NAVEEN'S ENT CLINIC in Pondicherry,Otolaryngologist,"No 8, Ground Floor, Karuvadikuppam Main Road Muthiyalpet, Near Clocktower Beside Makkal Pharmacy Yellow Building Complex, opp. Thea Wallpapers, Puducherry 605003, India",https://www.google.co.kr/maps/place/Dr.+NAVEEN'S+ENT+CLINIC+in+Pondicherry/data=!4m5!3m4!1s0x3a5363a5b30fc441:0x4f78cec35fab62a9!8m2!3d11.9508807!4d79.8310503?authuser=0&hl=en&rclk=1
SRI SAI KRUPA HOSPITAL - Orthopedic Speciality Hospital in Pondicherry,Orthopedic surgeon,"No.31, Cuddalore Road, next to Daily Thandi Office, Ambedkar Nagar, Orleanpet, Puducherry, 605001, India",https://www.google.co.kr/maps/place/SRI+SAI+KRUPA+HOSPITAL+-+Orthopedic+Speciality+Hospital+in+Pondicherry/data=!4m5!3m4!1s0x3a5361833b8ec687:0x38dfeb532f65791!8m2!3d11.9283565!4d79.8197655?authuser=0&hl=en&rclk=1
Dr Ravichandar clinic,Child health care centre,"7, Bharathi St, Near Anandha Inn Hotel, Heritage Town, Puducherry, 605001, India",https://www.google.co.kr/maps/place/Dr+Ravichandar+clinic/data=!4m5!3m4!1s0x3a5361b3b1c35b83:0xe808ecd6c0bdc4b3!8m2!3d11.941198!4d79.828337?authuser=0&hl=en&rclk=1
Sri Narbavee Clinic,Medical clinic,"Plot No. 192 villianur Main Road Jawahar Nagar Next To Sri Kumaran Stores, Puducherry, 605005, India",https://www.google.co.kr/maps/place/Sri+Narbavee+Clinic/data=!4m5!3m4!1s0x1106ae5e3aab8daf:0x7a8b343e78e237ca!8m2!3d11.9313189!4d79.8012743?authuser=0&hl=en&rclk=1
Rajiv Gandhi Government Women And Children's Hospital,Maternity hospital,"Iyyanar Koil St, Aruthra Nagar, Puducherry, 605005, India",https://www.google.co.kr/maps/place/Rajiv+Gandhi+Government+Women+And+Children's+Hospital/data=!4m5!3m4!1s0x3a53610cab7291f9:0xcd1f16ef29647a65!8m2!3d11.9375646!4d79.8069801?authuser=0&hl=en&rclk=1
