Company_Name,Category,Address,Url
"ILS Hospitals, Agartala",General hospital,"Capital Complex Extension P.O - New Secretariat, Agartala, Tripura 799010, India","https://www.google.co.kr/maps/place/ILS+Hospitals,+Agartala/data=!4m5!3m4!1s0x3753f14d1a5ccdad:0x1d6e81bdd9eaa78c!8m2!3d23.867536!4d91.289606?authuser=0&hl=en&rclk=1"
DR.S.G CLINIC,Medical Center,"bijoy Kumar chawmuni, Dhaleswar, Agartala, Tripura 799001, India",https://www.google.co.kr/maps/place/DR.S.G+CLINIC/data=!4m5!3m4!1s0x3753f535b40e8e0f:0xc9f0d2a928f92a9f!8m2!3d23.8263841!4d91.2818809?authuser=0&hl=en&rclk=1
Apollo Clinic,Medical clinic,"Dhawleshwar, Road No. 8, near Blue Lotus Club, Agartala, Tripura 799007, India",https://www.google.co.kr/maps/place/Apollo+Clinic/data=!4m5!3m4!1s0x3753f306f220bbeb:0x74a0ec52e8d21c88!8m2!3d23.8367672!4d91.2986576?authuser=0&hl=en&rclk=1
ILS City Clinic,Medical clinic,"Jagannath Bari Road, near Dainik Sambad, Agartala, Tripura 799001, India",https://www.google.co.kr/maps/place/ILS+City+Clinic/data=!4m5!3m4!1s0x3753f412779bf531:0xe65458dba5d08bd7!8m2!3d23.8331797!4d91.2793432?authuser=0&hl=en&rclk=1
Meditown Multi Speciality Clinic,Diagnostic center,"215, Assam, Shillong - Agartala - Sabrum Rd, Near Ashirbad Gas Agency, Reshambagan, Agartala, Tripura 799008, India",https://www.google.co.kr/maps/place/Meditown+Multi+Speciality+Clinic/data=!4m5!3m4!1s0x3753f30f16a82267:0xf34f19836dd07074!8m2!3d23.8421838!4d91.3175158?authuser=0&hl=en&rclk=1
Divine Touch Medi Clinic,Diagnostic center,"Colonel Chowmuhani, Palace Compound, Agartala, Tripura 799001, India",https://www.google.co.kr/maps/place/Divine+Touch+Medi+Clinic/data=!4m5!3m4!1s0x3753f40e377590d7:0x35d4dc0fceccbfa7!8m2!3d23.8376406!4d91.2805335?authuser=0&hl=en&rclk=1
Life Active physiotherapy clinic,Physical therapy clinic,"97, Akhaura Rd, Akhura Road, Agartala, Tripura 799001, India",https://www.google.co.kr/maps/place/Life+Active+physiotherapy+clinic/data=!4m5!3m4!1s0x3753f54e453797ff:0xc789a1b14ab3ab4e!8m2!3d23.8319186!4d91.2774127?authuser=0&hl=en&rclk=1
Dr. Sankar Halder,Orthopedic clinic,"Kamarpukurpar, Dhaleswar Road, Agartala, Tripura 799004, India",https://www.google.co.kr/maps/place/Dr.+Sankar+Halder/data=!4m5!3m4!1s0x3753f3f48698c5e7:0x13f57f46d5ab6ad8!8m2!3d23.8319091!4d91.2935368?authuser=0&hl=en&rclk=1
Pasteur Clinic,Medical clinic,"Colonel Mahim Thakur Sarani, Indranagar, Agartala, Tripura 799002, India",https://www.google.co.kr/maps/place/Pasteur+Clinic/data=!4m5!3m4!1s0x3753f40dfe4cb54b:0x58ab647019a9a840!8m2!3d23.8352222!4d91.2796249?authuser=0&hl=en&rclk=1
Basanti Clinic,Doctor,"13, Pragati Rd, Krishna Nagar, Agartala, Tripura 799001, India",https://www.google.co.kr/maps/place/Basanti+Clinic/data=!4m5!3m4!1s0x3753f41849dee2c3:0x50e8db24db02768f!8m2!3d23.8427786!4d91.271141?authuser=0&hl=en&rclk=1
City Maternity and Fertility Clinic,Fertility clinic,"Thakur Pally Rd, Krishna Nagar, Agartala, Tripura 799001, India",https://www.google.co.kr/maps/place/City+Maternity+and+Fertility+Clinic/data=!4m5!3m4!1s0x3753f58a331bd423:0xbaa6c17228c4869!8m2!3d23.8347003!4d91.2716641?authuser=0&hl=en&rclk=1
Laxmi Clinic,Medical clinic,"Palace Compound, Kalibari Road, behind Laxmi Narayan Temple, Agartala, Tripura 799001, India",https://www.google.co.kr/maps/place/Laxmi+Clinic/data=!4m5!3m4!1s0x3753f40bf7da76b5:0xe0e495d31624977f!8m2!3d23.8344236!4d91.2843137?authuser=0&hl=en&rclk=1
THE GRACE PHYSIOTHERAPISTS,Physical therapy clinic,"Ujan Abhoynagar, Indranagar, Agartala, Tripura 799001, India",https://www.google.co.kr/maps/place/THE+GRACE+PHYSIOTHERAPISTS/data=!4m5!3m4!1s0x3753f3e77a27230f:0x180e721bd41dba43!8m2!3d23.8477762!4d91.2916882?authuser=0&hl=en&rclk=1
Homoeo clinic. Dr.Smita saha,Medical clinic,"R7QV+W2P, Banamalipur, Indranagar, Agartala, Tripura 799007, India",https://www.google.co.kr/maps/place/Homoeo+clinic.+Dr.Smita+saha/data=!4m5!3m4!1s0x3753f357146b1e0d:0xee33f762e25c8fca!8m2!3d23.8398374!4d91.2925689?authuser=0&hl=en&rclk=1
Unique Sonography & X-Ray Clinic,X-ray lab,"Bidurkarta Chowmuhani, Near Dainik Saanbad, Agartala, Tripura 799001, India",https://www.google.co.kr/maps/place/Unique+Sonography+%26+X-Ray+Clinic/data=!4m5!3m4!1s0x3753f4127534f0b9:0xf692a7bee61cc0c3!8m2!3d23.8338489!4d91.2793872?authuser=0&hl=en&rclk=1
Dr.Shyamotpal's Multispeciality Clinic,Doctor,"Dhaleswar, Agartala, Tripura 799007, India",https://www.google.co.kr/maps/place/Dr.Shyamotpal's+Multispeciality+Clinic/data=!4m5!3m4!1s0x3753f3f268dfe9e1:0x403847166dee31fc!8m2!3d23.8331426!4d91.29776?authuser=0&hl=en&rclk=1
