Company_Name,Category,Address,Url
Clinic,Medical clinic,"WG3H+MCP, Mallpur Gadriya, Uttar Pradesh 262805, India",https://www.google.co.kr/maps/place/Clinic/data=!4m5!3m4!1s0x399f3ff7bb308579:0x599cd1e680207250!8m2!3d27.9042244!4d80.5285648?authuser=0&hl=en&rclk=1
Express Clinics Indiarapurm,Medical clinic,"Ground Floor & Basement, Plot No 403, Near Presidium School, Niti Khand 2, Indra Puram, Ghaziabad, Uttar Pradesh 201014, India",https://www.google.co.kr/maps/place/Express+Clinics+Indiarapurm/data=!4m5!3m4!1s0x390cfaaed60fde29:0x20540d17dfdb5574!8m2!3d28.6416526!4d77.3728139?authuser=0&hl=en&rclk=1
Express Clinics Pvt. Ltd.,Medical clinic,"ROS mall, KS-14 Aligunj Housing Scheme, Sitapur Rd, Lucknow, Uttar Pradesh 226020, India",https://www.google.co.kr/maps/place/Express+Clinics+Pvt.+Ltd./data=!4m5!3m4!1s0x39995794237b60d7:0xf5fe09df58c4d2c5!8m2!3d26.8991473!4d80.9387313?authuser=0&hl=en&rclk=1
Marie Stopes India,Hospital,"35C, Near Bajpayee Sweets, Rampur Garden, Bareilly, Uttar Pradesh 243001, India",https://www.google.co.kr/maps/place/Marie+Stopes+India/data=!4m5!3m4!1s0x39a0012a11f41785:0xcf24455262bc0718!8m2!3d28.349688!4d79.4261499?authuser=0&hl=en&rclk=1
clinic,Hospital,"P348+2F9, Daeetikar, Uttar Pradesh 226301, India",https://www.google.co.kr/maps/place/clinic/data=!4m5!3m4!1s0x399be5c764956bab:0xc99168b56c741e75!8m2!3d26.7050276!4d81.0662323?authuser=0&hl=en&rclk=1
Medanta Mediclinic,Private hospital,"B-25, Ashok Marg Sikanderbagh, IT Crossing, Lucknow, Uttar Pradesh 226001, India",https://www.google.co.kr/maps/place/Medanta+Mediclinic/data=!4m5!3m4!1s0x399bfd0c35ab9323:0x491e0b926189c997!8m2!3d26.8552134!4d80.9509317?authuser=0&hl=en&rclk=1
Javitri Hospital & Test Tube Baby Center,Doctor,"Raibareli Rd, Telibagh, Lucknow, Uttar Pradesh 226025, India",https://www.google.co.kr/maps/place/Javitri+Hospital+%26+Test+Tube+Baby+Center/data=!4m5!3m4!1s0x399bfb8298668bcb:0x423bcaf55fa1cd0b!8m2!3d26.7788888!4d80.9425928?authuser=0&hl=en&rclk=1
"SHOURYA POLYCLINIC AND VACCINATION CENTRE ( Specialist In Newborn, Child And Adult Vaccination)",Children Policlinic,"A-98, B Block, Indira Nagar, Lucknow, Uttar Pradesh 226016, India","https://www.google.co.kr/maps/place/SHOURYA+POLYCLINIC+AND+VACCINATION+CENTRE+(+Specialist+In+Newborn,+Child+And+Adult+Vaccination)/data=!4m5!3m4!1s0x399bfd51e78de843:0x42aef3644d0d3488!8m2!3d26.8739003!4d80.9801795?authuser=0&hl=en&rclk=1"
"Mayo Medical Centre Pvt. Ltd. Best Neurology Hospital in UP, NICU, Top Hospital Lucknow , Best I.C.U. Care",Hospital,"Vikaskhand 2, Vikas Khand, Gomti Nagar, Lucknow, Uttar Pradesh 226010, India","https://www.google.co.kr/maps/place/Mayo+Medical+Centre+Pvt.+Ltd.+Best+Neurology+Hospital+in+UP,+NICU,+Top+Hospital+Lucknow+,+Best+I.C.U.+Care/data=!4m5!3m4!1s0x399be377fe6fdcd9:0xae36765553d9b2e5!8m2!3d26.8511471!4d80.996555?authuser=0&hl=en&rclk=1"
Nayati Medicity,Private hospital,"NH 19, Mathura Road, Goverdhan Bypass, Nayati Mor, Chhatikara, Uttar Pradesh 281001, India",https://www.google.co.kr/maps/place/Nayati+Medicity/data=!4m5!3m4!1s0x3973716a5fce7f79:0xf7dee13d1b3fdbbc!8m2!3d27.5343992!4d77.6589024?authuser=0&hl=en&rclk=1
Medanta Lucknow Hospital,Private hospital,"Amar Shaheed Path, Golf City, Pocket - 1, Sector A, Lucknow, Uttar Pradesh 226030, India",https://www.google.co.kr/maps/place/Medanta+Lucknow+Hospital/data=!4m5!3m4!1s0x399bfb82324729c5:0xe9a763e42036ca6!8m2!3d26.7778186!4d80.9856763?authuser=0&hl=en&rclk=1
Dr. Smita Gupta Hospital,Medical clinic,"1/11, Sec-1 Near Bank Of India Behind, Greenwood Apartments, Vardan Khand, B Block, Gomti Nagar, Lucknow, Uttar Pradesh 226010, India",https://www.google.co.kr/maps/place/Dr.+Smita+Gupta+Hospital/data=!4m5!3m4!1s0x399be2d8a86de9dd:0x69dbcd37a74bf306!8m2!3d26.839814!4d81.0030396?authuser=0&hl=en&rclk=1
