Company_Name,Category,Address,Url
Clinic India,Diagnostic center,"48/B, Karl Marx Sarani, Babu Bazar, Khidirpur, Kolkata, West Bengal 700023, India",https://www.google.co.kr/maps/place/Clinic+India/data=!4m5!3m4!1s0x3a0279f01feea869:0xa873deca74be1da1!8m2!3d22.5375798!4d88.3191661?authuser=0&hl=en&rclk=1
Peerless Hospital City Diagnostic Centre,Diagnostic center,"223, Chittaranjan Ave, Kolkata, West Bengal 700006, India",https://www.google.co.kr/maps/place/Peerless+Hospital+City+Diagnostic+Centre/data=!4m5!3m4!1s0x3a0277b552c25b69:0x179071016e1c8191!8m2!3d22.5865772!4d88.3625626?authuser=0&hl=en&rclk=1
Clinic,Medical clinic,"PWW6+H3P, Sarparajpurgabarda, West Bengal, India",https://www.google.co.kr/maps/place/Clinic/data=!4m5!3m4!1s0x39ff50e4d809b73f:0xb1224695b8e3bf59!8m2!3d22.7464574!4d88.9102058?authuser=0&hl=en&rclk=1
Clinic,Medical clinic,"WQM5+G6H, Kaya, West Bengal 743249, India",https://www.google.co.kr/maps/place/Clinic/data=!4m5!3m4!1s0x39f8b4f1cb5581bd:0x55e33bbd244c3136!8m2!3d22.9338044!4d88.7581174?authuser=0&hl=en&rclk=1
Clinic,Medical clinic,"PX63+M4Q, Rajoor, West Bengal 713129, India",https://www.google.co.kr/maps/place/Clinic/data=!4m5!3m4!1s0x39f9bdd9aab2c9d3:0xe51fb10a4d5428cf!8m2!3d23.7117107!4d87.95286?authuser=0&hl=en&rclk=1
Techno India DAMA Healthcare & Medical Centre,Hospital,"LB, 10, Eastern Metropolitan Bypass, Sector III, Bidhannagar, Kolkata, West Bengal 700106, India",https://www.google.co.kr/maps/place/Techno+India+DAMA+Healthcare+%26+Medical+Centre/data=!4m5!3m4!1s0x3a02742df11cabfb:0x18a3aa3cf00f534!8m2!3d22.5593964!4d88.411057?authuser=0&hl=en&rclk=1
Medica North Bengal Clinic | Best Hospital Siliguri,Hospital,"Meghnad Saha Sarani, Ward 2, Pradhan Nagar, Siliguri, West Bengal 734003, India",https://www.google.co.kr/maps/place/Medica+North+Bengal+Clinic+%7C+Best+Hospital+Siliguri/data=!4m5!3m4!1s0x39e441223c6a1589:0xd5500a1eeca28260!8m2!3d26.7295996!4d88.416498?authuser=0&hl=en&rclk=1
Niramoyee Doctors Clinic,Medical clinic,"Nalikul Station Road, Nalikul, Durgapur, West Bengal 712407, India",https://www.google.co.kr/maps/place/Niramoyee+Doctors+Clinic/data=!4m5!3m4!1s0x39f8629e5be295a3:0xde30fbbd707f170d!8m2!3d22.8279288!4d88.1660372?authuser=0&hl=en&rclk=1
"Apollo Clinic, C/0 Sanjeevani Health and Lifestyle Private Limited, Kolkata",Medical clinic,"DLF Galleria, Action Area 1B, Newtown, Kolkata, West Bengal 700156, India","https://www.google.co.kr/maps/place/Apollo+Clinic,+C%2F0+Sanjeevani+Health+and+Lifestyle+Private+Limited,+Kolkata/data=!4m5!3m4!1s0x3a02753de6161d3b:0xe3e772e0b9d8af5d!8m2!3d22.5820561!4d88.4607508?authuser=0&hl=en&rclk=1"
+ CLINIC,Doctor,"Unnamed Road, Lakshmibati, West Bengal 731220, India",https://www.google.co.kr/maps/place/%2B+CLINIC/data=!4m5!3m4!1s0x39fa191864dde253:0x463f55d9d64a9589!8m2!3d24.2479465!4d87.8078571?authuser=0&hl=en&rclk=1
"Poly Clinic, Nightingale Hospital",Medical clinic,"11, Shakespeare Sarani Rd, Kankaria Estates, Park Street area, Kolkata, West Bengal 700071, India","https://www.google.co.kr/maps/place/Poly+Clinic,+Nightingale+Hospital/data=!4m5!3m4!1s0x3a027710cdaab9f1:0x94d9ab6934deec51!8m2!3d22.5460981!4d88.351403?authuser=0&hl=en&rclk=1"
Apollo Clinic,Medical clinic,"986/3, Jessore Road Between Lake Town, &, Jessore Rd, Bangur Avenue, on, Kolkata, West Bengal 700055, India",https://www.google.co.kr/maps/place/Apollo+Clinic/data=!4m5!3m4!1s0x3a0275ff3a19b1e7:0xacccb9a896dd2aed!8m2!3d22.6088013!4d88.4068644?authuser=0&hl=en&rclk=1
Doctor Sud’s Clinic,Medical diagnostic imaging center,"H-22, Serampore Housing Estate, Mahesh, Rishra, Serampore, West Bengal 712248, India",https://www.google.co.kr/maps/place/Doctor+Sud%E2%80%99s+Clinic/data=!4m5!3m4!1s0x39f89b14ea24eaf7:0x14eda547ff77952e!8m2!3d22.7321576!4d88.3467393?authuser=0&hl=en&rclk=1
"The Mission Hospital , Durgapur",Private hospital,"Immon Kalyan Sarani, Sector IIC, Bidhannagar, Durgapur, West Bengal 713212, India","https://www.google.co.kr/maps/place/The+Mission+Hospital+,+Durgapur/data=!4m5!3m4!1s0x39f770441b6a2cb7:0xc7c4abf33d85de56!8m2!3d23.5200737!4d87.3555012?authuser=0&hl=en&rclk=1"
"Bhagirathi Neotia Woman and Child Care Centre, Rawdon Street",Children's hospital,"2, Rawdon St, Mullick Bazar, Park Street area, Kolkata, West Bengal 700017, India","https://www.google.co.kr/maps/place/Bhagirathi+Neotia+Woman+and+Child+Care+Centre,+Rawdon+Street/data=!4m5!3m4!1s0x3a027718d597ca7d:0x23aec10b01fd1d8!8m2!3d22.5473972!4d88.3592554?authuser=0&hl=en&rclk=1"
AMRI Medical Centre - Southern Avenue,Medical clinic,"No. 97 A, Southern Ave, Opposite Lake Stadium, Lake Market, Kalighat, Kolkata, West Bengal 700029, India",https://www.google.co.kr/maps/place/AMRI+Medical+Centre+-+Southern+Avenue/data=!4m5!3m4!1s0x3a0270cd9d6dead9:0xcc91a02a0e43f2bf!8m2!3d22.5133824!4d88.3526191?authuser=0&hl=en&rclk=1
Seva Clinic,Medical clinic,"B-3/17, B4, Block B, Kalyani, West Bengal 741235, India",https://www.google.co.kr/maps/place/Seva+Clinic/data=!4m5!3m4!1s0x39f894c062118813:0xe7e7f3a52674bfe7!8m2!3d22.97076!4d88.4268492?authuser=0&hl=en&rclk=1
Jogomaya Poly Clinic,Medical clinic,"123/5, G.L.T Road, B.T. Road, Ananya, Airadaha, Baranagar, Kolkata, West Bengal 700036, India",https://www.google.co.kr/maps/place/Jogomaya+Poly+Clinic/data=!4m5!3m4!1s0x39f89dba5f07861f:0xda71a0146f84efae!8m2!3d22.6457537!4d88.3750406?authuser=0&hl=en&rclk=1
MONOBITAN POLY CLINIC,Medical clinic,"Domjur - Bauria Rd, Fokor Dokan, Baruipara, Domjur, Howrah, West Bengal 711405, India",https://www.google.co.kr/maps/place/MONOBITAN+POLY+CLINIC/data=!4m5!3m4!1s0x39f881ea7de56a59:0xc02fa857b798f807!8m2!3d22.6309229!4d88.2269828?authuser=0&hl=en&rclk=1
The Mission Hospital Asansol Clinic,Medical clinic,"BNR More, Oppo. Ravindra Bhavan, Apcar Garden Main Rd, Apcar Garden, Asansol, West Bengal 713301, India",https://www.google.co.kr/maps/place/The+Mission+Hospital+Asansol+Clinic/data=!4m5!3m4!1s0x39f71f1b6ca08d45:0xfc14aa8b73f3805c!8m2!3d23.693218!4d86.9539648?authuser=0&hl=en&rclk=1
Apollo Clinic Taratala,Medical clinic,"Building No, 26, Diamond Harbour Rd, Sahapur, Taratala, Kolkata, West Bengal 700038, India",https://www.google.co.kr/maps/place/Apollo+Clinic+Taratala/data=!4m5!3m4!1s0x3a027a060cb735bf:0x218056fd8d8bcdb0!8m2!3d22.511067!4d88.3218965?authuser=0&hl=en&rclk=1
"Apollo Clinic, Vivekananda Road",Medical diagnostic imaging center,"6, Vivekananda Road, Ganesh Talkies, Raja Katra, Singhi Bagan, Jorasanko, Kolkata, West Bengal 700007, India","https://www.google.co.kr/maps/place/Apollo+Clinic,+Vivekananda+Road/data=!4m5!3m4!1s0x3a027739dc506219:0x8b01eec3863e8501!8m2!3d22.5862559!4d88.3585511?authuser=0&hl=en&rclk=1"
Desun Hospital Siliguri,Hospital,"beside Medical College, Siliguri, West Bengal 734012, India",https://www.google.co.kr/maps/place/Desun+Hospital+Siliguri/data=!4m5!3m4!1s0x39e444208f285215:0x1febe8cb91069099!8m2!3d26.6856256!4d88.3960327?authuser=0&hl=en&rclk=1
Apollo Clinic,Medical clinic,"Apollo Building Complex English Bazar, Abhirampur Market, West Bengal 732103, India",https://www.google.co.kr/maps/place/Apollo+Clinic/data=!4m5!3m4!1s0x39fafdafca0d22fb:0x190f666ff5130bda!8m2!3d24.9904868!4d88.1445759?authuser=0&hl=en&rclk=1
DESUN Hospital,Private hospital,"Desun More, 720, Eastern Metropolitan Bypass, Golpark, Sector I, Kasba, Kolkata, West Bengal 700107, India",https://www.google.co.kr/maps/place/DESUN+Hospital/data=!4m5!3m4!1s0x3a0273ffba333285:0xe26fc1c3cb8a0d70!8m2!3d22.5146288!4d88.4032479?authuser=0&hl=en&rclk=1
New Clinic,Medical clinic,"45G8+FVM, Madhunia, West Bengal 742187, India",https://www.google.co.kr/maps/place/New+Clinic/data=!4m5!3m4!1s0x39f98002176ab7f7:0x95ac9333d05ab016!8m2!3d24.1262173!4d88.1671715?authuser=0&hl=en&rclk=1
Apollo Clinic,Diagnostic center,"Annada Enclave, 88, Pilkhana Rd, Ranibagan, Berhampore, West Bengal 742101, India",https://www.google.co.kr/maps/place/Apollo+Clinic/data=!4m5!3m4!1s0x39f97db82b661fcf:0x84c198622b2e1ea5!8m2!3d24.100119!4d88.256683?authuser=0&hl=en&rclk=1
Medicare Clinic Pvt Ltd,Hospital,"138, Grand Trunk Road, South, Shibpur, Howrah, West Bengal 711102, India",https://www.google.co.kr/maps/place/Medicare+Clinic+Pvt+Ltd/data=!4m5!3m4!1s0x3a0278bd07a563ab:0xdf8e3d462771323!8m2!3d22.5742106!4d88.3282243?authuser=0&hl=en&rclk=1
Dr. Subhomoy Mukhopadhyay,Medical clinic,"Nilkantha Sarkar St, Surpara, Bagbazar, Sukhsanatantala, Chandannagar, West Bengal 712136, India",https://www.google.co.kr/maps/place/Dr.+Subhomoy+Mukhopadhyay/data=!4m5!3m4!1s0x39f891a325a57f9d:0x32587ad8b73157cd!8m2!3d22.8628549!4d88.3658481?authuser=0&hl=en&rclk=1
Vertigo & Deafness Clinic,Medical clinic,"BJ-252, BJ Block, Sector II, Bidhannagar, Kolkata, West Bengal 700091, India",https://www.google.co.kr/maps/place/Vertigo+%26+Deafness+Clinic/data=!4m5!3m4!1s0x3a027595b5dd40a9:0xb8c5bb74ca9c8c45!8m2!3d22.5899156!4d88.4267089?authuser=0&hl=en&rclk=1
Apollo Clinic,Medical clinic,"DC Block, Office Tower City Centre, Sector 1, Bidhannagar, Kolkata, West Bengal 700064, India",https://www.google.co.kr/maps/place/Apollo+Clinic/data=!4m5!3m4!1s0x3a0275dd925bf6d1:0x6fb5747470fd36f3!8m2!3d22.58731!4d88.4077604?authuser=0&hl=en&rclk=1
Basushree doctors clinic,Medical clinic,"R.B.Ghosh Rd, Khosbagan, Burdwan, West Bengal 713101, India",https://www.google.co.kr/maps/place/Basushree+doctors+clinic/data=!4m5!3m4!1s0x39f849deab822399:0x1a25ba4d2f919583!8m2!3d23.2420046!4d87.8609473?authuser=0&hl=en&rclk=1
Apollo Clinic Narendrapur,Medical clinic,"Adyasakti Complex, 507, NSC Bose Road, Narendrapur Opp. Mandir Gate, Beside ICICI Bank, Narendrapur, Kolkata, West Bengal 700103, India",https://www.google.co.kr/maps/place/Apollo+Clinic+Narendrapur/data=!4m5!3m4!1s0x3a02718d087d094f:0xdca6595fced6e205!8m2!3d22.443202!4d88.3945217?authuser=0&hl=en&rclk=1
Peerless Hospital,General hospital,"360, Pancha Sayar Rd, Sahid Smirity Colony, Pancha Sayar, Kolkata, West Bengal 700094, India",https://www.google.co.kr/maps/place/Peerless+Hospital/data=!4m5!3m4!1s0x3a0271652e763a03:0x93ab7f119f9d152b!8m2!3d22.4806837!4d88.3941722?authuser=0&hl=en&rclk=1
Apollo Clinic Om Tower,Medical clinic,"Om Tower, B.T.Road, 36C, SH 1, State Hwy 1, CIT, Satchasi Para, Kolkata, West Bengal 700002, India",https://www.google.co.kr/maps/place/Apollo+Clinic+Om+Tower/data=!4m5!3m4!1s0x39f89d747aa43f4d:0xf3caac008e9c6337!8m2!3d22.6266684!4d88.3784459?authuser=0&hl=en&rclk=1
Apollo Clinic Newtown,Medical clinic,"DLF Galleria, BG Block AA 1B, Street Number 124, Action Area I, Newtown, Kolkata, West Bengal 700156, India",https://www.google.co.kr/maps/place/Apollo+Clinic+Newtown/data=!4m5!3m4!1s0x3a02753dc1e1e0ed:0xe15266fe069dc633!8m2!3d22.5819245!4d88.460701?authuser=0&hl=en&rclk=1
Apollo Clinic Sodepur,Medical clinic,"16, Barrackpore Trunk Rd, Sukchar, Girja, Sodepur, Kolkata, West Bengal 700115, India",https://www.google.co.kr/maps/place/Apollo+Clinic+Sodepur/data=!4m5!3m4!1s0x39f89b88481eb07f:0xb0d7c40f40257dfb!8m2!3d22.7036143!4d88.3746037?authuser=0&hl=en&rclk=1
Belle Vue Hospital,Hospital,"AA II, Newtown, New Town, West Bengal 700135, India",https://www.google.co.kr/maps/place/Belle+Vue+Hospital/data=!4m5!3m4!1s0x3a020ac6a4d3de45:0x56d55fb2482ccdfc!8m2!3d22.5837596!4d88.4928792?authuser=0&hl=en&rclk=1
Bethuadahari Rural Hospital,Government hospital,"Bethuadahari hospital road, Bethuadahari, West Bengal, India, PIN, 741126, India",https://www.google.co.kr/maps/place/Bethuadahari+Rural+Hospital/data=!4m5!3m4!1s0x39f9124b657f56ab:0x4866fb567832a09!8m2!3d23.6154926!4d88.383204?authuser=0&hl=en&rclk=1
We Care Hospital,Private hospital,"101/1/Z/Z/M, R S, RS Verma Rd, Uttarpara, West Bengal 712258, India",https://www.google.co.kr/maps/place/We+Care+Hospital/data=!4m5!3m4!1s0x39f89cde645a7371:0x733ff38113918bfc!8m2!3d22.6641075!4d88.3413578?authuser=0&hl=en&rclk=1
CHENNAI APOLLO REGIONAL OFFICE,Medical clinic,"77, Elliot Rd, Taltala, Kolkata, West Bengal 700016, India",https://www.google.co.kr/maps/place/CHENNAI+APOLLO+REGIONAL+OFFICE/data=!4m5!3m4!1s0x3a02771cc51e8cf3:0x9c24dfb82d35939e!8m2!3d22.5511773!4d88.3597849?authuser=0&hl=en&rclk=1
Dr.Subrata's Clinic,Doctor,"Bagmore,P.O Kanchrapara Dt.24pgs(N) Pin 743145 West Bengal, West Bengal, India",https://www.google.co.kr/maps/place/Dr.Subrata's+Clinic/data=!4m5!3m4!1s0x39f89451703c5675:0x80ec4f56f1b64d0f!8m2!3d22.9376162!4d88.43485?authuser=0&hl=en&rclk=1
Seba Hospital,Hospital,"DD-35, 35, 2nd Avenue, DD Block, Sector 1, Bidhannagar, Kolkata, West Bengal 700064, India",https://www.google.co.kr/maps/place/Seba+Hospital/data=!4m5!3m4!1s0x3a0275c1513d0b19:0xb8fddcb7be0f6e2f!8m2!3d22.590932!4d88.4110909?authuser=0&hl=en&rclk=1
"আমরি হাসপাতাল, মুকুন্দপুর",Private hospital,"230 Pano Road, behind Metro Cash n Carry, Purba Jadavpur, Mukundapur, Kolkata, West Bengal 700099, India","https://www.google.co.kr/maps/place/%E0%A6%86%E0%A6%AE%E0%A6%B0%E0%A6%BF+%E0%A6%B9%E0%A6%BE%E0%A6%B8%E0%A6%AA%E0%A6%BE%E0%A6%A4%E0%A6%BE%E0%A6%B2,+%E0%A6%AE%E0%A7%81%E0%A6%95%E0%A7%81%E0%A6%A8%E0%A7%8D%E0%A6%A6%E0%A6%AA%E0%A7%81%E0%A6%B0/data=!4m5!3m4!1s0x3a0273e010a87231:0x28450505db01cf79!8m2!3d22.4938956!4d88.4021578?authuser=0&hl=en&rclk=1"
Apollo Clinic Thakurpukur,Diagnostic center,"No. 289, Diamond Harbour Rd, Mukund Das Colony, Thakurpukur, Kolkata, West Bengal 700063, India",https://www.google.co.kr/maps/place/Apollo+Clinic+Thakurpukur/data=!4m5!3m4!1s0x3a027af2b2aecb91:0xf207026adaee0b48!8m2!3d22.4594752!4d88.3067519?authuser=0&hl=en&rclk=1
Monobitan Poly Clinic,Diagnostic center,"Manyada Nibas, Fokor Dokan, Howrah - Bargachia - Amta Rd, near Canara Bank, Domjur, West Bengal 711405, India",https://www.google.co.kr/maps/place/Monobitan+Poly+Clinic/data=!4m5!3m4!1s0x39f881b898fbafbd:0xb0f407d0b9a3e1d!8m2!3d22.634409!4d88.22043?authuser=0&hl=en&rclk=1
RD ENT CENTRE,Otolaryngology clinic,"3/1A, Manasatala Ln, Khidirpur, Kolkata, West Bengal 700023, India",https://www.google.co.kr/maps/place/RD+ENT+CENTRE/data=!4m5!3m4!1s0x3a02777cd5aa8c57:0x33a21bc391c664b5!8m2!3d22.5387395!4d88.325377?authuser=0&hl=en&rclk=1
