Company_Name,Category,Address,Url
BABA FITNESS STUDIO & POWER YOGA,Fitness center,"Hospital Palem, Kalavagadda Colony, Tadipatri, Andhra Pradesh 515411, India",https://www.google.co.kr/maps/place/BABA+FITNESS+STUDIO+%26+POWER+YOGA/data=!4m5!3m4!1s0x3bb41cb1172f4bf1:0x850ca6955841d720!8m2!3d14.9091413!4d78.003444?authuser=0&hl=en&rclk=1
Fitness hub,Gym,"Opp:canara bank, old hero showroom upstairs tadipatri upstairs maharaj hotel, Tadipatri, Andhra Pradesh 515411, India",https://www.google.co.kr/maps/place/Fitness+hub/data=!4m5!3m4!1s0x3bb41d9b8f13cccd:0xf922548089777053!8m2!3d14.9099057!4d77.9971573?authuser=0&hl=en&rclk=1
Soyas Nutrition Center,Gym,"41, 1st floor, Municipal Complex,, Anantapur, Andhra Pradesh 515001, India",https://www.google.co.kr/maps/place/Soyas+Nutrition+Center/data=!4m5!3m4!1s0x3bb41cae1a5d8f17:0x517c405d5eedb692!8m2!3d14.908978!4d78.0087447?authuser=0&hl=en&rclk=1
SRI KRUSHNA OSHO YOGASRAMAM,Gym,"V2R7+F83, Krishna Puram, Tadipatri, Andhra Pradesh 515411, India",https://www.google.co.kr/maps/place/SRI+KRUSHNA+OSHO+YOGASRAMAM/data=!4m5!3m4!1s0x3bb403a040d47299:0xa903a45074442eb!8m2!3d14.8911419!4d78.0133041?authuser=0&hl=en&rclk=1
Tadipatri - 4km,Gym,"Putluru Road, Andhra Pradesh 515414, India",https://www.google.co.kr/maps/place/Tadipatri+-+4km/data=!4m5!3m4!1s0x3bb403356e1f6d35:0xf02da6f247489336!8m2!3d14.878328!4d77.9968733?authuser=0&hl=en&rclk=1
Ramula Swami,Gym,"WV7R+8Q6, Somana palli, Andhra Pradesh 515445, India",https://www.google.co.kr/maps/place/Ramula+Swami/data=!4m5!3m4!1s0x3bb6a7565dd8211d:0x762006329bf0d7bf!8m2!3d14.9132973!4d77.891897?authuser=0&hl=en&rclk=1
Golden Gym,Gym,"Subhash Rd, Near Bank of India, Old Town, Anantapur, Andhra Pradesh 515001, India",https://www.google.co.kr/maps/place/Golden+Gym/data=!4m5!3m4!1s0x3bb14adfab163e5f:0x442e3be94f6a3011!8m2!3d14.6770351!4d77.6050159?authuser=0&hl=en&rclk=1
SWEATOUT HEALTH & FITNESS,Gym,"Anantapur,, Srinagar Colony, Anantapur, Andhra Pradesh 515002, India",https://www.google.co.kr/maps/place/SWEATOUT+HEALTH+%26+FITNESS/data=!4m5!3m4!1s0x3bb14aed3cb2bfbd:0x2e85882e9107f245!8m2!3d14.6640801!4d77.585991?authuser=0&hl=en&rclk=1
Stones Fitness Studio,Gym,"15/777 4th Floor, above Hangouts Cafe, Kamalanagar, Anantapur, Andhra Pradesh 515001, India",https://www.google.co.kr/maps/place/Stones+Fitness+Studio/data=!4m5!3m4!1s0x3bb14adbde096173:0xff73c9b29d82ccb3!8m2!3d14.6814476!4d77.6016883?authuser=0&hl=en&rclk=1
Stayfit Health & Fitness World Pvt Ltd,Gym,"10-322-1, R.R Complex, Subash Rd, Adimurthy Nagar, Gulzarpet, Anantapur, Andhra Pradesh 515001, India",https://www.google.co.kr/maps/place/Stayfit+Health+%26+Fitness+World+Pvt+Ltd/data=!4m5!3m4!1s0x3bb14bfd5186ddc5:0x67801720d2cb1aec!8m2!3d14.6797005!4d77.5980016?authuser=0&hl=en&rclk=1
PULSE FITNESS STUDIO,Gym,"opp. cement godown, Vidyuth Nagar, Housing Board Colony, Anantapur, Andhra Pradesh 515001, India",https://www.google.co.kr/maps/place/PULSE+FITNESS+STUDIO/data=!4m5!3m4!1s0x3bb14b2d10d16bd3:0xcec507078bdc303c!8m2!3d14.6635883!4d77.5954271?authuser=0&hl=en&rclk=1
GOLDEN GYM,Gym,"Balaji Towers Bus Stop near Iron Bridge, Surya Nagar, Old Town, Anantapur, Andhra Pradesh 515001, India",https://www.google.co.kr/maps/place/GOLDEN+GYM/data=!4m5!3m4!1s0x3bb14b1fddfe09bf:0x3c1a87c88d434ceb!8m2!3d14.677159!4d77.6048902?authuser=0&hl=en&rclk=1
Smart Gym,Gym,"10, Subash Rd, Adimurthy Nagar, Gulzarpet, Anantapur, Andhra Pradesh 515001, India",https://www.google.co.kr/maps/place/Smart+Gym/data=!4m5!3m4!1s0x3bb14bcf480e067f:0x9234df82b9e6cefe!8m2!3d14.6811499!4d77.5954179?authuser=0&hl=en&rclk=1
Ramakrishna Vyayama mandali,Gym,"Nandyal Bus Stand Rd, Arundhi Nagar, Telugu Peta, Nandyala, Andhra Pradesh 518501, India",https://www.google.co.kr/maps/place/Ramakrishna+Vyayama+mandali/data=!4m5!3m4!1s0x3bb5ad57515264c7:0x16a72030b1fbe67d!8m2!3d15.4907548!4d78.4805001?authuser=0&hl=en&rclk=1
GYM & YOGA,Gym,"Bhyravanagar St, Adarsh Nagar, Anantapur, Andhra Pradesh 515002, India",https://www.google.co.kr/maps/place/GYM+%26+YOGA/data=!4m5!3m4!1s0x3bb14b371f0dba55:0xd2c05bbaac5fd3b3!8m2!3d14.6510225!4d77.6048057?authuser=0&hl=en&rclk=1
Arnold Gym For Ladies And Gents,Gym,"PHX4+433, Ward 20, Nadimpalli, Kadapa, Andhra Pradesh 516360, India",https://www.google.co.kr/maps/place/Arnold+Gym+For+Ladies+And+Gents/data=!4m5!3m4!1s0x3bb478a80c3e730b:0x8d640fc00bd76a1f!8m2!3d14.7477587!4d78.5551781?authuser=0&hl=en&rclk=1
Dynamic Gym,Gym,"Lalitanagar,, J V R Nagar, Nandyala, Andhra Pradesh 518502, India",https://www.google.co.kr/maps/place/Dynamic+Gym/data=!4m5!3m4!1s0x3bb452ba3cbfc0b9:0x9309eb34e9ba4dd2!8m2!3d15.466847!4d78.4915021?authuser=0&hl=en&rclk=1
Pradeep Taekwondo Class Coching,Gym,"tank, 3rd Cross Rd, Aravinda Nagar, Maruthi Nagar, Anantapur, Andhra Pradesh 515001, India",https://www.google.co.kr/maps/place/Pradeep+Taekwondo+Class+Coching/data=!4m5!3m4!1s0x3bb14aefefc6c49f:0x50b2ff4c072a1f8e!8m2!3d14.6680483!4d77.5929981?authuser=0&hl=en&rclk=1
STSN Gym,Gym,"45G3+R6R, STSN Govt. Degree College, Kadiri, Andhra Pradesh 515591, India",https://www.google.co.kr/maps/place/STSN+Gym/data=!4m5!3m4!1s0x3bb3ce544f11d489:0x71f64a7b4c9dc3f8!8m2!3d14.1271157!4d78.153002?authuser=0&hl=en&rclk=1
Arnold Gym Point,Gym,"Zinna Rd, Nadimpalli, Proddatur, Andhra Pradesh 516360, India",https://www.google.co.kr/maps/place/Arnold+Gym+Point/data=!4m5!3m4!1s0x3bb478a83cb0eefd:0x519ce568e114dbb8!8m2!3d14.7456868!4d78.5569141?authuser=0&hl=en&rclk=1
Ranadheer's Fitness Centre,Gym,"MJV2+7CV, Yerranela Kottala, Anantapur, Andhra Pradesh 515001, India",https://www.google.co.kr/maps/place/Ranadheer's+Fitness+Centre/data=!4m5!3m4!1s0x3bb14bfe8e10efd3:0xcaa72a46242b2c21!8m2!3d14.6932311!4d77.6010599?authuser=0&hl=en&rclk=1
Ytr Fitness,Gym,"Pothulanagepalle, Andhra Pradesh 515651, India",https://www.google.co.kr/maps/place/Ytr+Fitness/data=!4m5!3m4!1s0x3bb142bb171c1b37:0xa1ef8d90be16ca7b!8m2!3d14.3509884!4d77.7300264?authuser=0&hl=en&rclk=1
Jaya fit world gym,Gym,"near : bustand, Banaganapalli, Andhra Pradesh 518124, India",https://www.google.co.kr/maps/place/Jaya+fit+world+gym/data=!4m5!3m4!1s0x3bb4372f7a879c55:0x4f21375a9ee061c6!8m2!3d15.3212109!4d78.2202534?authuser=0&hl=en&rclk=1
