Company_Name,Category,Address,Url
KD Fitness,Gym,"Mahatma Gandhi Road, Tezu, Arunachal Pradesh 792001, India",https://www.google.co.kr/maps/place/KD+Fitness/data=!4m5!3m4!1s0x373e659fe4c98e2b:0xba550d123ba18871!8m2!3d27.927483!4d96.1638726?authuser=0&hl=en&rclk=1
M Square Fitness Club,Gym,"Pappu Nallah, Naharlagun, Arunachal Pradesh 791110",https://www.google.co.kr/maps/place/M+Square+Fitness+Club/data=!4m5!3m4!1s0x37440136b75f44af:0x2e0562729857b677!8m2!3d27.1009019!4d93.670819?authuser=0&hl=en&rclk=1
Arunachal dance & fitness studio ( Rk revolution ),Fitness center,"Cona County, Ziro, 791120",https://www.google.co.kr/maps/place/Arunachal+dance+%26+fitness+studio+(+Rk+revolution+)/data=!4m5!3m4!1s0x3741611381967cb3:0x4ac264af45d97120!8m2!3d27.5408715!4d93.810608?authuser=0&hl=en&rclk=1
PandP unisex gym,Gym,"Tani colony, C- Sector, Naharlagun, Arunachal Pradesh 791110",https://www.google.co.kr/maps/place/PandP+unisex+gym/data=!4m5!3m4!1s0x374401ffbed55d31:0xea9123f0253ce3e6!8m2!3d27.1040339!4d93.6870462?authuser=0&hl=en&rclk=1
Tirap Fitness Club,Gym,"XGQ4+4R8, Khonsa, Arunachal Pradesh 792130, India",https://www.google.co.kr/maps/place/Tirap+Fitness+Club/data=!4m5!3m4!1s0x3738cc3a4ee811d3:0xfaaf7b0ac894085!8m2!3d26.9877903!4d95.5070723?authuser=0&hl=en&rclk=1
Fitness freak gym,Gym,"Near national highway 415, gohpurtinali Gohpur, tinali, Itanagar, Arunachal Pradesh 791113",https://www.google.co.kr/maps/place/Fitness+freak+gym/data=!4m5!3m4!1s0x374407744fc171ed:0xfbc15cdc736bc1a5!8m2!3d27.0751838!4d93.5927678?authuser=0&hl=en&rclk=1
KPK VILLA,Gym,"Kingya Charali,, Namsai, Arunachal Pradesh 792103, India",https://www.google.co.kr/maps/place/KPK+VILLA/data=!4m5!3m4!1s0x373efaf37b608ca1:0xea0fcd0a544b89c5!8m2!3d27.6537495!4d95.8755297?authuser=0&hl=en&rclk=1
JBN GYM,Gym,"Lama camp road opposite, government.secondary. school, Telluliang, Tezu, Arunachal Pradesh 792001, India",https://www.google.co.kr/maps/place/JBN+GYM/data=!4m5!3m4!1s0x373e671e42d6882d:0x2379c992b4e31f3!8m2!3d27.9271255!4d96.1416922?authuser=0&hl=en&rclk=1
Abrasumente Academy MMA & Fitness,Martial arts club,"Top Floor, Aruni Complex, near APST Bus Station, Ganga, Itanagar, Arunachal Pradesh 791113",https://www.google.co.kr/maps/place/Abrasumente+Academy+MMA+%26+Fitness/data=!4m5!3m4!1s0x37440736b08e72cd:0xb7b526e0697d6545!8m2!3d27.0871233!4d93.6103245?authuser=0&hl=en&rclk=1
I National GYM,Fitness center,"near sani mandir, E-SECTOR, Cona County, Naharlagun, Arunachal Pradesh 791110",https://www.google.co.kr/maps/place/I+National+GYM/data=!4m5!3m4!1s0x3744013bc43e1821:0xc674d70c8050163a!8m2!3d27.1056378!4d93.6943765?authuser=0&hl=en&rclk=1
Vivekananda Centre of Excellence,Gym,"A - Sector, Naharlagun, Arunachal Pradesh",https://www.google.co.kr/maps/place/Vivekananda+Centre+of+Excellence/data=!4m5!3m4!1s0x3744006227966bab:0x471f76b44183a416!8m2!3d27.1073284!4d93.7046996?authuser=0&hl=en&rclk=1
Tezu Sports Stadium,Gym,"W4JW+VP3, Tezu, Arunachal Pradesh 792001, India",https://www.google.co.kr/maps/place/Tezu+Sports+Stadium/data=!4m5!3m4!1s0x373e67b1cfe38d0f:0x231342ac73516416!8m2!3d27.9321302!4d96.1468086?authuser=0&hl=en&rclk=1
Gym center,Gym,"4R9F+42W, Roing, Arunachal Pradesh 792110, India",https://www.google.co.kr/maps/place/Gym+center/data=!4m5!3m4!1s0x373e494ed25cac3b:0x9ba220586e49f87d!8m2!3d28.1178597!4d95.8225911?authuser=0&hl=en&rclk=1
Victorias Gym,Gym,"Vivek Vihar Government Colony, Aalo, Itanagar, Arunachal Pradesh 791113",https://www.google.co.kr/maps/place/Victorias+Gym/data=!4m5!3m4!1s0x374407b54f1b47c1:0xb8deae92dee21c02!8m2!3d27.0810955!4d93.6023542?authuser=0&hl=en&rclk=1
Topu Tagin Gym,Gym,"Chimpu Jollang Road, near TT Construction, Itanagar, Arunachal Pradesh 791113",https://www.google.co.kr/maps/place/Topu+Tagin+Gym/data=!4m5!3m4!1s0x374407f49479fbaf:0xb416d986bdf21911!8m2!3d27.0707571!4d93.6154877?authuser=0&hl=en&rclk=1
The Art of Living Yoga Centre Oyan,Fitness center,"V8M8+MHH, Sile, Arunachal Pradesh 791102, India",https://www.google.co.kr/maps/place/The+Art+of+Living+Yoga+Centre+Oyan/data=!4m5!3m4!1s0x373f9f5d7a076f5f:0xee4ddf858c5ed998!8m2!3d27.8841984!4d95.3164823?authuser=0&hl=en&rclk=1
N.T Batminton Club,Gym,"Telluliang, Tezu, Arunachal Pradesh 792001, India",https://www.google.co.kr/maps/place/N.T+Batminton+Club/data=!4m5!3m4!1s0x373e642a497d2b8f:0xe1b2c8bc4dd10b1e!8m2!3d27.9240011!4d96.1550092?authuser=0&hl=en&rclk=1
WAII International fitness centre,Gym,"Near VIP Road, Cona County, Shannan, 791111",https://www.google.co.kr/maps/place/WAII+International+fitness+centre/data=!4m5!3m4!1s0x37440783ed87c6fb:0x3aa2801f8a14c532!8m2!3d27.0946056!4d93.6153204?authuser=0&hl=en&rclk=1
"VIGEN India Centre, Itanagar",Gym,"3JX8+WFC, Niti Vihar, Sultanpuri, Deli, Delhi 791111","https://www.google.co.kr/maps/place/VIGEN+India+Centre,+Itanagar/data=!4m5!3m4!1s0x374407a3dadf059f:0xb3da508a985d5c12!8m2!3d27.0998191!4d93.6161488?authuser=0&hl=en&rclk=1"
CK Bliss,Yoga studio,"F sector, near Green Mount School, Itanagar, Arunachal Pradesh 791113",https://www.google.co.kr/maps/place/CK+Bliss/data=!4m5!3m4!1s0x374407b04c7296db:0xeda59996e11039f4!8m2!3d27.0893874!4d93.6100135?authuser=0&hl=en&rclk=1
Womens And Childrens Club,Gym,"4PQQ+6C6, Khimiyong, Arunachal Pradesh 792120, India",https://www.google.co.kr/maps/place/Womens+And+Childrens+Club/data=!4m5!3m4!1s0x373ed5f0655bb617:0x90c6afc47e54cf5!8m2!3d27.1380427!4d95.7385131?authuser=0&hl=en&rclk=1
The Red Lion's Gym,Gym,"MV9J+2F9, 2nd Mile, Arunachal Pradesh 792103, India",https://www.google.co.kr/maps/place/The+Red+Lion's+Gym/data=!4m5!3m4!1s0x373efbe7368aab0f:0x92e5671dcbb6d1c6!8m2!3d27.6675319!4d95.881223?authuser=0&hl=en&rclk=1
hasmukh Play Ground,Gym,"C2FH+QCQ, Oil India Housing Complex, Arunachal Pradesh 792122, India",https://www.google.co.kr/maps/place/hasmukh+Play+Ground/data=!4m5!3m4!1s0x373eebb5c44553a7:0xbce42f7fdad51d19!8m2!3d27.4244719!4d96.0286232?authuser=0&hl=en&rclk=1
Dhamala Gym Centre,Gym,"Phillobari, bijulibon, Mailapung No.1, Assam 786160, India",https://www.google.co.kr/maps/place/Dhamala+Gym+Centre/data=!4m5!3m4!1s0x373ee14ea183d4f5:0x23671fe8d0842138!8m2!3d27.5164552!4d95.7391606?authuser=0&hl=en&rclk=1
Dhama Aruna vipasanna center,Gym,"HX57+Q3P, Piyong, Arunachal Pradesh 792103, India",https://www.google.co.kr/maps/place/Dhama+Aruna+vipasanna+center/data=!4m5!3m4!1s0x373eef6d0157d59f:0xedf8776b9676fb9d!8m2!3d27.559457!4d95.9627025?authuser=0&hl=en&rclk=1
Shape up aerobic studio,Gym,"NH415, 791111",https://www.google.co.kr/maps/place/Shape+up+aerobic+studio/data=!4m5!3m4!1s0x37440717602088ab:0x4459fb6dd801b552!8m2!3d27.0747107!4d93.5929735?authuser=0&hl=en&rclk=1
RIK FITNESS CORNER,Gym,"NH415, 791109",https://www.google.co.kr/maps/place/RIK+FITNESS+CORNER/data=!4m5!3m4!1s0x3743ff8aa81a04c7:0x8fdae642ceba0b81!8m2!3d27.1291687!4d93.7326907?authuser=0&hl=en&rclk=1
Lahkar's Fitness Hub,Gym,"2nd Floor Goyari Complex, Mazbat, Assam 784507, India",https://www.google.co.kr/maps/place/Lahkar's+Fitness+Hub/data=!4m5!3m4!1s0x375b4728108d007b:0x56ad2ae1593d48a!8m2!3d26.7922381!4d92.2917642?authuser=0&hl=en&rclk=1
