Company_Name,Category,Address,Url
"Human Fitness - Best Gym In Chandigarh , Gyms in Chandigarh",Gym,"S.C.O, 34-37, Madhya Marg, 9-D, Chandigarh, 160009, India","https://www.google.co.kr/maps/place/Human+Fitness+-+Best+Gym+In+Chandigarh+,+Gyms+in+Chandigarh/data=!4m5!3m4!1s0x390fed9a4c9b5955:0x73c76c2bafe8fe78!8m2!3d30.7451164!4d76.787945?authuser=0&hl=en&rclk=1"
BodyZone Fitness & Spa Pvt. Ltd. | Best Gym in Chandigarh,Gym,"S.C.O. 180-187, Second Floor, Madhya Marg, Sector 9, C, Chandigarh 160009, India",https://www.google.co.kr/maps/place/BodyZone+Fitness+%26+Spa+Pvt.+Ltd.+%7C+Best+Gym+in+Chandigarh/data=!4m5!3m4!1s0x390fed0d7b5aa673:0xe158438b1f84c5e5!8m2!3d30.7413219!4d76.7908846?authuser=0&hl=en&rclk=1
Bolt Gym and Spa - Best Gym in Chandigarh,Fitness center,"SCO 2465-66, First & Second Floor, 22C, Chandigarh, 160022, India",https://www.google.co.kr/maps/place/Bolt+Gym+and+Spa+-+Best+Gym+in+Chandigarh/data=!4m5!3m4!1s0x390feda4560207a5:0xf8cba65ab62da565!8m2!3d30.727617!4d76.7696912?authuser=0&hl=en&rclk=1
Immune Fitness,Gym,"SCO 143-144 (First and Second Floor, Madhya Marg, Sector 9C, Chandigarh, 160009, India",https://www.google.co.kr/maps/place/Immune+Fitness/data=!4m5!3m4!1s0x390fed0aabf6c481:0x5f1e050989d1e39e!8m2!3d30.7422215!4d76.7899876?authuser=0&hl=en&rclk=1
"Burn Gym, Sec 8, Chandigarh",Gym,"1st Floor, SCO 62, 65, Madhya Marg, Sector 8C, Chandigarh, 160009, India","https://www.google.co.kr/maps/place/Burn+Gym,+Sec+8,+Chandigarh/data=!4m5!3m4!1s0x390fed1237470105:0x7f645ffaa7af0f93!8m2!3d30.7390649!4d76.7936501?authuser=0&hl=en&rclk=1"
Body Scapes,Gym,"SCO 100-101, 4th Floor, Magnam Towers, 160022, Sector 34A, Sector 34, Chandigarh, 160022, India",https://www.google.co.kr/maps/place/Body+Scapes/data=!4m5!3m4!1s0x390fedb315555555:0x9ad0fd7c3d5c44ea!8m2!3d30.7228085!4d76.7680584?authuser=0&hl=en&rclk=1
Anytime Fitness,Gym,"SCO 98-99-100 3rd Floor, Bridge Market, 17D, Sector 17, Chandigarh, 160017, India",https://www.google.co.kr/maps/place/Anytime+Fitness/data=!4m5!3m4!1s0x390fed5028787aad:0x432677692bd5d2bb!8m2!3d30.7411678!4d76.7810329?authuser=0&hl=en&rclk=1
Oxizone Fitness & Spa,Fitness center,"Sco 321, Sector 38-D, Sector 38, Chandigarh, 160037, India",https://www.google.co.kr/maps/place/Oxizone+Fitness+%26+Spa/data=!4m5!3m4!1s0x390fede5bab87ac3:0xca3fa5a4b07281b5!8m2!3d30.7462713!4d76.7431185?authuser=0&hl=en&rclk=1
Fit Life Professional Gym & Spa,Gym,"223, Sector 40B, Chandigarh, 160036, India",https://www.google.co.kr/maps/place/Fit+Life+Professional+Gym+%26+Spa/data=!4m5!3m4!1s0x390fed6c8ed56ec9:0x534fc88cf302f9f8!8m2!3d30.7361936!4d76.7366229?authuser=0&hl=en&rclk=1
Boost Fitness Gym,Gymnastics center,"S.c.o 3-4, c, Sector 19, Chandigarh, 160019, India",https://www.google.co.kr/maps/place/Boost+Fitness+Gym/data=!4m5!3m4!1s0x390fed1b895bc48f:0xdca6f5da016b3f7b!8m2!3d30.7257382!4d76.7956164?authuser=0&hl=en&rclk=1
