Company_Name,Category,Address,Url
Fitness Vivo - Best Gym In Karnal,Gym,"314L, Near State Bank Of India, Model Town, Karnal, Haryana 132001, India",https://www.google.co.kr/maps/place/Fitness+Vivo+-+Best+Gym+In+Karnal/data=!4m5!3m4!1s0x390e6fe3f0bce0db:0xb2880aa2e0793bfc!8m2!3d29.700206!4d76.9980707?authuser=0&hl=en&rclk=1
haryana gym,Gym,"Ismailpur - Deverkhana Rd, Dever Khana, Haryana 124105, India",https://www.google.co.kr/maps/place/haryana+gym/data=!4m5!3m4!1s0x390d13e8f3187d1d:0x41f6beefbfb510aa!8m2!3d28.530912!4d76.8333072?authuser=0&hl=en&rclk=1
crossabs Fitness,Gym,"Assandh Rd, near manju Dahiya hospital, Guru Nanak Pura, Kacha Camp, roaad, Panipat, Haryana 132103, India",https://www.google.co.kr/maps/place/crossabs+Fitness/data=!4m5!3m4!1s0x390ddaf5bbaad5b7:0xe2588d7038295b10!8m2!3d29.3955084!4d76.9488574?authuser=0&hl=en&rclk=1
Fiziko Fitness Premium - Best Gym and Fitness Studio | Crossfit | Bhangra | Zumba | Group Classes,Gym,"M-16, Block B, Old DLF Colony, Sector 14, Gurugram, Haryana 122001, India",https://www.google.co.kr/maps/place/Fiziko+Fitness+Premium+-+Best+Gym+and+Fitness+Studio+%7C+Crossfit+%7C+Bhangra+%7C+Zumba+%7C+Group+Classes/data=!4m5!3m4!1s0x390d19b298c7608f:0x7d2e72e0cb7ff1c8!8m2!3d28.4708111!4d77.044175?authuser=0&hl=en&rclk=1
Vrinda's Fitness,Gym,"inside Barsi Gate, Gali Halwaiyan, Road, Hansi, Haryana 125033, India",https://www.google.co.kr/maps/place/Vrinda's+Fitness/data=!4m5!3m4!1s0x39123919627c89a5:0xc7d60a48519e79d!8m2!3d29.0992581!4d75.9635503?authuser=0&hl=en&rclk=1
The Exposure Fitness & Gym,Gym,"1686, Sector 16, Opposite CIA Police Station, Karnal, Haryana 132001, India",https://www.google.co.kr/maps/place/The+Exposure+Fitness+%26+Gym/data=!4m5!3m4!1s0x390e701a735989af:0xb905c048704a627!8m2!3d29.6752641!4d76.9896372?authuser=0&hl=en&rclk=1
Craving Fitness,Gym,"SCO A8, Sector 35, Suncity Township-I, Rohtak, Haryana 124001, India",https://www.google.co.kr/maps/place/Craving+Fitness/data=!4m5!3m4!1s0x390d850199bb90df:0x9c41350bad990eac!8m2!3d28.9100518!4d76.6214294?authuser=0&hl=en&rclk=1
Reform Active Fitness,Gym,"Near, 631/6/1, Sector 4-5 crossing, Sector 5, Gurugram, Haryana 122001, India",https://www.google.co.kr/maps/place/Reform+Active+Fitness/data=!4m5!3m4!1s0x390d195467d24eb7:0x4b7795913f3a9444!8m2!3d28.480345!4d77.0158494?authuser=0&hl=en&rclk=1
Fitness Thugz,Fitness center,"139-141 First Floor Qutab Plaza, DLF Phase 1, Sector 26, Gurugram, Haryana 122002, India",https://www.google.co.kr/maps/place/Fitness+Thugz/data=!4m5!3m4!1s0x390d18d64ed04cab:0xafc4abbf0fd4cc89!8m2!3d28.472557!4d77.1020877?authuser=0&hl=en&rclk=1
Golds Gym,Gym,"Balaji Tower, 1st Floor, Sangwan Chowk, Haryana 125055, India",https://www.google.co.kr/maps/place/Golds+Gym/data=!4m5!3m4!1s0x39114c4b844c9527:0x292d23065acd33aa!8m2!3d29.5371589!4d75.0326403?authuser=0&hl=en&rclk=1
Mantan Gym,Gym,"Safidon Rd, B-Block Sector 10, B Block, Devilal Nagar, Urban Estate, Jind, Haryana 126110, India",https://www.google.co.kr/maps/place/Mantan+Gym/data=!4m5!3m4!1s0x39120589d1ae941b:0xb11bed898d269bef!8m2!3d29.321352!4d76.3384924?authuser=0&hl=en&rclk=1
Fitness Mantra Gym,Gym,"#834/21, Kailash Colony, Prem Nagar, Rohtak, Haryana 124001, India",https://www.google.co.kr/maps/place/Fitness+Mantra+Gym/data=!4m5!3m4!1s0x390d850a35858feb:0x1eb78900a78cd2c6!8m2!3d28.9017061!4d76.5978215?authuser=0&hl=en&rclk=1
The Fitness Factory,Fitness center,"Hissar Rd, Khairpur, D C Colony, Sirsa, Haryana 125055, India",https://www.google.co.kr/maps/place/The+Fitness+Factory/data=!4m5!3m4!1s0x39114c2c61888665:0x85d35ba4bd779eeb!8m2!3d29.5392554!4d75.0546298?authuser=0&hl=en&rclk=1
2 More Fitness,Gym,"Azad Nagar, Hisar, Haryana 125004, India",https://www.google.co.kr/maps/place/2+More+Fitness/data=!4m5!3m4!1s0x3913cd2a79c44da9:0xd7eebfaa662ed979!8m2!3d29.1224922!4d75.7014089?authuser=0&hl=en&rclk=1
Star Gym,Gym,"Jagdish Colony Main Rd, Jagdish Colony, Hansi, Haryana 125033, India",https://www.google.co.kr/maps/place/Star+Gym/data=!4m5!3m4!1s0x39123917d8465167:0x451247aed01cda90!8m2!3d29.1055195!4d75.96942?authuser=0&hl=en&rclk=1
