Company_Name,Category,Address,Url
Transform Fitness (Gym In Jammu),Fitness center,"sec 2, channi himmat, near ICICI bank, Jammu, Jammu and Kashmir 180015",https://www.google.co.kr/maps/place/Transform+Fitness+(Gym+In+Jammu)/data=!4m5!3m4!1s0x391e9cb455555545:0x111f402d382cbc25!8m2!3d32.6886601!4d74.8910979?authuser=0&hl=en&rclk=1
Anytime Fitness Jammu,Gym,"1st Floor, Plot No, 28/6, Narwal, Transportnagar, Jammu, Jammu and Kashmir 180012",https://www.google.co.kr/maps/place/Anytime+Fitness+Jammu/data=!4m5!3m4!1s0x391e83eccfbc4bb9:0x68b4c637c963f028!8m2!3d32.7131695!4d74.8842398?authuser=0&hl=en&rclk=1
Fitness Gym,Gym,"MVV9+556, Guru Nanak Nagar, Jammu, Jammu and Kashmir 180004",https://www.google.co.kr/maps/place/Fitness+Gym/data=!4m5!3m4!1s0x391e84aca159d659:0x35441edd21b7f277!8m2!3d32.6929204!4d74.8678843?authuser=0&hl=en&rclk=1
Trikuta fitness Gym,Gym,"PVQ6+C4Q, Ambphalla, Old Heritage City, Jammu, Jammu and Kashmir 180001",https://www.google.co.kr/maps/place/Trikuta+fitness+Gym/data=!4m5!3m4!1s0x391e85cf6d2c187b:0x6c4ce5e81480aafc!8m2!3d32.7385861!4d74.860345?authuser=0&hl=en&rclk=1
Indian Gym,Gym,"H.No.33 Sec.7,Roop Nagar, Jammu, Jammu and Kashmir 180001",https://www.google.co.kr/maps/place/Indian+Gym/data=!4m5!3m4!1s0x391e84247b1ec097:0xa06eada87d6fb54b!8m2!3d32.7694393!4d74.8442205?authuser=0&hl=en&rclk=1
THE GYM,Gym,"Mahesh Pura Shingari Complex, behind Medical College, Jammu, Jammu and Kashmir 180001",https://www.google.co.kr/maps/place/THE+GYM/data=!4m5!3m4!1s0x391e85f0b4eefc0b:0xf8cf712d85251968!8m2!3d32.7375298!4d74.8551003?authuser=0&hl=en&rclk=1
Count Fitness,Gym,"1st floor Shanti Complex Nr, Kamla Palace Road, Jammu, Jammu and Kashmir 180002",https://www.google.co.kr/maps/place/Count+Fitness/data=!4m5!3m4!1s0x391e84518175471b:0xf8f8e894cd60485c!8m2!3d32.7401516!4d74.833406?authuser=0&hl=en&rclk=1
Gold's Gym,Gym,"2nd Floor, Above Vishal Mega Mart, Bahu Plaza, Jammu, Jammu and Kashmir 180004",https://www.google.co.kr/maps/place/Gold's+Gym/data=!4m5!3m4!1s0x391e84a776f5f70d:0x3690f58dab9879b2!8m2!3d32.706481!4d74.873119?authuser=0&hl=en&rclk=1
J&K International Gym,Gym,"Unnamed Road, Sector D, Sainik Colony, Jammu, Jammu and Kashmir 180011",https://www.google.co.kr/maps/place/J%26K+International+Gym/data=!4m5!3m4!1s0x391e9df79c1ae98b:0x35c2ff6e5e48450c!8m2!3d32.6785249!4d74.9088044?authuser=0&hl=en&rclk=1
Gurudeva the fitness hub,Gym,"Dreamland building 3rd floor above j&k bank new plot, Jammu, Jammu and Kashmir 180005",https://www.google.co.kr/maps/place/Gurudeva+the+fitness+hub/data=!4m5!3m4!1s0x391e85013257acff:0x37cc8f57bac3a9f7!8m2!3d32.7481266!4d74.8586243?authuser=0&hl=en&rclk=1
9 Fitness Studio,Fitness center,"Shopian - 4way, above JK Bank HR, Shopian, Jammu and Kashmir 192303",https://www.google.co.kr/maps/place/9+Fitness+Studio/data=!4m5!3m4!1s0x38e1fb66c44deb4b:0xcfd91572357d8d0f!8m2!3d33.7186221!4d74.8307593?authuser=0&hl=en&rclk=1
Iron Rush,Gym,"No.2, Opp. Army Gate, Jammu-Kunjwani Bypass Rd, Ambica Vihar, Road, Jammu, Jammu and Kashmir 180010",https://www.google.co.kr/maps/place/Iron+Rush/data=!4m5!3m4!1s0x391e9c9876a10507:0xa710f2716ac8a46f!8m2!3d32.671748!4d74.8869124?authuser=0&hl=en&rclk=1
Ajay fitness udhampur,Fitness center,"Kallar Himiti, Subhash Nagar, Udhampur, Jammu and Kashmir 182141",https://www.google.co.kr/maps/place/Ajay+fitness+udhampur/data=!4m5!3m4!1s0x391dd322f884ca7d:0xb88bb6f25e85abc7!8m2!3d32.9159847!4d75.1416173?authuser=0&hl=en&rclk=1
Hardcore the fitness club,Gym,"Opp. Reen Palace Chattha Road, Near Airport jammu Jammu City, chatta road, Chatha, Old Sathwari, Jammu, Jammu and Kashmir 180003",https://www.google.co.kr/maps/place/Hardcore+the+fitness+club/data=!4m5!3m4!1s0x391e9b269fa7132f:0x4d08b584f543183!8m2!3d32.6725881!4d74.8329521?authuser=0&hl=en&rclk=1
