Company_Name,Category,Address,Url
Body basics fitness club,Gym,"VGGH+4QH, Sector 12, Mahantesh Nagar, Belagavi, Karnataka 590017, India",https://www.google.co.kr/maps/place/Body+basics+fitness+club/data=!4m5!3m4!1s0x3bbf6748c7e3bc15:0x8a7c191660b70cf1!8m2!3d15.8753085!4d74.5294972?authuser=0&hl=en&rclk=1
GIT Fitness Center,Gym,"RF7P+JJ4, Udyambag Industrial Area, Udyambag, Belagavi, Karnataka 590008, India",https://www.google.co.kr/maps/place/GIT+Fitness+Center/data=!4m5!3m4!1s0x3bbf65c54128a343:0x63b80f48493f6df6!8m2!3d15.8140195!4d74.4865884?authuser=0&hl=en&rclk=1
Killekar's Gym,Gymnastics center,"RGQ8+JQ9, Shahapur, Belagavi, Karnataka 590011, India",https://www.google.co.kr/maps/place/Killekar's+Gym/data=!4m5!3m4!1s0x3bbf668e0a66c5af:0xadfff5c822ba2b89!8m2!3d15.8390498!4d74.5169823?authuser=0&hl=en&rclk=1
Ceragem Belgaum,Gym,"VG65+G3G, Khade Bazar, Raviwar Peth, Belagavi, Karnataka 590001, India",https://www.google.co.kr/maps/place/Ceragem+Belgaum/data=!4m5!3m4!1s0x3bbf66a599746bcb:0xbf7793ede487ba87!8m2!3d15.8613043!4d74.5077106?authuser=0&hl=en&rclk=1
Jairaj Fitness Gym,Gym,"Beside Lokmanya Society Head Office Road, Belagavi, Karnataka 590006, India",https://www.google.co.kr/maps/place/Jairaj+Fitness+Gym/data=!4m5!3m4!1s0x3bbf6680518b4d4d:0xfb429e5c0a5897c2!8m2!3d15.8302486!4d74.501741?authuser=0&hl=en&rclk=1
I Like Fitness,Fitness center,"Tammanna Arcade, Dr B R Ambedkar Rd, Belagavi, Karnataka 590001, India",https://www.google.co.kr/maps/place/I+Like+Fitness/data=!4m5!3m4!1s0x3bbf616fdb7c988f:0x13efd9c33e7ecb95!8m2!3d15.8750551!4d74.5128816?authuser=0&hl=en&rclk=1
Veer Gym,Gym,"Dharwad Rd, Saptapur, Haliyal, Karnataka 581329, India",https://www.google.co.kr/maps/place/Veer+Gym/data=!4m5!3m4!1s0x3bb8cd602780a269:0x979b58c3600fafac!8m2!3d15.4517742!4d74.9930372?authuser=0&hl=en&rclk=1
Jairaj Fitness Gym Belagavi,Gym,"above pantaloon, Ayodhya Nagar, Nehru Nagar, Belagavi, Karnataka 590001, India",https://www.google.co.kr/maps/place/Jairaj+Fitness+Gym+Belagavi/data=!4m5!3m4!1s0x3bbf67182bc6715d:0xc6d4ecea3e81f78d!8m2!3d15.8741132!4d74.5126997?authuser=0&hl=en&rclk=1
"Children Park, Fule Street",Gym,"RGJ9+CVP, Vadagoan, Belagavi, Karnataka 590005, India","https://www.google.co.kr/maps/place/Children+Park,+Fule+Street/data=!4m5!3m4!1s0x3bbf668a59a325bf:0x7d1eb3cf59c2308c!8m2!3d15.8310805!4d74.5197004?authuser=0&hl=en&rclk=1"
BODY POWER FITNESS CLUB GYM,Gym,"Zeeshan manzil, Asadkhan society beside ESI hospital, near kaif masjid, Belagavi, Karnataka 590016, India",https://www.google.co.kr/maps/place/BODY+POWER+FITNESS+CLUB+GYM/data=!4m5!3m4!1s0x3bbf677d5c45b0bf:0x815d1f4a96e08649!8m2!3d15.8720689!4d74.5264409?authuser=0&hl=en&rclk=1
