Company_Name,Category,Address,Url
Gold's Gym,Gym,"4th Syama Business Centre,Opp Hindu Office, NH Bypass Rd Junction, Vyttila, Kochi, Kerala 682019, India",https://www.google.co.kr/maps/place/Gold's+Gym/data=!4m5!3m4!1s0x3b080d2a9ec5b277:0x134298b3dd4febef!8m2!3d9.9716791!4d76.3175469?authuser=0&hl=en&rclk=1
Ibis Fitness,Physical fitness program,"3rd Floor Vellakkal VAM Arcade Pookkattupadi Road, Near Lulu Mall, Edappally, Kochi, Kerala 682024, India",https://www.google.co.kr/maps/place/Ibis+Fitness/data=!4m5!3m4!1s0x3b080d58cb465b11:0x603782f871970690!8m2!3d10.0282302!4d76.3111636?authuser=0&hl=en&rclk=1
Fit and Met - Fitness Certification Courses and Gym Training Courses,Fitness center,"Amba Building, Kochi, Ernakulam, near Thrikkakara Temple, Kochi, Kerala 682019, India",https://www.google.co.kr/maps/place/Fit+and+Met+-+Fitness+Certification+Courses+and+Gym+Training+Courses/data=!4m5!3m4!1s0x3b08732a175c4173:0x7d76ad6f8b763076!8m2!3d9.9763037!4d76.3027629?authuser=0&hl=en&rclk=1
Cuoretone Fitness and Detox Studio,Gym,"Grand Mall, 3rd Floor, Service Rd, Edappally, Edappally Signal Junction, Ernakulam, Kochi, Kerala 682024, India",https://www.google.co.kr/maps/place/Cuoretone+Fitness+and+Detox+Studio/data=!4m5!3m4!1s0x3b080daeda6b21b7:0xe974b32416d1ecd4!8m2!3d10.0242778!4d76.3090175?authuser=0&hl=en&rclk=1
Gravity Fitness,Gym,"2nd floor, C B Tower, K K Padmanabhan Rd, Kacheripady, Ernakulam, Kerala 682018, India",https://www.google.co.kr/maps/place/Gravity+Fitness/data=!4m5!3m4!1s0x3b080d5c8064053f:0x943e22e9c2b9be9c!8m2!3d9.9897208!4d76.2798048?authuser=0&hl=en&rclk=1
Fitness 4 Ever Kakkanad,Gym,"Bharath Matha College, KR & F Square, Seaport - Airport Rd, near Kerala, Thrikkakara, Kakkanad, Kerala 682021, India",https://www.google.co.kr/maps/place/Fitness+4+Ever+Kakkanad/data=!4m5!3m4!1s0x3b080c5cfaa353f1:0x4268c8ed01450174!8m2!3d10.0279866!4d76.3369352?authuser=0&hl=en&rclk=1
Fitness Hub,Gym,"Kadavanthara, Elamkulam, Ernakulam, Kerala 682020, India",https://www.google.co.kr/maps/place/Fitness+Hub/data=!4m5!3m4!1s0x3b0873044827c57b:0x89aca5ccdb41257!8m2!3d9.9704329!4d76.299137?authuser=0&hl=en&rclk=1
Gladiator Health & Fitness Centre,Gymnastics club,"MELKA Tower, Cheruparambath Rd, near Titan eye, Kadavanthara, Elamkulam, Kochi, Kerala 682020, India",https://www.google.co.kr/maps/place/Gladiator+Health+%26+Fitness+Centre/data=!4m5!3m4!1s0x3b0872ceefb3117f:0x6838fecbd3813124!8m2!3d9.9673184!4d76.3024414?authuser=0&hl=en&rclk=1
Gold's Gym,Gym,"Subramaniam Arcade, Gosaikunnu, Kuriachira, Thrissur, Kerala 680006, India",https://www.google.co.kr/maps/place/Gold's+Gym/data=!4m5!3m4!1s0x3ba7ee2d5a783b61:0x8cf9763d93c06e09!8m2!3d10.5083728!4d76.2235493?authuser=0&hl=en&rclk=1
Turtles Fitness Solutions,Gym,"Turtles Fitness Solutions, YMCA Cross Rd, opp. IDBI Bank, Kozhikode, Kerala 673001, India",https://www.google.co.kr/maps/place/Turtles+Fitness+Solutions/data=!4m5!3m4!1s0x3ba659371fc74b1b:0xa8e7e47d74891a7e!8m2!3d11.2607525!4d75.7792406?authuser=0&hl=en&rclk=1
Fitness Factory,Gym,"225, KP Vallon Rd, Kadavanthra Junction, Giri Nagar, Kadavanthra, Ernakulam, Kerala 682020, India",https://www.google.co.kr/maps/place/Fitness+Factory/data=!4m5!3m4!1s0x3b0872cecbc92b87:0x20246374d8606e83!8m2!3d9.9668317!4d76.3002654?authuser=0&hl=en&rclk=1
Metropolis India Fitness Centre,Gym,"4th Floor,City Center,Kannur,Kerala, Kannur, Kerala 670001, India",https://www.google.co.kr/maps/place/Metropolis+India+Fitness+Centre/data=!4m5!3m4!1s0x3ba43d35229f208f:0x817f35bb37cd609a!8m2!3d11.8702077!4d75.3668006?authuser=0&hl=en&rclk=1
Stark Fitness,Gym,"Regional Sports Centre, Gandhi Nagar road, Kadavanthra, Kochi, Kerala 682020, India",https://www.google.co.kr/maps/place/Stark+Fitness/data=!4m5!3m4!1s0x3b0872c962756961:0x7764f410d565e560!8m2!3d9.9688425!4d76.2980559?authuser=0&hl=en&rclk=1
Life Time Fitness Hub,Fitness center,"3 rd Floor, Palarivattom - Edappally Rd, Bank Junction, Mamangalam, Edappally, Kochi, Kerala 682024, India",https://www.google.co.kr/maps/place/Life+Time+Fitness+Hub/data=!4m5!3m4!1s0x3b080da788de535b:0x85d65f6f451f3200!8m2!3d10.0179993!4d76.3039457?authuser=0&hl=en&rclk=1
Catamount Gym,Gym,"Cheranallur, Kochi, Kerala 682034, India",https://www.google.co.kr/maps/place/Catamount+Gym/data=!4m5!3m4!1s0x3b080de793fb345b:0x8edb521a9d75adaa!8m2!3d10.0518981!4d76.2932092?authuser=0&hl=en&rclk=1
Fitness 4 Ever Earth,Fitness center,"Pipe line, Thrikkakara Pipe line, University Road, Ernakulam, Kerala 682021, India",https://www.google.co.kr/maps/place/Fitness+4+Ever+Earth/data=!4m5!3m4!1s0x3b080de4816ad5c7:0xc133e0243c8f1cf5!8m2!3d10.0373332!4d76.3269153?authuser=0&hl=en&rclk=1
Indian Multi Gym And Fitness,Gym,"Kuttikattoor-Mundupalam Rd, Kuttikkattoor, Kerala 673008, India",https://www.google.co.kr/maps/place/Indian+Multi+Gym+And+Fitness/data=!4m5!3m4!1s0x3ba65b641ac3b783:0xfe49e58471c3a44d!8m2!3d11.2673548!4d75.8717783?authuser=0&hl=en&rclk=1
