Company_Name,Category,Address,Url
The Power Fitness Gym💪🏋,Gym,"Sector B, 229, II Floor, Om Sai Multipurpose Complex, behind Union Bank of India, Ward no.-11, Indra, Mandideep, Bhopal, Madhya Pradesh 462046, India",https://www.google.co.kr/maps/place/The+Power+Fitness+Gym%F0%9F%92%AA%F0%9F%8F%8B/data=!4m5!3m4!1s0x397c47cab3d420cf:0xea7bd6aa6c588e94!8m2!3d23.0969469!4d77.5164216?authuser=0&hl=en&rclk=1
Shivhare gym,Gym,"3C5Q+WG2, Nowgong, Madhya Pradesh 471201, India",https://www.google.co.kr/maps/place/Shivhare+gym/data=!4m5!3m4!1s0x3982a65ad1fbc5e3:0x4ec82fdd2a26f633!8m2!3d25.0597567!4d79.4387725?authuser=0&hl=en&rclk=1
Yoga and Fitness Classes,Fitness center,"Singhpur Rd, ganesh ganj, Shahdol, Madhya Pradesh 484001, India",https://www.google.co.kr/maps/place/Yoga+and+Fitness+Classes/data=!4m5!3m4!1s0x3986fb5f321294db:0x4aaf728230403995!8m2!3d23.2943266!4d81.365205?authuser=0&hl=en&rclk=1
Pumping Iron Gym,Gym,"Near State Bank Of India, Chetakpuri, Vijaynagar, Gwalior, Madhya Pradesh 474009, India",https://www.google.co.kr/maps/place/Pumping+Iron+Gym/data=!4m5!3m4!1s0x3976c43cc70aca37:0x143fd4c26bd6adfa!8m2!3d26.1997429!4d78.1750589?authuser=0&hl=en&rclk=1
"""T3"" - Time To Train Fitness Gym",Gym,"Kulshreshtha Market, 1st floor, Sachin Tendulkar Rd, Above Tandoori Chai, Gwalior, Madhya Pradesh 474011, India",https://www.google.co.kr/maps/place/%22T3%22+-+Time+To+Train+Fitness+Gym/data=!4m5!3m4!1s0x3976c5e2d558a1ed:0xbb9128880708c629!8m2!3d26.205554!4d78.1958677?authuser=0&hl=en&rclk=1
Dangal Gym - Family Fitness | Aerobic | Cardio | Gym,Gym,"2 B, near bank of india, Awadhpuri, Bhopal, Madhya Pradesh 462022, India",https://www.google.co.kr/maps/place/Dangal+Gym+-+Family+Fitness+%7C+Aerobic+%7C+Cardio+%7C+Gym/data=!4m5!3m4!1s0x397c419145788ce9:0x45f1f6b503db134b!8m2!3d23.2216057!4d77.488607?authuser=0&hl=en&rclk=1
Mudliar's Fitness Plaza,Gym,"Narmada Rd, beside Central Bank of India, MCI Colony, Gorakhpur, Jabalpur, Madhya Pradesh 482001, India",https://www.google.co.kr/maps/place/Mudliar's+Fitness+Plaza/data=!4m5!3m4!1s0x3981ade4abe227ef:0x37b3ba22095af4c5!8m2!3d23.1477109!4d79.93136?authuser=0&hl=en&rclk=1
Goal The Fitness Club,Physical fitness program,"House no 2, Pandit Vihar Colony, near Bank of India, Gloe ka Mandir, Gwalior, Madhya Pradesh, India",https://www.google.co.kr/maps/place/Goal+The+Fitness+Club/data=!4m5!3m4!1s0x3976c148da419875:0x4de97841a4e38f47!8m2!3d26.2341162!4d78.2091942?authuser=0&hl=en&rclk=1
SHAPE UP GYM,Gym,"Ward No. 13, Narsinghpur Rd, near KUNAL MOTORS, Nai Abadi, Chhindwara, Madhya Pradesh 480001, India",https://www.google.co.kr/maps/place/SHAPE+UP+GYM/data=!4m5!3m4!1s0x3bd567a194caaef3:0x440ab18c847870fd!8m2!3d22.0650138!4d78.9541474?authuser=0&hl=en&rclk=1
Fit24 fitness anuppur,Gym,"Fit24 fitness, Chetna Nagar, Anuppur, Madhya Pradesh 484224, India",https://www.google.co.kr/maps/place/Fit24+fitness+anuppur/data=!4m5!3m4!1s0x3987b357588db6cd:0x7d728f7259debf40!8m2!3d23.1136554!4d81.697629?authuser=0&hl=en&rclk=1
India fitness club,Gym,"Shubash tirah, Madhya Pradesh 477001, India",https://www.google.co.kr/maps/place/India+fitness+club/data=!4m5!3m4!1s0x39767bec9d56a0e3:0xbe9f2d28f908cf91!8m2!3d26.5593219!4d78.7858194?authuser=0&hl=en&rclk=1
Fitness Park,Gym,"2WXM+8Q3, Sanchar Colony, Chhindwara, Madhya Pradesh 480001, India",https://www.google.co.kr/maps/place/Fitness+Park/data=!4m5!3m4!1s0x3bd569258bac600d:0xd55b735168aa3b2!8m2!3d22.0482596!4d78.934416?authuser=0&hl=en&rclk=1
MFC Gym,Gymnasium Cz,"Bittan Market, 10, E-5/10, Link Rd Number 3, Opposite Habibganj Police Station, E-5, Char Imli, Bhopal, Madhya Pradesh 462016, India",https://www.google.co.kr/maps/place/MFC+Gym/data=!4m5!3m4!1s0x397c42565418914f:0xd6d748bbd818ac87!8m2!3d23.2169204!4d77.4271499?authuser=0&hl=en&rclk=1
SR Fitness,Gym,"Lakkadpitha Road, Above Axis bank, Laxman Pura, Ratlam, Madhya Pradesh 457001, India",https://www.google.co.kr/maps/place/SR+Fitness/data=!4m5!3m4!1s0x3963ff497c42f2d7:0xb9a0324b0ae178e1!8m2!3d23.3222389!4d75.0303496?authuser=0&hl=en&rclk=1
"Katni Health Club, gym",Gym,"Adarsh Colony Rd, Gandhi Ganj, Katni, Madhya Pradesh 483501, India","https://www.google.co.kr/maps/place/Katni+Health+Club,+gym/data=!4m5!3m4!1s0x398161dfd6a52cf9:0xaa28ff5ab9499f83!8m2!3d23.8404967!4d80.3884287?authuser=0&hl=en&rclk=1"
The fitness park gym,Gym,"below Central Bank of India, Kukda Jagat, Bedi Colony, Chhindwara, Madhya Pradesh 480001, India",https://www.google.co.kr/maps/place/The+fitness+park+gym/data=!4m5!3m4!1s0x3bd5672af5381dcf:0x46ed3787a0f50611!8m2!3d22.0724365!4d78.9400056?authuser=0&hl=en&rclk=1
Fitness junction gym,Gym,"Maihar - Rewa Rd, Nehru Nagar, Padmadhar Colony, Madhya Pradesh 486001, India",https://www.google.co.kr/maps/place/Fitness+junction+gym/data=!4m5!3m4!1s0x39845b6abf40260d:0x41751f0f106fc6b6!8m2!3d24.5432686!4d81.2758543?authuser=0&hl=en&rclk=1
Gold's Gym,Gym,"behind SICA School, Sector G, Scheme No 54, Indore, Madhya Pradesh 452010, India",https://www.google.co.kr/maps/place/Gold's+Gym/data=!4m5!3m4!1s0x39631d53808c560f:0x8b9d90f22607a270!8m2!3d22.7544298!4d75.8895327?authuser=0&hl=en&rclk=1
A1 fitness club,Gym,"59 Tiwari's, Jalalabad, Hoshangabad, Madhya Pradesh 461001, India",https://www.google.co.kr/maps/place/A1+fitness+club/data=!4m5!3m4!1s0x397dcf6bc9ccc503:0xcfeffffae238ff69!8m2!3d22.7506435!4d77.7439116?authuser=0&hl=en&rclk=1
Xtreme Gym,Gym,"Bhopal Naka, Englishpura, Sehore, Madhya Pradesh 466001, India",https://www.google.co.kr/maps/place/Xtreme+Gym/data=!4m5!3m4!1s0x397cf3f5b0ec4099:0x9d9a22ca0e973815!8m2!3d23.2065615!4d77.0965398?authuser=0&hl=en&rclk=1
Sylvester The Fitness Zone Gym,Fitness center,"DK 04/74 First Floor, Danish Kunj Kolar Rd, Bhopal, Madhya Pradesh 462001, India",https://www.google.co.kr/maps/place/Sylvester+The+Fitness+Zone+Gym/data=!4m5!3m4!1s0x3962fd69ed83c315:0x6310677c25a7391!8m2!3d23.1717106!4d77.4294724?authuser=0&hl=en&rclk=1
Smart Fitness Gym,Gym,"54RX+J75, Paan Patte Ki Goth, Madhav Ganj, Gwalior, Madhya Pradesh 474001, India",https://www.google.co.kr/maps/place/Smart+Fitness+Gym/data=!4m5!3m4!1s0x3976c5c9db55a6ef:0xe039baf6b30d9d7a!8m2!3d26.1915225!4d78.1482481?authuser=0&hl=en&rclk=1
Fit India Gym,Gym,"Pani ki tanki ke samne Budhe balaji Housing board colony, Madhya Pradesh 473001, India",https://www.google.co.kr/maps/place/Fit+India+Gym/data=!4m5!3m4!1s0x397a5dd35e74f89d:0x534fb724700c1d30!8m2!3d24.6562136!4d77.300856?authuser=0&hl=en&rclk=1
Fitness Lounge Mandsaur,Physical fitness program,"Yash Balaji Choraha, Sanjit Rd, near Indian Gas, Mandsaur, Madhya Pradesh 458001, India",https://www.google.co.kr/maps/place/Fitness+Lounge+Mandsaur/data=!4m5!3m4!1s0x39642dfbc10b5c37:0xe9b0f5a4578565b4!8m2!3d24.0803907!4d75.0648942?authuser=0&hl=en&rclk=1
