Company_Name,Category,Address,Url
Apunba Fitness Center,Gym,"Ayangpalli Rd, Khurai Thangjam Leikai, Imphal, Manipur 795001, India",https://www.google.co.kr/maps/place/Apunba+Fitness+Center/data=!4m5!3m4!1s0x374927f71f3bd931:0x6e3438039ab17bf6!8m2!3d24.8150538!4d93.9597351?authuser=0&hl=en&rclk=1
World Gym and Fitness Centre,Fitness center,"Yaiskul Police Lane Krishna Premi Building, next to Krishnadas Oil Pump, Imphal, Manipur 795001, India",https://www.google.co.kr/maps/place/World+Gym+and+Fitness+Centre/data=!4m5!3m4!1s0x37492650e8cfb601:0x6ba4f5525dca216!8m2!3d24.7955863!4d93.9402837?authuser=0&hl=en&rclk=1
"Mountain Gym Fitness Center,",Gym,"Thangmeiband Hijam Dewan Leikai Rd, Thangmeiband, Imphal, Manipur 795004, India","https://www.google.co.kr/maps/place/Mountain+Gym+Fitness+Center,/data=!4m5!3m4!1s0x374927ba67a150ab:0xe6b53bd721bf1875!8m2!3d24.8184146!4d93.9340133?authuser=0&hl=en&rclk=1"
PS Nutrition Point & Gym,Gym,"Imphal-Jessami Rd, New Checkon Mamang Leikai, Soibam Leikai, Imphal, Manipur 795001, India",https://www.google.co.kr/maps/place/PS+Nutrition+Point+%26+Gym/data=!4m5!3m4!1s0x37492701307e0c61:0xcd7d18e726016ea1!8m2!3d24.8100111!4d93.9503812?authuser=0&hl=en&rclk=1
"Kangleipak Fitness Centre (KFC), Manipur",Gym,"Indo-Myanmar Rd, Canchipur, Imphal, Manipur 795003, India","https://www.google.co.kr/maps/place/Kangleipak+Fitness+Centre+(KFC),+Manipur/data=!4m5!3m4!1s0x374925d8516e24af:0x783883bc911db632!8m2!3d24.755384!4d93.934754?authuser=0&hl=en&rclk=1"
APUNBA FITNESS CENTER,Fitness center,"RIMS Rd, Nagamapal, Thangmeiband, Imphal, Manipur 795001, India",https://www.google.co.kr/maps/place/APUNBA+FITNESS+CENTER/data=!4m5!3m4!1s0x374927b3d0afd203:0x4f4a83583dbb3617!8m2!3d24.8105881!4d93.9338676?authuser=0&hl=en&rclk=1
Shiva Nutrition and Fitness Centre,Gym,"Local Crossway, Paona Bazar, Imphal, Manipur 795001, India",https://www.google.co.kr/maps/place/Shiva+Nutrition+and+Fitness+Centre/data=!4m5!3m4!1s0x37492717b7edc917:0xcd0e0317eda359b4!8m2!3d24.8029614!4d93.9347795?authuser=0&hl=en&rclk=1
Sangai Gym ranjit,Gym,"Thangjam Leirak, Keishamthong, Imphal, Manipur 795004, India",https://www.google.co.kr/maps/place/Sangai+Gym+ranjit/data=!4m5!3m4!1s0x3749264420e3274b:0xa098757df33456cb!8m2!3d24.7892305!4d93.9318958?authuser=0&hl=en&rclk=1
NEFSA Fitness Point,Gym,"RX2F+4JM, Kshetrigao, Imphal, Manipur 795005, India",https://www.google.co.kr/maps/place/NEFSA+Fitness+Point/data=!4m5!3m4!1s0x374926d9173d37f5:0x4dc08c9372686d7f!8m2!3d24.8003412!4d93.9740574?authuser=0&hl=en&rclk=1
Emoinu Gym,Gym,"Mayai Lambi Rd, Imphal, Manipur 795003, India",https://www.google.co.kr/maps/place/Emoinu+Gym/data=!4m5!3m4!1s0x374927b725ff7069:0x2b810204eca830eb!8m2!3d24.7677118!4d93.924212?authuser=0&hl=en&rclk=1
GOLD’S GYM,Gym,"Indo-Myanmar Road, Singjamei Chingamathak, Near SBI Bank, Imphal, Manipur 795001, India",https://www.google.co.kr/maps/place/GOLD%E2%80%99S+GYM/data=!4m5!3m4!1s0x3749265d21ed6aeb:0xff07cddcd81527c9!8m2!3d24.7840708!4d93.9380439?authuser=0&hl=en&rclk=1
Sangaifit7clan fitness centre,Fitness center,"89, Thangal Bazar, Imphal, Manipur 795001, India",https://www.google.co.kr/maps/place/Sangaifit7clan+fitness+centre/data=!4m5!3m4!1s0x374927eabb89467b:0x214f98c04fe0dc6c!8m2!3d24.8096218!4d93.9345589?authuser=0&hl=en&rclk=1
Star Gym,Gym,"Kwakeithel, leimakhejam Leikai, Imphal West, Imphal, Manipur 795001, India",https://www.google.co.kr/maps/place/Star+Gym/data=!4m5!3m4!1s0x374926385d71af17:0x1fc7f5df3f7244a1!8m2!3d24.79124!4d93.9253243?authuser=0&hl=en&rclk=1
YPISM Gym,Gym,"RW5C+QPP, Phurailatpam Colony, Uripok, Imphal, Manipur 795004, India",https://www.google.co.kr/maps/place/YPISM+Gym/data=!4m5!3m4!1s0x374927cb88d47603:0xe26654cfe260bb89!8m2!3d24.8094502!4d93.9218344?authuser=0&hl=en&rclk=1
Valentina Fitness,Fitness center,"795001, Thiyam Leikai, Keishampat, Sagolband, Imphal, Manipur 795004, India",https://www.google.co.kr/maps/place/Valentina+Fitness/data=!4m5!3m4!1s0x3749279437065ac9:0x49195270ae346222!8m2!3d24.7986751!4d93.9337294?authuser=0&hl=en&rclk=1
The Gym Fitness Studio,Gym,"RW7M+2WQ, Nagamapal, Thangmeiband, Imphal, Manipur 795001, India",https://www.google.co.kr/maps/place/The+Gym+Fitness+Studio/data=!4m5!3m4!1s0x374927b1981fbc11:0xd2a035472373657b!8m2!3d24.8125759!4d93.9348636?authuser=0&hl=en&rclk=1
"Gymkhana, RIMS",Gym,"RW89+4RR, Lamphelpat, Imphal, Manipur 795004, India","https://www.google.co.kr/maps/place/Gymkhana,+RIMS/data=!4m5!3m4!1s0x374927cf0f814629:0x21d6225d74e26ea8!8m2!3d24.8153519!4d93.9195143?authuser=0&hl=en&rclk=1"
Ladies Fitness World,Gym,"795001, Thiyam Leikai, Keishampat, Sagolband, Imphal, Manipur 795004, India",https://www.google.co.kr/maps/place/Ladies+Fitness+World/data=!4m5!3m4!1s0x3749264e853fa3b7:0xe9f0b8225e493368!8m2!3d24.7986751!4d93.9337294?authuser=0&hl=en&rclk=1
