Company_Name,Category,Address,Url
FREEEDOM FITNESS,Gym,"Kachiguda, Beside D-mart, Kachiguda X Rd, opp. : KUMAR theater, Barkatpura, Hyderabad, Telangana 500027, India",https://www.google.co.kr/maps/place/FREEEDOM+FITNESS/data=!4m5!3m4!1s0x3bcb99c5c9b99ecf:0x9e2731bf3a2c4bea!8m2!3d17.3890464!4d78.4971427?authuser=0&hl=en&rclk=1
28 Fitness Hyderabad,Fitness center,"Rangoli Building, 8-2-293/82/A/790, 2nd Floor, Rd Number 36, Jubilee Hills, Hyderabad, Telangana 500033, India",https://www.google.co.kr/maps/place/28+Fitness+Hyderabad/data=!4m5!3m4!1s0x3bcb91461d0a8fc1:0x4a5f2870f7d95d1c!8m2!3d17.4349223!4d78.4022396?authuser=0&hl=en&rclk=1
Fitness Freak Studio,Fitness center,"H.no.8-2-700/A, 5th floor (Terrace Garden), Shiv Shakti Tower Above State Bank of India, Rd Number 12, near Dadu's Sweets, Sri Ram Nagar Colony, Banjara Hills, Hyderabad, Telangana 500034, India",https://www.google.co.kr/maps/place/Fitness+Freak+Studio/data=!4m5!3m4!1s0x3bcb972f9df6b213:0x7293e880b89296a9!8m2!3d17.4072246!4d78.4430183?authuser=0&hl=en&rclk=1
F45 Srinagar Colony Hyderabad,Gym,"4, 4th Floor, 8-3-988/34/7, Srinagar Colony, Hyderabad, Telangana 500073, India",https://www.google.co.kr/maps/place/F45+Srinagar+Colony+Hyderabad/data=!4m5!3m4!1s0x3bcb9152f66b1f1b:0x8f0563d563780748!8m2!3d17.4303042!4d78.434584?authuser=0&hl=en&rclk=1
O2 Gym,Gym,"Road No. 10, Gouri Shankar Nagar Colony, Banjara Hills, Hyderabad, Telangana 500034, India",https://www.google.co.kr/maps/place/O2+Gym/data=!4m5!3m4!1s0x3bcb972fb3cb3ef9:0xa82b88f2027f04a8!8m2!3d17.4160083!4d78.439308?authuser=0&hl=en&rclk=1
INDIAN FITNESS GYM,Gym,"2nd floor, Above Raghavendra Hotel, Beside SBI Bank, opp Red Cross Hospital, Gaddiannaram, Dilsukhnagar, Hyderabad, Telangana 500060, India",https://www.google.co.kr/maps/place/INDIAN+FITNESS+GYM/data=!4m5!3m4!1s0x3bcb98f5ee5a13ef:0x6dc7076eeada8902!8m2!3d17.3641981!4d78.5215408?authuser=0&hl=en&rclk=1
Venkat Fitness,Fitness center,"8-2-293/82/J/A/52, Journalist Co-op Housing Society, Jubilee Hills, Hyderabad, Telangana 500082, India",https://www.google.co.kr/maps/place/Venkat+Fitness/data=!4m5!3m4!1s0x3bcb91486e7e50b3:0x541e637a57eddcc8!8m2!3d17.422124!4d78.4081538?authuser=0&hl=en&rclk=1
Cult Gachibowli,Fitness center,"3rd Floor, Jyothi Imperial, Above South India Shopping Mall, Near Flyover Near Flyover, Main Road, Diamond Hills, Hyderabad, Telangana 500032, India",https://www.google.co.kr/maps/place/Cult+Gachibowli/data=!4m5!3m4!1s0x3bcb9322af5efe83:0x7204e870019dd2bb!8m2!3d17.4349383!4d78.3687804?authuser=0&hl=en&rclk=1
USD Fitness,Gym,"Miyakhangadda, Hyderabad, Telangana 500075, India",https://www.google.co.kr/maps/place/USD+Fitness/data=!4m5!3m4!1s0x3bcbeb7349800bdf:0xed7a016c6ea98a83!8m2!3d17.4047421!4d78.2862258?authuser=0&hl=en&rclk=1
Afterburn Fitness Studio,Gym,"No.1-5-1055/2/3, SVB Square, Colony, HMT Colony Rd, Saibaba Nagar, Father Balaiah Nagar, Alwal, Secunderabad, Telangana 500010, India",https://www.google.co.kr/maps/place/Afterburn+Fitness+Studio/data=!4m5!3m4!1s0x3bcb9ab977847103:0xdb965d68072c54d6!8m2!3d17.5069971!4d78.4929978?authuser=0&hl=en&rclk=1
Cult Banjara Hills,Fitness center,"3rd Floor, Rd Number 1, above AB's Barbecue, Krishe Amethyst, Banjara Hills, Hyderabad, Telangana 500034, India",https://www.google.co.kr/maps/place/Cult+Banjara+Hills/data=!4m5!3m4!1s0x3bcb97d7b9523d55:0x68d7091bfe12bf43!8m2!3d17.4122351!4d78.4494538?authuser=0&hl=en&rclk=1
Cult Tolichowki,Fitness center,"Anand Silicon Chip, Cult Tolichowki, 2nd Floor, Shaikpet Rd, Toli Chowki, Hyderabad, Telangana 500008, India",https://www.google.co.kr/maps/place/Cult+Tolichowki/data=!4m5!3m4!1s0x3bcb974b3496892f:0x612a6d96406042db!8m2!3d17.4059304!4d78.4032018?authuser=0&hl=en&rclk=1
Sanjay fitness Gym,Gym,"Geological Survey of India Colony, Auto Nagar, Hyderabad, Telangana 500068, India",https://www.google.co.kr/maps/place/Sanjay+fitness+Gym/data=!4m5!3m4!1s0x3bcb9f37446710e5:0xd1d04cb6c5b37de8!8m2!3d17.3681551!4d78.5765241?authuser=0&hl=en&rclk=1
Indian Pro Fitness Zone,Gym,"Masood Ln, Musheerabad, Bakaram, Kavadiguda, Secunderabad, Telangana 500080, India",https://www.google.co.kr/maps/place/Indian+Pro+Fitness+Zone/data=!4m5!3m4!1s0x3bcb99912b27bed1:0x62ae78b0b6dedfc!8m2!3d17.4168364!4d78.4986609?authuser=0&hl=en&rclk=1
Fitness First Gym,Gym,"1-4-749 /1/A, Musheerabad Main Rd, Musheerabad, Bakaram, Kavadiguda, Hyderabad, Telangana 500020, India",https://www.google.co.kr/maps/place/Fitness+First+Gym/data=!4m5!3m4!1s0x3bcb9992b5b7fbb7:0x45a7c471f20ff358!8m2!3d17.4157339!4d78.4981891?authuser=0&hl=en&rclk=1
F45 Training Gachibowli,Gym,"Old Mumbai Hwy 4th Floor, Mega Archade, Telecom Nagar, Gachibowli, Telangana 500032, India",https://www.google.co.kr/maps/place/F45+Training+Gachibowli/data=!4m5!3m4!1s0x3bcb93ee7769c4e7:0xb7fd2e598dd12773!8m2!3d17.4348079!4d78.3674391?authuser=0&hl=en&rclk=1
fitness trainer,Fitness center,"8-2-120/120/1/55, Noor Nagar, IAS Officers Quaters, Nandi Nagar, Banjara Hills, Hyderabad, Telangana 500034, India",https://www.google.co.kr/maps/place/fitness+trainer/data=!4m5!3m4!1s0x3bcb979c4f87b0a7:0xfb73e5319763bb58!8m2!3d17.4171862!4d78.4329227?authuser=0&hl=en&rclk=1
Me and fitness,Fitness center,"#207,2nd floor, SBR Gateway, opp cyber gateway, beside IBIS hotel, HITEC City, Hyderabad, Telangana 500081, India",https://www.google.co.kr/maps/place/Me+and+fitness/data=!4m5!3m4!1s0x3bcb93cf7244a857:0xd86db0ea1601952b!8m2!3d17.4473556!4d78.3784405?authuser=0&hl=en&rclk=1
FS Fitness Gym,Gym,"3-5-900/1 Aparajitha Arcade, OLD MLA Quaters road market, opp. Ratnadeep super, Himayatnagar, Hyderabad, Telangana 500029, India",https://www.google.co.kr/maps/place/FS+Fitness+Gym/data=!4m5!3m4!1s0x3bcb99844cd2d37d:0xbda3868b01b39c9c!8m2!3d17.3992801!4d78.4867034?authuser=0&hl=en&rclk=1
A7 Health And Fitness Gym,Gym,"Siddeswara Colony, Shamshabad, Hyderabad, Telangana 501218, India",https://www.google.co.kr/maps/place/A7+Health+And+Fitness+Gym/data=!4m5!3m4!1s0x3bcbbe9e6159bc99:0x9bfae387430b7757!8m2!3d17.2636267!4d78.3816817?authuser=0&hl=en&rclk=1
CULT,Fitness center,"1st Floor, Plot No 21, Gandipet Main Rd, above Vijetha Supermarket, Kokapet, Telangana 500032, India",https://www.google.co.kr/maps/place/CULT/data=!4m5!3m4!1s0x3bcb952a92d2ffe3:0xcef3556b5f288a98!8m2!3d17.3876257!4d78.3425739?authuser=0&hl=en&rclk=1
Xplore Fitness,Gym,"MIG 229, Bhavani plaza, NH65, kphb PHASE 1, KPHB, kukutpally Near R.S.Brothers, above bata showroom, Hyderabad, Telangana 500072, India",https://www.google.co.kr/maps/place/Xplore+Fitness/data=!4m5!3m4!1s0x3bcb9b5460c62123:0x1b5467501dd15b2f!8m2!3d17.4940201!4d78.4000526?authuser=0&hl=en&rclk=1
Steel Gym,Gym,"1355, Neharika Jubilee One, Jubilee Hills Road No.1 and Road.45 Junction, adjacent to HDFC bank, Nandagiri Hills, Jubilee Hills, Hyderabad, Telangana 500033, India",https://www.google.co.kr/maps/place/Steel+Gym/data=!4m5!3m4!1s0x3bcb91320d93fe23:0xccc99cab8c0e3a6b!8m2!3d17.422453!4d78.410894?authuser=0&hl=en&rclk=1
SK9 Fitness Studio ( UNISEX GYM ),Fitness center,"Pillar no 141 , Above Pai electronics , 3rd Floor ,Attapur, Rajendranagar mandal, Hyderabad, Telangana 500048, India",https://www.google.co.kr/maps/place/SK9+Fitness+Studio+(+UNISEX+GYM+)/data=!4m5!3m4!1s0x3bcb972e52b7665d:0x390e63a286d327e9!8m2!3d17.3644979!4d78.4286579?authuser=0&hl=en&rclk=1
Solitaire Fitness | Top Gym in Hyderabad,Fitness center,"Plot no. 37, 38, 39, 4th Floor, Kothapet Rd, above Sanjeevani Hospital, New Nagole Colony, Hyderabad, Telangana 500068, India",https://www.google.co.kr/maps/place/Solitaire+Fitness+%7C+Top+Gym+in+Hyderabad/data=!4m5!3m4!1s0x3bcb98dad442fdbf:0x8a33a991d269e97!8m2!3d17.3740087!4d78.5520824?authuser=0&hl=en&rclk=1
Gold's Gym,Gym,"8-2 701/2, Rd Number 12, Amudi Nagar, Bhola Nagar, Banjara Hills, Hyderabad, Telangana 500034, India",https://www.google.co.kr/maps/place/Gold's+Gym/data=!4m5!3m4!1s0x3bcb973c7d4c2e31:0x73f87a742523c202!8m2!3d17.4071381!4d78.443978?authuser=0&hl=en&rclk=1
Sky Gym,Gym,"1-8-628, Hyderabad - Warangal Hwy, above Adidas & fab india Showroom, Nakkala Gutta, Hanamkonda, Telangana 506001, India",https://www.google.co.kr/maps/place/Sky+Gym/data=!4m5!3m4!1s0x3a334f7e5e5fc983:0x889385f265988146!8m2!3d18.0048348!4d79.5579952?authuser=0&hl=en&rclk=1
Live It Fitness,Gym,"Prashanthinagar Main Rd, Prashanthinagar, Prashanth Nagar, Uppal, Hyderabad, Telangana 500039, India",https://www.google.co.kr/maps/place/Live+It+Fitness/data=!4m5!3m4!1s0x3bcb9937bc83428d:0x5167ad541b8c1c2f!8m2!3d17.4074344!4d78.5565035?authuser=0&hl=en&rclk=1
Solitaire Fitness Plus,Gym,"Shop No. 8-1-351/A/7, M.K Enpires, Opposite Galaxy Theatre, Aditya Nagar Beside Ratndeep Super Market and, above RedTape shoe store, Shaikpet, Hyderabad, Telangana 500008, India",https://www.google.co.kr/maps/place/Solitaire+Fitness+Plus/data=!4m5!3m4!1s0x3bcb974a8a4281cf:0x2985e64a91833e4f!8m2!3d17.4039396!4d78.4073666?authuser=0&hl=en&rclk=1
