Company_Name,Category,Address,Url
B Town Fitness,Gym,"1st Floor 56B, Swasti Bazar, Hari Ganga Basak Rd, Agartala, 799001, India",https://www.google.co.kr/maps/place/B+Town+Fitness/data=!4m5!3m4!1s0x3753f472aafbf75b:0xe30598b188d52b87!8m2!3d23.82938!4d91.279384?authuser=0&hl=en&rclk=1
Soham Health & Fitness Club,Fitness center,"Shibnagar, Dhaleswar, Agartala, Tripura 799001, India",https://www.google.co.kr/maps/place/Soham+Health+%26+Fitness+Club/data=!4m5!3m4!1s0x3753f3f5306dff9f:0x4ed85a91346f45e4!8m2!3d23.8300189!4d91.2908358?authuser=0&hl=en&rclk=1
Asian Gym,Gym,"R7WM+G84, Abhay Nagar, Agartala, Tripura 799005, India",https://www.google.co.kr/maps/place/Asian+Gym/data=!4m5!3m4!1s0x3753f5c0123147ad:0x149eebbf9e8a1992!8m2!3d23.8462515!4d91.2833348?authuser=0&hl=en&rclk=1
Fitness World Gym.,Gym,"Bhati Abhoynagar Airport Rd, Nutan Nagar, Agartala, Tripura 799009, India",https://www.google.co.kr/maps/place/Fitness+World+Gym./data=!4m5!3m4!1s0x3753f70e29505e2f:0xa51f229cccc59667!8m2!3d23.879046!4d91.2689705?authuser=0&hl=en&rclk=1
"Empire of fitness, Agartala",Gym,"Second floor, Ganaraj chowmuhani, near Bajaj Auto Showroom, Agartala, Tripura 799007, India","https://www.google.co.kr/maps/place/Empire+of+fitness,+Agartala/data=!4m5!3m4!1s0x3753f57be8fc97ad:0x5306a0f4e54b5940!8m2!3d23.834258!4d91.2889353?authuser=0&hl=en&rclk=1"
Brosco fitness & gym,Gym,"Mohanpur, simna road, Agartala, Tripura 799211, India",https://www.google.co.kr/maps/place/Brosco+fitness+%26+gym/data=!4m5!3m4!1s0x3753e513167574e7:0x441939e3648f3f5!8m2!3d23.9654!4d91.37104?authuser=0&hl=en&rclk=1
SLIM & FIT INSTITUTE AN- INTERNATIONAL STANDARD ORGANIZATION (TM),Fitness center,"Durga Bari Rd, beside Durga Mandir, Palace Compound, Indranagar, Agartala, Tripura 799001, India",https://www.google.co.kr/maps/place/SLIM+%26+FIT+INSTITUTE+AN-+INTERNATIONAL+STANDARD+ORGANIZATION+(TM)/data=!4m5!3m4!1s0x3753f40dc6395a57:0x555f534c8446e2f4!8m2!3d23.8341036!4d91.2811712?authuser=0&hl=en&rclk=1
Fitness Explosion,Gym,"College Tilla, Adarshapalli, Agartala, Tripura 799004, India",https://www.google.co.kr/maps/place/Fitness+Explosion/data=!4m5!3m4!1s0x3753f2faaaaaaaed:0x3fc3ac38c8dd9555!8m2!3d23.822525!4d91.2909992?authuser=0&hl=en&rclk=1
Fitland40 Gym Center,Gym,"ONGC BANK CHOWHAMANI, Badharghat, Agartala, Tripura 799014, India",https://www.google.co.kr/maps/place/Fitland40+Gym+Center/data=!4m5!3m4!1s0x3753f56cd3aed669:0xc139428cec364980!8m2!3d23.7931354!4d91.2690416?authuser=0&hl=en&rclk=1
Fitness Planet Gym,Gym,"Noagaon, Kshudiram Palli, Indranagar, Agartala, Tripura 799006, India",https://www.google.co.kr/maps/place/Fitness+Planet+Gym/data=!4m5!3m4!1s0x3753f14fb8a0b709:0xf8c8e6604b9ede8d!8m2!3d23.8575312!4d91.3037807?authuser=0&hl=en&rclk=1
Neloy Gym Center,Gym,"W Paragraph Rd, West Pratapgarh, Bardowali, Agartala, Tripura 799003, India",https://www.google.co.kr/maps/place/Neloy+Gym+Center/data=!4m5!3m4!1s0x3753f465e3fca035:0x6e6d73a9a3d6c4e9!8m2!3d23.8172805!4d91.2755081?authuser=0&hl=en&rclk=1
Muscle Tuning unisex Gym.,Gym,"Hapania, Agartala, Tripura 799014, India",https://www.google.co.kr/maps/place/Muscle+Tuning+unisex+Gym./data=!4m5!3m4!1s0x3753f53793692c95:0x478d7b3138ca068b!8m2!3d23.7848573!4d91.2601753?authuser=0&hl=en&rclk=1
Mahatejas Gym,Gym,"Ramthakur Rd, Pratapgarh, Agartala, Tripura 799001, India",https://www.google.co.kr/maps/place/Mahatejas+Gym/data=!4m5!3m4!1s0x3753f5c0177008b3:0xab35125ce3e3cdb8!8m2!3d23.824143!4d91.2865019?authuser=0&hl=en&rclk=1
Nakul Selon,Gym,"Sakuntala Rd, Indranagar, Agartala, Tripura 799001, India",https://www.google.co.kr/maps/place/Nakul+Selon/data=!4m5!3m4!1s0x3753f40d125390b3:0xaea9a2083beb7fb7!8m2!3d23.8314451!4d91.2808507?authuser=0&hl=en&rclk=1
