Company_Name,Category,Address,Url
Vigour gym nainital,Gym,"Bus Stop, Sukhatal, Nainital - Kaladungi Rd, Sherwani, Nainital, Uttarakhand 263001, India",https://www.google.co.kr/maps/place/Vigour+gym+nainital/data=!4m5!3m4!1s0x39a0a11c748c090f:0xda4dda2a3f0bfc4a!8m2!3d29.3928178!4d79.4464879?authuser=0&hl=en&rclk=1
ऐजिडिंया मन्दिर,Gym,"9FH7+HG9, Tallital, लमजिगाढा, Uttarakhand 263002, India",https://www.google.co.kr/maps/place/%E0%A4%90%E0%A4%9C%E0%A4%BF%E0%A4%A1%E0%A4%BF%E0%A4%82%E0%A4%AF%E0%A4%BE+%E0%A4%AE%E0%A4%A8%E0%A5%8D%E0%A4%A6%E0%A4%BF%E0%A4%B0/data=!4m5!3m4!1s0x39a0a119265cab3f:0x1e0c8aab03fbf3b9!8m2!3d29.3789094!4d79.4638555?authuser=0&hl=en&rclk=1
Anytime Health Club,Gym,"9GJC+PRP, Bhowali, Sukha, Uttarakhand 263132, India",https://www.google.co.kr/maps/place/Anytime+Health+Club/data=!4m5!3m4!1s0x39a0a28412181455:0xd2ccbb3181ec72da!8m2!3d29.3818414!4d79.5220926?authuser=0&hl=en&rclk=1
The bulls gym,Gym,"opp. Nainital club, Mallital, Nainital, Uttarakhand 263001, India",https://www.google.co.kr/maps/place/The+bulls+gym/data=!4m5!3m4!1s0x39a0a1d7f66766bf:0x8329a916e4aef01b!8m2!3d29.3948609!4d79.4497162?authuser=0&hl=en&rclk=1
A1 fitness zone,Gym,"Bhowali - Nainital Rd, Bhawanipur, Uttarakhand 263132, India",https://www.google.co.kr/maps/place/A1+fitness+zone/data=!4m5!3m4!1s0x39a0a3c646ea578f:0x511a0a6d8b529632!8m2!3d29.3879845!4d79.513931?authuser=0&hl=en&rclk=1
Focus The Gym Haldwani,Gym,"8/198, Kaladhungi Rd, near Bank of India, Aishbagh, Haldwani, Uttarakhand 263139, India",https://www.google.co.kr/maps/place/Focus+The+Gym+Haldwani/data=!4m5!3m4!1s0x39a09dff42e5d7f1:0xccc523f1c733c403!8m2!3d29.2505464!4d79.444748?authuser=0&hl=en&rclk=1
Nainital 🥊 boxing club,Boxing gym,"dewan restaurant, next to shiv mandir, snow view, Mallital, Nainital, Uttarakhand 263001, India",https://www.google.co.kr/maps/place/Nainital+%F0%9F%A5%8A+boxing+club/data=!4m5!3m4!1s0x39a0a1ac590d47db:0x5427b380389e4ced!8m2!3d29.3963526!4d79.4599831?authuser=0&hl=en&rclk=1
Multipurpose Hall,Gym,"9F89+JFX, Beluwakhan, Uttarakhand 263002, India",https://www.google.co.kr/maps/place/Multipurpose+Hall/data=!4m5!3m4!1s0x39a09f5494f4b799:0x7db268e4b73d9977!8m2!3d29.3666035!4d79.468721?authuser=0&hl=en&rclk=1
Sports Mitra,Gym,"9GFG+RXF, Nagri Gaon, Uttarakhand 263156, India",https://www.google.co.kr/maps/place/Sports+Mitra/data=!4m5!3m4!1s0x39a09877edc0d095:0x36a8cd6e7b4ae0ea!8m2!3d29.3745654!4d79.5274311?authuser=0&hl=en&rclk=1
Mayank Jym for Ladies and Jents,Gym,"Nainital Rd, Kaladhungi, Uttarakhand 263140, India",https://www.google.co.kr/maps/place/Mayank+Jym+for+Ladies+and+Jents/data=!4m5!3m4!1s0x390a75339141e66d:0xf8a44d54b109231e!8m2!3d29.2937273!4d79.3378276?authuser=0&hl=en&rclk=1
Focus The Gym,Gym,"8/198, Kaladhungi Rd, near Bank of India, Pant Colony, Aishbagh, Haldwani, Uttarakhand 263139, India",https://www.google.co.kr/maps/place/Focus+The+Gym/data=!4m5!3m4!1s0x39a09bcc13dac961:0xdc9ff37cb2d00527!8m2!3d29.2171375!4d79.5196411?authuser=0&hl=en&rclk=1
Gold's Gym,Gym,"171/2, National Highway 87 Walkway Mall, 4th Floor, Bareilly - Nainital Rd, Brij Vihar, Thapa Colony, Haldwani, Uttarakhand 263126, India",https://www.google.co.kr/maps/place/Gold's+Gym/data=!4m5!3m4!1s0x39a09a5e7bb37117:0x702a6384e81bad45!8m2!3d29.2450284!4d79.5356577?authuser=0&hl=en&rclk=1
DAKSH GYM AND FITNESS CENTRE Haldwani,Gym,"Pandey Niwas, Opposite Bhotia Market Ratan Kunj Colony, Kaladhungi Rd, Haldwani, Uttarakhand 263139, India",https://www.google.co.kr/maps/place/DAKSH+GYM+AND+FITNESS+CENTRE+Haldwani/data=!4m5!3m4!1s0x39a09bacba186e99:0x4c5ab9604b58aad6!8m2!3d29.2170346!4d79.5244952?authuser=0&hl=en&rclk=1
Fitness Evaluation,Gym,"Shiv Puri, Damuadhunga, Uttarakhand 263139, India",https://www.google.co.kr/maps/place/Fitness+Evaluation/data=!4m5!3m4!1s0x39a09a57bedd77c3:0x9115584f6f03d0ea!8m2!3d29.2393637!4d79.524949?authuser=0&hl=en&rclk=1
FITNESS EVALUATION,Gym,"Pilikothi Rd, Badi Mukhani, Pilikothi, Haldwani, Uttarakhand 263139, India",https://www.google.co.kr/maps/place/FITNESS+EVALUATION/data=!4m5!3m4!1s0x39a09bfb5c2597c9:0xdf39147dcf86fee6!8m2!3d29.2117435!4d79.506206?authuser=0&hl=en&rclk=1
Fitness Mantra,Gym,"Nawabi Rd, near mahila degree college, Durga Colony, Subhash Nagar, Haldwani, Uttarakhand 263139, India",https://www.google.co.kr/maps/place/Fitness+Mantra/data=!4m5!3m4!1s0x39a09af0a3c63afb:0xfdb70915d98d50e5!8m2!3d29.2258215!4d79.5276123?authuser=0&hl=en&rclk=1
Gravity Fitness Gym,Gym,"Kaladhungi Rd, Unchapul, Haldwani, Uttarakhand 263126, India",https://www.google.co.kr/maps/place/Gravity+Fitness+Gym/data=!4m5!3m4!1s0x39a09b1028cfb23f:0x41436d82abf866eb!8m2!3d29.2242014!4d79.5019738?authuser=0&hl=en&rclk=1
Mananya fitness club,Gym,"Kamalwaganja Rd, Shiv Puram Phase -I, Kamaluaganja, Himmatpur Malla, Haldwani, Uttarakhand 263139, India",https://www.google.co.kr/maps/place/Mananya+fitness+club/data=!4m5!3m4!1s0x39a09b25117938e5:0x8849763bd66e6c28!8m2!3d29.2144996!4d79.4789128?authuser=0&hl=en&rclk=1
MUSCLE MILL GYM,Gym,"Bhotiya parow, Haldwani, Uttarakhand 263140, India",https://www.google.co.kr/maps/place/MUSCLE+MILL+GYM/data=!4m5!3m4!1s0x39a09af72af2de07:0x7d9b51bcdcaee4da!8m2!3d29.232339!4d79.529202?authuser=0&hl=en&rclk=1
Flow Fitness Gym,Fitness center,"Durga Tower, 2nd floor, Unchapul, Haldwani, Uttarakhand 263139, India",https://www.google.co.kr/maps/place/Flow+Fitness+Gym/data=!4m5!3m4!1s0x39a09bb87e4ed80d:0x22053f5c1a970652!8m2!3d29.2268604!4d79.495416?authuser=0&hl=en&rclk=1
Sai Fitness Point,Boxing gym,"6FQF+XHV, Bithoria No. 2, Ramari Ansingh, Uttarakhand 263126, India",https://www.google.co.kr/maps/place/Sai+Fitness+Point/data=!4m5!3m4!1s0x39a09b86cfd3828f:0x665abe9afe0edb65!8m2!3d29.2399779!4d79.4739282?authuser=0&hl=en&rclk=1
Uttarakhand Health Club,Gym,"527C+62P, Paramanandpur, Uttarakhand 244713, India",https://www.google.co.kr/maps/place/Uttarakhand+Health+Club/data=!4m5!3m4!1s0x390a681d4fcc1c21:0x28df559141f2c095!8m2!3d29.1630824!4d79.0200683?authuser=0&hl=en&rclk=1
