Company_Name,Category,Address,Url
"Medicover Hospitals, Nellore, Andhra Pradesh | Best Hospital in Nellore",General hospital,"NH-5, Chinthareddypalem Cross road, Alahari Nagar, Chintareddy Palem, Nellore, Andhra Pradesh 524003, India","https://www.google.co.kr/maps/place/Medicover+Hospitals,+Nellore,+Andhra+Pradesh+%7C+Best+Hospital+in+Nellore/data=!4m5!3m4!1s0x3a4cf3504c5b2a3d:0xfc8337a31b24e2c!8m2!3d14.4366521!4d79.9992737?authuser=0&hl=en&rclk=1"
Seven Hills Hospital,General hospital,"Rockdale Layout, Waltair Main Rd, Ram Nagar, Visakhapatnam, Andhra Pradesh 530002, India",https://www.google.co.kr/maps/place/Seven+Hills+Hospital/data=!4m5!3m4!1s0x3a39691851b88ab7:0x122ec1f5747fbce8!8m2!3d17.7172617!4d83.3093477?authuser=0&hl=en&rclk=1
Apollo Hospitals Ramnagar Vizag,General hospital,"Door No 10, Executive Court, 50-80, Waltair Main Rd, opp. Daspalla, Ram Nagar, Visakhapatnam, Andhra Pradesh 530002, India",https://www.google.co.kr/maps/place/Apollo+Hospitals+Ramnagar+Vizag/data=!4m5!3m4!1s0x3a3943169c8fac4f:0xf0b4c66e5ecb574f!8m2!3d17.7172512!4d83.3091802?authuser=0&hl=en&rclk=1
Time Hospital,Private hospital,"Bus Stop, 11/150 Vijayawada Road Opp Ashoknagar, Sanath Nagar, Vijayawada, Andhra Pradesh 520007, India",https://www.google.co.kr/maps/place/Time+Hospital/data=!4m5!3m4!1s0x3a35fb1e25db55c5:0xb669c5e4d093e7b3!8m2!3d16.4876592!4d80.6774803?authuser=0&hl=en&rclk=1
Apollo Hospitals Kakinada,Private hospital,"#13-1-3, Main Road, Surya Rao Peta, Kakinada, Andhra Pradesh 533001, India",https://www.google.co.kr/maps/place/Apollo+Hospitals+Kakinada/data=!4m5!3m4!1s0x3a3780d0ccb077b7:0x2f529c4e08c9473b!8m2!3d16.9605545!4d82.2358552?authuser=0&hl=en&rclk=1
Queen's NRI Hospital,Hospital,"d.no, 50-53-14, Gurudwara Rd, Balayya Sastri Layout, Seethammadara, Visakhapatnam, Andhra Pradesh 530013, India",https://www.google.co.kr/maps/place/Queen's+NRI+Hospital/data=!4m5!3m4!1s0x3a3943311226a1ed:0x2f12873df4d18d45!8m2!3d17.7404065!4d83.3081929?authuser=0&hl=en&rclk=1
SevenHills Hospital,General hospital,"Door No. 11-4-4/A, Waltair Main Road Ram Nagar Rockdale Layout, Visakhapatnam, Andhra Pradesh 530002, India",https://www.google.co.kr/maps/place/SevenHills+Hospital/data=!4m5!3m4!1s0x3a394315d34e4a3d:0xa591b07d804626ac!8m2!3d17.7173026!4d83.3095681?authuser=0&hl=en&rclk=1
Andhra Hospitals,Private hospital,"ZP High School, Moulangar Masjid Rd Opp, Bhavanipuram, Gollapudi, Vijayawada, Andhra Pradesh 521225, India",https://www.google.co.kr/maps/place/Andhra+Hospitals/data=!4m5!3m4!1s0x3a35ee4a4ef7f55d:0x9f29a806f12d4795!8m2!3d16.536301!4d80.584723?authuser=0&hl=en&rclk=1
Sentini Hospital,General hospital,"54-15-5 B&C, Ring Rd, beside Vinayak Theatre, Vijayawada, Andhra Pradesh 520008, India",https://www.google.co.kr/maps/place/Sentini+Hospital/data=!4m5!3m4!1s0x3a35e52a9cc6edbf:0x6b1de8b11f398fa0!8m2!3d16.509834!4d80.6649419?authuser=0&hl=en&rclk=1
Aayush Hospitals,Private hospital,"48-13-3 3A Ring Road Opp.Siddhartha Medical College, Sri Ramachandra Nagar, Vijayawada, Andhra Pradesh 520008, India",https://www.google.co.kr/maps/place/Aayush+Hospitals/data=!4m5!3m4!1s0x3a35e52a588982d3:0x347b24cb13754346!8m2!3d16.517483!4d80.675097?authuser=0&hl=en&rclk=1
