Company_Name,Category,Address,Url
Makunda Christian Leprosy and General Hospital,General hospital,"Bazaricherra, Karimganj, Assam 788727, India",https://www.google.co.kr/maps/place/Makunda+Christian+Leprosy+and+General+Hospital/data=!4m5!3m4!1s0x3751e668f510e06b:0xf378e3fcdef6bcc3!8m2!3d24.4320197!4d92.3306894?authuser=0&hl=en&rclk=1
Apollo Hospitals,Hospital,"Lotus Tower, International Hospitals, GS Rd, Christian Basti, Guwahati, Assam 781005, India",https://www.google.co.kr/maps/place/Apollo+Hospitals/data=!4m5!3m4!1s0x375a59d33f53f3bf:0xd15d18fec81f6c71!8m2!3d26.1540453!4d91.781269?authuser=0&hl=en&rclk=1
"Narayana Superspeciality Hospital, Guwahati",Hospital,"Civil Hospital Complex Greenland Restaurant Tularam Bafna, Amingaon, Guwahati, Assam 781031, India","https://www.google.co.kr/maps/place/Narayana+Superspeciality+Hospital,+Guwahati/data=!4m5!3m4!1s0x375a5ab28a679979:0xb0b8162cac1a1986!8m2!3d26.2077161!4d91.6776602?authuser=0&hl=en&rclk=1"
Wintrobe Hospital : Multispeciality Hospital /24 Hours Service Medical/Affordable Cost Hospital in Guwahati,General hospital,"GNB Rd, Ambari, Guwahati, Assam 781001, India",https://www.google.co.kr/maps/place/Wintrobe+Hospital+:+Multispeciality+Hospital+%2F24+Hours+Service+Medical%2FAffordable+Cost+Hospital+in+Guwahati/data=!4m5!3m4!1s0x375a59886ee148c9:0xafb99e2cc640a8a2!8m2!3d26.185424!4d91.7560487?authuser=0&hl=en&rclk=1
UNITED HOSPITAL,General hospital,"Circuit House, Road, Raj Nagar, Nalbari, Assam 781335, India",https://www.google.co.kr/maps/place/UNITED+HOSPITAL/data=!4m5!3m4!1s0x375bcc90f7c384c9:0x5feed51f199bf987!8m2!3d26.4444749!4d91.432136?authuser=0&hl=en&rclk=1
Dispur Hospitals Private Limited,Private hospital,"Ganeshguri Flyover, GMC Ward Number 44, Swaraj Nagar, Ganeshguri, Guwahati, Assam 781006, India",https://www.google.co.kr/maps/place/Dispur+Hospitals+Private+Limited/data=!4m5!3m4!1s0x375a5918bbf15167:0x55cdfb20dff0d0bb!8m2!3d26.149691!4d91.7865839?authuser=0&hl=en&rclk=1
Agile Hospitals Private Limited,Private hospital,"Tripura Rd Beltola, Jayanagar Chariali, Khanapara, Guwahati, Assam 781022, India",https://www.google.co.kr/maps/place/Agile+Hospitals+Private+Limited/data=!4m5!3m4!1s0x375a5f330cf3f517:0xe3e1cdbed2ba600f!8m2!3d26.1222234!4d91.8059635?authuser=0&hl=en&rclk=1
Hayat Hospital,Hospital,"Kahilipara Main Rd, Odalbakra, Kahilipara, Guwahati, Assam 781034, India",https://www.google.co.kr/maps/place/Hayat+Hospital/data=!4m5!3m4!1s0x375a5be51bf57fbf:0xfdf263c0492a4389!8m2!3d26.1390902!4d91.7462166?authuser=0&hl=en&rclk=1
Apollo Hospitals and Clinic (GHY),Hospital,"Kanchan Rd, South Sarania, Lachit Nagar, Guwahati, Assam 781007, India",https://www.google.co.kr/maps/place/Apollo+Hospitals+and+Clinic+(GHY)/data=!4m5!3m4!1s0x375a596c3c824f37:0x591fe77230cf668b!8m2!3d26.1691983!4d91.7629948?authuser=0&hl=en&rclk=1
Cancer Hospital,Hospital,"5Q58+X3C, Bhangagarh, Guwahati, Assam 781007, India",https://www.google.co.kr/maps/place/Cancer+Hospital/data=!4m5!3m4!1s0x375a596e21aac1ff:0x23f85a3aed117027!8m2!3d26.159925!4d91.7651447?authuser=0&hl=en&rclk=1
Mahendra Mohan Choudhury Hospital,General hospital,"MG Road, Fancy Bazaar, Guwahati, Assam 781001, India",https://www.google.co.kr/maps/place/Mahendra+Mohan+Choudhury+Hospital/data=!4m5!3m4!1s0x375a5a3a132c4573:0x4f3420c9d5a33d8!8m2!3d26.1855023!4d91.7405819?authuser=0&hl=en&rclk=1
