Company_Name,Category,Address,Url
"Indraprastha Apollo Hospitals, New Delhi",General hospital,"Indraprastha Apollo Hospita, Mathura Rd, Jasola Vihar, New Delhi, Delhi 110076, India","https://www.google.co.kr/maps/place/Indraprastha+Apollo+Hospitals,+New+Delhi/data=!4m5!3m4!1s0x390ce6ad13eaaa99:0x3bc07ad476bc6d77!8m2!3d28.5415087!4d77.2833256?authuser=0&hl=en&rclk=1"
Holy Family Hospital,General hospital,"Okhla Rd, Okhla, New Delhi, Delhi 110025, India",https://www.google.co.kr/maps/place/Holy+Family+Hospital/data=!4m5!3m4!1s0x390ce3929e6d3319:0xcd2355b56b80d9cf!8m2!3d28.5618161!4d77.2751113?authuser=0&hl=en&rclk=1
"Fortis Escorts Heart Institute, Okhla Road",Hospital,"Okhla road, Sukhdev Vihar Metro Station, New Delhi, Delhi 110025, India","https://www.google.co.kr/maps/place/Fortis+Escorts+Heart+Institute,+Okhla+Road/data=!4m5!3m4!1s0x390ce392b869bbaf:0x865db71ba6f271b2!8m2!3d28.5606583!4d77.2739036?authuser=0&hl=en&rclk=1"
"Fortis Hospital, Shalimar Bagh",General hospital,"AA-299, Shaheed Udham Singh Marg, AA Block, Poorbi Shalimar Bag, Shalimar Bagh, Delhi, 110088, India","https://www.google.co.kr/maps/place/Fortis+Hospital,+Shalimar+Bagh/data=!4m5!3m4!1s0x390d02206e9e71cf:0xb096542618cd68b4!8m2!3d28.7095568!4d77.169913?authuser=0&hl=en&rclk=1"
Kalra Hospital,General hospital,"Tulsi Dass Kalra Marg, Kirti Nagar, New Delhi, Delhi 110015, India",https://www.google.co.kr/maps/place/Kalra+Hospital/data=!4m5!3m4!1s0x390d0305d0ebb29b:0x2ec2ca5c738fd184!8m2!3d28.6552017!4d77.138551?authuser=0&hl=en&rclk=1
Delhi Institute of Trauma & Orthopedics (DITO) - Best Orthopaedic Hospital in Delhi NCR India,Hospital,"Room No-408, Ground Floor, Sant Parmanand Hospital 18, Sham Nath Marg,Civil Lines North Delhi, New Delhi, Delhi 110054, India",https://www.google.co.kr/maps/place/Delhi+Institute+of+Trauma+%26+Orthopedics+(DITO)+-+Best+Orthopaedic+Hospital+in+Delhi+NCR+India/data=!4m5!3m4!1s0x390cfda46f8dff79:0xe1297e53dae93a1d!8m2!3d28.677715!4d77.2241011?authuser=0&hl=en&rclk=1
NCR HOSPITAL NEW DELHI,Hospital,"Masjid Abdul Ghani, 23 A, Chelmsford Rd, Aram Bagh, Paharganj, New Delhi, Delhi 110055, India",https://www.google.co.kr/maps/place/NCR+HOSPITAL+NEW+DELHI/data=!4m5!3m4!1s0x390cfdcaadb2ecc9:0x3757269eb5aa48b4!8m2!3d28.6363904!4d77.2180137?authuser=0&hl=en&rclk=1
Hospital,General hospital,"Sarita Vihar, Mathura Rd, Patparganj, Mayur Vihar, New Delhi, Delhi 110076, India",https://www.google.co.kr/maps/place/Hospital/data=!4m5!3m4!1s0x390ce4a6df211531:0x48e9ea46b1fef1db!8m2!3d28.6133259!4d77.2898619?authuser=0&hl=en&rclk=1
Artemis Hospitals Dwarka,General hospital,"Sector 20 Dwarka, Dwarka, New Delhi, Delhi 110075, India",https://www.google.co.kr/maps/place/Artemis+Hospitals+Dwarka/data=!4m5!3m4!1s0x390d1b03c0000001:0x3eb1330d284a7209!8m2!3d28.5709273!4d77.0593246?authuser=0&hl=en&rclk=1
BLK-Max Super Speciality Hospital,Hospital,"Pusa Rd, Radha Soami Satsang, Rajendra Place, New Delhi, Delhi 110005, India",https://www.google.co.kr/maps/place/BLK-Max+Super+Speciality+Hospital/data=!4m5!3m4!1s0x390d029633b6af21:0x9a67323b63bcc188!8m2!3d28.6433105!4d77.1796932?authuser=0&hl=en&rclk=1
