Company_Name,Category,Address,Url
Manipal Hospitals Goa,Private hospital,"Panaji, Dr E Borges Rd, Dona Paula, Goa 403004, India",https://www.google.co.kr/maps/place/Manipal+Hospitals+Goa/data=!4m5!3m4!1s0x3bbfc0cb6f59b763:0x5fef15ef316a7759!8m2!3d15.4600059!4d73.813462?authuser=0&hl=en&rclk=1
Victor Hospital,General hospital,"Old Station Rd, near Carmelite Monastery, Malbhat, Margao, Goa 403601, India",https://www.google.co.kr/maps/place/Victor+Hospital/data=!4m5!3m4!1s0x3bbfb3c6c5c4520d:0xa4045e195fdd67b3!8m2!3d15.2689598!4d73.9663188?authuser=0&hl=en&rclk=1
Galaxy Hospital Mapusa Goa,Private hospital,"JR47+86M, Mapusa, Goa 403519, India",https://www.google.co.kr/maps/place/Galaxy+Hospital+Mapusa+Goa/data=!4m5!3m4!1s0x3bbfeb19fda362a9:0xded12d6f905c6f2!8m2!3d15.6058396!4d73.813057?authuser=0&hl=en&rclk=1
Nagarsenkar's Classic Hospital,Hospital,"Malbhat, Margao, Goa 403601, India",https://www.google.co.kr/maps/place/Nagarsenkar's+Classic+Hospital/data=!4m5!3m4!1s0x3bbfb3c6b6f12adb:0xfa0d0e4c8d9e7ff6!8m2!3d15.269592!4d73.965776?authuser=0&hl=en&rclk=1
Sushrutzi Dr Dhulapkar's Hospital,Private hospital,"Ponda - Panaji Rd, behind Indian Overseas Bank, Carambolim, Corlim, Goa 403110, India",https://www.google.co.kr/maps/place/Sushrutzi+Dr+Dhulapkar's+Hospital/data=!4m5!3m4!1s0x3bbfbe9c46957c8f:0x9a3b499da4b42900!8m2!3d15.4972637!4d73.9320968?authuser=0&hl=en&rclk=1
Royal Hospital,General hospital,"Aquem ,Margao, Goa( South ), Off Power House Road, Margao, Goa 403601, India",https://www.google.co.kr/maps/place/Royal+Hospital/data=!4m5!3m4!1s0x3bbfb3c8b21a84a1:0xbcabb344e6f8eaf9!8m2!3d15.2708414!4d73.9720919?authuser=0&hl=en&rclk=1
"North Goa District Hospital, Mapusa",Government hospital,"Mapusa Jamatkhana Road, Peddem, Mapusa, Goa 403507, India","https://www.google.co.kr/maps/place/North+Goa+District+Hospital,+Mapusa/data=!4m5!3m4!1s0x3bbfeb20441cb14f:0x3780637101679c2f!8m2!3d15.5968924!4d73.8201766?authuser=0&hl=en&rclk=1"
St. Anthony's Hospital,Private hospital,"Petrol Pump, Zorin, near Anjuna, Anjuna, Goa 403509, India",https://www.google.co.kr/maps/place/St.+Anthony's+Hospital/data=!4m5!3m4!1s0x3bbfebd79ccbac43:0xe29458d29f4af85b!8m2!3d15.6004349!4d73.7506254?authuser=0&hl=en&rclk=1
Bosio Hospital,Private hospital,"Football Ground, Pintos Waddo, Pilerne - Candolim Rd, opposite Montero, Candolim, Goa 403515, India",https://www.google.co.kr/maps/place/Bosio+Hospital/data=!4m5!3m4!1s0x3bbfeca855555555:0x9728e3374f476a15!8m2!3d15.5199136!4d73.7708411?authuser=0&hl=en&rclk=1
Healthway Hospital,Hospital,"Rua Armada Portuguesa, Mala, Fantainhas, Altinho, near People's High School, Panaji, Goa 403001, India",https://www.google.co.kr/maps/place/Healthway+Hospital/data=!4m5!3m4!1s0x3bbfc0854a4ea0d7:0x6b321ec0897e1f68!8m2!3d15.4941205!4d73.8310719?authuser=0&hl=en&rclk=1
