Company_Name,Category,Address,Url
Dr Kasbekar Sterling Hospital,General hospital,"Sion - Panvel Expy, Sector 7, Vashi, Navi Mumbai, Maharashtra 400703, India",https://www.google.co.kr/maps/place/Dr+Kasbekar+Sterling+Hospital/data=!4m5!3m4!1s0x3be7c6b67f73b3d7:0x6256f6239ebc9f09!8m2!3d19.0698822!4d72.9874113?authuser=0&hl=en&rclk=1
Jaslok Hospital and Research Centre,General hospital,"15, Pedder Rd, IT Colony, Tardeo, Mumbai, Maharashtra 400026, India",https://www.google.co.kr/maps/place/Jaslok+Hospital+and+Research+Centre/data=!4m5!3m4!1s0x3be7ce76d1f47593:0x73af47ca4e2965c7!8m2!3d18.9715776!4d72.8099563?authuser=0&hl=en&rclk=1
Jehangir Hospital,General hospital,"32, Sasoon Rd, Opposite Railway Station, Central Excise Colony, Sangamvadi, Pune, Maharashtra 411001, India",https://www.google.co.kr/maps/place/Jehangir+Hospital/data=!4m5!3m4!1s0x3bc2c05816d29283:0xfe98c3452724e113!8m2!3d18.5303448!4d73.8767266?authuser=0&hl=en&rclk=1
"Wockhardt Hospital, Nashik",Hospital,"Wani House, Mumbai - Agra National Hwy, Wadala Naka, Nashik, Maharashtra 422001, India","https://www.google.co.kr/maps/place/Wockhardt+Hospital,+Nashik/data=!4m5!3m4!1s0x3bddeb036d423f9f:0x5e9b17cbe10809ab!8m2!3d19.9915858!4d73.7904216?authuser=0&hl=en&rclk=1"
"P. D. Hinduja Hospital & Medical Research Centre, Khar Facility",General hospital,"Marvela, 724, 11th Rd, Khar, Khar West, Mumbai, Maharashtra 400052, India","https://www.google.co.kr/maps/place/P.+D.+Hinduja+Hospital+%26+Medical+Research+Centre,+Khar+Facility/data=!4m5!3m4!1s0x3be7c9c937305407:0x1b516e73633d6ff8!8m2!3d19.0679148!4d72.8353697?authuser=0&hl=en&rclk=1"
Saifee Hospital,Private hospital,"15/17, Maharshi Karve Rd, Charni Road East, Opera House, Girgaon, Mumbai, Maharashtra 400004, India",https://www.google.co.kr/maps/place/Saifee+Hospital/data=!4m5!3m4!1s0x3be7ce1a9b19f6e5:0xc8b9c2b8a00a89ae!8m2!3d18.9525179!4d72.8182311?authuser=0&hl=en&rclk=1
,,,https://www.google.co.kr/maps/place/Fortis+Hospital+Mulund/data=!4m5!3m4!1s0x3be7b85e410ad361:0x6ca97bfe9216e096!8m2!3d19.1617315!4d72.9419077?authuser=0&hl=en&rclk=1
Wockhardt Super Speciality Hospitals,Hospital,"1643 North Ambazari Road Daga College, beside Lady Amritbai, Shankar Nagar, Nagpur, Maharashtra 440033, India",https://www.google.co.kr/maps/place/Wockhardt+Super+Speciality+Hospitals/data=!4m5!3m4!1s0x3bd4c062371add07:0x799e386a8892d428!8m2!3d21.1347198!4d79.0585623?authuser=0&hl=en&rclk=1
Lilavati Hospital And Research Centre,Private hospital,"A-791, Bandra Reclamation Rd, General Arunkumar Vaidya Nagar, Bandra West, Mumbai, Maharashtra 400050, India",https://www.google.co.kr/maps/place/Lilavati+Hospital+And+Research+Centre/data=!4m5!3m4!1s0x3be7c938c9dfd491:0x88790013d219e1cc!8m2!3d19.050972!4d72.8290192?authuser=0&hl=en&rclk=1
"Sahyadri Super Speciality Hospital, Deccan Gymkhana",Specialized hospital,"Plot No. 30-C, Erandvane, Karve Rd, Deccan Gymkhana, Pune, Maharashtra 411004, India","https://www.google.co.kr/maps/place/Sahyadri+Super+Speciality+Hospital,+Deccan+Gymkhana/data=!4m5!3m4!1s0x3bc2bf89a5c2551f:0xe5a1afe1c6049f8b!8m2!3d18.513111!4d73.8392905?authuser=0&hl=en&rclk=1"
