Company_Name,Category,Address,Url
Imphal Hospital & Research Centre,Private hospital,"RIMS Rd, Lalambung Makhong, Uripok, Imphal, Manipur 795001, India",https://www.google.co.kr/maps/place/Imphal+Hospital+%26+Research+Centre/data=!4m5!3m4!1s0x374927b6623df033:0xc1dfc45152ec92a6!8m2!3d24.8121995!4d93.9291285?authuser=0&hl=en&rclk=1
Shija Hospitals and Research Institute (SHRI),General hospital,"Meitei Langol, Lamphelpat, Imphal, Manipur 795004, India",https://www.google.co.kr/maps/place/Shija+Hospitals+and+Research+Institute+(SHRI)/data=!4m5!3m4!1s0x374927e5d3e5718b:0xbc6427068c1aed26!8m2!3d24.8353973!4d93.9139669?authuser=0&hl=en&rclk=1
Raj Medicity,Private hospital,"North A.O.C, Imphal, Manipur 795001, India",https://www.google.co.kr/maps/place/Raj+Medicity/data=!4m5!3m4!1s0x374927a897983d57:0x9a27943afe37e514!8m2!3d24.8160364!4d93.9433619?authuser=0&hl=en&rclk=1
City Hospital & Research Centre,General hospital,"NH 39, Khongnang Ani Karak, Kabo Leika, Imphal, Manipur 795001, India",https://www.google.co.kr/maps/place/City+Hospital+%26+Research+Centre/data=!4m5!3m4!1s0x374927a0fb58cfa1:0x530f0c775324dccc!8m2!3d24.825046!4d93.944871?authuser=0&hl=en&rclk=1
Shija Emergency & Trauma Care,General hospital,"HealthVillage, Langol, West, Imphal, Manipur 795004, India",https://www.google.co.kr/maps/place/Shija+Emergency+%26+Trauma+Care/data=!4m5!3m4!1s0x374927cd33566c6b:0x984052a75926b600!8m2!3d24.8359305!4d93.9141938?authuser=0&hl=en&rclk=1
Catholic Medical Centre (CMC Hospital),Government hospital,"Koirengei, Imphal East -, Koirengei, Manipur 795002, India",https://www.google.co.kr/maps/place/Catholic+Medical+Centre+(CMC+Hospital)/data=!4m5!3m4!1s0x3748d83bfe4a6a2f:0x6e48d1e08ad6732d!8m2!3d24.882947!4d93.9210043?authuser=0&hl=en&rclk=1
"Thoubal District Hospital, Khangabok",Hospital,"Khangabok Hospital Rd, Part I, Mamang Leikai, Khangabok, Manipur 795138, India","https://www.google.co.kr/maps/place/Thoubal+District+Hospital,+Khangabok/data=!4m5!3m4!1s0x37493c8ad0b62265:0x9c40d39e15d59e04!8m2!3d24.6251328!4d94.0128097?authuser=0&hl=en&rclk=1"
"Community Hospital Moirang, Manipur",Hospital,"Moirang Palli Rd, Part II, Mayai Leikai, Khangabok, Manipur 795138, India","https://www.google.co.kr/maps/place/Community+Hospital+Moirang,+Manipur/data=!4m5!3m4!1s0x37493c6055555555:0xbda00318a7f7b2d2!8m2!3d24.6107233!4d94.0057042?authuser=0&hl=en&rclk=1"
Public Hospital And Research Institute,Hospital,"Hatta Minuthong, Imphal, Manipur 795001, India",https://www.google.co.kr/maps/place/Public+Hospital+And+Research+Institute/data=!4m5!3m4!1s0x37492706c3fba7a5:0xc2ed713a21801a36!8m2!3d24.8118865!4d93.9504254?authuser=0&hl=en&rclk=1
"Plastic Surgery ward, RIMS, Imphal",Hospital,"RIMS Rd, Imphal, Manipur 795004, India","https://www.google.co.kr/maps/place/Plastic+Surgery+ward,+RIMS,+Imphal/data=!4m5!3m4!1s0x3749279a92cf306d:0xd7513dd334a1791!8m2!3d24.8137659!4d93.9246039?authuser=0&hl=en&rclk=1"
LAMJINGBA Hospital,Hospital,"RW6F+XHW, Uripok, Imphal, Manipur 795004, India",https://www.google.co.kr/maps/place/LAMJINGBA+Hospital/data=!4m5!3m4!1s0x3749274738921f5b:0xbff09cc9a90ab7d9!8m2!3d24.8124895!4d93.9239594?authuser=0&hl=en&rclk=1
Shija ENT Hospital,Hospital,"Lamphel Rd, Thangmeiband, Imphal, Manipur 795001, India",https://www.google.co.kr/maps/place/Shija+ENT+Hospital/data=!4m5!3m4!1s0x374927bc26dbb023:0xc5c124e2f99677d0!8m2!3d24.8249769!4d93.9319333?authuser=0&hl=en&rclk=1
Leishiphung Hospital,Hospital,"Khararphung,, Ukhrul, Manipur, India",https://www.google.co.kr/maps/place/Leishiphung+Hospital/data=!4m5!3m4!1s0x3748f5d94a78d84b:0xd59985648cca4938!8m2!3d25.1291278!4d94.3717467?authuser=0&hl=en&rclk=1
PFA Manipur,Hospital,"JXVV+XW9, Ward Number 1, Wangmataba, Thoubal, Manipur 795138, India",https://www.google.co.kr/maps/place/PFA+Manipur/data=!4m5!3m4!1s0x37493ca467d46131:0xe7d2f31d6c022a9c!8m2!3d24.6449236!4d93.9948747?authuser=0&hl=en&rclk=1
Maipakpi Maternity and Child Hospital,Maternity hospital,"Indo Mayanmar Road, Near Classic Hostel, North AOC Petrol Pump, Imphal, Manipur 795001, India",https://www.google.co.kr/maps/place/Maipakpi+Maternity+and+Child+Hospital/data=!4m5!3m4!1s0x374927a8b85450ab:0xaa0bb8236ae3056!8m2!3d24.8154502!4d93.9426866?authuser=0&hl=en&rclk=1
Regional Institute of Medical Sciences,Hospital,"Lamphel Rd, Lamphelpat, Imphal, Manipur 795004, India",https://www.google.co.kr/maps/place/Regional+Institute+of+Medical+Sciences/data=!4m5!3m4!1s0x374927c8c3319919:0x6900e9cc97a1edd7!8m2!3d24.8158998!4d93.9228051?authuser=0&hl=en&rclk=1
Langol View Clinic,Hospital,"Uripok, Imphal, Manipur 795004, India",https://www.google.co.kr/maps/place/Langol+View+Clinic/data=!4m5!3m4!1s0x374927c976764091:0x2c2a93f04663351d!8m2!3d24.8124895!4d93.9239594?authuser=0&hl=en&rclk=1
Jnims Staff Quarter,Hospital,"RX77+8XC, Porompat, Manipur 795010, India",https://www.google.co.kr/maps/place/Jnims+Staff+Quarter/data=!4m5!3m4!1s0x3749271855555555:0x24a37b343952509d!8m2!3d24.8133107!4d93.964887?authuser=0&hl=en&rclk=1
IBOYAIMA HOSPITAL & RESEARCH CENTRE,Hospital,"Singjamei, Imphal, Manipur 795001, India",https://www.google.co.kr/maps/place/IBOYAIMA+HOSPITAL+%26+RESEARCH+CENTRE/data=!4m5!3m4!1s0x3749265ce2bc3c5d:0x6819e772de54eaa0!8m2!3d24.784349!4d93.9387126?authuser=0&hl=en&rclk=1
Advanced Hospital,Hospital,"Palace Compound, Wangkhei, Imphal, Manipur 795001, India",https://www.google.co.kr/maps/place/Advanced+Hospital/data=!4m5!3m4!1s0x3749265611f63dd5:0x4a93c743f29b839e!8m2!3d24.7981401!4d93.9461518?authuser=0&hl=en&rclk=1
Mother's Care Children Hospital & Research Centre,Children's hospital,"Moirang Leirak Rd, Sagolband, Imphal, Manipur 795001, India",https://www.google.co.kr/maps/place/Mother's+Care+Children+Hospital+%26+Research+Centre/data=!4m5!3m4!1s0x3749264a9e2fd8cb:0xa4d1bfd7f5ffcf25!8m2!3d24.8035761!4d93.926695?authuser=0&hl=en&rclk=1
Asian Hospital,Hospital,"Kwakeithel Makha, Lourembam Leikai, Imphal, Manipur 795004, India",https://www.google.co.kr/maps/place/Asian+Hospital/data=!4m5!3m4!1s0x374926394dc8584b:0x74a9cfab922cafa2!8m2!3d24.7879265!4d93.9223702?authuser=0&hl=en&rclk=1
OPD RIMS IMPHAL,Hospital,"RW7F+WP4, Imphal, Manipur 795004, India",https://www.google.co.kr/maps/place/OPD+RIMS+IMPHAL/data=!4m5!3m4!1s0x374927c8569f3131:0x8a67bdde2a6f2650!8m2!3d24.8147674!4d93.9243346?authuser=0&hl=en&rclk=1
Peace hospital & Research institute,Hospital,"Porompat, Muslim, Imphal, Manipur 795005, India",https://www.google.co.kr/maps/place/Peace+hospital+%26+Research+institute/data=!4m5!3m4!1s0x3749279708e31c63:0x2547bf6bae5c88d4!8m2!3d24.8051411!4d93.9597395?authuser=0&hl=en&rclk=1
"District Hospital, Bishnupur",Hospital,"NH-150, Tengkhal Khunou, Manipur 795126, India","https://www.google.co.kr/maps/place/District+Hospital,+Bishnupur/data=!4m5!3m4!1s0x374932dd2cb7514f:0x9440110c8c5a037e!8m2!3d24.6319257!4d93.7620137?authuser=0&hl=en&rclk=1"
JNIMS Hospital OPD Block,Hospital,"JNIMS Rd, Khongnang Makhong, Lairikyengbam Leikai, Manipur 795010, India",https://www.google.co.kr/maps/place/JNIMS+Hospital+OPD+Block/data=!4m5!3m4!1s0x3749271be165ea01:0x797c195657da24dc!8m2!3d24.8113124!4d93.9622563?authuser=0&hl=en&rclk=1
Charitable Hospital Moirang,Hospital,"Hemam Leikai, Moirang, Manipur 795133, India",https://www.google.co.kr/maps/place/Charitable+Hospital+Moirang/data=!4m5!3m4!1s0x37493572bc41c857:0xea43c286625710a0!8m2!3d24.4998198!4d93.7748484?authuser=0&hl=en&rclk=1
"Emergency Block, JNIMS",Hospital,"JNIMS Road, Khongnang Makhong, Porompat, Manipur 795010, India","https://www.google.co.kr/maps/place/Emergency+Block,+JNIMS/data=!4m5!3m4!1s0x3749271bfc489f2d:0x96f25a17aa07a14c!8m2!3d24.8109003!4d93.962139?authuser=0&hl=en&rclk=1"
Horizon Hospital & Research Institute,Hospital,"Ahongei Leikai, Soibam Leikai, Imphal, Manipur 795010, India",https://www.google.co.kr/maps/place/Horizon+Hospital+%26+Research+Institute/data=!4m5!3m4!1s0x3749271b1ae2147f:0xb445df56d7e9f2b4!8m2!3d24.8128294!4d93.959096?authuser=0&hl=en&rclk=1
Chamber Hospital,Hospital,"near yaiphaba hotel, Manipur, India",https://www.google.co.kr/maps/place/Chamber+Hospital/data=!4m5!3m4!1s0x374927b20e4e1e5d:0x8dd9c2768cf65c5a!8m2!3d24.8097098!4d93.9365982?authuser=0&hl=en&rclk=1
Remedy Hospital,Hospital,"Nityaiband Chuthek - Konung Mamang Rd, Angom Colony, Imphal, Manipur 795001, India",https://www.google.co.kr/maps/place/Remedy+Hospital/data=!4m5!3m4!1s0x374926ff8facc3d5:0x6b5429d11c3ca96a!8m2!3d24.802856!4d93.9475089?authuser=0&hl=en&rclk=1
TB and Leprosy Hospital,Hospital,"PX3V+QM5, Keirao-Wangkhem, Manipur 795130, India",https://www.google.co.kr/maps/place/TB+and+Leprosy+Hospital/data=!4m5!3m4!1s0x3749237940000007:0xbd19e9e88b382ada!8m2!3d24.7043857!4d93.994221?authuser=0&hl=en&rclk=1
Hillside Charitable Hospital & Research Institute,Hospital,"Thangmeiband Sinam Leikai, Pony Street, Imphal, Manipur 795001, India",https://www.google.co.kr/maps/place/Hillside+Charitable+Hospital+%26+Research+Institute/data=!4m5!3m4!1s0x374927bdb953f257:0x38c81d06e0c299a9!8m2!3d24.8270841!4d93.9333177?authuser=0&hl=en&rclk=1
Imoinu Temple,Hospital,"FQR6+699, Hemam Colony, Moirang, Manipur 795133, India",https://www.google.co.kr/maps/place/Imoinu+Temple/data=!4m5!3m4!1s0x3749354326a19d1f:0xc5f5754bdbf141a3!8m2!3d24.4905421!4d93.7609851?authuser=0&hl=en&rclk=1
Imphal Heart Institute,Hospital,"Sagolband, Imphal, Manipur 795004, India",https://www.google.co.kr/maps/place/Imphal+Heart+Institute/data=!4m5!3m4!1s0x3749264a9c7bc141:0x55604e8d841112ee!8m2!3d24.8034127!4d93.9269448?authuser=0&hl=en&rclk=1
Assam Rifles Hospital,Hospital,"F2W3+8QC, Kakching, Manipur 795103, India",https://www.google.co.kr/maps/place/Assam+Rifles+Hospital/data=!4m5!3m4!1s0x37493f3f5d5b7b1b:0xbb2d42b9ce1e1abf!8m2!3d24.4958143!4d94.0043962?authuser=0&hl=en&rclk=1
Sky Hospital & Research Centre,Hospital,"RIMS Rd, Lalambung Makhong, Thangmeiband, Imphal, Manipur 795001, India",https://www.google.co.kr/maps/place/Sky+Hospital+%26+Research+Centre/data=!4m5!3m4!1s0x374927b6473551f7:0x1467683ef53ffc3c!8m2!3d24.8130175!4d93.9280891?authuser=0&hl=en&rclk=1
Christian Hospital,Hospital,"RWFW+X44, Khongnang Ani Karak, Kabo Leika, Imphal, Manipur 795001, India",https://www.google.co.kr/maps/place/Christian+Hospital/data=!4m5!3m4!1s0x374927a0ee30442f:0x544f4c0f9f64d240!8m2!3d24.824882!4d93.9453202?authuser=0&hl=en&rclk=1
Jivan Hospital,Hospital,"Kakching, Manipur 795103, India",https://www.google.co.kr/maps/place/Jivan+Hospital/data=!4m5!3m4!1s0x37493f3f4ea09cf9:0x62f6e7b34b6c32df!8m2!3d24.4961993!4d94.0034719?authuser=0&hl=en&rclk=1
Ninghthoukhong Hospital,Hospital,"HQG7+5H8, Ningthoukhong, Manipur 795126, India",https://www.google.co.kr/maps/place/Ninghthoukhong+Hospital/data=!4m5!3m4!1s0x374933607fd5c8c5:0x95d454f91d925cf6!8m2!3d24.5754225!4d93.7639684?authuser=0&hl=en&rclk=1
APEX HOSPITAL AND RESEARCH CENTRE,Hospital,"Haobam Marak Keisham Leikai,Opposite Lourembam Leikai SICO Ground, Kwakeithel, Ningthemcha Karong Rd, West, Manipur 795001, India",https://www.google.co.kr/maps/place/APEX+HOSPITAL+AND+RESEARCH+CENTRE/data=!4m5!3m4!1s0x374926133398c375:0x73c9e0b6f814a977!8m2!3d24.7781255!4d93.9277437?authuser=0&hl=en&rclk=1
"District Hospital, Imphal West",Hospital,"I.B. Rd, Mayang Imphal, Manipur 795132, India","https://www.google.co.kr/maps/place/District+Hospital,+Imphal+West/data=!4m5!3m4!1s0x374930f3ac937ec1:0x63202d6c96c8072a!8m2!3d24.6081159!4d93.8829606?authuser=0&hl=en&rclk=1"
Primary Health Center,Hospital,"RXV5+7R4, Imphal, Manipur 795010, India",https://www.google.co.kr/maps/place/Primary+Health+Center/data=!4m5!3m4!1s0x374927d807b35757:0x84e57807ad3c4d2d!8m2!3d24.8431347!4d93.9595735?authuser=0&hl=en&rclk=1
