Company_Name,Category,Address,Url
Faith Hospital and Institute of Medical Sciences,Hospital,"Old Sewak Road, Dhobinullah, Dimapur, Nagaland 797112, India",https://www.google.co.kr/maps/place/Faith+Hospital+and+Institute+of+Medical+Sciences/data=!4m5!3m4!1s0x3745e18bf4b59643:0x2051fc557d6f5430!8m2!3d25.905109!4d93.719166?authuser=0&hl=en&rclk=1
Naga Hospital Authority,Hospital,"Hospital Colony, Kohima, Nagaland 797001, India",https://www.google.co.kr/maps/place/Naga+Hospital+Authority/data=!4m5!3m4!1s0x374621bbebfce4a9:0x68207a764a05e8ed!8m2!3d25.6693845!4d94.0959027?authuser=0&hl=en&rclk=1
District Hospital Dimapur,General hospital,"WP4J+2JQ, Civil Hospital Colony, Dimapur, Nagaland 797112, India",https://www.google.co.kr/maps/place/District+Hospital+Dimapur/data=!4m5!3m4!1s0x3745e1f0cc9056cb:0x261b1b8e4018bf7c!8m2!3d25.9050778!4d93.7316085?authuser=0&hl=en&rclk=1
Putuonuo Nursing Home,Hospital,"New Market Rd, Daklane, Kohima, Nagaland 797001, India",https://www.google.co.kr/maps/place/Putuonuo+Nursing+Home/data=!4m5!3m4!1s0x374621a148ffca2d:0xd362f088dcd7513d!8m2!3d25.6712461!4d94.1067292?authuser=0&hl=en&rclk=1
"District Hospital Wokha, Nagaland",Government hospital,"Hospital Rd, Wokha, Nagaland 797111, India","https://www.google.co.kr/maps/place/District+Hospital+Wokha,+Nagaland/data=!4m5!3m4!1s0x37464f33fec5d6c1:0x61f1d9da03397d33!8m2!3d26.0789193!4d94.2591932?authuser=0&hl=en&rclk=1"
Oking Hospital,Hospital,"Kohmina Mokokchung Road, Opp Bandhan Bank, Kohima, Nagaland 797001, India",https://www.google.co.kr/maps/place/Oking+Hospital/data=!4m5!3m4!1s0x374621a42099970d:0xe302d9fa180bc697!8m2!3d25.6688841!4d94.1056465?authuser=0&hl=en&rclk=1
Kohimas Hospital,Hospital,"M4G4+JC3, Naga Bazaar, Kohima, Nagaland 797001, India",https://www.google.co.kr/maps/place/Kohimas+Hospital/data=!4m5!3m4!1s0x374621a6d44ee5d9:0x6a3d285ce5cb06d2!8m2!3d25.6765014!4d94.1060512?authuser=0&hl=en&rclk=1
Eden Medical Centre,Hospital,"Subjail Road, Near Sub Jail, Oriental Colony, Dimapur, Nagaland 797112, India",https://www.google.co.kr/maps/place/Eden+Medical+Centre/data=!4m5!3m4!1s0x3745e3d54eb45c13:0xb63c21be115e02b2!8m2!3d25.899806!4d93.7007772?authuser=0&hl=en&rclk=1
Awa,Hospital,"A.G. Colony, Kohima, Nagaland 797005, India",https://www.google.co.kr/maps/place/Awa/data=!4m5!3m4!1s0x374621abfe3c8a6b:0x601963b216f3744f!8m2!3d25.6585326!4d94.1055545?authuser=0&hl=en&rclk=1
Nikos Hospital,Hospital,"WP58+84P, Midland, Dimapur, Nagaland 797113, India",https://www.google.co.kr/maps/place/Nikos+Hospital/data=!4m5!3m4!1s0x3745e18faa538f07:0x1a2f3c2a284981f3!8m2!3d25.9083269!4d93.7153205?authuser=0&hl=en&rclk=1
District Hospital Tuensang,Hospital,"New Medical colony, Tuensang, Nagaland 798612, India",https://www.google.co.kr/maps/place/District+Hospital+Tuensang/data=!4m5!3m4!1s0x37479bb536234177:0xeac6dfddc0c105bd!8m2!3d26.2529564!4d94.8178428?authuser=0&hl=en&rclk=1
"154 General Hospital,Nagaland",Hospital,"J43C+CX2, Zakhama, Nagaland 797005, India","https://www.google.co.kr/maps/place/154+General+Hospital,Nagaland/data=!4m5!3m4!1s0x37489fcdfa0d0de3:0xc50d31f52b93df8c!8m2!3d25.6035029!4d94.122396?authuser=0&hl=en&rclk=1"
Assam Rifles Composite Hospital,Military hospital,"Artc Composite hospital, Chumukeidma, Nagaland 797112, India",https://www.google.co.kr/maps/place/Assam+Rifles+Composite+Hospital/data=!4m5!3m4!1s0x3745fc5100000001:0x73172a85d7abb93d!8m2!3d25.7522621!4d93.7025458?authuser=0&hl=en&rclk=1
GIVF Hospital,Hospital,"High School Junction,, Kohima, Nagaland 797001, India",https://www.google.co.kr/maps/place/GIVF+Hospital/data=!4m5!3m4!1s0x3746218fdac55555:0x742180f7d608eb1c!8m2!3d25.6899893!4d94.0981022?authuser=0&hl=en&rclk=1
dimapur hospital,Hospital,"Landmark Colony, Dimapur, Nagaland 797113, India",https://www.google.co.kr/maps/place/dimapur+hospital/data=!4m5!3m4!1s0x3745e185684ba45f:0xa2c78bd47870ae02!8m2!3d25.9097087!4d93.7122681?authuser=0&hl=en&rclk=1
Referral Hospital,Hospital,"Diphupar, 4th Mile, Dimapur, Nagaland 797115, India",https://www.google.co.kr/maps/place/Referral+Hospital/data=!4m5!3m4!1s0x37460972ebf742b1:0xfc85f1a8ac75ff28!8m2!3d25.860808!4d93.7803735?authuser=0&hl=en&rclk=1
Bethesda,Hospital,"M452+95R, P.R. Hill, Kohima, Nagaland 797005, India",https://www.google.co.kr/maps/place/Bethesda/data=!4m5!3m4!1s0x374621adffae1457:0x75ae02a6d89c7435!8m2!3d25.6584785!4d94.1003955?authuser=0&hl=en&rclk=1
City clinic,Hospital,"1st floor, Mero complex, N.H. 39, Opposite PHQ, P.R. Hill, Kohima, Nagaland 797001, India",https://www.google.co.kr/maps/place/City+clinic/data=!4m5!3m4!1s0x374621b2207f3597:0x33bc6e5a1c92f518!8m2!3d25.6587019!4d94.0987554?authuser=0&hl=en&rclk=1
Civil Hospital Mon.,Government hospital,"P2FH+GFW, Mon Village, Nagaland 798621, India",https://www.google.co.kr/maps/place/Civil+Hospital+Mon./data=!4m5!3m4!1s0x37475fc58a6d8e29:0x2d4acca9737aff20!8m2!3d26.7238735!4d95.028692?authuser=0&hl=en&rclk=1
District Tubercolosis Centre,Hospital,"M39W+W59, Hospital Colony, Kohima, Nagaland 797005, India",https://www.google.co.kr/maps/place/District+Tubercolosis+Centre/data=!4m5!3m4!1s0x374621bbe48c795d:0xd710ea116d73b97d!8m2!3d25.6697896!4d94.0954918?authuser=0&hl=en&rclk=1
Bethel Medical Center,Hospital,"Bethel Road, Near South Police Station, Kohima, Nagaland 797005, India",https://www.google.co.kr/maps/place/Bethel+Medical+Center/data=!4m5!3m4!1s0x374621ade89e4497:0xfe85707e28c80096!8m2!3d25.6579042!4d94.101239?authuser=0&hl=en&rclk=1
Lenjem Hospital,Hospital,"AM ROAD, Sungkomen, Mokokchung, Nagaland 798601, India",https://www.google.co.kr/maps/place/Lenjem+Hospital/data=!4m5!3m4!1s0x3747a9b0d153b949:0xb97facc6c4bea691!8m2!3d26.3309739!4d94.5309402?authuser=0&hl=en&rclk=1
JK Hospital,Hospital,"Near West Police Station, Dimapur, Nagaland 797112, India",https://www.google.co.kr/maps/place/JK+Hospital/data=!4m5!3m4!1s0x3745e185684ad179:0x3349444e03f02f80!8m2!3d25.909715!4d93.7122577?authuser=0&hl=en&rclk=1
City Hospital,Hospital,"Near SBI Main Branch, Civil Hospital Colony, Dimapur, Nagaland 797112, India",https://www.google.co.kr/maps/place/City+Hospital/data=!4m5!3m4!1s0x3745e1f0e68fd5d5:0x9f6a9fc271a7ac5d!8m2!3d25.9066914!4d93.7312521?authuser=0&hl=en&rclk=1
hospital,Medical Center,"Kohima, Nagaland 797005, India",https://www.google.co.kr/maps/place/hospital/data=!4m5!3m4!1s0x374621b6b8920063:0xad52c38454ba1e46!8m2!3d25.6619331!4d94.0991986?authuser=0&hl=en&rclk=1
"Civil Hospital, Tuensang",Hospital,"Tuensang, Nagaland 798612, India","https://www.google.co.kr/maps/place/Civil+Hospital,+Tuensang/data=!4m5!3m4!1s0x37479c0450596777:0xbbb1eccb60106b!8m2!3d26.2526879!4d94.8178271?authuser=0&hl=en&rclk=1"
Fellowship Nursing Home,Hospital,"125, Fellowship Colony, Dimapur, Nagaland 797112, India",https://www.google.co.kr/maps/place/Fellowship+Nursing+Home/data=!4m5!3m4!1s0x3745e19b65a96077:0x80f6a9b58418bfb2!8m2!3d25.9141032!4d93.7091837?authuser=0&hl=en&rclk=1
District Hospital Peren,Hospital,"GPPP+542, Peren, Nagaland 797101, India",https://www.google.co.kr/maps/place/District+Hospital+Peren/data=!4m5!3m4!1s0x374f54b0578a4b0d:0x21e694304a3bc6bf!8m2!3d25.5353783!4d93.7352671?authuser=0&hl=en&rclk=1
PHC,Hospital,"CGWW+F7F, Longjang, Nagaland 798615, India",https://www.google.co.kr/maps/place/PHC/data=!4m5!3m4!1s0x374705e140041113:0xe1cab9fb1cd76138!8m2!3d26.4461831!4d94.5456678?authuser=0&hl=en&rclk=1
Oriental Nursing Home,Hospital,"N.S.T. Colony, Dimapur, Nagaland 797112, India",https://www.google.co.kr/maps/place/Oriental+Nursing+Home/data=!4m5!3m4!1s0x3745e1ed1f4854bf:0x5d1557eddd9013fd!8m2!3d25.9135975!4d93.7245399?authuser=0&hl=en&rclk=1
District Hospital,Hospital,"bethany 1 colony, Nagaland 797108, India",https://www.google.co.kr/maps/place/District+Hospital/data=!4m5!3m4!1s0x3747d3ebd54feea1:0x2c33d39d2ffe196f!8m2!3d25.7101397!4d94.4642466?authuser=0&hl=en&rclk=1
HK Hospital,Hospital,"Ward 5, Chumukeidma, Dimapur, Nagaland 797103, India",https://www.google.co.kr/maps/place/HK+Hospital/data=!4m5!3m4!1s0x3746087e67e929ef:0xa6d696fce8e897a2!8m2!3d25.8076916!4d93.7822007?authuser=0&hl=en&rclk=1
District Hospital Kiphire,Hospital,"Tuensang–Kiphire–Meluri Rd, Nagaland 798611, India",https://www.google.co.kr/maps/place/District+Hospital+Kiphire/data=!4m5!3m4!1s0x3747ebc504577533:0x64c4d9db82483863!8m2!3d25.8825011!4d94.7816541?authuser=0&hl=en&rclk=1
Shamrock Hospital,Hospital,"Dobhinalla Rd, Near State Bank, Duncan Basti, Dimapur, Nagaland 797112, India",https://www.google.co.kr/maps/place/Shamrock+Hospital/data=!4m5!3m4!1s0x3745e1826318b515:0xf03a300c0fb62fd0!8m2!3d25.9083525!4d93.7036183?authuser=0&hl=en&rclk=1
City Medical Centre,Hospital,"Purana Bazar, Dimapur, Nagaland 797116, India",https://www.google.co.kr/maps/place/City+Medical+Centre/data=!4m5!3m4!1s0x37460a08846ec90b:0x6885266c275bd422!8m2!3d25.9108529!4d93.7464703?authuser=0&hl=en&rclk=1
hospital 165 MH,Hospital,"VQ73+5FV, Diphupar 'B', Dimapur, Nagaland 797115, India",https://www.google.co.kr/maps/place/hospital+165+MH/data=!4m5!3m4!1s0x374609cfffffffff:0x51dcdbbe2cdb0db1!8m2!3d25.8629885!4d93.7536663?authuser=0&hl=en&rclk=1
"TB Ward,IMDH",Hospital,"8G9F+7V8, Lijaba Lijen, Mokokchung, Nagaland 798601, India","https://www.google.co.kr/maps/place/TB+Ward,IMDH/data=!4m5!3m4!1s0x3747a84c7183b38d:0x7ca25805f1d4c424!8m2!3d26.3181721!4d94.5247106?authuser=0&hl=en&rclk=1"
PHC Wozhuro,Hospital,"Range, Wozhuro, Nagaland, India",https://www.google.co.kr/maps/place/PHC+Wozhuro/data=!4m5!3m4!1s0x37464712fcbb0251:0xbb48c23399974785!8m2!3d26.0071204!4d94.1798073?authuser=0&hl=en&rclk=1
