Company_Name,Category,Address,Url
Lajwanti Hospital,General hospital,"Cool Road, near All India Radio, Jawahar Nagar, Jalandhar, Punjab 144002, India",https://www.google.co.kr/maps/place/Lajwanti+Hospital/data=!4m5!3m4!1s0x391a5a594d22b88d:0xd7ed7dbc16a13cf7!8m2!3d31.3157012!4d75.5865806?authuser=0&hl=en&rclk=1
Capitol Hospital - Best Multi Super Speciality Hospital in Jalandhar,Private hospital,"NH-44, Jalandhar - Pathankot Road Near Reru, Chowk, Jalandhar, Punjab 144012, India",https://www.google.co.kr/maps/place/Capitol+Hospital+-+Best+Multi+Super+Speciality+Hospital+in+Jalandhar/data=!4m5!3m4!1s0x391a50986fc696f5:0xcff7858ec75e5967!8m2!3d31.364616!4d75.5966529?authuser=0&hl=en&rclk=1
Doaba Hospital Pvt. Ltd.,Private hospital,"Near, Nakodar Chowk, Shastri Nagar, Lajpat Nagar, Jalandhar, Punjab 144001, India",https://www.google.co.kr/maps/place/Doaba+Hospital+Pvt.+Ltd./data=!4m5!3m4!1s0x391a5a5625555555:0xc2109c8b139be72a!8m2!3d31.3181198!4d75.573965?authuser=0&hl=en&rclk=1
Indus Hospital,General hospital,"SCF 98-100, Near Chawla Chowk, Phase 3B-2, Sector 60, Sahibzada Ajit Singh Nagar, Punjab 160059, India",https://www.google.co.kr/maps/place/Indus+Hospital/data=!4m5!3m4!1s0x390fee8605689d5d:0xd59b4b3b1af58a09!8m2!3d30.7089058!4d76.7225259?authuser=0&hl=en&rclk=1
Sukh Sagar Hospital - Multispeciality Hospital and Laparoscopic Centre,General hospital,"5, Maqbool Rd, near Anand Avenue, Green Avenue, Amritsar, Punjab 143001, India",https://www.google.co.kr/maps/place/Sukh+Sagar+Hospital+-+Multispeciality+Hospital+and+Laparoscopic+Centre/data=!4m5!3m4!1s0x391964a1e649a5cf:0x15cff68cbee8d8c!8m2!3d31.6505509!4d74.8697188?authuser=0&hl=en&rclk=1
Johal Multi-Speciality Hospital,Hospital,"Hoshiarpur Rd, Ladhewali Chowk, Rama Mandi, Jalandhar, Punjab 144005, India",https://www.google.co.kr/maps/place/Johal+Multi-Speciality+Hospital/data=!4m5!3m4!1s0x391a59716aaaaaab:0x4e7b375f5b591145!8m2!3d31.3217382!4d75.6323816?authuser=0&hl=en&rclk=1
"Fortis Escorts Hospital, Amritsar",Hospital,"Majitha-Verka Bypass Road, Amritsar - 143004, Amritsar, Punjab 143004, India","https://www.google.co.kr/maps/place/Fortis+Escorts+Hospital,+Amritsar/data=!4m5!3m4!1s0x39196368fac3a7d9:0x3c1072af880d7974!8m2!3d31.6647473!4d74.9182825?authuser=0&hl=en&rclk=1"
Ivy Hospital,General hospital,"Phagwara - Mohali Expy, Chandigarh Road, Nawanshahr, 144514, India",https://www.google.co.kr/maps/place/Ivy+Hospital/data=!4m5!3m4!1s0x391abc5cdfb25c05:0x53692d7b1ddd18a4!8m2!3d31.1139759!4d76.1525597?authuser=0&hl=en&rclk=1
Pancham Hospital,Private hospital,"SCO 34-37, GK Mall, Canal Rd, opposite BRIDGE, Model Town Extension, Jawaddi Taksal, Ludhiana, Punjab 141002, India",https://www.google.co.kr/maps/place/Pancham+Hospital/data=!4m5!3m4!1s0x391a824a1d6bef59:0x624d7e87ab987d34!8m2!3d30.8829061!4d75.8308708?authuser=0&hl=en&rclk=1
Global Hospital,Private hospital,"10, Link Road, Abadpura, Lajpat Nagar, Jalandhar, Punjab 144003, India",https://www.google.co.kr/maps/place/Global+Hospital/data=!4m5!3m4!1s0x391a5af90331819f:0xfbfebd80412e7129!8m2!3d31.313103!4d75.5762537?authuser=0&hl=en&rclk=1
Ivy Hospital,General hospital,"City Center, Grand Trunk Rd, opp. Khanna, Alaur, Gobindgarh, Khanna, Punjab 141401, India",https://www.google.co.kr/maps/place/Ivy+Hospital/data=!4m5!3m4!1s0x3910102b726350cf:0xa8c1d8b01d7fd78f!8m2!3d30.6965311!4d76.2379852?authuser=0&hl=en&rclk=1
Joshi Hospital Jalandhar.,General hospital,"kapurthala chowk, Adarsh Nagar, Jalandhar, Punjab 144002, India",https://www.google.co.kr/maps/place/Joshi+Hospital+Jalandhar./data=!4m5!3m4!1s0x391a5a594d22b88d:0xa8e9f1a5c3a9a58b!8m2!3d31.3340607!4d75.5633709?authuser=0&hl=en&rclk=1
"Indus International Hospital, Derabassi",Private hospital,"Near Jawaharpur, Chandigarh - Ambala Road, National Highway No.22, Derabassi, MOHALI, Punjab 140507, India","https://www.google.co.kr/maps/place/Indus+International+Hospital,+Derabassi/data=!4m5!3m4!1s0x390fbf882d84d15d:0xbffbcec835386739!8m2!3d30.5566349!4d76.8268035?authuser=0&hl=en&rclk=1"
