Company_Name,Category,Address,Url
Central Referral Hospital,General hospital,"5th Mile, Upper Tadong, Tadong, Gangtok, Sikkim 737101, India",https://www.google.co.kr/maps/place/Central+Referral+Hospital/data=!4m5!3m4!1s0x39e6a5025691b459:0x9432e4c6a92de8eb!8m2!3d27.316245!4d88.5972543?authuser=0&hl=en&rclk=1
STNM Hospital Sikkim,Hospital,"Sungava, Gangtok, Sikkim 737101, India",https://www.google.co.kr/maps/place/STNM+Hospital+Sikkim/data=!4m5!3m4!1s0x39e6a51553d85b6f:0x73a1e0e26e04768c!8m2!3d27.3465331!4d88.6033718?authuser=0&hl=en&rclk=1
Sikkim Govt. Hospital,Government hospital,"5th Mile Joredhara Tadong, National Highway 31A, near Manipal Hospital, Tadong, Gangtok, Sikkim 737102, India",https://www.google.co.kr/maps/place/Sikkim+Govt.+Hospital/data=!4m5!3m4!1s0x39e6a5d2d57d3d6d:0x99c9037d829501a0!8m2!3d27.31481!4d88.5970173?authuser=0&hl=en&rclk=1
District hospital singtam,Hospital,"GOLITAR, Singtam, Sikkim 737134, India",https://www.google.co.kr/maps/place/District+hospital+singtam/data=!4m5!3m4!1s0x39e6a1c6cb94a91b:0x82cf2f933a64daab!8m2!3d27.2296952!4d88.4946887?authuser=0&hl=en&rclk=1
CGHS Gangtok,Hospital,"Indira Bypass Rd, Sungava, Gangtok, Sikkim 737101, India",https://www.google.co.kr/maps/place/CGHS+Gangtok/data=!4m5!3m4!1s0x39e6a50d5952afdb:0x6b57af6b278de46a!8m2!3d27.3450881!4d88.6068526?authuser=0&hl=en&rclk=1
Surgery Unit I,Hospital,"8H8X+C2R, Upper Tadong, Tadong, Gangtok, Sikkim 737102, India",https://www.google.co.kr/maps/place/Surgery+Unit+I/data=!4m5!3m4!1s0x39e6a5025498668f:0x22bac931b43d1055!8m2!3d27.31612!4d88.59751?authuser=0&hl=en&rclk=1
STNM Multispeciality Hospital and Medical College,Hospital,"Sochakgang, Lower Burtuk, Upper Sichey Rd, Gangtok, Sikkim 737101, India",https://www.google.co.kr/maps/place/STNM+Multispeciality+Hospital+and+Medical+College/data=!4m5!3m4!1s0x39e6a751ed4f3cf3:0xc8919a38d0d1654!8m2!3d27.2435315!4d88.598518?authuser=0&hl=en&rclk=1
District Hospital,Hospital,"Namchi, Sikkim 737126, India",https://www.google.co.kr/maps/place/District+Hospital/data=!4m5!3m4!1s0x39e69d7fb52fa34f:0x5fedd1df6ada590f!8m2!3d27.1656062!4d88.3604414?authuser=0&hl=en&rclk=1
Cancer Hospital In Gangtok,Hospital,"Gangtok - Rangpo Rd, Tadong, Gangtok, Sikkim 737102, India",https://www.google.co.kr/maps/place/Cancer+Hospital+In+Gangtok/data=!4m5!3m4!1s0x39e6a5e881d2c24d:0x6d832a49eff04ac1!8m2!3d27.3132525!4d88.596989?authuser=0&hl=en&rclk=1
District Hospital Namchi,Government hospital,"59CG+G23, Namchi, Sikkim 737126, India",https://www.google.co.kr/maps/place/District+Hospital+Namchi/data=!4m5!3m4!1s0x39e69d8edf19cec5:0xaafe116964b110ac!8m2!3d27.1712572!4d88.3750368?authuser=0&hl=en&rclk=1
