Company_Name,Category,Address,Url
Sri Sai Womens Hospital,Hospital,"Rd Number 2, Laxmi Nagar Colony, Kothapet, Hyderabad, Telangana 500035, India",https://www.google.co.kr/maps/place/Sri+Sai+Womens+Hospital/data=!4m5!3m4!1s0x3bcb98e81911b6c5:0xae3c849e3bdb32ce!8m2!3d17.3709581!4d78.5426098?authuser=0&hl=en&rclk=1
Apollo Hospitals Hyderabad - Best Hospital in Hyderabad,Private hospital,"Road No 72, Film Nagar, opposite Bharatiya Vidya Bhavan School, Jubilee Hills, Hyderabad, Telangana 500033, India",https://www.google.co.kr/maps/place/Apollo+Hospitals+Hyderabad+-+Best+Hospital+in+Hyderabad/data=!4m5!3m4!1s0x3bcb976634652a37:0xeb778fba80ddd5bf!8m2!3d17.4149302!4d78.4124137?authuser=0&hl=en&rclk=1
Medicover Hospitals HiTech City,Hospital,"behind Cyber Towers, In the Lane of IBIS Hotels, HUDA Techno Enclave, HITEC City, Hyderabad, Telangana 500081, India",https://www.google.co.kr/maps/place/Medicover+Hospitals+HiTech+City/data=!4m5!3m4!1s0x3bcb93ddedcbbfd5:0x53c9001a66216872!8m2!3d17.4466407!4d78.3800883?authuser=0&hl=en&rclk=1
Aware Gleneagles Global Hospitals,Private hospital,"8-16-1, Nagarjuna Sagar Rd, Laxmi Enclave, Bhagya Nagar, Bairamalguda, Telangana 500035, India",https://www.google.co.kr/maps/place/Aware+Gleneagles+Global+Hospitals/data=!4m5!3m4!1s0x3bcb9898fd5a1ca3:0xe729e2cca4d0296d!8m2!3d17.3459452!4d78.5399442?authuser=0&hl=en&rclk=1
Kamineni Hospitals - King Koti,Hospital,"Bogulkunta, Hyderguda, Telangana 500001, India",https://www.google.co.kr/maps/place/Kamineni+Hospitals+-+King+Koti/data=!4m5!3m4!1s0x3bcb99d75f12d6f5:0xe6619aedd30ce5fb!8m2!3d17.3926279!4d78.4797983?authuser=0&hl=en&rclk=1
Gandhi Hospital,Government hospital,"Bhoiguda Road, M.I.G.H colony, Musheerabad, Walker Town, Padmarao Nagar, Secunderabad, Telangana 500025, India",https://www.google.co.kr/maps/place/Gandhi+Hospital/data=!4m5!3m4!1s0x3bcb998cf8889263:0x2142257bc81507ff!8m2!3d17.4236318!4d78.503858?authuser=0&hl=en&rclk=1
Yashoda Hospitals - Somajiguda,Private hospital,"Raj Bhavan Rd, Matha Nagar, Somajiguda, Hyderabad, Telangana 500082, India",https://www.google.co.kr/maps/place/Yashoda+Hospitals+-+Somajiguda/data=!4m5!3m4!1s0x3bcb974b4798bae7:0x80e128e0c072fcb2!8m2!3d17.4244593!4d78.4566648?authuser=0&hl=en&rclk=1
Thumbay Hospital New Life,Hospital,"16-6-104 to 109, Old Kamal Theater Complex Chaderghat Road, Opp Niagara Hotel, Chaderghat, Hyderabad, Telangana 500024, India",https://www.google.co.kr/maps/place/Thumbay+Hospital+New+Life/data=!4m5!3m4!1s0x3bcb982df4124f03:0xfe6751b2d0c87cbb!8m2!3d17.3768915!4d78.4905862?authuser=0&hl=en&rclk=1
Citizens Speciality Hospital,Private hospital,"1-100/1/CCH aparna cyber life road, Nalagandla, Telangana 500019, India",https://www.google.co.kr/maps/place/Citizens+Speciality+Hospital/data=!4m5!3m4!1s0x3bcb92dc1b8176eb:0x37251fdef4c746cc!8m2!3d17.4705903!4d78.3113998?authuser=0&hl=en&rclk=1
Virinchi Hospitals,General hospital,"Virinchi Circle, 8-2-672/5-6, Rd Number 1, Shyam Rao Nagar, Banjara Hills, Hyderabad, Telangana 500034, India",https://www.google.co.kr/maps/place/Virinchi+Hospitals/data=!4m5!3m4!1s0x3bcb973f4e6167ff:0xf44aeab88e4a81f4!8m2!3d17.4080317!4d78.4513779?authuser=0&hl=en&rclk=1
Aditya Hospital,Private hospital,"4-1-16, Tilak Rd, Bogulkunta, Abids, Hyderabad, Telangana 500001, India",https://www.google.co.kr/maps/place/Aditya+Hospital/data=!4m5!3m4!1s0x3bcb9a6a7ee6ae7d:0x20ecbaa03d6f1fb0!8m2!3d17.390321!4d78.481219?authuser=0&hl=en&rclk=1
"Sunshine Hospitals - Gachibowli, Hyderabad",Hospital,"45, 7-56/19, Survey No. 40 46, Dargah Road LIG Chitrapuri Colony, Prashant Hills, Radhe Nagar, Gachibowli, Telangana 500035, India","https://www.google.co.kr/maps/place/Sunshine+Hospitals+-+Gachibowli,+Hyderabad/data=!4m5!3m4!1s0x3bcb96aa9399e941:0x855d41d611b5c14b!8m2!3d17.4200752!4d78.3850206?authuser=0&hl=en&rclk=1"
Aster Prime Hospital,Private hospital,"Plot No 4, HMDA Maitrivanam, Satyam Theatre Rd, beside Blue Fox Hotel, Kumar Basti, Srinivasa Nagar, Ameerpet, Hyderabad, Telangana 500038, India",https://www.google.co.kr/maps/place/Aster+Prime+Hospital/data=!4m5!3m4!1s0x3bcb90c518f1af29:0xcce594ffcc57ef98!8m2!3d17.4376215!4d78.4459567?authuser=0&hl=en&rclk=1
Premier Hospital - Best Multi Specialty Hospital in Hyderabad,Private hospital,"12-2-718, Khader Bagh Rd, Padmanabha Nagar, Toli Chowki, Hyderabad, Telangana 500008, India",https://www.google.co.kr/maps/place/Premier+Hospital+-+Best+Multi+Specialty+Hospital+in+Hyderabad/data=!4m5!3m4!1s0x3bcb971f00000001:0xe6dd99b47b8c1ed0!8m2!3d17.3915846!4d78.4269006?authuser=0&hl=en&rclk=1
Himagiri Hospitals,Private hospital,"Plot No.4, 5,23 & 24, Old Mumbai Hwy, Indira Nagar, Gachibowli, Hyderabad, Telangana 500032, India",https://www.google.co.kr/maps/place/Himagiri+Hospitals/data=!4m5!3m4!1s0x3bcb9395a0a0559d:0xaa0213d270f7b95c!8m2!3d17.4423108!4d78.3587114?authuser=0&hl=en&rclk=1
Government Fever Hospital,General hospital,"2-1-395, Nallakunta Main Rd, AP Housing Board, New Nallakunta, Hyderabad, Telangana 500044, India",https://www.google.co.kr/maps/place/Government+Fever+Hospital/data=!4m5!3m4!1s0x3bcb99b9ae9f047d:0xb24bc0e4589f9c67!8m2!3d17.395964!4d78.5023902?authuser=0&hl=en&rclk=1
KIMS Hospitals,Private hospital,"Begumpet, 1-8-31/1, Minister Rd, Krishna Nagar Colony, Ramgopalpet, Secunderabad, Telangana 500003, India",https://www.google.co.kr/maps/place/KIMS+Hospitals/data=!4m5!3m4!1s0x3bcb9a044ce8779d:0xe3d099b2316a1d2b!8m2!3d17.4370798!4d78.4830129?authuser=0&hl=en&rclk=1
