Company_Name,Category,Address,Url
"Mayo Medical Centre Pvt. Ltd. Best Neurology Hospital in UP, NICU, Top Hospital Lucknow , Best I.C.U. Care",Hospital,"Vikaskhand 2, Vikas Khand, Gomti Nagar, Lucknow, Uttar Pradesh 226010, India","https://www.google.co.kr/maps/place/Mayo+Medical+Centre+Pvt.+Ltd.+Best+Neurology+Hospital+in+UP,+NICU,+Top+Hospital+Lucknow+,+Best+I.C.U.+Care/data=!4m5!3m4!1s0x399be377fe6fdcd9:0xae36765553d9b2e5!8m2!3d26.8511471!4d80.996555?authuser=0&hl=en&rclk=1"
Apollo Hospital,General hospital,"SH 67, Krishna Colony, Azamgarh, Uttar Pradesh 276001, India",https://www.google.co.kr/maps/place/Apollo+Hospital/data=!4m5!3m4!1s0x3991bd750ea90d99:0x59bbd8783b13107b!8m2!3d26.039202!4d83.1884702?authuser=0&hl=en&rclk=1
Jagrani hospital,General hospital,"C 50 51, Trimurti Gram, Ring Road, Kalyanpur, Kalyanpur, Lucknow, Uttar Pradesh 226022, India",https://www.google.co.kr/maps/place/Jagrani+hospital/data=!4m5!3m4!1s0x399957e8e933e3ef:0x73074e41435e451c!8m2!3d26.8977973!4d80.9688189?authuser=0&hl=en&rclk=1
United Medicity - Hospital & Medical College | Best Hospital in Uttar Pradesh | Top Medical College in India,Hospital,"Rawatpur, near Prayagraj, Airport, Prayagraj, Uttar Pradesh 211012, India",https://www.google.co.kr/maps/place/United+Medicity+-+Hospital+%26+Medical+College+%7C+Best+Hospital+in+Uttar+Pradesh+%7C+Top+Medical+College+in+India/data=!4m5!3m4!1s0x3985334193e95509:0x408710460092bae6!8m2!3d25.3960202!4d81.7567828?authuser=0&hl=en&rclk=1
Medwell Hospital,General hospital,"Burlington Crossing, 37, Cantonment Rd, Lucknow, Uttar Pradesh 226001, India",https://www.google.co.kr/maps/place/Medwell+Hospital/data=!4m5!3m4!1s0x399bfdaec3e250bf:0xad36a89da078eb0a!8m2!3d26.8418907!4d80.9369761?authuser=0&hl=en&rclk=1
Medanta Lucknow Hospital,Private hospital,"Amar Shaheed Path, Golf City, Pocket - 1, Sector A, Lucknow, Uttar Pradesh 226030, India",https://www.google.co.kr/maps/place/Medanta+Lucknow+Hospital/data=!4m5!3m4!1s0x399bfb82324729c5:0xe9a763e42036ca6!8m2!3d26.7778186!4d80.9856763?authuser=0&hl=en&rclk=1
Care Hospital,General hospital,"504/11, Daliganj Crossing, Daliganj Crossing, Near Daliganj Chauraha, Sitapur Road, Lucknow, Uttar Pradesh 226021, India",https://www.google.co.kr/maps/place/Care+Hospital/data=!4m5!3m4!1s0x399bfd886adec2d7:0xdbdd7b840ecc5292!8m2!3d26.88022!4d80.93061?authuser=0&hl=en&rclk=1
Metro Rishidev Hospital,General hospital,"Amara Village, Bari bazar, Varanasi, Uttar Pradesh 221106, India",https://www.google.co.kr/maps/place/Metro+Rishidev+Hospital/data=!4m5!3m4!1s0x398e33ad6c04b1a9:0x16563dd963898c0f!8m2!3d25.2562819!4d82.9599269?authuser=0&hl=en&rclk=1
Lucknow Hospital,Private hospital,"B-1, Kanpur - Lucknow Rd, Sindhu Nagar, Behind, Krishna Nagar, Kotwali, Lucknow, Uttar Pradesh 226023, India",https://www.google.co.kr/maps/place/Lucknow+Hospital/data=!4m5!3m4!1s0x399bfeaf08e1fa3b:0x1ca18dae3e4d56fd!8m2!3d26.795475!4d80.89065?authuser=0&hl=en&rclk=1
"Yatharth Super Speciality Hospital, Greater Noida",Hospital,"Omega-I, Plot No 32, MG Rd, Greater Noida, Uttar Pradesh 201309, India","https://www.google.co.kr/maps/place/Yatharth+Super+Speciality+Hospital,+Greater+Noida/data=!4m5!3m4!1s0x390cc1ce99e3efd3:0xfece78811e1e067a!8m2!3d28.4516298!4d77.5096993?authuser=0&hl=en&rclk=1"
Tej Bahadur Sapru Hospital Prayagraj,Government hospital,"Stanley Rd, Opp.Erny Memorial School, Beli Goan, Prayagraj, Uttar Pradesh 211002, India",https://www.google.co.kr/maps/place/Tej+Bahadur+Sapru+Hospital+Prayagraj/data=!4m5!3m4!1s0x399aca8d6e80d977:0x6aabe3e3b2f92e0d!8m2!3d25.4726252!4d81.8463267?authuser=0&hl=en&rclk=1
Chandni Hospital,General hospital,"9/60, Arya Nagar Rd, Khalasi Line, Arya Nagar, Kanpur, Uttar Pradesh 208002, India",https://www.google.co.kr/maps/place/Chandni+Hospital/data=!4m5!3m4!1s0x399c3889cfffffff:0xa26d88ec34838493!8m2!3d26.479653!4d80.3224353?authuser=0&hl=en&rclk=1
Metro Hospital,General hospital,"B-1, Kanchana Bihari Marg, Rajiv Nager, Lucknow, Uttar Pradesh 226022, India",https://www.google.co.kr/maps/place/Metro+Hospital/data=!4m5!3m4!1s0x399957ec32c0c5af:0x5d16d9c72fa1a0b5!8m2!3d26.9028333!4d80.9732244?authuser=0&hl=en&rclk=1
