Company_Name,Category,Address,Url
Hospital,Government hospital,"Unnamed Road, Ghuggu Kham, Uttarakhand 263001, India",https://www.google.co.kr/maps/place/Hospital/data=!4m5!3m4!1s0x39a0a183a029cc9f:0xc253b39d85506d28!8m2!3d29.4416814!4d79.4126558?authuser=0&hl=en&rclk=1
Old Hospital Building,Hospital,"CCG5+XW5, Bagar Talla, Uttarakhand 263001, India",https://www.google.co.kr/maps/place/Old+Hospital+Building/data=!4m5!3m4!1s0x39a0a13269983c35:0x46d21dfcc804f70f!8m2!3d29.427388!4d79.4098694?authuser=0&hl=en&rclk=1
Ayurvedic Hospital,Government hospital,"Bagar Talla, Uttarakhand 263001, India",https://www.google.co.kr/maps/place/Ayurvedic+Hospital/data=!4m5!3m4!1s0x39a0a0eeed5e99c9:0x2fa2ccc7c3bb7ed5!8m2!3d29.4273662!4d79.4099723?authuser=0&hl=en&rclk=1
B.D Pandey Hospital,Hospital,"Mall Rd, Bara Bazar, Mallital, Nainital, Uttarakhand 263001, India",https://www.google.co.kr/maps/place/B.D+Pandey+Hospital/data=!4m5!3m4!1s0x39a0a1ecaa23e501:0xebd2242bb52581a1!8m2!3d29.3924719!4d79.4536889?authuser=0&hl=en&rclk=1
State Allopathic Dispensary,Government hospital,"CCR6+MVF, Ghuggu Kham, Uttarakhand 263001, India",https://www.google.co.kr/maps/place/State+Allopathic+Dispensary/data=!4m5!3m4!1s0x39a0a167ea420605:0xf24d606779c40c7c!8m2!3d29.4416803!4d79.412166?authuser=0&hl=en&rclk=1
Asha Dental Hospital,Hospital,"new payal hotel, Tallital, Nainital, Uttarakhand 263001, India",https://www.google.co.kr/maps/place/Asha+Dental+Hospital/data=!4m5!3m4!1s0x39a0a19a0f1e5897:0xfb021e6a5955a9f0!8m2!3d29.4048216!4d79.4543803?authuser=0&hl=en&rclk=1
Hospital Ghughukhan,Hospital,"CCR6+HX5, Ghuggu Kham, Uttarakhand 263001, India",https://www.google.co.kr/maps/place/Hospital+Ghughukhan/data=!4m5!3m4!1s0x39a0a1da8c68556b:0x970a608426abef54!8m2!3d29.4413792!4d79.4124788?authuser=0&hl=en&rclk=1
B D Pandey Women Hospital,Hospital,"9FV3+39H, Mallital, Nainital, Uttarakhand 263001, India",https://www.google.co.kr/maps/place/B+D+Pandey+Women+Hospital/data=!4m5!3m4!1s0x39a0a152bfd7d465:0xc46366c2c040ca0c!8m2!3d29.3926849!4d79.4534754?authuser=0&hl=en&rclk=1
Ramsay Hospital,Government hospital,"Ramsay Hospital Rd, Tallital, Nainital, Uttarakhand 263002, India",https://www.google.co.kr/maps/place/Ramsay+Hospital/data=!4m5!3m4!1s0x39a0a1f9dde40605:0xb65a25915718edd1!8m2!3d29.3820901!4d79.4660113?authuser=0&hl=en&rclk=1
Sitapur Hospital,Hospital,"9FR5+622, Mallital, Nainital, Uttarakhand 263001, India",https://www.google.co.kr/maps/place/Sitapur+Hospital/data=!4m5!3m4!1s0x39a0a1ed0bbc93dd:0x2109a21bfba47b8a!8m2!3d29.3905135!4d79.4575044?authuser=0&hl=en&rclk=1
Office director hospital,Hospital,"40, Bara Bazar Rd, Mallital, Nainital, Uttarakhand 263002, India",https://www.google.co.kr/maps/place/Office+director+hospital/data=!4m5!3m4!1s0x39a0a13866188e2f:0xe06243c3f427d810!8m2!3d29.3928172!4d79.4539729?authuser=0&hl=en&rclk=1
Nainital,Hospital,"9FJ7+4CG, Tallital, Nainital, Uttarakhand 263002, India",https://www.google.co.kr/maps/place/Nainital/data=!4m5!3m4!1s0x39a0a156e203e04f:0x27bab31468a2b818!8m2!3d29.3803039!4d79.4635658?authuser=0&hl=en&rclk=1
BVM Dispenasry,Hospital,"9FR9+24P, Mallital, Nainital, Uttarakhand 263001, India",https://www.google.co.kr/maps/place/BVM+Dispenasry/data=!4m5!3m4!1s0x39a0a1f5b3944339:0x155747a518e93595!8m2!3d29.3900815!4d79.4678257?authuser=0&hl=en&rclk=1
"T.B.Sanatorium, Bhowali, Nainital",Hospital,"TB sanatorium, Bhowali, Sukha, Uttarakhand 263132, India","https://www.google.co.kr/maps/place/T.B.Sanatorium,+Bhowali,+Nainital/data=!4m5!3m4!1s0x39a0a265d797a411:0x6d73cb32bff48f08!8m2!3d29.3889877!4d79.5065026?authuser=0&hl=en&rclk=1"
"Government Hospital Garampani, Nainital Uttarakhand",Hospital,"garampani,, Uttarakhand, India","https://www.google.co.kr/maps/place/Government+Hospital+Garampani,+Nainital+Uttarakhand/data=!4m5!3m4!1s0x39a0a4252f3040d1:0x443c79c4c7706ec9!8m2!3d29.4957844!4d79.4810605?authuser=0&hl=en&rclk=1"
Naini Dental Care hospital,Hospital,"Bara Bazar Rd, Mallital, Nainital, Uttarakhand 263001, India",https://www.google.co.kr/maps/place/Naini+Dental+Care+hospital/data=!4m5!3m4!1s0x39a0a1cc22d61db1:0x396f4010a1f4658a!8m2!3d29.3945342!4d79.4499104?authuser=0&hl=en&rclk=1
