Company_Name,Category,Address,Url
"The Mission Hospital , Durgapur",Private hospital,"Immon Kalyan Sarani, Sector IIC, Bidhannagar, Durgapur, West Bengal 713212, India","https://www.google.co.kr/maps/place/The+Mission+Hospital+,+Durgapur/data=!4m5!3m4!1s0x39f770441b6a2cb7:0xc7c4abf33d85de56!8m2!3d23.5200737!4d87.3555012?authuser=0&hl=en&rclk=1"
Peerless Hospital,General hospital,"360, Pancha Sayar Rd, Sahid Smirity Colony, Pancha Sayar, Kolkata, West Bengal 700094, India",https://www.google.co.kr/maps/place/Peerless+Hospital/data=!4m5!3m4!1s0x3a0271652e763a03:0x93ab7f119f9d152b!8m2!3d22.4806837!4d88.3941722?authuser=0&hl=en&rclk=1
Ohio Hospital,General hospital,"Plot No. DG-6 Service Road, Street Number 358, Newtown, Kolkata, West Bengal 700156, India",https://www.google.co.kr/maps/place/Ohio+Hospital/data=!4m5!3m4!1s0x3a0275328b9545c5:0x5c55a8f42e2a55f3!8m2!3d22.5779593!4d88.4766243?authuser=0&hl=en&rclk=1
"Narayana Multispeciality Hospital, Howrah",General hospital,"Andul Rd, near Chunabati, Podara, Mourigram, Howrah, West Bengal 711109, India","https://www.google.co.kr/maps/place/Narayana+Multispeciality+Hospital,+Howrah/data=!4m5!3m4!1s0x3a0278fe44cff667:0x75cfd917c8759552!8m2!3d22.5673769!4d88.270388?authuser=0&hl=en&rclk=1"
Genesis Hospital,General hospital,"1470, Rajdanga Main Rd, Sector C, East Kolkata Twp, Kolkata, West Bengal 700107, India",https://www.google.co.kr/maps/place/Genesis+Hospital/data=!4m5!3m4!1s0x3a027154fd848743:0xe85cf09eb1da8313!8m2!3d22.5140931!4d88.3991934?authuser=0&hl=en&rclk=1
DESUN Hospital,Private hospital,"Desun More, 720, Eastern Metropolitan Bypass, Golpark, Sector I, Kasba, Kolkata, West Bengal 700107, India",https://www.google.co.kr/maps/place/DESUN+Hospital/data=!4m5!3m4!1s0x3a0273ffba333285:0xe26fc1c3cb8a0d70!8m2!3d22.5146288!4d88.4032479?authuser=0&hl=en&rclk=1
CAMRI Hospital,General hospital,"NH2, Grand Trunk Road, Gangpur, West Bengal 713104, India",https://www.google.co.kr/maps/place/CAMRI+Hospital/data=!4m5!3m4!1s0x39f848e148480ef5:0x7018aea82a0318f9!8m2!3d23.2201387!4d87.9100745?authuser=0&hl=en&rclk=1
Mission Hospital,General hospital,"40-B, 45, Acharya Jagadish Chandra Bose Road, Rippon Street, Taltala, Kolkata, West Bengal 700017, India",https://www.google.co.kr/maps/place/Mission+Hospital/data=!4m5!3m4!1s0x3a0276fd4dd4f23d:0x9b698bb5b1d39107!8m2!3d22.5520136!4d88.3633233?authuser=0&hl=en&rclk=1
IPGME&R and SSKM Hospital Kolkata ( PG Hospital ),Government hospital,"SSKM Hospital Rd, Bhowanipore, Kolkata, West Bengal 700020, India",https://www.google.co.kr/maps/place/IPGME%26R+and+SSKM+Hospital+Kolkata+(+PG+Hospital+)/data=!4m5!3m4!1s0x3a02773fe291de33:0x6e7b66863150f953!8m2!3d22.5396623!4d88.3421801?authuser=0&hl=en&rclk=1
Gandhi Memorial Hospital,Specialized hospital,"XF8F+H34, Block A, Kalyani, West Bengal 741235, India",https://www.google.co.kr/maps/place/Gandhi+Memorial+Hospital/data=!4m5!3m4!1s0x39f895691f7334c1:0xdc316a2e9aeea292!8m2!3d22.9663805!4d88.4726883?authuser=0&hl=en&rclk=1
