Record Id,Deal Owner ID,Amount,Deal Name,Closing Date,Company ID,Stage,Type,Probability (%),Next Step,Lead Source,Campaign Source ID,Created by ID,Modified by ID,Created Time,Modified Time,Description,Customer ID,Expected Revenue,Last Activity Time,Lead Conversion Time,Sales Cycle Duration,Overall Sales Duration,Territory,Customer ID.1,Score,Positive Score,Product,Reject Information,Tag,Prediction,LAST_ACTION,LAST_SENT_TIME,LAST_ACTION_TIME,Pipeline,Deal Category Status,Amount in $,D evaluate,discount,Edit,Payment terms,State,Lead Source-2,Sales Person,Referral ID,Warranty,Serial Number 2,Serial Number 1,Serial Number 4,Serial Number 3,Channel
zcrm_1920545000000137005,zcrm_1920545000000240001,2660000.0,"Vcare Group, Chennai-",2016-09-15,zcrm_1920545000000793325,6. Installation,,100,,Outbound - cold visit,,zcrm_1920545000000117001,zcrm_1920545000016756022,2016-05-24 14:47:21,2021-03-17 20:24:09,"Vcare is a Corporate group from Chennai & they are into slimming & beauty. I met them in Mumbai along with Marcia as we got an inquiry from them regarding their requirement for InBody 270. 

I had a meeting with the Director of the company and he was interested in purchasing 11 units of InBody 270. We finally had a negotiation and closed the pricing at USD $5194 per units for InBody 270 subject to a single order for 11 units of InBody 270.",zcrm_1920545000000137003,2660000.0,2021-03-17 20:24:09,0.0,114.0,114.0,South,,0,0,InBody270,,,,,,,Standard (Standard),Closed,,,,False,,,,,,Over Warranty,,,,,
zcrm_1920545000000137063,zcrm_1920545000000240001,500000.0,Golds Gym (Fit & Free Fitness Solutions Pvt Ltd)-,2016-05-25,zcrm_1920545000000137059,6. Installation,,100,,Dealer referral,,zcrm_1920545000000117001,zcrm_1920545000016756022,2016-05-24 15:43:28,2021-03-17 20:26:44,"This is a Golds Gym franchise from Thirssur Kerala. I have finalized the order in the Golds Gym convention which took place in Feb, 2016 in Sri Lanka. The order is for one unit of InBody 270 along with BSM 170B.",zcrm_1920545000000137061,500000.0,2021-03-17 20:26:44,0.0,1.0,1.0,South,,0,0,,,,,,,,Standard (Standard),Closed,,,,False,,,,,,Over Warranty,,,,,
zcrm_1920545000000142009,zcrm_1920545000001284001,460000.0,MKAS Healthcare Services-,2016-06-07,zcrm_1920545000000142005,10.Archive,,0,,OnlineStore,,zcrm_1920545000000117001,zcrm_1920545000016756022,2016-05-25 03:56:48,2021-05-21 14:37:21,"Received this inquiry from Marcia as it was posted on InBody HQ website. Had a decision with the customer and he is interested in InBody 270 for his clinic. Since he has limited budget he wants to go from InBody 270 only.

Have shared with him all the relevant product information along with the price quotation. He will get back to me shortly with his decision.",zcrm_1920545000000142007,0.0,2021-05-21 14:37:21,0.0,13.0,13.0,,,0,0,,,,,,,,Standard (Standard),Pipeline,,,,False,,,,Arun Sharma,,,,,,,
zcrm_1920545000000144009,zcrm_1920545000000240001,500000.0,Shanti Memorial Hospital Pvt. Ltd.-,2016-05-25,zcrm_1920545000000144005,6. Installation,,100,,Seminar,,zcrm_1920545000000117001,zcrm_1920545000016756022,2016-05-25 17:53:55,2021-03-17 20:26:44,"Met Dr. Sreejoy Patnaik last year in Apollo Hospital, Delhi during a Bariatric Surgery Seminar. Got a call from him few days back regarding their requirement for InBody. Since Cuttack is a T3 city they were initially willing to go for InBody 120, however did manage to convince them to atleast by InBody 270 and have finalised the order for the same.",zcrm_1920545000000144007,500000.0,2021-03-17 20:26:44,0.0,0.0,0.0,East,,0,0,,,,,,,,Standard (Standard),Closed,,,,False,,,,,,Over Warranty,,,,,
zcrm_1920545000000147009,zcrm_1920545000000240001,1000000.0,Private Nutritionist-,2017-01-20,zcrm_1920545000000817606,6. Installation,,100,,OnlineStore,,zcrm_1920545000000117001,zcrm_1920545000016756022,2016-05-26 02:26:39,2021-03-17 20:24:09,"Got this inquiry today on InBody India website. After having a telephonic conversation with the customer, got to know that she is coming up with a Diet clinic of her own and requires InBody for her centre. She has inquired about InBody 370 / InBody 570 & InBody 770. I have provided her with all the detailed information of all these 3 products along with the pricing of the same. 

She has mentioned that she will be discussing with her husband & will get back to me. I personally feel that she might be settling down for InBody 370. However, since the lead is on very initially stage so I wont comment but I will try to convince her to settle down for atleast InBody 570.",zcrm_1920545000000147007,1000000.0,2021-03-17 20:24:09,0.0,240.0,240.0,West 1,,0,0,InBody570,,,,,,,Standard (Standard),Closed,,,,False,,,,,,Over Warranty,,,,,
zcrm_1920545000000149009,zcrm_1920545000000240001,500000.0,Fitness Bar-,2016-06-15,zcrm_1920545000000149005,10.Archive,,0,,OnlineStore,,zcrm_1920545000000117001,zcrm_1920545000016756022,2016-05-27 04:34:25,2021-05-21 14:37:21,"Got this inquiry on InBody India website and after having telephonic discussion with Mr. Felipe Alvares got to know that he is coming up with a Gym in Goa and they require InBody 270 for their centre. Have provided him with all the product detailing along with the prices. 

Order to be expected by mid June, 2016",zcrm_1920545000000149007,0.0,2021-05-21 14:37:21,0.0,19.0,19.0,,,0,0,,,,,,,,Standard (Standard),Pipeline,,,,False,,,,,,,,,,,
zcrm_1920545000000154009,zcrm_1920545000000240001,460000.0,Golds Gym Vasai Franchise-,2016-05-31,zcrm_1920545000000154005,6. Installation,,100,,Dealer referral,,zcrm_1920545000000117001,zcrm_1920545000016756022,2016-05-30 01:05:17,2021-03-17 20:26:44,"Golds Gym franchise taken by Mr. Salim Memon. He will be opening his centre in Vasai suburb in Mumbai & I had a telephonic discussion with Mr. Salim and discussed about his requirement. 

He is planning to meet me in Mumbai on 31st and would like to have a discussion with me. Will be going for InBody 270.",zcrm_1920545000000154007,460000.0,2021-03-17 20:26:44,0.0,2.0,2.0,West 1,,0,0,,,,,,,,Standard (Standard),Closed,,,,False,,,,,,Over Warranty,,,,,
zcrm_1920545000000154044,zcrm_1920545000000240001,450000.0,Golds Gym Indore Franchise-,2016-06-15,zcrm_1920545000000154040,9. Rejected,,0,,Dealer referral,,zcrm_1920545000000117001,zcrm_1920545000000097003,2016-05-30 01:18:53,2019-10-31 18:57:31,"Golds Gym franchise owner for Indore city. Mr. Aman Raj Verma is the franchise owner for upcoming Golds Gym in Indore. I have had been in discussion with him from last 6 months and due to delay in construction work at the site the opening date got extended.

He is now planning to open the centre by mid June. He will be going for InBody 270",zcrm_1920545000000154042,0.0,2019-10-31 18:57:31,0.0,17.0,17.0,West 2,,0,0,,,,,,,,Standard (Standard),Omitted,,,,False,,,,,,,,,,,
zcrm_1920545000000169033,zcrm_1920545000000240001,450000.0,21 Fitness,2016-11-04,zcrm_1920545000000793384,6. Installation,,100,,Seminar,,zcrm_1920545000000117001,zcrm_1920545000016756022,2016-06-07 03:46:39,2021-03-17 20:24:09,"Met Mr. Chopra yesterday at Physique Global city tour in Delhi as he attended the event. He is basically an advocate and is running a consultation company. However, he is coming up with a Gym in East Delhi and is interested in purchasing InBody device. 

He will be calling me this week for a meeting and will decide on which InBody model to purchase for his centre.",zcrm_1920545000000169031,450000.0,2021-03-17 20:24:09,0.0,150.0,150.0,North,,0,0,InBody270,,,,,,,Standard (Standard),Closed,,,,False,,,,,,Over Warranty,,,,,
zcrm_1920545000000170009,zcrm_1920545000000240001,450000.0,Gym Owner-,2016-08-03,zcrm_1920545000000170005,10.Archive,,0,,Seminar,,zcrm_1920545000000117001,zcrm_1920545000016756022,2016-06-07 03:55:31,2021-05-21 14:37:21,"Met Mr. Vedula Charki at Physique Global city tour in Hyderabad. He attended the event and is coming up with a Gym by August 2016. He showed interest in InBody devices after having a demonstration there & will decided for a model within a budget range of Rs. 4,50,000/- 

Will have a telephonic discussion with him next week & will proceed further with his requirement.",zcrm_1920545000000170007,0.0,2021-05-21 14:37:21,0.0,57.0,57.0,,,0,0,,,,,,,,Standard (Standard),Pipeline,,,,False,,,,,,,,,,,
