Record Id,Company Owner ID,Sales Person,Rating,Company Name,Company Type,Territories,Shipping Street,Shipping City,Shipping Code,Billing Street,Billing City,Billing Code,Description,Custmer ID,Product,Tag,Created by ID,Modified by ID,Created Time,Modified Time,Last Activity Time,Shipping_State,Billing_State,Industry Fin
zcrm_1920545000000137001,zcrm_1920545000000117001,,Active,Vcare,,South,,,,"#30, 2nd Floor Rajabather Street, Pondy Bazaar",Chennai,600017,,,InBody270,,zcrm_1920545000000117001,zcrm_1920545000000097003,2016-05-24 14:47:21,2018-05-08 12:42:25,2018-05-08 12:42:25,,Tamil Nadu,Private Enterprise
zcrm_1920545000000137059,zcrm_1920545000000117001,,Active,Golds Gym (Fit & Free Fitness Solutions Pvt Ltd),,South,,,,"112, Sawmill Road, Koorkanchery",Thirssur,680007,"This is a Golds Gym franchise from Thirssur Kerala. I have finalized the order in the Golds Gym convention which took place in Feb, 2016 in Sri Lanka. The order is for one unit of InBody 270 along with BSM 170B.",,,,zcrm_1920545000000117001,zcrm_1920545000000097003,2016-05-24 15:43:28,2018-05-28 23:15:10,2021-07-23 17:52:47,,Kerala,Fitness
zcrm_1920545000000144005,zcrm_1920545000000117001,,Active,Shanti Memorial Hospital Pvt. Ltd.,,East,,,,Thoria Sahi,Cuttack,753001,"Met Dr. Sreejoy Patnaik last year in Apollo Hospital, Delhi during a Bariatric Surgery Seminar. Got a call from him few days back regarding their requirement for InBody. Since Cuttack is a T3 city they were initially willing to go for InBody 120, however did manage to convince them to atleast by InBody 270 and have finalised the order for the same.",,,,zcrm_1920545000000117001,zcrm_1920545000000097003,2016-05-25 17:53:54,2020-04-08 12:44:52,2021-07-23 17:52:32,,Odisha,Hospital
zcrm_1920545000000147005,zcrm_1920545000000117001,,Active,Private Nutritionist,,West 1,,,,,,,"Got this inquiry today on InBody India website. After having a telephonic conversation with the customer, got to know that she is coming up with a Diet clinic of her own and requires InBody for her centre. She has inquired about InBody 370 / InBody 570 & InBody 770. I have provided her with all the detailed information of all these 3 products along with the pricing of the same. 

She has mentioned that she will be discussing with her husband & will get back to me. I personally feel that she might be settling down for InBody 370. However, since the lead is on very initially stage so I wont comment but I will try to convince her to settle down for atleast InBody 570.",,,,zcrm_1920545000000117001,zcrm_1920545000000097003,2016-05-26 02:26:38,2018-05-08 12:42:25,2018-05-08 12:42:25,,Maharashtra,Private Enterprise
zcrm_1920545000000153007,zcrm_1920545000000117001,,Active,Snap Fitness India,,South,,,,"#41/A, First Floor BDA Complex H.S.R. Layout",Bangalore,560102,"Snap Fitness India is a Corporate chain basically from U.S.A. and Dr. Vikram Mohan, Bangalore has the Master Franchise of Snap Fitness for entire India. I got in touch with him in 2014 while doing a web search on Gym chains in India and went to meet him for prospective sales. 

From there on, I developed good relationship with the customer and started getting business from them. Although last year & this year there growth has been very slow but still they are now planning to come up with new centers in 2016.

Finalised order for 2 units of InBody 120 for their upcoming centers, one in Bangalore & other one in Delhi.",,,,zcrm_1920545000000117001,zcrm_1920545000000097003,2016-05-28 16:21:51,2018-05-08 12:42:25,2021-07-23 17:52:47,,Karnataka,Fitness
zcrm_1920545000000154005,zcrm_1920545000000117001,,Active,Golds Gym Vasai Franchise,,West 1,,,,Vasai Suburb,Mumbai,,"Golds Gym franchise taken by Mr. Salim Memon. He will be opening his centre in Vasai suburb in Mumbai & I had a telephonic discussion with Mr. Salim and discussed about his requirement. 

He is planning to meet me in Mumbai on 31st and would like to have a discussion with me. Will be going for InBody 270.",,,,zcrm_1920545000000117001,zcrm_1920545000000097003,2016-05-30 01:05:17,2018-05-08 12:42:25,2021-07-23 17:52:18,,Maharashtra,Fitness
zcrm_1920545000000154040,zcrm_1920545000018425001,,Active,Golds Gym Indore Franchise,,West 2,,,,Indore,Indore,,"Golds Gym franchise owner for Indore city. Mr. Aman Raj Verma is the franchise owner for upcoming Golds Gym in Indore. I have had been in discussion with him from last 6 months and due to delay in construction work at the site the opening date got extended.

He is now planning to open the centre by mid June. He will be going for InBody 270",,InBody270,,zcrm_1920545000000117001,zcrm_1920545000000097003,2016-05-30 01:18:53,2020-04-08 08:05:36,2021-07-23 17:52:42,,Madhya Pradesh,Fitness
zcrm_1920545000000169005,zcrm_1920545000000117001,,Active,Snap Fitness India (Delhi Centre),,South,,,,"#41/A, First Floor BDA Complex H.S.R. Layout",Bangalore,560102,This is another order by Snap Fitness for their Delhi centre for IB 270 is confirmed & finalised.,,,,zcrm_1920545000000117001,zcrm_1920545000000097003,2016-06-07 03:38:43,2018-05-08 12:42:25,2021-07-23 17:52:32,,Karnataka,Fitness
zcrm_1920545000000169029,zcrm_1920545000000117001,,Active,ICCH,,North,,,,"C-73, Preet Vihar",Delhi,110092,"Met Mr. Chopra yesterday at Physique Global city tour in Delhi as he attended the event. He is basically an advocate and is running a consultation company. However, he is coming up with a Gym in East Delhi and is interested in purchasing InBody device. 

He will be calling me this week for a meeting and will decide on which InBody model to purchase for his centre.",,InBody270,,zcrm_1920545000000117001,zcrm_1920545000000097003,2016-06-07 03:46:39,2018-05-08 12:42:25,2018-05-08 12:42:25,,Delhi,Fitness
zcrm_1920545000000170005,zcrm_1920545000000117001,,Active,Gym Owner,,N,,,,,Hyderabad,,"Met Mr. Vedula Charki at Physique Global city tour in Hyderabad. He attended the event and is coming up with a Gym by August 2016. He showed interest in InBody devices after having a demonstration there & will decided for a model within a budget range of Rs. 4,50,000/- 

Will have a telephonic discussion with him next week & will proceed further with his requirement.",,,,zcrm_1920545000000117001,zcrm_1920545000000097003,2016-06-07 03:55:30,2018-09-12 20:17:40,2021-07-23 17:52:47,,Andhra Pradesh,Fitness
