year,month,lead,deal,closed deal,converted Rate,sales success Rate
2017,1,28,11,3,0.282,7.691
2017,2,19,11,6,0.367,20.018
2017,3,106,15,3,0.124,2.48
2017,4,213,19,8,0.082,3.453
2017,5,106,17,3,0.138,2.435
2017,6,86,16,4,0.157,3.925
2017,7,248,18,4,0.068,1.511
2017,8,607,71,25,0.105,3.697
2017,9,1183,261,213,0.181,14.771
2017,10,187,61,40,0.246,16.131
2017,11,91,33,9,0.266,7.255
2017,12,861,37,9,0.041,0.997
2018,1,196,38,6,0.162,2.558
2018,2,232,43,11,0.156,3.991
2018,3,145,94,17,0.393,7.107
2018,4,168,34,8,0.168,3.953
2018,5,93,48,19,0.34,13.458
2018,6,186,74,26,0.285,10.014
2018,7,93,57,22,0.38,14.667
2018,8,89,43,18,0.326,13.647
2018,9,164,26,12,0.137,6.323
2018,10,507,30,12,0.056,2.24
2018,11,180,32,16,0.151,7.55
2018,12,104,26,9,0.2,6.923
2019,1,58,34,17,0.37,18.5
2019,2,167,32,9,0.161,4.528
2019,3,87,38,16,0.304,12.8
2019,4,185,34,13,0.155,5.926
2019,5,294,30,12,0.093,3.72
2019,6,55,22,16,0.286,20.8
2019,7,300,52,16,0.148,4.554
2019,8,157,35,18,0.182,9.36
2019,9,60,21,9,0.259,11.1
2019,10,691,35,15,0.048,2.057
2019,11,215,36,8,0.143,3.178
2019,12,216,52,16,0.194,5.969
2020,1,73,54,18,0.425,14.167
2020,2,171,68,22,0.285,9.221
2020,3,137,71,45,0.341,21.613
2020,4,11,4,0,0.267,0.0
2020,5,45,6,3,0.118,5.9
2020,6,24,16,8,0.4,20.0
2020,7,32,8,5,0.2,12.5
2020,8,21,14,3,0.4,8.571
2020,9,17,19,7,0.528,19.453
2020,10,33,37,30,0.529,42.892
2020,11,39,28,9,0.418,13.436
2020,12,176,46,20,0.207,9.0
2021,1,143,44,14,0.235,7.477
2021,2,208,39,17,0.158,6.887
2021,3,267,63,29,0.191,8.792
2021,4,83,24,10,0.224,9.333
2021,5,175,20,5,0.103,2.575
2021,6,181,15,5,0.077,2.567
2021,7,136,40,13,0.227,7.378
