Company_Name,Category,Address,Url
Clinic,Medical clinic,"MV8X+GP6, Jola, Himachal Pradesh 175001, India",https://www.google.co.kr/maps/place/Clinic/data=!4m5!3m4!1s0x39051e19dce58b0b:0x734b256e9d6b6a2c!8m2!3d31.6662763!4d76.899254?authuser=0&hl=en&rclk=1
Himachal Clinic,Medical clinic,"Manpul, Hamirpur, NH-70, Nadaun Road, Nadaun, Himachal Pradesh 177043, India",https://www.google.co.kr/maps/place/Himachal+Clinic/data=!4m5!3m4!1s0x391b2e433b078ba3:0xccf3c2ebe675b2d1!8m2!3d31.7634387!4d76.3367769?authuser=0&hl=en&rclk=1
Clinic,Medical clinic,"9786+C78, Nangal Khurd, Himachal Pradesh 174301, India",https://www.google.co.kr/maps/place/Clinic/data=!4m5!3m4!1s0x391ac58d971a209d:0x201d001120b7153f!8m2!3d31.3660477!4d76.2606975?authuser=0&hl=en&rclk=1
Neelkanth Hospital,Hospital,"93/1, Palace Colony Rd, Palace Colony, Mandi, Himachal Pradesh 175001, India",https://www.google.co.kr/maps/place/Neelkanth+Hospital/data=!4m5!3m4!1s0x3904e224a1ba80f5:0xe2d8f91d5d5084!8m2!3d31.7085643!4d76.9275537?authuser=0&hl=en&rclk=1
shashni Clinic,Medical clinic,"kolibeharh road near chander lok sweet mohal 175126, Mohal, Himachal Pradesh, India",https://www.google.co.kr/maps/place/shashni+Clinic/data=!4m5!3m4!1s0x3904f722a20f9ab1:0xfad28c736bf22b37!8m2!3d31.9142921!4d77.125098?authuser=0&hl=en&rclk=1
Clinic,Medical clinic,"Galua, Himachal Pradesh 176026, India",https://www.google.co.kr/maps/place/Clinic/data=!4m5!3m4!1s0x391b437067a7a7f1:0x43d73a0cdf294926!8m2!3d32.0707762!4d76.1103868?authuser=0&hl=en&rclk=1
Rama Health Clinic,Medical clinic,"Kacchi Ghatti, Shimla, Himachal Pradesh 171010, India",https://www.google.co.kr/maps/place/Rama+Health+Clinic/data=!4m5!3m4!1s0x3905793d342ca72d:0x61782300b4a78cbf!8m2!3d31.092955!4d77.136675?authuser=0&hl=en&rclk=1
Himachal Clinic and Hospital,Hospital,"RX5G+4PV, Una, Himachal Pradesh 144206, India",https://www.google.co.kr/maps/place/Himachal+Clinic+and+Hospital/data=!4m5!3m4!1s0x391b11f63a9014f9:0x53958e90fa2e66d9!8m2!3d31.8078624!4d75.976788?authuser=0&hl=en&rclk=1
Himachal clinic,Hospital,"Bharoli Kutiara Bus Stop, VPO-Bharoli Kutiara, Bag, Himachal Pradesh 176036, India",https://www.google.co.kr/maps/place/Himachal+clinic/data=!4m5!3m4!1s0x391b2f341abb7f2b:0x97f3e6218f404174!8m2!3d31.7923119!4d76.334718?authuser=0&hl=en&rclk=1
Shiva Hospital,Hospital,"Shiva Complex, Near Thodo Ground, Rajgarh Road, Solan, Himachal Pradesh 173212, India",https://www.google.co.kr/maps/place/Shiva+Hospital/data=!4m5!3m4!1s0x390f814ba3afcc0f:0x4abea1159028ea37!8m2!3d30.907034!4d77.105906?authuser=0&hl=en&rclk=1
Medical Clinic,Medical clinic,"552F+CP4, Haripur, Himachal Pradesh 175136, India",https://www.google.co.kr/maps/place/Medical+Clinic/data=!4m5!3m4!1s0x39048a1e4b35449d:0x37a80068e024de2e!8m2!3d32.1510197!4d77.1743369?authuser=0&hl=en&rclk=1
Bali Clinic with Advanced Clinical Laboratory,Medical clinic,"Mandi - Pathankot Rd, Paprola, Himachal Pradesh 176115, India",https://www.google.co.kr/maps/place/Bali+Clinic+with+Advanced+Clinical+Laboratory/data=!4m5!3m4!1s0x3904b778b6e1b43b:0xa2cf96ecb630af88!8m2!3d32.0522137!4d76.635623?authuser=0&hl=en&rclk=1
