Company_Name,Category,Address,Url
Apollo Clinic,Medical clinic,"29 Old Tiruchanoor Road, near Lakshmipuram Cirle, Tirupati, Andhra Pradesh 517501, India",https://www.google.co.kr/maps/place/Apollo+Clinic/data=!4m5!3m4!1s0x3a4d4ba142419fc9:0xf4d399f0b633bbe6!8m2!3d13.6231082!4d79.4301174?authuser=0&hl=en&rclk=1
Apollo Clinic,Medical clinic,"50–81–1/2 Plot 5 - 1 Sheethammapeta, Andhra Pradesh 530016, India",https://www.google.co.kr/maps/place/Apollo+Clinic/data=!4m5!3m4!1s0x3a39433afe71759f:0xd71bcfa95bbe6071!8m2!3d17.7298328!4d83.3066024?authuser=0&hl=en&rclk=1
Queen's NRI Hospital,Hospital,"d.no, 50-53-14, Gurudwara Rd, Balayya Sastri Layout, Seethammadara, Visakhapatnam, Andhra Pradesh 530013, India",https://www.google.co.kr/maps/place/Queen's+NRI+Hospital/data=!4m5!3m4!1s0x3a3943311226a1ed:0x2f12873df4d18d45!8m2!3d17.7404065!4d83.3081929?authuser=0&hl=en&rclk=1
"CARE Hospitals - Maharanipeta, Visakhapatnam",Hospital,"17-1-1, KGH Down Rd, Opp KGH OP Gate, Maharani Peta, Visakhapatnam, Andhra Pradesh 530002, India","https://www.google.co.kr/maps/place/CARE+Hospitals+-+Maharanipeta,+Visakhapatnam/data=!4m5!3m4!1s0x3a3943101823d3f5:0x8f6149999d853629!8m2!3d17.7097176!4d83.3057755?authuser=0&hl=en&rclk=1"
Manipal Clinics,Medical clinic,"17.686543, 83.203952, India",https://www.google.co.kr/maps/place/Manipal+Clinics/data=!4m5!3m4!1s0x3a396906c10574c3:0x2c845e1ce6f92efb!8m2!3d17.686543!4d83.203952?authuser=0&hl=en&rclk=1
Apollo Clinic,Medical clinic,"Murali Nagar St, Muralinagar, Madhavadhara, Visakhapatnam, Andhra Pradesh 530007, India",https://www.google.co.kr/maps/place/Apollo+Clinic/data=!4m5!3m4!1s0x3a395d53afdb1261:0x6eca82f97b3b0713!8m2!3d17.7463089!4d83.2580708?authuser=0&hl=en&rclk=1
"CARE Hospitals - Ram Nagar, Visakhapatnam",Hospital,"AS Raja Complex, 10-50-11/5, Waltair Main Rd, Ram Nagar, Visakhapatnam, Andhra Pradesh 530002, India","https://www.google.co.kr/maps/place/CARE+Hospitals+-+Ram+Nagar,+Visakhapatnam/data=!4m5!3m4!1s0x3a394315702cc723:0x62489f0d151875b1!8m2!3d17.7202776!4d83.3126239?authuser=0&hl=en&rclk=1"
"Manipal Hospital, Vijayawada",Private hospital,"Manipal Hospital Vijayawada # 12-570 near vardhi By pass road Tadepalli Guntur District , Andhra Pradesh Tadepalli, Andhra Pradesh 522501, India","https://www.google.co.kr/maps/place/Manipal+Hospital,+Vijayawada/data=!4m5!3m4!1s0x3a35f06c6aeb71a3:0x459c4b794090a54b!8m2!3d16.4844027!4d80.6169481?authuser=0&hl=en&rclk=1"
Nalluri Nursing Home,Hospital,"Kothapatnam Road, MaratiPalem, Ongole, Andhra Pradesh 523001, India",https://www.google.co.kr/maps/place/Nalluri+Nursing+Home/data=!4m5!3m4!1s0x3a4b01019ac93fbd:0x8ad3a9982a0cc570!8m2!3d15.5048795!4d80.0513069?authuser=0&hl=en&rclk=1
"Partha Dental Skin Hair Clinic, Satyanarayanapuram, Vijayawada",Dental clinic,"G.S.Raju Rd, opp. Andhra Bank, Government Press Road, Satyaranayana Puram, Vijayawada, Andhra Pradesh 520011, India","https://www.google.co.kr/maps/place/Partha+Dental+Skin+Hair+Clinic,+Satyanarayanapuram,+Vijayawada/data=!4m5!3m4!1s0x3a35ef7e43ca663f:0x5a5219b6a2171172!8m2!3d16.5229819!4d80.6322962?authuser=0&hl=en&rclk=1"
Health clinic,Medical clinic,"MF64+CCM, Nagaraju Gunta, Andhra Pradesh 523241, India",https://www.google.co.kr/maps/place/Health+clinic/data=!4m5!3m4!1s0x3a4ad3840d078da3:0x24f2594988a4ae01!8m2!3d15.6610855!4d79.456058?authuser=0&hl=en&rclk=1
"కడియాల ఫిజియోథెరపీ క్లినిక్ Kadiyala Physiotherapy Clinic, కడియాల ఫిజియో థెరపి క్లినిక్",Hospital,"Raja gari kota, Barampet, Narasaraopeta, Andhra Pradesh 522601, India","https://www.google.co.kr/maps/place/%E0%B0%95%E0%B0%A1%E0%B0%BF%E0%B0%AF%E0%B0%BE%E0%B0%B2+%E0%B0%AB%E0%B0%BF%E0%B0%9C%E0%B0%BF%E0%B0%AF%E0%B1%8B%E0%B0%A5%E0%B1%86%E0%B0%B0%E0%B0%AA%E0%B1%80+%E0%B0%95%E0%B1%8D%E0%B0%B2%E0%B0%BF%E0%B0%A8%E0%B0%BF%E0%B0%95%E0%B1%8D+Kadiyala+Physiotherapy+Clinic,+%E0%B0%95%E0%B0%A1%E0%B0%BF%E0%B0%AF%E0%B0%BE%E0%B0%B2+%E0%B0%AB%E0%B0%BF%E0%B0%9C%E0%B0%BF%E0%B0%AF%E0%B1%8B+%E0%B0%A5%E0%B1%86%E0%B0%B0%E0%B0%AA%E0%B0%BF+%E0%B0%95%E0%B1%8D%E0%B0%B2%E0%B0%BF%E0%B0%A8%E0%B0%BF%E0%B0%95%E0%B1%8D/data=!4m5!3m4!1s0x3a4a80e219d5231d:0xa721fabf6ca1af6a!8m2!3d16.2382318!4d80.053335?authuser=0&hl=en&rclk=1"
AKSHAYA HOSPITAL,Hospital,"43-9-201, SLV Arcade, opp. Sreekanya Building, Theatre, Railway New Colony, Visakhapatnam, Andhra Pradesh 530016, India",https://www.google.co.kr/maps/place/AKSHAYA+HOSPITAL/data=!4m5!3m4!1s0x3a3943275d4ee569:0xfb64bf4850a8c704!8m2!3d17.727636!4d83.2940483?authuser=0&hl=en&rclk=1
Apollo clinic,Hospital,"Kundula road, Krishna Nagar Main Rd, Guntur, Andhra Pradesh 522006, India",https://www.google.co.kr/maps/place/Apollo+clinic/data=!4m5!3m4!1s0x3a4a7523addca7d9:0x264977d94da1c996!8m2!3d16.312824!4d80.4206353?authuser=0&hl=en&rclk=1
Amara Hospital,Hospital,"NH716, Karakambadi Rural, Andhra Pradesh 517520, India",https://www.google.co.kr/maps/place/Amara+Hospital/data=!4m5!3m4!1s0x3a4d4a4c06fcaa9d:0x93e13d62cf6394a8!8m2!3d13.6646284!4d79.5148259?authuser=0&hl=en&rclk=1
Miot International,Diagnostic center,"JCQH+724, Korlagunta, Tirupati, Andhra Pradesh 517501, India",https://www.google.co.kr/maps/place/Miot+International/data=!4m5!3m4!1s0x3a4d4baa50ebfb13:0xe80282cd76732bdf!8m2!3d13.6381365!4d79.4275763?authuser=0&hl=en&rclk=1
Apollo Dental Clinic & Hospital-Best Dentist in Nellore Andhra Pradesh,Dental clinic,"No.16/111, 1133, Muthukur Rd, Pinakini Avenue, Ramalinga Puram, Nellore, Andhra Pradesh 524003, India",https://www.google.co.kr/maps/place/Apollo+Dental+Clinic+%26+Hospital-Best+Dentist+in+Nellore+Andhra+Pradesh/data=!4m5!3m4!1s0x3a4cf34a82901f6d:0xc97296f686de1a93!8m2!3d14.442599!4d79.986456?authuser=0&hl=en&rclk=1
