Company_Name,Category,Address,Url
S.R. Drugs House,Medical clinic,"Lekhi Village, Naharlagun, Arunachal Pradesh 791110",https://www.google.co.kr/maps/place/S.R.+Drugs+House/data=!4m5!3m4!1s0x3743ff2ae452cf11:0xb3919f5e23617431!8m2!3d27.1249797!4d93.7252563?authuser=0&hl=en&rclk=1
Niba Hospital,Hospital,"Naharlagun Pappunalla, Itanagar, Arunachal Pradesh 791110",https://www.google.co.kr/maps/place/Niba+Hospital/data=!4m5!3m4!1s0x374400c9d84a2901:0xe6c4d2fec82e72da!8m2!3d27.0974077!4d93.67714?authuser=0&hl=en&rclk=1
Medical Health Centre,Hospital,"MV79+Q8M, Namsai, Arunachal Pradesh 792103, India",https://www.google.co.kr/maps/place/Medical+Health+Centre/data=!4m5!3m4!1s0x373efa59c089aee7:0xbf9e6503afc4847c!8m2!3d27.6644704!4d95.8683065?authuser=0&hl=en&rclk=1
Loku dental clinic,Dental clinic,"Borum village, near hanging bridge, Naharlagun, Arunachal Pradesh 791110",https://www.google.co.kr/maps/place/Loku+dental+clinic/data=!4m5!3m4!1s0x374401146a3bcf27:0x81e75eed3355cb1d!8m2!3d27.1180037!4d93.6974538?authuser=0&hl=en&rclk=1
Heema Hospital,Hospital,"NH415, Cona County, Itanagar, Arunachal Pradesh 791111",https://www.google.co.kr/maps/place/Heema+Hospital/data=!4m5!3m4!1s0x3744072190a3f1d9:0x17fa1315030b82ee!8m2!3d27.1008661!4d93.6281061?authuser=0&hl=en&rclk=1
"Community Healthcare Center, Wakro",Hospital,"Q8HX+PW3, Wakro, Arunachal Pradesh 792102, India","https://www.google.co.kr/maps/place/Community+Healthcare+Center,+Wakro/data=!4m5!3m4!1s0x373e809df809f899:0x62442dbbb464fb3b!8m2!3d27.7792583!4d96.3498002?authuser=0&hl=en&rclk=1"
Primary Health Centre Kharsang,Hospital,"Miao Road, Miao, Arunachal Pradesh 792122, India",https://www.google.co.kr/maps/place/Primary+Health+Centre+Kharsang/data=!4m5!3m4!1s0x373eebb84e5007a9:0x3f1230e9c258f1f7!8m2!3d27.4219851!4d96.0218073?authuser=0&hl=en&rclk=1
Manmow Sub-Centre,Hospital,"National Highway 52, 6th Mile Camp, Arunachal Pradesh 792103, India",https://www.google.co.kr/maps/place/Manmow+Sub-Centre/data=!4m5!3m4!1s0x373efa75a6747b1f:0x5b49d0b9d15df0dd!8m2!3d27.6791826!4d95.8968285?authuser=0&hl=en&rclk=1
Samaritan Hormin Hospital,Hospital,"A Sector, Papum Pare, NH-52A, Itanagar Rd, Naharlagun, Arunachal Pradesh 791110",https://www.google.co.kr/maps/place/Samaritan+Hormin+Hospital/data=!4m5!3m4!1s0x3744008eb6cd3455:0x59e709aa13d1ac21!8m2!3d27.1085492!4d93.6974067?authuser=0&hl=en&rclk=1
Physiotherapy & Rehabilitation Clinic,Hospital,"PWM6+V47, Lathao, Arunachal Pradesh 792103, India",https://www.google.co.kr/maps/place/Physiotherapy+%26+Rehabilitation+Clinic/data=!4m5!3m4!1s0x373ef7f914979691:0xc590ed814ed06232!8m2!3d27.7346556!4d95.9102962?authuser=0&hl=en&rclk=1
"Gyati Takka General Hospital, Ziro",Government hospital,"Hospital Road, Cona County, Ziro, Arunachal Pradesh 791120","https://www.google.co.kr/maps/place/Gyati+Takka+General+Hospital,+Ziro/data=!4m5!3m4!1s0x374160d47dc4c7ff:0xf080831d047caddf!8m2!3d27.5390107!4d93.8219742?authuser=0&hl=en&rclk=1"
Maa Sarda Dental Hospital,Dental clinic,"Akashdeep complex, Itanagar, Arunachal Pradesh 791111",https://www.google.co.kr/maps/place/Maa+Sarda+Dental+Hospital/data=!4m5!3m4!1s0x374407506186b391:0x422af6775a30fd85!8m2!3d27.0880785!4d93.6131524?authuser=0&hl=en&rclk=1
Samaritan Hormin Hospital,Hospital,"NH415, A - Sector, Naharlagun, Arunachal Pradesh 791110",https://www.google.co.kr/maps/place/Samaritan+Hormin+Hospital/data=!4m5!3m4!1s0x37440112e9f11ae1:0xa8566f270d71412b!8m2!3d27.0263692!4d93.6239946?authuser=0&hl=en&rclk=1
Bethesda Clinic,Gastrointestinal surgeon,"Near Apollo Diagnostics, opp. RK Mission Hospital, Itanagar, Arunachal Pradesh 791113",https://www.google.co.kr/maps/place/Bethesda+Clinic/data=!4m5!3m4!1s0x374407b16853c237:0x18c9b7afaeab12d2!8m2!3d27.0868845!4d93.6082458?authuser=0&hl=en&rclk=1
Zonal General hospital Tezu,Hospital,"W5H5+64Q, Tezu, Arunachal Pradesh 792001, India",https://www.google.co.kr/maps/place/Zonal+General+hospital+Tezu/data=!4m5!3m4!1s0x373e65d354b9f6df:0x9073a1b5328bb947!8m2!3d27.9280885!4d96.1578466?authuser=0&hl=en&rclk=1
APNC,Medical clinic,"Nursing Council, C- Sector, Naharlagun, Arunachal Pradesh 791110",https://www.google.co.kr/maps/place/APNC/data=!4m5!3m4!1s0x3744009485555555:0xa3cc2fcfbf01de45!8m2!3d27.1040339!4d93.6870462?authuser=0&hl=en&rclk=1
Chowhai Drugs Stores,Hospital,"R353+WF9, Gunanagar, Arunachal Pradesh 792102, India",https://www.google.co.kr/maps/place/Chowhai+Drugs+Stores/data=!4m5!3m4!1s0x373e5feecc6c2b95:0xaaf24f0cc3b6a79f!8m2!3d27.809795!4d96.0537433?authuser=0&hl=en&rclk=1
Tomo Riba Institute Of Health And Medical Sciences,Hospital,"National Highway 52A, Old Assembly Complex, Naharlagun, Arunachal Pradesh 791110",https://www.google.co.kr/maps/place/Tomo+Riba+Institute+Of+Health+And+Medical+Sciences/data=!4m5!3m4!1s0x37440092bd9b4271:0xff711dc44d5e5ef9!8m2!3d27.1038855!4d93.6910961?authuser=0&hl=en&rclk=1
Ratan Clinic,Hospital,"R6W9+9VG, Ruksin, Arunachal Pradesh 787060, India",https://www.google.co.kr/maps/place/Ratan+Clinic/data=!4m5!3m4!1s0x373f82b6eedd6419:0x2e7b0e6a951a678e!8m2!3d27.8459469!4d95.2196877?authuser=0&hl=en&rclk=1
Kruna Trust,Hospital,"792001, Arunachal Pradesh, India",https://www.google.co.kr/maps/place/Kruna+Trust/data=!4m5!3m4!1s0x373e644902d44a91:0xce180aa23552c650!8m2!3d27.9185759!4d96.1772115?authuser=0&hl=en&rclk=1
Pulmocare Clinic,Hospital,"E Sector, Papum Pare, NH-52A, Itanagar Road, Naharlagun, Naharlagun, Arunachal Pradesh 791110",https://www.google.co.kr/maps/place/Pulmocare+Clinic/data=!4m5!3m4!1s0x37440092e9bbd2bd:0x4bffb8cff59af2dc!8m2!3d27.103312!4d93.691059?authuser=0&hl=en&rclk=1
Ista Pulu Health Center,Hospital,"Roing, Arunachal Pradesh 792110, India",https://www.google.co.kr/maps/place/Ista+Pulu+Health+Center/data=!4m5!3m4!1s0x373e491979f8f823:0x5b0cb74d14e21d86!8m2!3d28.1362489!4d95.8398081?authuser=0&hl=en&rclk=1
Dr Lal PathLabs,Diagnostic center,"NATIONAL HIGHWAY 52 A, MAIN ROAD, opp. TOMO RIBA GENERAL HOSPITAL, Naharlagun, Arunachal Pradesh 791110",https://www.google.co.kr/maps/place/Dr+Lal+PathLabs/data=!4m5!3m4!1s0x37440092c828395d:0x92d6fdaf0ca1e624!8m2!3d27.102304!4d93.691481?authuser=0&hl=en&rclk=1
Primary Health Center Koronu,Hospital,"3W7G+6P3, Dibang Valley, Arunachal Pradesh 792110, India",https://www.google.co.kr/maps/place/Primary+Health+Center+Koronu/data=!4m5!3m4!1s0x373e45c45b7ed2d1:0x8d4c6858b2aca0ae!8m2!3d28.0630191!4d95.9267924?authuser=0&hl=en&rclk=1
Community Health Centre,Medical Center,"F6Q6+X29, Miao, Arunachal Pradesh 792122, India",https://www.google.co.kr/maps/place/Community+Health+Centre/data=!4m5!3m4!1s0x373e973bcf253bc3:0xe536bb7d37025158!8m2!3d27.4899126!4d96.2101051?authuser=0&hl=en&rclk=1
NERIST Health Unit,Hospital,"Doimukh Road, Cona County, Nirjuli, Arunachal Pradesh 791109",https://www.google.co.kr/maps/place/NERIST+Health+Unit/data=!4m5!3m4!1s0x3743fffbd8230ef7:0x53314464629955a2!8m2!3d27.1300068!4d93.7365586?authuser=0&hl=en&rclk=1
"Govt Civil Hospital, Chongkham",Hospital,"R25R+Q34, Arunachal Pradesh 792102, India","https://www.google.co.kr/maps/place/Govt+Civil+Hospital,+Chongkham/data=!4m5!3m4!1s0x373e5f91408cef51:0x4bafe9d2744044a8!8m2!3d27.8093839!4d96.0402037?authuser=0&hl=en&rclk=1"
Ramakrishna Mission Hospital,Hospital,"P.O. R.K. Mission, Itanagar, Arunachal Pradesh 791113",https://www.google.co.kr/maps/place/Ramakrishna+Mission+Hospital/data=!4m5!3m4!1s0x374407b22d0f830f:0xc1127903b8c7048a!8m2!3d27.0856246!4d93.6090296?authuser=0&hl=en&rclk=1
Emmanuel BTM Hospital,Hospital,"National Highway 52A Pappu Nallah, Naharlagun, Arunachal Pradesh 791110",https://www.google.co.kr/maps/place/Emmanuel+BTM+Hospital/data=!4m5!3m4!1s0x374400c3f0230039:0xcaeee58f8ce7ca0d!8m2!3d27.0952157!4d93.6780951?authuser=0&hl=en&rclk=1
