Company_Name,Category,Address,Url
Dr. S. Bagchi's Memorial Clinic,Medical clinic,"2V22+783, Hojai, Assam 782435, India",https://www.google.co.kr/maps/place/Dr.+S.+Bagchi's+Memorial+Clinic/data=!4m5!3m4!1s0x37456b5a658be2eb:0xb78a2c1fe4bcb880!8m2!3d26.0006345!4d92.8507986?authuser=0&hl=en&rclk=1
Apollo Clinic - Best Diagnostic Center in Guwahati,Diagnostic center,"Meena Bhawani, Kanchan Rd, South Sarania, Ulubari, Guwahati, Assam 781005, India",https://www.google.co.kr/maps/place/Apollo+Clinic+-+Best+Diagnostic+Center+in+Guwahati/data=!4m5!3m4!1s0x375a5979ce01fb41:0xe13107fb0d68e82b!8m2!3d26.1691242!4d91.7630102?authuser=0&hl=en&rclk=1
Apollo Clinic: Dispur,Medical clinic,"GS Rd, opp. Down Town Hospital, Dispur, Rukmini Gaon, Guwahati, Assam 781006, India",https://www.google.co.kr/maps/place/Apollo+Clinic:+Dispur/data=!4m5!3m4!1s0x375a59f4d4f8fa01:0xa0e9d1990396560e!8m2!3d26.1384344!4d91.7989519?authuser=0&hl=en&rclk=1
Assam Healthcare,Hospital,"Maya Ville, House, No. 97, Barthakur Mill Rd, Ulubari, Guwahati, Assam 781007, India",https://www.google.co.kr/maps/place/Assam+Healthcare/data=!4m5!3m4!1s0x375a59ac6425fc23:0xf1752346a56a5a!8m2!3d26.17185!4d91.7592834?authuser=0&hl=en&rclk=1
Dr. Madhusudhan Deb Goswami's Clinic,Medical clinic,"Unnamed Road, E Amolapatty, Nagaon, Assam 782001, India",https://www.google.co.kr/maps/place/Dr.+Madhusudhan+Deb+Goswami's+Clinic/data=!4m5!3m4!1s0x3745272d6b0a6d93:0x3b5f8c547a30095a!8m2!3d26.3605345!4d92.6923112?authuser=0&hl=en&rclk=1
Krsnaa Diagnostics (MANGALDAI CIVIL HOSPITAL),Diagnostic center,"NH 52, Ward No-2, Mangaldoi, Assam 784125, India",https://www.google.co.kr/maps/place/Krsnaa+Diagnostics+(MANGALDAI+CIVIL+HOSPITAL)/data=!4m5!3m4!1s0x375b1da527c467af:0x34ce14d3d55eaf9b!8m2!3d26.4375327!4d92.0364538?authuser=0&hl=en&rclk=1
Apollo Skin Care Clinic in Guwahati,Skin care clinic,"GS Rd, opp. Downtown Hospital, Dispur, Rukmini Gaon, Guwahati, Assam 781006, India",https://www.google.co.kr/maps/place/Apollo+Skin+Care+Clinic+in+Guwahati/data=!4m5!3m4!1s0x375a590062be0081:0x4d2c16b4a63c7280!8m2!3d26.1383381!4d91.7989439?authuser=0&hl=en&rclk=1
Chikitsa Clinic,Diagnostic center,"2, Assam Trunk Rd, near V2, Adabari, Guwahati, Assam 781014, India",https://www.google.co.kr/maps/place/Chikitsa+Clinic/data=!4m5!3m4!1s0x375a5b30fbf912fb:0xff417882b181ae78!8m2!3d26.1580372!4d91.6836954?authuser=0&hl=en&rclk=1
Suraksha Clinic,Pharmacy,"Dambrudhar Bhawan, Near Maligaon Over-Bridge,, Baripara,, Guwahati, Assam 781012, India",https://www.google.co.kr/maps/place/Suraksha+Clinic/data=!4m5!3m4!1s0x375a5b3baa11feaf:0xc46b7e041559914a!8m2!3d26.158429!4d91.6884649?authuser=0&hl=en&rclk=1
Apollo Clinic - Best Diagnostic Center,Diagnostic center,"Siddha Point, Sati Joymati Rd, opposite Marwari Hospital, Athgaon, Guwahati, Assam 781001, India",https://www.google.co.kr/maps/place/Apollo+Clinic+-+Best+Diagnostic+Center/data=!4m5!3m4!1s0x375a5bcca9212495:0x1b07387d8a44b7d4!8m2!3d26.1722238!4d91.7402751?authuser=0&hl=en&rclk=1
