Company_Name,Category,Address,Url
"Dr. Walia's Skin, Laser & Hair Transplant Clinic",Laser hair removal service,"HM-127, Phase 3B1, Sahibzada Ajit Singh Nagar, Punjab 160055, India","https://www.google.co.kr/maps/place/Dr.+Walia's+Skin,+Laser+%26+Hair+Transplant+Clinic/data=!4m5!3m4!1s0x390fee6ef31bc763:0x8b9fa1c10f1a476a!8m2!3d30.7125317!4d76.7197897?authuser=0&hl=en&rclk=1"
Dr. Preeti Sharma (Pulmonologist) - Grecian Hospital,Pulmonologist,"OPD 135, Block B, First Floor Ext: 276, Sector 69, Sahibzada Ajit Singh Nagar, Punjab 160062, India",https://www.google.co.kr/maps/place/Dr.+Preeti+Sharma+(Pulmonologist)+-+Grecian+Hospital/data=!4m5!3m4!1s0x390fef29a0a2327d:0x8c5a9fc6b81876b4!8m2!3d30.692499!4d76.7206652?authuser=0&hl=en&rclk=1
"Reviva Clinic - Hair transplant in Chandigarh, India",Hair transplantation clinic,"S.C.O. 1, 2 & 3 Opposite James Hotel, 17D, Chandigarh 160017, India","https://www.google.co.kr/maps/place/Reviva+Clinic+-+Hair+transplant+in+Chandigarh,+India/data=!4m5!3m4!1s0x390fed7328621f05:0x50764cf655fd31d3!8m2!3d30.7435944!4d76.7837001?authuser=0&hl=en&rclk=1"
Apollo Clinic- Best Orthopaedic and Joint Replacement in Chandigarh,Hospital,"SCO 10-11 NEAR GOPAL SWEETS, Madhya Marg, Sector 8C, Chandigarh, 160009, India",https://www.google.co.kr/maps/place/Apollo+Clinic-+Best+Orthopaedic+and+Joint+Replacement+in+Chandigarh/data=!4m5!3m4!1s0x390fed0d63fa7fff:0x4a2871d698c798f6!8m2!3d30.7403361!4d76.7923828?authuser=0&hl=en&rclk=1
A Clinic,Medical clinic,"Near, Government Hospital, SCO 71, Level 1, Sector 30-C, Chandigarh, 160030, India",https://www.google.co.kr/maps/place/A+Clinic/data=!4m5!3m4!1s0x390fec346b2afa77:0xc9faed4627548cac!8m2!3d30.7127075!4d76.7522199?authuser=0&hl=en&rclk=1
Akss Clinic,Skin care clinic,"538 - Basement, Sector 33B, Sector 33, Chandigarh, 160020, India",https://www.google.co.kr/maps/place/Akss+Clinic/data=!4m5!3m4!1s0x390fec541acc1499:0x369c0b926de03e0c!8m2!3d30.7151747!4d76.7743569?authuser=0&hl=en&rclk=1
Health Clinic,Medical clinic,"Village Dadu Majra Mly Maloya, Manimajra, Manimajra, Sector 13, Chandigarh, 160101, India",https://www.google.co.kr/maps/place/Health+Clinic/data=!4m5!3m4!1s0x390f9331ad749419:0x7ded89c5169f7a57!8m2!3d30.7119422!4d76.8345485?authuser=0&hl=en&rclk=1
Chandigarh Clinic,Medical clinic,"759/2, 759/2, Thakur Dwara Rd, Mohalla Jattan Wala, Sector 13, Chandigarh, 160101, India",https://www.google.co.kr/maps/place/Chandigarh+Clinic/data=!4m5!3m4!1s0x390f932e2f7d4423:0xbf3188832f2d1b!8m2!3d30.714564!4d76.8339058?authuser=0&hl=en&rclk=1
Hair Restoration Clinic,Hair transplantation clinic,"Dr Kalia Clinic, SCO 326, Infront of Delhi Public School, Chandigarh -D Sector, 40 D, Chandigarh, 160036, India",https://www.google.co.kr/maps/place/Hair+Restoration+Clinic/data=!4m5!3m4!1s0x390fee0b4f79c44b:0x817f3cc5abc261ba!8m2!3d30.7364923!4d76.7318514?authuser=0&hl=en&rclk=1
"Kaya Clinic - Skin & Hair Care (Madhya Marg, Chandigarh)",Dermatologist,"NO 68 - 69, Ground Floor, Sector 8 C, Madhya Marg, Chandigarh, 160008, India","https://www.google.co.kr/maps/place/Kaya+Clinic+-+Skin+%26+Hair+Care+(Madhya+Marg,+Chandigarh)/data=!4m5!3m4!1s0x390fed0d815cd345:0x711bf70eb657edf1!8m2!3d30.738782!4d76.7937366?authuser=0&hl=en&rclk=1"
