Company_Name,Category,Address,Url
Ganesh House Homestay (Kerala Govt. Approved ),·3-star hotel,"Ganesh House, Country Spa Road Kovalam, Thiruvananthapuram, Kerala 695527, India",https://www.google.co.kr/maps/place/Ganesh+House+Homestay+(Kerala+Govt.+Approved+)/data=!4m5!3m4!1s0x3b05a507cf75080f:0x2851145c7453aa34!8m2!3d8.399675!4d76.974919?authuser=0&hl=en&rclk=1
Kailas Kovalam,·3-star hotel,"P.O, Police Station, Kovalam Beach Rd, near Kovalam, Kovalam, Kerala 695527, India",https://www.google.co.kr/maps/place/Kailas+Kovalam/data=!4m5!3m4!1s0x3b05a5a667c3d9c3:0x1f44f907d19fc6eb!8m2!3d8.393577!4d76.978054?authuser=0&hl=en&rclk=1
"Ayur Bethaniya Ayurveda Hospital in Kerala, India",,"Athani - Thiruthiparambu Rd, Peringandoor, Kerala 680581, India","https://www.google.co.kr/maps/place/Ayur+Bethaniya+Ayurveda+Hospital+in+Kerala,+India/data=!4m5!3m4!1s0x3ba7e909110d347d:0x5058cd9bbbc1692c!8m2!3d10.623959!4d76.209389?authuser=0&hl=en&rclk=1"
Silverline Hospital,Hospital,"KP Vallon Rd, Giri Nagar, Kadavanthra, Ernakulam, Kerala 682020, India",https://www.google.co.kr/maps/place/Silverline+Hospital/data=!4m5!3m4!1s0x3b0872cf2c48ca19:0x4c9716406db19d43!8m2!3d9.9653492!4d76.3003242?authuser=0&hl=en&rclk=1
Prashanthi SuperClinic - Kochi,Medical clinic,"40/6365, Convent Rd, Shenoys, Kochi, Kerala 682035, India",https://www.google.co.kr/maps/place/Prashanthi+SuperClinic+-+Kochi/data=!4m5!3m4!1s0x3b086d3e774c259f:0xa77cab89a0d01ba9!8m2!3d9.9768179!4d76.2809481?authuser=0&hl=en&rclk=1
Daisman Hospital,Sports medicine clinic,"Kozhikode - Palakkad Hwy, Musliyarangadi, Kerala 673638, India",https://www.google.co.kr/maps/place/Daisman+Hospital/data=!4m5!3m4!1s0x3ba649373aee7255:0xcbbe3972c29ffe71!8m2!3d11.1297624!4d76.0022542?authuser=0&hl=en&rclk=1
Clinic,Medical clinic,"Evershine Hospital, Eranakulam, Manimala Rd, near Best Bakery, Edappally, Kerala 682024, India",https://www.google.co.kr/maps/place/Clinic/data=!4m5!3m4!1s0x3b080da7c26bdad5:0x72747d1a594d2ab7!8m2!3d10.0193926!4d76.3047915?authuser=0&hl=en&rclk=1
DOCTORS CLINIC,Medical clinic,"Anakkara Rd, near Devi Krishna residency, Kumbidi, Kerala 679553, India",https://www.google.co.kr/maps/place/DOCTORS+CLINIC/data=!4m5!3m4!1s0x3ba7b934360eeaff:0x12e3a6803bdcbc3d!8m2!3d10.8272893!4d76.0509974?authuser=0&hl=en&rclk=1
Clinic,Medical clinic,"TVS Rd, South Kalamassery, Kalamassery, Kochi, Kerala 683104, India",https://www.google.co.kr/maps/place/Clinic/data=!4m5!3m4!1s0x3b080dcd34c8d361:0xcb5a1c7f8d2ca222!8m2!3d10.0496294!4d76.3173786?authuser=0&hl=en&rclk=1
Prathyasha Clinic,Medical clinic,"Muttathil Ln, Kadavanthra, Kochi, Kerala 682020, India",https://www.google.co.kr/maps/place/Prathyasha+Clinic/data=!4m5!3m4!1s0x3b0872cc1c72afc1:0x4478f87dc99cddc5!8m2!3d9.9689364!4d76.3010348?authuser=0&hl=en&rclk=1
