Company_Name,Category,Address,Url
Mizoram Health Care,Medical clinic,"Upper Bazar, Dawrpui, Aizawl, Mizoram 796001, India",https://www.google.co.kr/maps/place/Mizoram+Health+Care/data=!4m5!3m4!1s0x374d94b673572e2f:0x38859e93c62d0d9c!8m2!3d23.73294!4d92.7169562?authuser=0&hl=en&rclk=1
Bigtha Clinic And Pharmacy,Walk-in clinic,"MG, Road, Upper Khatla, Aizawl, Mizoram 796001, India",https://www.google.co.kr/maps/place/Bigtha+Clinic+And+Pharmacy/data=!4m5!3m4!1s0x374d94bf5d002df9:0xda1fc721b5aac12!8m2!3d23.7203707!4d92.717798?authuser=0&hl=en&rclk=1
City Polyclinic,Medical clinic,"Chanmari - Ramhlun Rd, opp. Staines Memorial School, Aizawl Venglai, Chanmari, Aizawl, Mizoram 796007, India",https://www.google.co.kr/maps/place/City+Polyclinic/data=!4m5!3m4!1s0x374deb35402f1d0d:0x9f19df669f3f0c66!8m2!3d23.7408918!4d92.7193588?authuser=0&hl=en&rclk=1
Bozo Medicine,Mental health clinic,"New Street-Mission Veng Rd, Republic Veng, Aizawl, Mizoram 796005, India",https://www.google.co.kr/maps/place/Bozo+Medicine/data=!4m5!3m4!1s0x374d94c01c7a8cbf:0xc3c293d7678995a2!8m2!3d23.7160414!4d92.7190875?authuser=0&hl=en&rclk=1
T & T Medi Center,Medical clinic,"PP79+WP3, Mission Veng, Model Veng, Aizawl, Mizoram 796001, India",https://www.google.co.kr/maps/place/T+%26+T+Medi+Center/data=!4m5!3m4!1s0x374d95748032352f:0x3ab40f45b443e67c!8m2!3d23.7147675!4d92.7192979?authuser=0&hl=en&rclk=1
VR Healthcare Clinic,Medical clinic,"B-79, Millenium Centre, First floor, Mizoram, India",https://www.google.co.kr/maps/place/VR+Healthcare+Clinic/data=!4m5!3m4!1s0x374d9596445cbaad:0xe65a747009b3e9df!8m2!3d23.7334487!4d92.7167938?authuser=0&hl=en&rclk=1
Health Clinic,Community health centre,"Lungleng I, Mizoram 796005, India",https://www.google.co.kr/maps/place/Health+Clinic/data=!4m5!3m4!1s0x374d93cb8cf93d4b:0x7716abdeee8755a8!8m2!3d23.6637031!4d92.6622219?authuser=0&hl=en&rclk=1
"Civil Hospital, Aizawl",General hospital,"Bazar Bungkawn, Bara Bazar, Dawrpui, Aizawl, Mizoram 796001, India","https://www.google.co.kr/maps/place/Civil+Hospital,+Aizawl/data=!4m5!3m4!1s0x374d94b665e20dd9:0xb3325bc46c2ccb75!8m2!3d23.7323402!4d92.7165256?authuser=0&hl=en&rclk=1"
Dr Frazers clinic,Medical clinic,"C-53, Mission Veng Rd, Mission Veng, Khatla South, Aizawl, Mizoram 796001, India",https://www.google.co.kr/maps/place/Dr+Frazers+clinic/data=!4m5!3m4!1s0x374d94eaa489188d:0xae9d92e1d41ef856!8m2!3d23.7151303!4d92.7191549?authuser=0&hl=en&rclk=1
Tlangmawi Clinic Center,Medical clinic,"Unnamed Road, Tlangmawi, Mizoram 796310, India",https://www.google.co.kr/maps/place/Tlangmawi+Clinic+Center/data=!4m5!3m4!1s0x374d017817faac2d:0x75b94bffb2929e08!8m2!3d23.3495387!4d93.077697?authuser=0&hl=en&rclk=1
