Company_Name,Category,Address,Url
Sikkim Pathelogy Clinic,Physical therapy clinic,"8JJ6+5W3, Arithang, Gangtok, Sikkim 737101, India",https://www.google.co.kr/maps/place/Sikkim+Pathelogy+Clinic/data=!4m5!3m4!1s0x39e6a52baa9d8091:0x34b2bb22ddb7fb46!8m2!3d27.330375!4d88.6123072?authuser=0&hl=en&rclk=1
"Dr. Kesari ENT Clinic, 5th Mile,Tadong",Doctor,"Alok Medical Store, 5th Mile, Upper Tadong, Tadong, Gangtok, Sikkim 737102, India","https://www.google.co.kr/maps/place/Dr.+Kesari+ENT+Clinic,+5th+Mile,Tadong/data=!4m5!3m4!1s0x39e6a578e8dd9ddd:0xc11b0b9114c49af6!8m2!3d27.3153042!4d88.5965255?authuser=0&hl=en&rclk=1"
Sikkim X-ray Clinic,Hospital,"near union bank of india, branch, Jorethang, Sikkim 737121, India",https://www.google.co.kr/maps/place/Sikkim+X-ray+Clinic/data=!4m5!3m4!1s0x39e429b165eb80ed:0xf9585e3b2334a62d!8m2!3d27.1317196!4d88.2796278?authuser=0&hl=en&rclk=1
Dhakals Clinic,Medical clinic,"737102,, Upper Tadong, Tadong, Gangtok, Sikkim 737102, India",https://www.google.co.kr/maps/place/Dhakals+Clinic/data=!4m5!3m4!1s0x39e6a504e94783c1:0x21b5d572cd0c74bf!8m2!3d27.3176495!4d88.6015857?authuser=0&hl=en&rclk=1
Ruchi Diagnostic Clinic,Diagnostic center,"N. H. Way, behind Telephone Exchange, Arithang, Gangtok, Sikkim 737101, India",https://www.google.co.kr/maps/place/Ruchi+Diagnostic+Clinic/data=!4m5!3m4!1s0x39e6a5154521e763:0xa3d81adbc28cb35c!8m2!3d27.3304792!4d88.6137388?authuser=0&hl=en&rclk=1
Om Himalayan (Dr Sumit Periwal Pediatrician Child Care Clinic and Vaccination Centre),Pediatrician,"Alok Medical Store , Opp CRH Hospital Opp Manipal (CRH, 5th Mile, Tadong, Gangtok, Sikkim 737102, India",https://www.google.co.kr/maps/place/Om+Himalayan+(Dr+Sumit+Periwal+Pediatrician+Child+Care+Clinic+and+Vaccination+Centre)/data=!4m5!3m4!1s0x39e6a571f22387e7:0xf113f53bf810fd32!8m2!3d27.3158852!4d88.5962803?authuser=0&hl=en&rclk=1
Sikkim Dental Clinic,Dental clinic,"DPH Rd, Near Janta Bhawan, Upper Sichey, Arithang, Gangtok, Sikkim 737101, India",https://www.google.co.kr/maps/place/Sikkim+Dental+Clinic/data=!4m5!3m4!1s0x39e6a536e52f1ce3:0x555a96f947f4d8f4!8m2!3d27.3333898!4d88.6137705?authuser=0&hl=en&rclk=1
STNM Hospital Sikkim,Hospital,"Sungava, Gangtok, Sikkim 737101, India",https://www.google.co.kr/maps/place/STNM+Hospital+Sikkim/data=!4m5!3m4!1s0x39e6a51553d85b6f:0x73a1e0e26e04768c!8m2!3d27.3465331!4d88.6033718?authuser=0&hl=en&rclk=1
Care Diagnostics and Clinics,Diagnostic center,"Care Diagnostics, National Highway, opp. Hungry Jack Hotel, Gangtok, Sikkim 737101, India",https://www.google.co.kr/maps/place/Care+Diagnostics+and+Clinics/data=!4m5!3m4!1s0x39e6a5f11ef13bcd:0xcb8145e884e80d82!8m2!3d27.3292199!4d88.6118497?authuser=0&hl=en&rclk=1
Rangpo Hospital Complex Sikkim,Doctor,"NH10, Upper Bazaar, Rangpo, Sikkim 737132, India",https://www.google.co.kr/maps/place/Rangpo+Hospital+Complex+Sikkim/data=!4m5!3m4!1s0x39e6a1e56293b0ff:0x4d934589f04ffc3a!8m2!3d27.1754043!4d88.5298879?authuser=0&hl=en&rclk=1
Care And Cure Polyclinic And Diagnostics,Medical clinic,"8H7V+48R, Tadong, Gangtok, Sikkim 737102, India",https://www.google.co.kr/maps/place/Care+And+Cure+Polyclinic+And+Diagnostics/data=!4m5!3m4!1s0x39e6a4fe7afe0c55:0xdb211e139d6dd7d1!8m2!3d27.3128674!4d88.5932737?authuser=0&hl=en&rclk=1
Thea Aesthetic Clinic,Skin care clinic,"Thea Aesthetic Clinic, National Highway 31A, Upper Tadong, Tadong, Gangtok, Sikkim 737102, India",https://www.google.co.kr/maps/place/Thea+Aesthetic+Clinic/data=!4m5!3m4!1s0x39e6a5053c065d39:0x37a2b289d06dba13!8m2!3d27.3183688!4d88.6032747?authuser=0&hl=en&rclk=1
Noblestride Fertility & Diagnostic Centre,Fertility clinic,"1st Gate STNM Hospital , Sochakgang, Gangtok, Sikkim 737101, India",https://www.google.co.kr/maps/place/Noblestride+Fertility+%26+Diagnostic+Centre/data=!4m5!3m4!1s0x39e6a558a70f3b09:0x73e842163bdcfb46!8m2!3d27.3443032!4d88.6037513?authuser=0&hl=en&rclk=1
Dr K N Pradhan,Medical clinic,"8JQ7+CGV, Sungava, Gangtok, Sikkim 737101, India",https://www.google.co.kr/maps/place/Dr+K+N+Pradhan/data=!4m5!3m4!1s0x39e6a5c7d14bff8d:0x2d8690d69174e4f2!8m2!3d27.3386141!4d88.6137992?authuser=0&hl=en&rclk=1
Dr Shiva Kumar Rai,Dental hygienist,"Deorali School St, Deorali Bazar, Gangtok, Sikkim 737102, India",https://www.google.co.kr/maps/place/Dr+Shiva+Kumar+Rai/data=!4m5!3m4!1s0x39e6a511d8eabf01:0xbd0d0d467165722e!8m2!3d27.3195884!4d88.608072?authuser=0&hl=en&rclk=1
TENZMEE DENT CLINIC,Dental clinic,"NH10, near SMIT, Majitar, Rangpo, Sikkim 737136, India",https://www.google.co.kr/maps/place/TENZMEE+DENT+CLINIC/data=!4m5!3m4!1s0x39e6a143ff095931:0x95230e91eeef6781!8m2!3d27.1863451!4d88.4987862?authuser=0&hl=en&rclk=1
"Hair Transplant Clinic Gangtok, City Diagnostic Centre",Hospital,"Dr Dhakal's CLinic Road, Tadong, Daragaon, Gangtok, Sikkim 737102, India","https://www.google.co.kr/maps/place/Hair+Transplant+Clinic+Gangtok,+City+Diagnostic+Centre/data=!4m5!3m4!1s0x39e6a504efbb9ba1:0xb531b566a5bce404!8m2!3d27.317497!4d88.60158?authuser=0&hl=en&rclk=1"
Healing hands,Physical therapy clinic,"Near cafe Tibet,hospital dara, below high vourt, Gangtok, Sikkim 737101, India",https://www.google.co.kr/maps/place/Healing+hands/data=!4m5!3m4!1s0x39e6a5400aefcec7:0x3dc9e31401d829a!8m2!3d27.3326449!4d88.6145891?authuser=0&hl=en&rclk=1
Aardhya Medical Store,Medical clinic,"Swastik Rd, Upper Burtuk, Sikkim 737101, India",https://www.google.co.kr/maps/place/Aardhya+Medical+Store/data=!4m5!3m4!1s0x39e6bb5cd8a41da3:0x1d4c6cd84a6151f0!8m2!3d27.3642845!4d88.6225297?authuser=0&hl=en&rclk=1
Dr Sumit Periwal Child Care Clinic and Vaccination Centre,Pediatrician,"Ruchi Diagnostic Clinic, Hospital Dara, N. H. Way, behind Telephone Exchange, Gangtok, Sikkim 737101, India",https://www.google.co.kr/maps/place/Dr+Sumit+Periwal+Child+Care+Clinic+and+Vaccination+Centre/data=!4m5!3m4!1s0x39e6a5f044719a3b:0x3ebdc1ba64023e11!8m2!3d27.3304961!4d88.61372?authuser=0&hl=en&rclk=1
"Care Physiotherapy Clinic,Care diagnostics,",Physical therapy clinic,"NH10, Arithang, Gangtok, Sikkim 737101, India","https://www.google.co.kr/maps/place/Care+Physiotherapy+Clinic,Care+diagnostics,/data=!4m5!3m4!1s0x39e6a5ffd951ed5d:0xce1214c516421d3!8m2!3d27.3292088!4d88.6118669?authuser=0&hl=en&rclk=1"
GANGTOK MAXILLOFACIAL & DENTAL CLINIC,Dental clinic,"Pani House Rd, near Tenzing and Tenzing, beside Greendale Hotel, Gangtok, Sikkim 737101, India",https://www.google.co.kr/maps/place/GANGTOK+MAXILLOFACIAL+%26+DENTAL+CLINIC/data=!4m5!3m4!1s0x39e6a59b34c58b53:0xd68df2bf99277066!8m2!3d27.3259576!4d88.6099696?authuser=0&hl=en&rclk=1
ayurvedic kshar-sutra clinic,Medical clinic,"near sbi ranipool branch, Ranipool, Sikkim 737135, India",https://www.google.co.kr/maps/place/ayurvedic+kshar-sutra+clinic/data=!4m5!3m4!1s0x39e6a44c358c8073:0xff52e61fbaa4706f!8m2!3d27.2926216!4d88.5915345?authuser=0&hl=en&rclk=1
Tso Jey Clinic,Medical clinic,"7HQ6+7QH, Rumtek, Sikkim 737135, India",https://www.google.co.kr/maps/place/Tso+Jey+Clinic/data=!4m5!3m4!1s0x39e6a473ed553991:0xcb94cbe9e0a795a5!8m2!3d27.2881823!4d88.5619731?authuser=0&hl=en&rclk=1
Drishyam Eye Care Sikkim,Eye care center,"NH-10, Below High Court, Alongside SISCO BANK, Gangtok, Sikkim 737101, India",https://www.google.co.kr/maps/place/Drishyam+Eye+Care+Sikkim/data=!4m5!3m4!1s0x39e6a5b12f8f8de3:0x569b9ed19d982cc1!8m2!3d27.3324296!4d88.6144635?authuser=0&hl=en&rclk=1
Dr R Prasad Gangtok,Doctor,"Mahatma Gandhi Marg, Vishal Gaon, Gangtok, Sikkim 737102, India",https://www.google.co.kr/maps/place/Dr+R+Prasad+Gangtok/data=!4m5!3m4!1s0x39e6a514621d0849:0x96803d3fedc94a95!8m2!3d27.3264937!4d88.612102?authuser=0&hl=en&rclk=1
Sukhim Diagnostics & Research Center,Diagnostic center,"below Dena Bank & Chang Lo Chen Hotel, Vishal Gaon, Gangtok, Sikkim 737101, India",https://www.google.co.kr/maps/place/Sukhim+Diagnostics+%26+Research+Center/data=!4m5!3m4!1s0x39e6a5a6f72f36af:0xce5ae7216b57a3e5!8m2!3d27.3232125!4d88.6110147?authuser=0&hl=en&rclk=1
"Elite Dental Clinic, Gangtok",Dental clinic,"Elite Dental Clinic, 11/1, Mahatma Gandhi Marg, near Indian Bank, Gangtok, Sikkim 737101, India","https://www.google.co.kr/maps/place/Elite+Dental+Clinic,+Gangtok/data=!4m5!3m4!1s0x39e6a5913c458e91:0x18a4f8b6b3527575!8m2!3d27.3268035!4d88.6120765?authuser=0&hl=en&rclk=1"
EYE+,Eye care center,"Gangtok,, Arithang, Gangtok, Sikkim 737101, India",https://www.google.co.kr/maps/place/EYE%2B/data=!4m5!3m4!1s0x39e6a514e59fba93:0xa61564b43a301323!8m2!3d27.3277035!4d88.6128316?authuser=0&hl=en&rclk=1
Dhristi Eye Clinic,Eye care center,"Lower Bazar Rd, Lower Bazar, Rangpo, Sikkim 737132, India",https://www.google.co.kr/maps/place/Dhristi+Eye+Clinic/data=!4m5!3m4!1s0x39e6a09ae4c9f395:0x77b8f64b73cb5ab9!8m2!3d27.1751472!4d88.529318?authuser=0&hl=en&rclk=1
Relief Physiotherapy And Wellness Clinic,Physical therapy clinic,"Deorali Bazar, Gangtok, Sikkim 737102, India",https://www.google.co.kr/maps/place/Relief+Physiotherapy+And+Wellness+Clinic/data=!4m5!3m4!1s0x39e6a511e205ab5d:0xfdf78ab586662e11!8m2!3d27.3195339!4d88.6087811?authuser=0&hl=en&rclk=1
Ashiwaad Clinic,Hospital,"NH10, Gairi Gaon, M.P.Golai, Tadong, Gangtok, Sikkim 737102, India",https://www.google.co.kr/maps/place/Ashiwaad+Clinic/data=!4m5!3m4!1s0x39e6a504422db663:0xf533a7bc08e7884c!8m2!3d27.3154234!4d88.6013473?authuser=0&hl=en&rclk=1
Dr. B.n Sharma Gangtok,Doctor,"Arithang, Gangtok, Sikkim 737101, India",https://www.google.co.kr/maps/place/Dr.+B.n+Sharma+Gangtok/data=!4m5!3m4!1s0x39e6a54023b06f7d:0xd194c40898c5a1d2!8m2!3d27.3312772!4d88.61566?authuser=0&hl=en&rclk=1
KARMA DENTAL CARE,Dental clinic,"5th Mile, Upper Tadong, Tadong, Gangtok, Sikkim 737102, India",https://www.google.co.kr/maps/place/KARMA+DENTAL+CARE/data=!4m5!3m4!1s0x39e6a57b9dd0f157:0xe01defdd7b3366d6!8m2!3d27.3171426!4d88.5956455?authuser=0&hl=en&rclk=1
SAMBHAV Acupuncture & PHYSICAL THERAPY Clinic. GANGTOK & SILIGURI,Acupuncture clinic,,https://www.google.co.kr/maps/place/SAMBHAV+Acupuncture+%26+PHYSICAL+THERAPY+Clinic.+GANGTOK+%26+SILIGURI/data=!4m5!3m4!1s0x39e6a54c68982dc5:0x8646faaf16ac8d8!8m2!3d27.3420015!4d88.6142199?authuser=0&hl=en&rclk=1
Homoeopathic Clinic - Dr V K Prasad,Medical clinic,"D C Building Lall Market Gangtok,, Gangtok, Sikkim 737101, India",https://www.google.co.kr/maps/place/Homoeopathic+Clinic+-+Dr+V+K+Prasad/data=!4m5!3m4!1s0x39e6a53b7abb8023:0x99259b6a8b5cdc45!8m2!3d27.3377709!4d88.6066537?authuser=0&hl=en&rclk=1
Nearest Child Clinic,Child health care centre,"9J35+49H, Gangtok, Sikkim 737101, India",https://www.google.co.kr/maps/place/Nearest+Child+Clinic/data=!4m5!3m4!1s0x39e6a556f92ec623:0xb0e70864afb04036!8m2!3d27.3528021!4d88.6084978?authuser=0&hl=en&rclk=1
Sikkim Pathology,Medical Center,"NH10, below Titanic park, Arithang, Gangtok, Sikkim 737101, India",https://www.google.co.kr/maps/place/Sikkim+Pathology/data=!4m5!3m4!1s0x39e6a58932ede979:0xb9f3cdec565a6dd0!8m2!3d27.3304006!4d88.6124896?authuser=0&hl=en&rclk=1
Olive Dental Clinic,Dental clinic,"Olive Dental Clinic, BSNL Tower Building Near Sikkim Government College Tadong Bazar, 31A, National Highway, Gangtok, Sikkim 737102, India",https://www.google.co.kr/maps/place/Olive+Dental+Clinic/data=!4m5!3m4!1s0x39e6a50145e92bcb:0xbe1545cc47b065df!8m2!3d27.3126639!4d88.5991993?authuser=0&hl=en&rclk=1
Rainbow Dental Clinic,Dental clinic,"1st floor, Opposite Truck Stand, Ranipool, Sikkim 737135, India",https://www.google.co.kr/maps/place/Rainbow+Dental+Clinic/data=!4m5!3m4!1s0x39e6a56e7bf4b195:0x4cd27d25018de5c4!8m2!3d27.2942296!4d88.5888959?authuser=0&hl=en&rclk=1
Anup Pradhan,Doctor,"NH 31A, Gairi Gaon, M.P.Golai, Tadong, Gangtok, Sikkim 737102, India",https://www.google.co.kr/maps/place/Anup+Pradhan/data=!4m5!3m4!1s0x39e6a504479a5cb9:0x8900b3492845ab03!8m2!3d27.3150835!4d88.6016947?authuser=0&hl=en&rclk=1
Aum Clinic,Doctor,"Tadong, Gangtok, Sikkim 737102, India",https://www.google.co.kr/maps/place/Aum+Clinic/data=!4m5!3m4!1s0x39e6a4fde48f71e5:0x7ce2c13c5d9871d3!8m2!3d27.3138994!4d88.5944467?authuser=0&hl=en&rclk=1
