Company_Name,Category,Address,Url
Hospital,Medical clinic,"600117, Ganganagar Extension, S.Kolathur, Kovilambakkam, Chennai, Tamil Nadu 600117, India",https://www.google.co.kr/maps/place/Hospital/data=!4m5!3m4!1s0x3a525dce24899b0f:0x267bf9394527f231!8m2!3d12.950337!4d80.199197?authuser=0&hl=en&rclk=1
"Dr. Rela Institute & Medical Centre - Multispeciality Hospital in Chennai, India",Hospital,"#7, CLC Works Rd, Nagappa Nagar, Chromepet, Chennai, Tamil Nadu 600044, India","https://www.google.co.kr/maps/place/Dr.+Rela+Institute+%26+Medical+Centre+-+Multispeciality+Hospital+in+Chennai,+India/data=!4m5!3m4!1s0x3a525f27fc049c1f:0xb4dcb75b95f1fe93!8m2!3d12.9549896!4d80.1385812?authuser=0&hl=en&rclk=1"
TOWN CLINIC,Medical clinic,"Q8V8+2XC, Vandayar Colony, Ammapet, Tamil Nadu 614401, India",https://www.google.co.kr/maps/place/TOWN+CLINIC/data=!4m5!3m4!1s0x3baab5b93f94936b:0x95f134620d3d9388!8m2!3d10.7925666!4d79.3174057?authuser=0&hl=en&rclk=1
Endocrine And Speciality Clinic,Medical clinic,"7 4 & 5, 7/4 & 5, 4th Cross St, Govindaswamy Nagar, Raja Annamalai Puram, Chennai, Tamil Nadu 600028, India",https://www.google.co.kr/maps/place/Endocrine+And+Speciality+Clinic/data=!4m5!3m4!1s0x3a5267c8f623d09b:0x7b333f693d6d7adc!8m2!3d13.0265403!4d80.2573158?authuser=0&hl=en&rclk=1
"Apollo Clinic - Best Clinic for General Physician, Gynaecologist, Paediatrics, ENT Specialist, Orthopaedics, Cardiologist, Dermatology, Physiotherapy Treatments in Valasaravakkam, Chennai",Medical clinic,"1&2, Prakasam Rd, Near McDonald, Chowthri Nagar, Valasaravakkam, Chennai, Tamil Nadu 600087, India","https://www.google.co.kr/maps/place/Apollo+Clinic+-+Best+Clinic+for+General+Physician,+Gynaecologist,+Paediatrics,+ENT+Specialist,+Orthopaedics,+Cardiologist,+Dermatology,+Physiotherapy+Treatments+in+Valasaravakkam,+Chennai/data=!4m5!3m4!1s0x3a526128955c3bd1:0xa6c0b438471c8486!8m2!3d13.0420075!4d80.1810396?authuser=0&hl=en&rclk=1"
"Apollo Clinic - Velachery, Chennai",Medical clinic,"bus stand, Taramani Road, 46, 7th St, Near Vijayanagar, Velachery, Chennai, Tamil Nadu 600042, India","https://www.google.co.kr/maps/place/Apollo+Clinic+-+Velachery,+Chennai/data=!4m5!3m4!1s0x3a525d84a1e4dbd3:0xede432d81a5c78c!8m2!3d12.9788123!4d80.2252078?authuser=0&hl=en&rclk=1"
"ZI Clinic - Skin, Hair & Laser Clinic | Anna Nagar",Hospital,"#7, 1st Floor, A Block, 2nd Avenue, Anna Nagar East, (Opp to Metro, Tamil Nadu 600102, India","https://www.google.co.kr/maps/place/ZI+Clinic+-+Skin,+Hair+%26+Laser+Clinic+%7C+Anna+Nagar/data=!4m5!3m4!1s0x3a52643ad4029719:0x30fcb7e340ace656!8m2!3d13.0844931!4d80.2196661?authuser=0&hl=en&rclk=1"
Dr. Mohan's Diabetes Specialities Centre,Diabetes center,"No.9b, Roja Street, Karur Bypass Rd, Annamalai Nagar, Tiruchirappalli, Tamil Nadu 620018, India",https://www.google.co.kr/maps/place/Dr.+Mohan's+Diabetes+Specialities+Centre/data=!4m5!3m4!1s0x3baaf58b3bd9dd39:0x5108b817349679d8!8m2!3d10.8316805!4d78.6854315?authuser=0&hl=en&rclk=1
"Apollo Clinic - Best Clinic for General Physician, Gynaecologist, Paediatrics, ENT Specialist, Orthopaedics, Cardiologist, Dermatology, Physiotherapy Treatments in RS Puram, Coimbatore",Medical clinic,"Tower 49, 1st KTS, 1, Sathy Rd, Athipalayam Pirivu, Ganapathypudur, Coimbatore, Tamil Nadu 641006, India","https://www.google.co.kr/maps/place/Apollo+Clinic+-+Best+Clinic+for+General+Physician,+Gynaecologist,+Paediatrics,+ENT+Specialist,+Orthopaedics,+Cardiologist,+Dermatology,+Physiotherapy+Treatments+in+RS+Puram,+Coimbatore/data=!4m5!3m4!1s0x3ba858e2c2fdc92d:0x9bef8ad9fab36fbd!8m2!3d11.043445!4d76.9850317?authuser=0&hl=en&rclk=1"
KKR ENT Hospital & Research Institute,Hospital,"274, Poonamallee High Rd, Opp. KMC Hospital, Kilpauk, Chennai, Tamil Nadu 600010, India",https://www.google.co.kr/maps/place/KKR+ENT+Hospital+%26+Research+Institute/data=!4m5!3m4!1s0x3a52667709b2a8db:0x648ca9837943c374!8m2!3d13.0782087!4d80.2451493?authuser=0&hl=en&rclk=1
