Company_Name,Category,Address,Url
Sai Piles Injection Clinic,Medical clinic,"Shop no. 4-47, 1, Manjeera Pipeline Rd, Gangaram, Chanda Nagar, Hyderabad, Telangana 500050, India",https://www.google.co.kr/maps/place/Sai+Piles+Injection+Clinic/data=!4m5!3m4!1s0x3bcb928d64bc01cf:0x29a20eb01aa4ebdf!8m2!3d17.4930298!4d78.3288821?authuser=0&hl=en&rclk=1
Vitality's Laser Piles Clinic,Hospital,"9-1, 129/1, SD Road, Regimental Bazaar, Shivaji Nagar, Secunderabad, Telangana 500003, India",https://www.google.co.kr/maps/place/Vitality's+Laser+Piles+Clinic/data=!4m5!3m4!1s0x3bcb9a3cd0e7bfb5:0xba1d83cbe61052d!8m2!3d17.4418248!4d78.5008274?authuser=0&hl=en&rclk=1
Care Multi Speciality Clinic,Medical clinic,"8-3-1101/1, Plot No 105 A, Sri Nagar Colony, Beside Mch Park, Hyderabad, Telangana 500073, India",https://www.google.co.kr/maps/place/Care+Multi+Speciality+Clinic/data=!4m5!3m4!1s0x3bcb90cdc8241547:0xc8f9c3df7cb0e0a3!8m2!3d17.42992!4d78.4433444?authuser=0&hl=en&rclk=1
Jaya Clinic,Medical clinic,"H. No. 8-2-147/A Lane, Beside Balaji Medical Hall, Opposite Indian Overseas Bank, Main Road, Punjagutta Rd, Nagarjuna Hills, Punjagutta, Hyderabad, Telangana 500071, India",https://www.google.co.kr/maps/place/Jaya+Clinic/data=!4m5!3m4!1s0x3bcb90ca4daca7b1:0x7c9f6a912b1f9f3a!8m2!3d17.4297002!4d78.4498172?authuser=0&hl=en&rclk=1
Apollo Clinic,Medical clinic,"Giridhari Executive Park Rd, Peeramcheru, Telangana 500086, India",https://www.google.co.kr/maps/place/Apollo+Clinic/data=!4m5!3m4!1s0x3bcb959abfacbe15:0x27c450e82da31c83!8m2!3d17.3587379!4d78.3746701?authuser=0&hl=en&rclk=1
best medical clinics in hyderabad,Medical clinic,"House No 78,Opp Deepak Depot,Jubile Bus stand secundrabad, Telangana 500003, India",https://www.google.co.kr/maps/place/best+medical+clinics+in+hyderabad/data=!4m5!3m4!1s0x3bcb9a4019303929:0xc924580d59b84a56!8m2!3d17.4532308!4d78.4983172?authuser=0&hl=en&rclk=1
HH Healthcare Clinic,Dermatologist,"Classic Enclave, Durga Nagar Colony, Punjagutta, Hyderabad, Telangana 500082, India",https://www.google.co.kr/maps/place/HH+Healthcare+Clinic/data=!4m5!3m4!1s0x3bcb97346f40c1fb:0xe2910a09502c4736!8m2!3d17.424864!4d78.45499?authuser=0&hl=en&rclk=1
Laxmi Clinic,Medical clinic,"11-5, 422/C, Red Hills Rd, Red Hills, Redhills, Hyderabad, Telangana 500004, India",https://www.google.co.kr/maps/place/Laxmi+Clinic/data=!4m5!3m4!1s0x3bcb9765f07689bf:0x88e9cd6e63ee7701!8m2!3d17.4005973!4d78.4629346?authuser=0&hl=en&rclk=1
Walk in clinics,Medical clinic,"Pillar No: 39, plot no:44, opp. Ioc petrol bunk, fortune towers, Beside SBH, Madhapur, Hyderabad, Telangana 500081, India",https://www.google.co.kr/maps/place/Walk+in+clinics/data=!4m5!3m4!1s0x3bcb915c3db8f801:0x466eabac6a7d4b15!8m2!3d17.4412842!4d78.3910122?authuser=0&hl=en&rclk=1
Sri Arv Clinic,Medical clinic,"Kanti Shikara Complex, Punjagutta Main Road, Punjagutta Main Road, Hyderabad, Telangana 500082, India",https://www.google.co.kr/maps/place/Sri+Arv+Clinic/data=!4m5!3m4!1s0x3bcb90ca81854f51:0x5d7045344e11ec2a!8m2!3d17.4286043!4d78.4523217?authuser=0&hl=en&rclk=1
