Company_Name,Category,Address,Url
Clinic India,Diagnostic center,"48/B, Karl Marx Sarani, Babu Bazar, Khidirpur, Kolkata, West Bengal 700023, India",https://www.google.co.kr/maps/place/Clinic+India/data=!4m5!3m4!1s0x3a0279f01feea869:0xa873deca74be1da1!8m2!3d22.5375798!4d88.3191661?authuser=0&hl=en&rclk=1
Peerless Hospital City Diagnostic Centre,Diagnostic center,"223, Chittaranjan Ave, Kolkata, West Bengal 700006, India",https://www.google.co.kr/maps/place/Peerless+Hospital+City+Diagnostic+Centre/data=!4m5!3m4!1s0x3a0277b552c25b69:0x179071016e1c8191!8m2!3d22.5865772!4d88.3625626?authuser=0&hl=en&rclk=1
Clinic,Medical clinic,"PWW6+H3P, Sarparajpurgabarda, West Bengal, India",https://www.google.co.kr/maps/place/Clinic/data=!4m5!3m4!1s0x39ff50e4d809b73f:0xb1224695b8e3bf59!8m2!3d22.7464574!4d88.9102058?authuser=0&hl=en&rclk=1
Clinic,Medical clinic,"WQM5+G6H, Kaya, West Bengal 743249, India",https://www.google.co.kr/maps/place/Clinic/data=!4m5!3m4!1s0x39f8b4f1cb5581bd:0x55e33bbd244c3136!8m2!3d22.9338044!4d88.7581174?authuser=0&hl=en&rclk=1
Dr. K. M. Saifullah,Alternative medicine clinic,"1, Suhrawardy Avenue, Near Park Circus 7 point, Ground Floor Naturoveda, Premises, Kolkata, West Bengal 700017, India",https://www.google.co.kr/maps/place/Dr.+K.+M.+Saifullah/data=!4m5!3m4!1s0x3a02773464f997d7:0x7a4798203e480b43!8m2!3d22.5437387!4d88.3664692?authuser=0&hl=en&rclk=1
Clinic,Medical clinic,"PX63+M4Q, Rajoor, West Bengal 713129, India",https://www.google.co.kr/maps/place/Clinic/data=!4m5!3m4!1s0x39f9bdd9aab2c9d3:0xe51fb10a4d5428cf!8m2!3d23.7117107!4d87.95286?authuser=0&hl=en&rclk=1
Techno India DAMA Healthcare & Medical Centre,Hospital,"LB, 10, Eastern Metropolitan Bypass, Sector III, Bidhannagar, Kolkata, West Bengal 700106, India",https://www.google.co.kr/maps/place/Techno+India+DAMA+Healthcare+%26+Medical+Centre/data=!4m5!3m4!1s0x3a02742df11cabfb:0x18a3aa3cf00f534!8m2!3d22.5593964!4d88.411057?authuser=0&hl=en&rclk=1
Medica North Bengal Clinic | Best Hospital Siliguri,Hospital,"Meghnad Saha Sarani, Ward 2, Pradhan Nagar, Siliguri, West Bengal 734003, India",https://www.google.co.kr/maps/place/Medica+North+Bengal+Clinic+%7C+Best+Hospital+Siliguri/data=!4m5!3m4!1s0x39e441223c6a1589:0xd5500a1eeca28260!8m2!3d26.7295996!4d88.416498?authuser=0&hl=en&rclk=1
Dum Dum Eye Micro surgery Centre,Eye care center,"Kalicharan Seth Lane, Kolkata, West Bengal, India",https://www.google.co.kr/maps/place/Dum+Dum+Eye+Micro+surgery+Centre/data=!4m5!3m4!1s0x39f89deb85909a7b:0xf972d85493d97beb!8m2!3d22.6300552!4d88.3852126?authuser=0&hl=en&rclk=1
Niramoyee Doctors Clinic,Medical clinic,"Nalikul Station Road, Nalikul, Durgapur, West Bengal 712407, India",https://www.google.co.kr/maps/place/Niramoyee+Doctors+Clinic/data=!4m5!3m4!1s0x39f8629e5be295a3:0xde30fbbd707f170d!8m2!3d22.8279288!4d88.1660372?authuser=0&hl=en&rclk=1
"Apollo Clinic, C/0 Sanjeevani Health and Lifestyle Private Limited, Kolkata",Medical clinic,"DLF Galleria, Action Area 1B, Newtown, Kolkata, West Bengal 700156, India","https://www.google.co.kr/maps/place/Apollo+Clinic,+C%2F0+Sanjeevani+Health+and+Lifestyle+Private+Limited,+Kolkata/data=!4m5!3m4!1s0x3a02753de6161d3b:0xe3e772e0b9d8af5d!8m2!3d22.5820561!4d88.4607508?authuser=0&hl=en&rclk=1"
Kaayakalp -Top Hair Transplant Clinic in Kolkata | Hair Transplant Near Me | Cosmetic Surgery in Kolkata,Hair transplantation clinic,"P-158, 2nd floor, CIT Rd, Scheme VI-M, Kankurgachi, Kolkata, West Bengal 700054, India",https://www.google.co.kr/maps/place/Kaayakalp+-Top+Hair+Transplant+Clinic+in+Kolkata+%7C+Hair+Transplant+Near+Me+%7C+Cosmetic+Surgery+in+Kolkata/data=!4m5!3m4!1s0x3a0276700393b563:0x225bfe5009357905!8m2!3d22.5777714!4d88.391227?authuser=0&hl=en&rclk=1
+ CLINIC,Doctor,"Unnamed Road, Lakshmibati, West Bengal 731220, India",https://www.google.co.kr/maps/place/%2B+CLINIC/data=!4m5!3m4!1s0x39fa191864dde253:0x463f55d9d64a9589!8m2!3d24.2479465!4d87.8078571?authuser=0&hl=en&rclk=1
"Poly Clinic, Nightingale Hospital",Medical clinic,"11, Shakespeare Sarani Rd, Kankaria Estates, Park Street area, Kolkata, West Bengal 700071, India","https://www.google.co.kr/maps/place/Poly+Clinic,+Nightingale+Hospital/data=!4m5!3m4!1s0x3a027710cdaab9f1:0x94d9ab6934deec51!8m2!3d22.5460981!4d88.351403?authuser=0&hl=en&rclk=1"
Apollo Clinic,Medical clinic,"986/3, Jessore Road Between Lake Town, &, Jessore Rd, Bangur Avenue, on, Kolkata, West Bengal 700055, India",https://www.google.co.kr/maps/place/Apollo+Clinic/data=!4m5!3m4!1s0x3a0275ff3a19b1e7:0xacccb9a896dd2aed!8m2!3d22.6088013!4d88.4068644?authuser=0&hl=en&rclk=1
Apollo Hospitals Enterprise Ltd,Cancer treatment center,"13/3, Madhusudhan Banerjee Road, Belghoria, Kolkata, West Bengal 700056, India",https://www.google.co.kr/maps/place/Apollo+Hospitals+Enterprise+Ltd/data=!4m5!3m4!1s0x39f89e81a5ea9489:0x99c7911cc1dd3a4!8m2!3d22.661683!4d88.393057?authuser=0&hl=en&rclk=1
Doctor Sud’s Clinic,Medical diagnostic imaging center,"H-22, Serampore Housing Estate, Mahesh, Rishra, Serampore, West Bengal 712248, India",https://www.google.co.kr/maps/place/Doctor+Sud%E2%80%99s+Clinic/data=!4m5!3m4!1s0x39f89b14ea24eaf7:0x14eda547ff77952e!8m2!3d22.7321576!4d88.3467393?authuser=0&hl=en&rclk=1
"The Mission Hospital , Durgapur",Private hospital,"Immon Kalyan Sarani, Sector IIC, Bidhannagar, Durgapur, West Bengal 713212, India","https://www.google.co.kr/maps/place/The+Mission+Hospital+,+Durgapur/data=!4m5!3m4!1s0x39f770441b6a2cb7:0xc7c4abf33d85de56!8m2!3d23.5200737!4d87.3555012?authuser=0&hl=en&rclk=1"
"Bhagirathi Neotia Woman and Child Care Centre, Rawdon Street",Children's hospital,"2, Rawdon St, Mullick Bazar, Park Street area, Kolkata, West Bengal 700017, India","https://www.google.co.kr/maps/place/Bhagirathi+Neotia+Woman+and+Child+Care+Centre,+Rawdon+Street/data=!4m5!3m4!1s0x3a027718d597ca7d:0x23aec10b01fd1d8!8m2!3d22.5473972!4d88.3592554?authuser=0&hl=en&rclk=1"
AMRI Medical Centre - Southern Avenue,Medical clinic,"No. 97 A, Southern Ave, Opposite Lake Stadium, Lake Market, Kalighat, Kolkata, West Bengal 700029, India",https://www.google.co.kr/maps/place/AMRI+Medical+Centre+-+Southern+Avenue/data=!4m5!3m4!1s0x3a0270cd9d6dead9:0xcc91a02a0e43f2bf!8m2!3d22.5133824!4d88.3526191?authuser=0&hl=en&rclk=1
Apollo Clinic Barrackpore,Diagnostic center,"321, Barasat - Barrackpore Rd, near Wireless More, P.O, Nona Chandanpukur, Rabindrapally, Jaffarpur Panchanantala, Barrackpore, West Bengal 700122, India",https://www.google.co.kr/maps/place/Apollo+Clinic+Barrackpore/data=!4m5!3m4!1s0x39f89bd91a8780f1:0x466aec8584ed7d08!8m2!3d22.7674773!4d88.385276?authuser=0&hl=en&rclk=1
Seva Clinic,Medical clinic,"B-3/17, B4, Block B, Kalyani, West Bengal 741235, India",https://www.google.co.kr/maps/place/Seva+Clinic/data=!4m5!3m4!1s0x39f894c062118813:0xe7e7f3a52674bfe7!8m2!3d22.97076!4d88.4268492?authuser=0&hl=en&rclk=1
"Kaya Clinic - Skin & Hair Care (Kakurgachi, Kolkata)",Dermatologist,"VI-M P.S, P-337, CIT Rd, Phool Bagan, Kankurgachi, Kolkata, West Bengal 700054, India","https://www.google.co.kr/maps/place/Kaya+Clinic+-+Skin+%26+Hair+Care+(Kakurgachi,+Kolkata)/data=!4m5!3m4!1s0x3a0276655aaaaabb:0xde4f37135a3c6eb3!8m2!3d22.5728064!4d88.3892778?authuser=0&hl=en&rclk=1"
Dr.roy's Clinic - Erectile Dysfunction Treatment in Kolkata,Sexologist,"Sexologist Doctor in Kolkata, 1. No, Suryasen Nagar, Opp- K. C. Choudhury Jewellers, Near KHARDAH Railway Station, Khardah / Kolkata, West Bengal 700117, India",https://www.google.co.kr/maps/place/Dr.roy's+Clinic+-+Erectile+Dysfunction+Treatment+in+Kolkata/data=!4m5!3m4!1s0x39f89b914eda31c9:0x46919ca6486ea9c7!8m2!3d22.7242!4d88.376339?authuser=0&hl=en&rclk=1
Jogomaya Poly Clinic,Medical clinic,"123/5, G.L.T Road, B.T. Road, Ananya, Airadaha, Baranagar, Kolkata, West Bengal 700036, India",https://www.google.co.kr/maps/place/Jogomaya+Poly+Clinic/data=!4m5!3m4!1s0x39f89dba5f07861f:0xda71a0146f84efae!8m2!3d22.6457537!4d88.3750406?authuser=0&hl=en&rclk=1
MONOBITAN POLY CLINIC,Medical clinic,"Domjur - Bauria Rd, Fokor Dokan, Baruipara, Domjur, Howrah, West Bengal 711405, India",https://www.google.co.kr/maps/place/MONOBITAN+POLY+CLINIC/data=!4m5!3m4!1s0x39f881ea7de56a59:0xc02fa857b798f807!8m2!3d22.6309229!4d88.2269828?authuser=0&hl=en&rclk=1
The Mission Hospital Asansol Clinic,Medical clinic,"BNR More, Oppo. Ravindra Bhavan, Apcar Garden Main Rd, Apcar Garden, Asansol, West Bengal 713301, India",https://www.google.co.kr/maps/place/The+Mission+Hospital+Asansol+Clinic/data=!4m5!3m4!1s0x39f71f1b6ca08d45:0xfc14aa8b73f3805c!8m2!3d23.693218!4d86.9539648?authuser=0&hl=en&rclk=1
Apollo Clinic Taratala,Medical clinic,"Building No, 26, Diamond Harbour Rd, Sahapur, Taratala, Kolkata, West Bengal 700038, India",https://www.google.co.kr/maps/place/Apollo+Clinic+Taratala/data=!4m5!3m4!1s0x3a027a060cb735bf:0x218056fd8d8bcdb0!8m2!3d22.511067!4d88.3218965?authuser=0&hl=en&rclk=1
"Apollo Clinic, Vivekananda Road",Medical diagnostic imaging center,"6, Vivekananda Road, Ganesh Talkies, Raja Katra, Singhi Bagan, Jorasanko, Kolkata, West Bengal 700007, India","https://www.google.co.kr/maps/place/Apollo+Clinic,+Vivekananda+Road/data=!4m5!3m4!1s0x3a027739dc506219:0x8b01eec3863e8501!8m2!3d22.5862559!4d88.3585511?authuser=0&hl=en&rclk=1"
Desun Hospital Siliguri,Hospital,"beside Medical College, Siliguri, West Bengal 734012, India",https://www.google.co.kr/maps/place/Desun+Hospital+Siliguri/data=!4m5!3m4!1s0x39e444208f285215:0x1febe8cb91069099!8m2!3d26.6856256!4d88.3960327?authuser=0&hl=en&rclk=1
Apollo Clinic,Medical clinic,"Apollo Building Complex English Bazar, Abhirampur Market, West Bengal 732103, India",https://www.google.co.kr/maps/place/Apollo+Clinic/data=!4m5!3m4!1s0x39fafdafca0d22fb:0x190f666ff5130bda!8m2!3d24.9904868!4d88.1445759?authuser=0&hl=en&rclk=1
"Dr. Manoj Khanna- Best hair transplant in Kolkata, Liposuction, Tummy-tuck, Breast enlargement, Breast reduction, Gynecomastia, Nose surgery, Lasers",Hair transplantation clinic,"Maruti Building 12, Loudon Street Opposite Bellevue Clinic, Minto Park, Kolkata, West Bengal 700017, India","https://www.google.co.kr/maps/place/Dr.+Manoj+Khanna-+Best+hair+transplant+in+Kolkata,+Liposuction,+Tummy-tuck,+Breast+enlargement,+Breast+reduction,+Gynecomastia,+Nose+surgery,+Lasers/data=!4m5!3m4!1s0x3a02771eb0f23237:0xd115645ec6d129c1!8m2!3d22.5428621!4d88.3561133?authuser=0&hl=en&rclk=1"
"Apollo Clinic Howrah - Best Clinic for General Physician, Gynecologist, Pediatrics, ENT Specialist, Orthopaedics, Cardiologist, Dermatology, Physiotherapy Treatments in Howrah",Medical clinic,"168, Grand Trunk Rd, Naora, Shibpur, Howrah, West Bengal 711102, India","https://www.google.co.kr/maps/place/Apollo+Clinic+Howrah+-+Best+Clinic+for+General+Physician,+Gynecologist,+Pediatrics,+ENT+Specialist,+Orthopaedics,+Cardiologist,+Dermatology,+Physiotherapy+Treatments+in+Howrah/data=!4m5!3m4!1s0x3a02782ea65b287f:0xd74bb9228262a5ae!8m2!3d22.56996!4d88.3258987?authuser=0&hl=en&rclk=1"
DESUN Hospital,Private hospital,"Desun More, 720, Eastern Metropolitan Bypass, Golpark, Sector I, Kasba, Kolkata, West Bengal 700107, India",https://www.google.co.kr/maps/place/DESUN+Hospital/data=!4m5!3m4!1s0x3a0273ffba333285:0xe26fc1c3cb8a0d70!8m2!3d22.5146288!4d88.4032479?authuser=0&hl=en&rclk=1
Dr. P. Banerji's Advanced Homeopathic Centre - Bagnan Howrah WB India - Paramesh Banerji Group,Homeopath,"Prasanta Bhavan, Gobardhanpur, Post Office: Ramchandrapur, Dist Howrah, Bagnan, West Bengal 711303, India",https://www.google.co.kr/maps/place/%E2%80%8BDr.+P.+Banerji's+Advanced+Homeopathic+Centre+-+Bagnan+Howrah+WB+India+-+Paramesh+Banerji+Group/data=!4m5!3m4!1s0x3a029afc7cd6658f:0x82e0587660aa3805!8m2!3d22.459008!4d87.979867?authuser=0&hl=en&rclk=1
Sparsh Diagnostic Centre,Diagnostic center,"231, 1, Netaji Subhash Chandra Bose Rd, Naktala, Netaji Nagar, Kolkata, West Bengal 700047, India",https://www.google.co.kr/maps/place/Sparsh+Diagnostic+Centre/data=!4m5!3m4!1s0x3a0270fdfb47633d:0x2f9869e54b00ba19!8m2!3d22.4729422!4d88.3632702?authuser=0&hl=en&rclk=1
New Clinic,Medical clinic,"45G8+FVM, Madhunia, West Bengal 742187, India",https://www.google.co.kr/maps/place/New+Clinic/data=!4m5!3m4!1s0x39f98002176ab7f7:0x95ac9333d05ab016!8m2!3d24.1262173!4d88.1671715?authuser=0&hl=en&rclk=1
Apollo Clinic,Diagnostic center,"Annada Enclave, 88, Pilkhana Rd, Ranibagan, Berhampore, West Bengal 742101, India",https://www.google.co.kr/maps/place/Apollo+Clinic/data=!4m5!3m4!1s0x39f97db82b661fcf:0x84c198622b2e1ea5!8m2!3d24.100119!4d88.256683?authuser=0&hl=en&rclk=1
Best Hair Transplant Kolkata Clinic -DHI™ India - Premium & Trusted Hair Transplant in Kolkata,Hair transplantation clinic,"DHI, 4th Floor, Platinum Mall 31, Elgin Road, Kolkata, West Bengal 700020, India",https://www.google.co.kr/maps/place/Best+Hair+Transplant+Kolkata+Clinic+-DHI%E2%84%A2+India+-+Premium+%26+Trusted+Hair+Transplant+in+Kolkata/data=!4m5!3m4!1s0x3a0276d73d923965:0x1e85654577e9d0bf!8m2!3d22.5377932!4d88.3490381?authuser=0&hl=en&rclk=1
Urban Skin Aesthetic Clinic,Skin care clinic,"Mill gate, Andul Rd, opposite Bank of India, Howrah, West Bengal 711302, India",https://www.google.co.kr/maps/place/Urban+Skin+Aesthetic+Clinic/data=!4m5!3m4!1s0x3a027f983e0c87d5:0x961864d248782ddb!8m2!3d22.584501!4d88.245744?authuser=0&hl=en&rclk=1
Medicare Clinic Pvt Ltd,Hospital,"138, Grand Trunk Road, South, Shibpur, Howrah, West Bengal 711102, India",https://www.google.co.kr/maps/place/Medicare+Clinic+Pvt+Ltd/data=!4m5!3m4!1s0x3a0278bd07a563ab:0xdf8e3d462771323!8m2!3d22.5742106!4d88.3282243?authuser=0&hl=en&rclk=1
Dr. Subhomoy Mukhopadhyay,Medical clinic,"Nilkantha Sarkar St, Surpara, Bagbazar, Sukhsanatantala, Chandannagar, West Bengal 712136, India",https://www.google.co.kr/maps/place/Dr.+Subhomoy+Mukhopadhyay/data=!4m5!3m4!1s0x39f891a325a57f9d:0x32587ad8b73157cd!8m2!3d22.8628549!4d88.3658481?authuser=0&hl=en&rclk=1
Vertigo & Deafness Clinic,Medical clinic,"BJ-252, BJ Block, Sector II, Bidhannagar, Kolkata, West Bengal 700091, India",https://www.google.co.kr/maps/place/Vertigo+%26+Deafness+Clinic/data=!4m5!3m4!1s0x3a027595b5dd40a9:0xb8c5bb74ca9c8c45!8m2!3d22.5899156!4d88.4267089?authuser=0&hl=en&rclk=1
Apollo Clinic,Medical clinic,"DC Block, Office Tower City Centre, Sector 1, Bidhannagar, Kolkata, West Bengal 700064, India",https://www.google.co.kr/maps/place/Apollo+Clinic/data=!4m5!3m4!1s0x3a0275dd925bf6d1:0x6fb5747470fd36f3!8m2!3d22.58731!4d88.4077604?authuser=0&hl=en&rclk=1
