Company_Name,Category,Address,Url
Fitness India Gym & Slimming Center,Gym,"Thind Complex, Jassian Rd, Durga Puri, Haibowal Kalan, Ludhiana, Punjab 141001, India",https://www.google.co.kr/maps/place/Fitness+India+Gym+%26+Slimming+Center/data=!4m5!3m4!1s0x391a83fa3a26ce8b:0xdea1e126cb02d987!8m2!3d30.9251601!4d75.8164674?authuser=0&hl=en&rclk=1
PD FITNESS GYM,Gym,"2nd Floor, Mithapur Rd, above State Bank of India, Ravindra Nagar, Jalandhar, Punjab 144001, India",https://www.google.co.kr/maps/place/PD+FITNESS+GYM/data=!4m5!3m4!1s0x391a5b16968d4fef:0x4ca9df16376870fa!8m2!3d31.2841923!4d75.5786732?authuser=0&hl=en&rclk=1
Punjab Health Club,Gym,"Satguru Kabir Chowk, Tower Enclave, Khurla Kingra, Jalandhar, Punjab 144003, India",https://www.google.co.kr/maps/place/Punjab+Health+Club/data=!4m5!3m4!1s0x391a5b1a019d07f3:0x42fb613ede6d2957!8m2!3d31.2954469!4d75.5569552?authuser=0&hl=en&rclk=1
Prime Fitness unisex gym,Fitness center,"Jalandhar road, Opp petrol pump, above PNB bank, Mansoorwal dona, Kapurthala, Punjab 144601, India",https://www.google.co.kr/maps/place/Prime+Fitness+unisex+gym/data=!4m5!3m4!1s0x391a48e415f61aeb:0x762efa1d6ac1ff5d!8m2!3d31.3713!4d75.404179?authuser=0&hl=en&rclk=1
Sukhija Slimming & Fitness Centre,Gym,"Sukhija Colony Rose Enclave Street, opposite to temple, Punjab 151203, India",https://www.google.co.kr/maps/place/Sukhija+Slimming+%26+Fitness+Centre/data=!4m5!3m4!1s0x391759cab15de149:0x3b365b52fa22a6e8!8m2!3d30.6754191!4d74.763356?authuser=0&hl=en&rclk=1
The Code Fitness Premium - Best Premium Gym In Ludhiana,Gym,"4th Floor, Boulevard Mall, The Mall Rd, Ludhiana, Punjab 141001, India",https://www.google.co.kr/maps/place/The+Code+Fitness+Premium+-+Best+Premium+Gym+In+Ludhiana/data=!4m5!3m4!1s0x391a83b9016025f9:0xdf3f31078183ce17!8m2!3d30.9056601!4d75.8400872?authuser=0&hl=en&rclk=1
Muscle Town,Fitness center,"SC0 51-52, 1st Floor, Tower, Opp. Ang Tower, Urban Estate phase II, Jalandhar, Punjab 144022, India",https://www.google.co.kr/maps/place/Muscle+Town/data=!4m5!3m4!1s0x391a5bbaea95c5ef:0xba77596411ada79c!8m2!3d31.2971774!4d75.5874142?authuser=0&hl=en&rclk=1
Neo Fitness - Best GYM & Fitness Centre in Jalandhar,Gym,"# 689-R, 2nd Floor, No Exit, Mall Rd, Model Town, Jalandhar, Punjab 144003, India",https://www.google.co.kr/maps/place/Neo+Fitness+-+Best+GYM+%26+Fitness+Centre+in+Jalandhar/data=!4m5!3m4!1s0x391a5ba6612fc121:0x387769d2059cdd8e!8m2!3d31.3099884!4d75.5788383?authuser=0&hl=en&rclk=1
Fitness World (Gym),Gym,"Dehlon-Sahnewal Rd, Punjab 141101, India",https://www.google.co.kr/maps/place/Fitness+World+(Gym)/data=!4m5!3m4!1s0x39107a2c29d70dc9:0x1b759d8dc7726855!8m2!3d30.7486525!4d75.8591916?authuser=0&hl=en&rclk=1
F360 Gym Ludhiana,Gym,"367, Chandigarh Road, opp. Gopichand, Roshan Lal Petrol Pump, Ludhiana, Punjab 141014, India",https://www.google.co.kr/maps/place/F360+Gym+Ludhiana/data=!4m5!3m4!1s0x391a8319a6ebe855:0xb705def98b1c98d4!8m2!3d30.90957!4d75.88303?authuser=0&hl=en&rclk=1
