Company_Name,Category,Address,Url
Ultimate fitness Gym,Gym,"Tadong College Gate, below Sbi Atm, Tadong, Gangtok, Sikkim 737102, India",https://www.google.co.kr/maps/place/Ultimate+fitness+Gym/data=!4m5!3m4!1s0x39e6a5c1bf4f7e2f:0xd15b58fff5a0aef3!8m2!3d27.314213!4d88.600151?authuser=0&hl=en&rclk=1
SIKKIM HARDCORE GYM,Fitness center,"Mahatma Gandhi Marg, behind RELIANCE TREANDS SHOWROOM, Arithang, Gangtok, Sikkim 737101, India",https://www.google.co.kr/maps/place/SIKKIM+HARDCORE+GYM/data=!4m5!3m4!1s0x39e6a5b61b40e7e1:0xce183a3c09c41d85!8m2!3d27.3282291!4d88.6122878?authuser=0&hl=en&rclk=1
BODYVIVE GYM,Gymnastics club,"LOWER IBM, Rangpo, Sikkim 737132, India",https://www.google.co.kr/maps/place/BODYVIVE+GYM/data=!4m5!3m4!1s0x39e6a188d0c180f5:0x8ff6aa3c3b9e3d27!8m2!3d27.1759973!4d88.5253932?authuser=0&hl=en&rclk=1
HARDCORE HIMALAYAN GYM RANIPOOL,Fitness center,"Ranipool, Highway, Gangtok, Sikkim 737135, India",https://www.google.co.kr/maps/place/HARDCORE+HIMALAYAN+GYM+RANIPOOL/data=!4m5!3m4!1s0x39e6a54f497bb483:0xb8f391f7b74adfbf!8m2!3d27.2934027!4d88.5905626?authuser=0&hl=en&rclk=1
IRON PUMP SWEAT SHOP ( gym & fitness studio),Fitness center,"Krishi bhawan, Tadong, Gangtok, Sikkim 737102, India",https://www.google.co.kr/maps/place/IRON+PUMP+SWEAT+SHOP+(+gym+%26+fitness+studio)/data=!4m5!3m4!1s0x39e6a5ca5987b4f9:0xf25ae6b0c44264d0!8m2!3d27.3105755!4d88.5975892?authuser=0&hl=en&rclk=1
Hardcore Himalayan Gym 6th Mile Tadong,Fitness center,"NH10, near Harkamaya BaEd College, Tadong, Gangtok, Sikkim 737102, India",https://www.google.co.kr/maps/place/Hardcore+Himalayan+Gym+6th+Mile+Tadong/data=!4m5!3m4!1s0x39e6a5a6e9eb518b:0x95e9ee26866a58a1!8m2!3d27.3108386!4d88.588928?authuser=0&hl=en&rclk=1
Rumtek Gym,Gym,"7HQ7+R3J, Namin, Sikkim 737135, India",https://www.google.co.kr/maps/place/Rumtek+Gym/data=!4m5!3m4!1s0x39e6a473dfb41c0b:0xc8c20300b98ec3d7!8m2!3d27.2895755!4d88.5626312?authuser=0&hl=en&rclk=1
Ragefitness Gym Singtam,Gym,"NH10 MAHESHWAR MANJIL, Singtam, Sikkim 737134, India",https://www.google.co.kr/maps/place/Ragefitness+Gym+Singtam/data=!4m5!3m4!1s0x39e6a14ed78c2f35:0x6bbd90db503cf12e!8m2!3d27.2307912!4d88.4977555?authuser=0&hl=en&rclk=1
Rawfit Gym And Fitness Center,Gym,"Ranipool Opposite doctor shanti complex Ranipool gangtok, Ranipool, Sikkim 737135, India",https://www.google.co.kr/maps/place/Rawfit+Gym+And+Fitness+Center/data=!4m5!3m4!1s0x39e6a50dac1cad8f:0x351c50cef424c5ed!8m2!3d27.2945405!4d88.5895235?authuser=0&hl=en&rclk=1
Ultimate fitness gym ranipool,Gym,"NH10, Ranipool, Sikkim 737102, India",https://www.google.co.kr/maps/place/Ultimate+fitness+gym+ranipool/data=!4m5!3m4!1s0x39e6a5301edbf391:0x1e508c710f5650fb!8m2!3d27.2944049!4d88.5897709?authuser=0&hl=en&rclk=1
