Company_Name,Category,Address,Url
"ILS Hospitals, Agartala",General hospital,"Capital Complex Extension P.O - New Secretariat, Agartala, Tripura 799010, India","https://www.google.co.kr/maps/place/ILS+Hospitals,+Agartala/data=!4m5!3m4!1s0x3753f14d1a5ccdad:0x1d6e81bdd9eaa78c!8m2!3d23.867536!4d91.289606?authuser=0&hl=en&rclk=1"
Agartala Hospital & Research Centre Pvt Ltd,Hospital,"9a, Mantribari Rd, Battala, Agartala, Tripura 799001, India",https://www.google.co.kr/maps/place/Agartala+Hospital+%26+Research+Centre+Pvt+Ltd/data=!4m5!3m4!1s0x3753f412b99034d3:0x2c37f77ec2766cda!8m2!3d23.8302762!4d91.2785302?authuser=0&hl=en&rclk=1
"Dhalai District Hospital,Kulai",Government hospital,"Dist, Purba Nalichhara, Tripura 799278, India","https://www.google.co.kr/maps/place/Dhalai+District+Hospital,Kulai/data=!4m5!3m4!1s0x3753d2adfeff58f7:0x279d18e725b96237!8m2!3d23.9548798!4d91.8252288?authuser=0&hl=en&rclk=1"
"District Hospital, Dharmanagar, North Tripura",Hospital,"95Q5+X43, Chandrapur, Dharmanagar, Tripura 799251, India","https://www.google.co.kr/maps/place/District+Hospital,+Dharmanagar,+North+Tripura/data=!4m5!3m4!1s0x3751ecc77c92b9cb:0x5104dc9375ae5e91!8m2!3d24.3898786!4d92.1578064?authuser=0&hl=en&rclk=1"
District Hospital - Gomati Tripura,Hospital,"Dist omati, Shillong - Agartala - Sabrum Rd, Radhakishorepur R.F., Tripura 799114, India",https://www.google.co.kr/maps/place/District+Hospital+-+Gomati+Tripura/data=!4m5!3m4!1s0x375399e583b72c25:0xbc41d9612b1118fb!8m2!3d23.5544771!4d91.4556067?authuser=0&hl=en&rclk=1
tripura Medical College,Hospital,"Hapania, Agartala, Tripura 799003, India",https://www.google.co.kr/maps/place/tripura+Medical+College/data=!4m5!3m4!1s0x3753f550d9ffabc7:0xc454ecc09e171066!8m2!3d23.7999356!4d91.2457771?authuser=0&hl=en&rclk=1
"District Hospital,South Tripura",Hospital,"Trijunction, Bagafa Rd, Santirbazar, Tripura 799144, India","https://www.google.co.kr/maps/place/District+Hospital,South+Tripura/data=!4m5!3m4!1s0x37530bc61ae650f3:0xca315a423254c0ed!8m2!3d23.3142658!4d91.5831544?authuser=0&hl=en&rclk=1"
Tripura Sundari Hospital,Hospital,"Dak Bunglow Rd, Udaipur, Tripura 799120, India",https://www.google.co.kr/maps/place/Tripura+Sundari+Hospital/data=!4m5!3m4!1s0x375398415bcc178d:0x4a83d9c618fab71c!8m2!3d23.5363599!4d91.4974344?authuser=0&hl=en&rclk=1
"University Hospital, Tripura University",University hospital,"University campus, Tripura University, Suryamani Nagar, Tripura, India","https://www.google.co.kr/maps/place/University+Hospital,+Tripura+University/data=!4m5!3m4!1s0x3753f4cca3a8784b:0x8fce2a986d780fcc!8m2!3d23.7593916!4d91.2645911?authuser=0&hl=en&rclk=1"
Bishramganj Hospital,Hospital,"Shillong - Agartala - Sabrum Rd, Hospital Tilla, Bishramganj, Tripura 799103, India",https://www.google.co.kr/maps/place/Bishramganj+Hospital/data=!4m5!3m4!1s0x37538fc9802ba47b:0x943e69abc4dd1180!8m2!3d23.6088299!4d91.3507393?authuser=0&hl=en&rclk=1
