Company_Name,Category,Address,Url
Ramakrishna Mission Hospital,Hospital,"P.O. R.K. Mission, Itanagar, Arunachal Pradesh 791113",https://www.google.co.kr/maps/place/Ramakrishna+Mission+Hospital/data=!4m5!3m4!1s0x374407b22d0f830f:0xc1127903b8c7048a!8m2!3d27.0856246!4d93.6090296?authuser=0&hl=en&rclk=1
"Primary Health Centre, Nampong, Arunachal Pradesh India",Hospital,"74R7+V4W, Nampong, Arunachal Pradesh 792123, India","https://www.google.co.kr/maps/place/Primary+Health+Centre,+Nampong,+Arunachal+Pradesh+India/data=!4m5!3m4!1s0x373eb91dd2853317:0xf907beefb3be904e!8m2!3d27.2922281!4d96.1128192?authuser=0&hl=en&rclk=1"
"Gyati Takka General Hospital, Ziro",Government hospital,"Hospital Road, Cona County, Ziro, Arunachal Pradesh 791120","https://www.google.co.kr/maps/place/Gyati+Takka+General+Hospital,+Ziro/data=!4m5!3m4!1s0x374160d47dc4c7ff:0xf080831d047caddf!8m2!3d27.5390107!4d93.8219742?authuser=0&hl=en&rclk=1"
Medical Health Centre,Hospital,"MV79+Q8M, Namsai, Arunachal Pradesh 792103, India",https://www.google.co.kr/maps/place/Medical+Health+Centre/data=!4m5!3m4!1s0x373efa59c089aee7:0xbf9e6503afc4847c!8m2!3d27.6644704!4d95.8683065?authuser=0&hl=en&rclk=1
Manmow Sub-Centre,Hospital,"National Highway 52, 6th Mile Camp, Arunachal Pradesh 792103, India",https://www.google.co.kr/maps/place/Manmow+Sub-Centre/data=!4m5!3m4!1s0x373efa75a6747b1f:0x5b49d0b9d15df0dd!8m2!3d27.6791826!4d95.8968285?authuser=0&hl=en&rclk=1
Tomo Riba Institute Of Health And Medical Sciences,Hospital,"National Highway 52A, Old Assembly Complex, Naharlagun, Arunachal Pradesh 791110",https://www.google.co.kr/maps/place/Tomo+Riba+Institute+Of+Health+And+Medical+Sciences/data=!4m5!3m4!1s0x37440092bd9b4271:0xff711dc44d5e5ef9!8m2!3d27.1038855!4d93.6910961?authuser=0&hl=en&rclk=1
"Community Healthcare Center, Wakro",Hospital,"Q8HX+PW3, Wakro, Arunachal Pradesh 792102, India","https://www.google.co.kr/maps/place/Community+Healthcare+Center,+Wakro/data=!4m5!3m4!1s0x373e809df809f899:0x62442dbbb464fb3b!8m2!3d27.7792583!4d96.3498002?authuser=0&hl=en&rclk=1"
Asali Sub Centre,Hospital,"Vill - Asali, Dist, Roing, Arunachal Pradesh 792110, India",https://www.google.co.kr/maps/place/Asali+Sub+Centre/data=!4m5!3m4!1s0x373e4982feb235fb:0x1ff2ec14bf12d508!8m2!3d28.131878!4d95.8224337?authuser=0&hl=en&rclk=1
Hospital,Government hospital,"Jairampur, Arunachal Pradesh 792121, India",https://www.google.co.kr/maps/place/Hospital/data=!4m5!3m4!1s0x373ec1175093654b:0xdc8bb4f6626f82a1!8m2!3d27.3550706!4d96.0145557?authuser=0&hl=en&rclk=1
Kruna Trust,Hospital,"792001, Arunachal Pradesh, India",https://www.google.co.kr/maps/place/Kruna+Trust/data=!4m5!3m4!1s0x373e644902d44a91:0xce180aa23552c650!8m2!3d27.9185759!4d96.1772115?authuser=0&hl=en&rclk=1
