Company_Name,Category,Address,Url
KLES Dr Prabhakar Kore Hospital & MRC,General hospital,"NH Service Road, Basava Circle, Chikodi, Nehru Nagar, Belagavi, Karnataka 590010, India",https://www.google.co.kr/maps/place/KLES+Dr+Prabhakar+Kore+Hospital+%26+MRC/data=!4m5!3m4!1s0x3bbf669850726b3b:0x87cfe20bdbd0abaa!8m2!3d15.8881346!4d74.5196845?authuser=0&hl=en&rclk=1
Shri Sai Hospital,General hospital,"40/2 Laxminagar Main Road, Old Belgaum, Belagavi, Karnataka 590005, India",https://www.google.co.kr/maps/place/Shri+Sai+Hospital/data=!4m5!3m4!1s0x3bbf66f4434a122f:0xca9b64a594a9be28!8m2!3d15.8346308!4d74.5255915?authuser=0&hl=en&rclk=1
BHS Lakeview Hospital,Private hospital,"R.S No. 73/7, C.T.S No. 11888, Gokak Road, opp. Fort Lake, Gandhi Nagar, Belagavi, Karnataka 590016, India",https://www.google.co.kr/maps/place/BHS+Lakeview+Hospital/data=!4m5!3m4!1s0x3bbf66c625965b83:0x21ab45db75b588ce!8m2!3d15.8634235!4d74.5265588?authuser=0&hl=en&rclk=1
Vijaya Hospital Belgavi,Hospital,"Ayodhya Nagar, Sadashiv Nagar, Belagavi, Karnataka 590001, India",https://www.google.co.kr/maps/place/Vijaya+Hospital+Belgavi/data=!4m5!3m4!1s0x3bbf67b92aef10fb:0xc3464e96201f5702!8m2!3d15.8742192!4d74.5142191?authuser=0&hl=en&rclk=1
"Civil Hospital, Belgaum",General hospital,"Kittur Rani Chennamma Circle, Khade Bazar, Sadashiv Nagar, Belagavi, Karnataka 590001, India","https://www.google.co.kr/maps/place/Civil+Hospital,+Belgaum/data=!4m5!3m4!1s0x3bbf66ae02e4b7bd:0xe03143fe040f0a07!8m2!3d15.868246!4d74.5105999?authuser=0&hl=en&rclk=1"
hospitals,Hospital,"Dharwad - Goa Rd, Lotus Layuout, Kusum Nagar, Narayanpura, Dharwad, Karnataka 580008, India",https://www.google.co.kr/maps/place/hospitals/data=!4m5!3m4!1s0x3bb8cd4520afbfa5:0x94f105734e3c5ac0!8m2!3d15.4634597!4d74.9822055?authuser=0&hl=en&rclk=1
J G Hospital,Private hospital,"SH 65, Ghatprabha, Karnataka 591306, India",https://www.google.co.kr/maps/place/J+G+Hospital/data=!4m5!3m4!1s0x3bc0ba3e9e628e9d:0x22c8dce7d08c4d51!8m2!3d16.2411092!4d74.752321?authuser=0&hl=en&rclk=1
Military Hospital,Military hospital,"Thimayya Road, Camp, Belagavi, Karnataka 590009, India",https://www.google.co.kr/maps/place/Military+Hospital/data=!4m5!3m4!1s0x3bbf6404a16f18a7:0x711796c7e2457fc8!8m2!3d15.8615533!4d74.4948275?authuser=0&hl=en&rclk=1
Clinic,Hospital,"Unnamed Road, Tippusultan Nagar, Machhe, Belagavi, Karnataka 590014, India",https://www.google.co.kr/maps/place/Clinic/data=!4m5!3m4!1s0x3bbf65212b67b835:0x968ea786d0381320!8m2!3d15.7954006!4d74.4760731?authuser=0&hl=en&rclk=1
Vivekananda General Hospital,Private hospital,"944R+356, Backside Chadda Showroom, Deshpande Nagar, Hubli, Karnataka 580029, India",https://www.google.co.kr/maps/place/Vivekananda+General+Hospital/data=!4m5!3m4!1s0x3bb8d744f2f09e63:0x1af09274bead1a06!8m2!3d15.3551569!4d75.1404004?authuser=0&hl=en&rclk=1
