Company_Name,Category,Address,Url
INDIA HOSPITAL ( Unit of Manhattan Hospital Pvt Ltd),General hospital,"Mele Thampanoor,EMS road, near Subramonia temple, Thampanoor, Thiruvananthapuram, Kerala 695001, India",https://www.google.co.kr/maps/place/INDIA+HOSPITAL+(+Unit+of+Manhattan+Hospital+Pvt+Ltd)/data=!4m5!3m4!1s0x3b05bba538017d2b:0x6b8ce7b43986759c!8m2!3d8.4928179!4d76.9513267?authuser=0&hl=en&rclk=1
Specialists' Hospital Kochi,Hospital,"Haji K C M Mather Road, Xavier Arakkal Rd, Ernakulam North, Opp, Kacheripady, Kochi, Kerala 682018, India",https://www.google.co.kr/maps/place/Specialists'+Hospital+Kochi/data=!4m5!3m4!1s0x3b080d4383385a6f:0x7206e12aa393d2d4!8m2!3d9.9904987!4d76.2859211?authuser=0&hl=en&rclk=1
"Ayur Bethaniya Ayurveda Hospital in Kerala, India",,"Athani - Thiruthiparambu Rd, Peringandoor, Kerala 680581, India","https://www.google.co.kr/maps/place/Ayur+Bethaniya+Ayurveda+Hospital+in+Kerala,+India/data=!4m5!3m4!1s0x3ba7e909110d347d:0x5058cd9bbbc1692c!8m2!3d10.623959!4d76.209389?authuser=0&hl=en&rclk=1"
Rajagiri Hospital,Private hospital,"Near GTN Junction, Chunangamvely Aluva, Kochi, Kerala 683112, India",https://www.google.co.kr/maps/place/Rajagiri+Hospital/data=!4m5!3m4!1s0x3b080915485f087b:0xe9ea47ec734cd857!8m2!3d10.0876205!4d76.388183?authuser=0&hl=en&rclk=1
Krishna Hospital,Hospital,"Chittoor Rd, opposite Maharajas College Ground, Shenoys, Kochi, Kerala 682016, India",https://www.google.co.kr/maps/place/Krishna+Hospital/data=!4m5!3m4!1s0x3b080d5cdc429b33:0xb2a2ea0e315b08d2!8m2!3d9.974997!4d76.2848193?authuser=0&hl=en&rclk=1
VPS Lakeshore Hospital,General hospital,"NH-66 Bypass, near Police Station, Nettoor, Maradu, Kochi, Kerala 682040, India",https://www.google.co.kr/maps/place/VPS+Lakeshore+Hospital/data=!4m5!3m4!1s0x3b0873b2953388a7:0xce77188e8376bcfa!8m2!3d9.9190543!4d76.3189326?authuser=0&hl=en&rclk=1
"Lourdes Hospital, Post Graduate Institute of Medical Science and Research, Kochi",Private hospital,"Lourdes hospital Road Near Ernakulam Town Railway station Pachalam PO, Kochi, Kerala 682012, India","https://www.google.co.kr/maps/place/Lourdes+Hospital,+Post+Graduate+Institute+of+Medical+Science+and+Research,+Kochi/data=!4m5!3m4!1s0x3b062785ea4b333b:0x1932c7092fddb7e!8m2!3d10.0067894!4d76.2774392?authuser=0&hl=en&rclk=1"
Medical Trust Hospital,Private hospital,"Mahatma Gandhi Rd, Pallimukku, Kochi, Kerala 682016, India",https://www.google.co.kr/maps/place/Medical+Trust+Hospital/data=!4m5!3m4!1s0x3b0872b0e0cadceb:0xc89d826b91562e56!8m2!3d9.9642983!4d76.2878082?authuser=0&hl=en&rclk=1
Holy Cross Super Speciality Hospital,General hospital,"Hollycross Hospital Rd, Kottiyam, Kerala 691571, India",https://www.google.co.kr/maps/place/Holy+Cross+Super+Speciality+Hospital/data=!4m5!3m4!1s0x3b05e3628cb39fbb:0x7f7bd709efaad381!8m2!3d8.8616392!4d76.6734037?authuser=0&hl=en&rclk=1
Ernakulam General Hospital,General hospital,"Hospital Rd, Marine Drive, Ernakulam, Kerala 682011, India",https://www.google.co.kr/maps/place/Ernakulam+General+Hospital/data=!4m5!3m4!1s0x3b0873718cab2255:0x5c5f0341e45659bf!8m2!3d9.9720244!4d76.2815409?authuser=0&hl=en&rclk=1
