Company_Name,Category,Address,Url
"Civil Hospital, Aizawl",General hospital,"Bazar Bungkawn, Bara Bazar, Dawrpui, Aizawl, Mizoram 796001, India","https://www.google.co.kr/maps/place/Civil+Hospital,+Aizawl/data=!4m5!3m4!1s0x374d94b665e20dd9:0xb3325bc46c2ccb75!8m2!3d23.7323402!4d92.7165256?authuser=0&hl=en&rclk=1"
Synod Hospital Durtlang,General hospital,"NH-54, Durtlang Leitan, Aizawl, Mizoram 796025, India",https://www.google.co.kr/maps/place/Synod+Hospital+Durtlang/data=!4m5!3m4!1s0x374deb1b210503d7:0x494329e0d07f4050!8m2!3d23.7722288!4d92.7310205?authuser=0&hl=en&rclk=1
Greenwood Hospital,General hospital,"Bawngkawn, Aizawl, Mizoram 796014, India",https://www.google.co.kr/maps/place/Greenwood+Hospital/data=!4m5!3m4!1s0x374deb245dd0de29:0xfc1fb8ba4393f1d7!8m2!3d23.7554782!4d92.731041?authuser=0&hl=en&rclk=1
Fari Pute In,General hospital,"PPFF+7FJ, College Veng, Aizawl, Mizoram 796005, India",https://www.google.co.kr/maps/place/Fari+Pute+In/data=!4m5!3m4!1s0x374d95493eead95b:0xa635a73aecbf7d94!8m2!3d23.7232005!4d92.7236331?authuser=0&hl=en&rclk=1
Kulikawn Hospital,Government hospital,"Kulikawn, Aizawl, Mizoram 796005, India",https://www.google.co.kr/maps/place/Kulikawn+Hospital/data=!4m5!3m4!1s0x374d94939f1a3373:0x53fb21bf7b15d056!8m2!3d23.7084855!4d92.7155763?authuser=0&hl=en&rclk=1
Bethesda Hospital,Hospital,"Bawngkawn Chhimveng Rd, Bawngkawn Chhim Veng, Aizawl, Mizoram 796012, India",https://www.google.co.kr/maps/place/Bethesda+Hospital/data=!4m5!3m4!1s0x374deb309acb7b69:0xae84fca9270a97df!8m2!3d23.7504706!4d92.7266318?authuser=0&hl=en&rclk=1
Aizawl Hospital & Research Centre,Private hospital,"Peter St, Khatla, Aizawl, Mizoram 796001, India",https://www.google.co.kr/maps/place/Aizawl+Hospital+%26+Research+Centre/data=!4m5!3m4!1s0x374d94bfc315deb3:0x44a0c2eb11fa2ea4!8m2!3d23.7188261!4d92.7176305?authuser=0&hl=en&rclk=1
Nazareth Hospital,Private hospital,"Bethel Lung, Chaltlang, Aizawl, Mizoram 796012, India",https://www.google.co.kr/maps/place/Nazareth+Hospital/data=!4m5!3m4!1s0x374deb30d8b48953:0xf58b3289b25baf32!8m2!3d23.7490147!4d92.7223908?authuser=0&hl=en&rclk=1
Ebenezer Medical Center,Hospital,"Chawnpui Veng, Aizawl, Mizoram 796009, India",https://www.google.co.kr/maps/place/Ebenezer+Medical+Center/data=!4m5!3m4!1s0x374d95a7002ade77:0xc087b3aaf46c3b4a!8m2!3d23.7312!4d92.707833?authuser=0&hl=en&rclk=1
Health office. Mizoram,Hospital,"Bethel Rd, Chawnpui Veng, Aizawl, Mizoram 796009, India",https://www.google.co.kr/maps/place/Health+office.+Mizoram/data=!4m5!3m4!1s0x374d95c69568099b:0x184e67005e9812f7!8m2!3d23.7311995!4d92.7078328?authuser=0&hl=en&rclk=1
Mizoram State Cancer Institute,Hospital,"Zemabawk, Aizawl, Mizoram 796017, India",https://www.google.co.kr/maps/place/Mizoram+State+Cancer+Institute/data=!4m5!3m4!1s0x374d953170f225d1:0xb30736794aebac1b!8m2!3d23.7324141!4d92.7511813?authuser=0&hl=en&rclk=1
"Health Centre, Mizoram University",Hospital,"PMP7+8WF, Aizawl, Mizoram 796004, India","https://www.google.co.kr/maps/place/Health+Centre,+Mizoram+University/data=!4m5!3m4!1s0x374d932c1570cdeb:0x584708489b61ed25!8m2!3d23.7358082!4d92.6648025?authuser=0&hl=en&rclk=1"
CITY HOSPITAL,Specialized hospital,"Rev Chhuahkhama Rd, Mission Veng, Model Veng, Aizawl, Mizoram 796005, India",https://www.google.co.kr/maps/place/CITY+HOSPITAL/data=!4m5!3m4!1s0x374d94bfc4f959e5:0x260c85f3da2476!8m2!3d23.7165206!4d92.7164313?authuser=0&hl=en&rclk=1
Trinity Hospital,Hospital,"Aizawl, Mizoram 796005, India",https://www.google.co.kr/maps/place/Trinity+Hospital/data=!4m5!3m4!1s0x374d950f74629a55:0x387fcbd150937daf!8m2!3d23.6807524!4d92.7250209?authuser=0&hl=en&rclk=1
Redeem Hospital,Hospital,"College Veng, Aizawl, Mizoram 796005, India",https://www.google.co.kr/maps/place/Redeem+Hospital/data=!4m5!3m4!1s0x374d94c4e23bedcd:0xf3dd3a1ec302f745!8m2!3d23.7242564!4d92.7266844?authuser=0&hl=en&rclk=1
Christian Hospital Serkawn,Hospital,"WQ45+R85, Serkawn, Lunglei, Mizoram 796691, India",https://www.google.co.kr/maps/place/Christian+Hospital+Serkawn/data=!4m5!3m4!1s0x374d40954e84b81b:0x8f7b6f65818a185a!8m2!3d22.907003!4d92.7583677?authuser=0&hl=en&rclk=1
Champhai District Hospital,Hospital,"F8J5+CVG, Vengsang, Champhai, Mizoram 796321, India",https://www.google.co.kr/maps/place/Champhai+District+Hospital/data=!4m5!3m4!1s0x374c5ba573a2fff3:0xb0fbc752fb07c7ac!8m2!3d23.4810501!4d93.3097003?authuser=0&hl=en&rclk=1
Bukpui PHC,Hospital,"Serkhan - Bagha Rd, Bukpui, Mizoram 796007, India",https://www.google.co.kr/maps/place/Bukpui+PHC/data=!4m5!3m4!1s0x374ddfc8b1617f3b:0x5d37e12d09fdb8be!8m2!3d24.0818779!4d92.7932417?authuser=0&hl=en&rclk=1
LRM Hospital Aizawl,Hospital,"Chanmari - Ramhlun Rd, Ramhlun Venglai, Chaltlang, Aizawl, Mizoram 796012, India",https://www.google.co.kr/maps/place/LRM+Hospital+Aizawl/data=!4m5!3m4!1s0x374deb33f6979755:0xf5e0809c7a5b5ead!8m2!3d23.7444191!4d92.7235053?authuser=0&hl=en&rclk=1
Care Hospital,Hospital,"Upper Bazar, Dawrpui, Aizawl, Mizoram 796001, India",https://www.google.co.kr/maps/place/Care+Hospital/data=!4m5!3m4!1s0x374d94b66430c887:0x8e8159f3ad02b28a!8m2!3d23.7330027!4d92.7161038?authuser=0&hl=en&rclk=1
Health sub centre,Hospital,"CQ2V+3CQ, Saiphai, Mizoram 796101, India",https://www.google.co.kr/maps/place/Health+sub+centre/data=!4m5!3m4!1s0x374e6ca125e694cf:0xec0033796e01f5a2!8m2!3d24.400201!4d92.793606?authuser=0&hl=en&rclk=1
Mercy Hospital(Rural Diagnostic And Research Centre),Hospital,"8VP3+8WF, College Peng, New Serchhip, Serchhip, Mizoram 796181, India",https://www.google.co.kr/maps/place/Mercy+Hospital(Rural+Diagnostic+And+Research+Centre)/data=!4m5!3m4!1s0x374d0a1f01eeb623:0xfed25a30f57d19b8!8m2!3d23.3358129!4d92.8547864?authuser=0&hl=en&rclk=1
Public Health Centre,Hospital,"CQ4W+J53, Saiphai, Mizoram 796101, India",https://www.google.co.kr/maps/place/Public+Health+Centre/data=!4m5!3m4!1s0x374e6b5e55555555:0x9f280afb1c9c1614!8m2!3d24.4065055!4d92.7954106?authuser=0&hl=en&rclk=1
Ma & AM,Hospital,"PMPV+P34, Aizawl, Mizoram 796009, India",https://www.google.co.kr/maps/place/Ma+%26+AM/data=!4m5!3m4!1s0x374d93539ce6ffc3:0xf20cffce4cff1b9b!8m2!3d23.7367548!4d92.6927079?authuser=0&hl=en&rclk=1
District Hospital Kolasib,Hospital,"Venglai, Kolasib, Mizoram 796081, India",https://www.google.co.kr/maps/place/District+Hospital+Kolasib/data=!4m5!3m4!1s0x374e0ec710ffffff:0x393d81f66c9fed0b!8m2!3d24.2314191!4d92.6768014?authuser=0&hl=en&rclk=1
Vaivenga Hospital and Research Center,Hospital,"Jail Veng, Dawrpui, Aizawl, Mizoram 796001, India",https://www.google.co.kr/maps/place/Vaivenga+Hospital+and+Research+Center/data=!4m5!3m4!1s0x374d94b5d4690611:0x17f28aa1b028fdc4!8m2!3d23.7333458!4d92.7159499?authuser=0&hl=en&rclk=1
Med-Aim Hospital,Hospital,"F8FM+2QM, New Champhai, Champhai, Mizoram 796321, India",https://www.google.co.kr/maps/place/Med-Aim+Hospital/data=!4m5!3m4!1s0x374c5bf6ebb6746d:0x374eab3dbdae2bd3!8m2!3d23.4725763!4d93.3344371?authuser=0&hl=en&rclk=1
District Hospital Saitual,Hospital,"Saitual-Phullen-Suangpuilawn Rd, Saitual, Mizoram 796261, India",https://www.google.co.kr/maps/place/District+Hospital+Saitual/data=!4m5!3m4!1s0x374db70951b46b3d:0xbb20dc2d8c72a9f!8m2!3d23.6820624!4d92.9630899?authuser=0&hl=en&rclk=1
Synod Hospital,Hospital,"Durtlang Rd, Durtlang Leitan, Aizawl, Mizoram 796025, India",https://www.google.co.kr/maps/place/Synod+Hospital/data=!4m5!3m4!1s0x374deb1b1b1dd601:0xce95054aea022996!8m2!3d23.772153!4d92.7310195?authuser=0&hl=en&rclk=1
Civil Hospital,Hospital,"Lunglei-Thenzawl Rd, Lunglei, Mizoram 796701, India",https://www.google.co.kr/maps/place/Civil+Hospital/data=!4m5!3m4!1s0x374d40d396a3ee31:0x3715ce142400932c!8m2!3d22.8863676!4d92.7441089?authuser=0&hl=en&rclk=1
Nazareth Hospital,Hospital,"C-50/A, K. Laihnuna Road, Ramhlun North, Aizawl, Mizoram 796012, India",https://www.google.co.kr/maps/place/Nazareth+Hospital/data=!4m5!3m4!1s0x374debebe5c990b3:0xfa638bf0c3452ea5!8m2!3d23.7486623!4d92.724242?authuser=0&hl=en&rclk=1
Community Health Centre,General hospital,"VR5C+FJ4, Zobawk, Venglai, Mizoram 796701, India",https://www.google.co.kr/maps/place/Community+Health+Centre/data=!4m5!3m4!1s0x374d39c90c4e47a9:0xe373a9662f5e2bb2!8m2!3d22.858649!4d92.8215666?authuser=0&hl=en&rclk=1
Health Sub-Centre,Hospital,"MXV8+4GQ, Saitual, Mizoram 796261, India",https://www.google.co.kr/maps/place/Health+Sub-Centre/data=!4m5!3m4!1s0x374db7a60cdabdd5:0xa52e2282481e6f21!8m2!3d23.6928342!4d92.9663502?authuser=0&hl=en&rclk=1
JN Hospital,Government hospital,"8V54+5CG, Serchhip, Mizoram 796181, India",https://www.google.co.kr/maps/place/JN+Hospital/data=!4m5!3m4!1s0x374d0bd5469b65a1:0x749c4d651fb6e344!8m2!3d23.3079464!4d92.8560816?authuser=0&hl=en&rclk=1
