Convert Id,Lead ID,Company ID,Customer ID,Deal ID,Lead Creation Date,Converted Time,Converted By Id
zcrm_1920545000000119019,zcrm_1920545000000119011,zcrm_1920545000000119015,,,2016-05-09 08:59:47,2016-05-09 10:00:51,zcrm_1920545000000097003
zcrm_1920545000000119031,zcrm_1920545000000121007,zcrm_1920545000000119023,,,2016-05-09 17:59:23,2016-05-09 18:59:55,zcrm_1920545000000097003
zcrm_1920545000000119041,zcrm_1920545000000120039,zcrm_1920545000000119033,,,2016-05-09 18:00:56,2016-05-09 19:01:22,zcrm_1920545000000097003
zcrm_1920545000000120017,zcrm_1920545000000120005,zcrm_1920545000000120009,,,2016-05-09 08:21:19,2016-05-09 09:22:26,zcrm_1920545000000097003
zcrm_1920545000000120033,zcrm_1920545000000120021,zcrm_1920545000000120025,,,2016-05-09 12:05:48,2016-05-09 17:46:05,zcrm_1920545000000097003
zcrm_1920545000000124009,zcrm_1920545000000121003,zcrm_1920545000000124001,,,2016-05-09 08:59:12,2016-05-09 10:00:34,zcrm_1920545000000097003
zcrm_1920545000000125007,zcrm_1920545000000120035,zcrm_1920545000000125001,,,2016-05-09 17:55:13,2016-05-09 19:28:30,zcrm_1920545000000097003
zcrm_1920545000000137019,zcrm_1920545000000133001,zcrm_1920545000000137001,zcrm_1920545000000137003,zcrm_1920545000000137005,2016-05-24 04:15:46,2016-05-24 14:47:22,zcrm_1920545000000117001
zcrm_1920545000000137045,zcrm_1920545000000137023,zcrm_1920545000000137027,zcrm_1920545000000137029,,2016-05-24 14:29:58,2016-05-24 15:31:48,zcrm_1920545000000117001
zcrm_1920545000000137077,zcrm_1920545000000137055,zcrm_1920545000000137059,zcrm_1920545000000137061,zcrm_1920545000000137063,2016-05-24 14:42:27,2016-05-24 15:43:28,zcrm_1920545000000117001
zcrm_1920545000000142023,zcrm_1920545000000142001,zcrm_1920545000000142005,zcrm_1920545000000142007,zcrm_1920545000000142009,2016-05-25 02:55:53,2016-05-25 03:56:48,zcrm_1920545000000117001
zcrm_1920545000000144023,zcrm_1920545000000144001,zcrm_1920545000000144005,zcrm_1920545000000144007,zcrm_1920545000000144009,2016-05-25 16:53:00,2016-05-25 17:53:55,zcrm_1920545000000117001
zcrm_1920545000000147023,zcrm_1920545000000147001,zcrm_1920545000000147005,zcrm_1920545000000147007,zcrm_1920545000000147009,2016-05-26 01:25:38,2016-05-26 02:26:39,zcrm_1920545000000117001
zcrm_1920545000000149023,zcrm_1920545000000149001,zcrm_1920545000000149005,zcrm_1920545000000149007,zcrm_1920545000000149009,2016-05-27 03:33:31,2016-05-27 04:34:25,zcrm_1920545000000117001
zcrm_1920545000000153025,zcrm_1920545000000153001,zcrm_1920545000000153007,zcrm_1920545000000153009,,2016-05-28 15:20:24,2016-05-28 16:21:52,zcrm_1920545000000117001
zcrm_1920545000000154023,zcrm_1920545000000154001,zcrm_1920545000000154005,zcrm_1920545000000154007,zcrm_1920545000000154009,2016-05-30 00:04:09,2016-05-30 01:05:17,zcrm_1920545000000117001
zcrm_1920545000000154058,zcrm_1920545000000154036,zcrm_1920545000000154040,zcrm_1920545000000154042,zcrm_1920545000000154044,2016-05-30 00:18:19,2016-05-30 01:18:53,zcrm_1920545000000117001
zcrm_1920545000000168017,zcrm_1920545000000168003,zcrm_1920545000000153007,zcrm_1920545000000153009,,2016-06-07 02:33:18,2016-06-07 03:35:04,zcrm_1920545000000117001
